Date,AUSTRALIA LARGE VALUE Large Cap
2008-08-29,774.025
2008-09-30,692.646
2008-10-31,526.611
2008-11-28,473.638
2008-12-31,493.74
2009-01-30,413.928
2009-02-27,403.532
2009-03-31,485.287
2009-04-30,539.839
2009-05-29,589.07
2009-06-30,634.011
2009-07-31,704.052
2009-08-31,794.924
2009-09-30,910.719
2009-10-30,902.21
2009-11-30,921.178
2009-12-31,930.903
2010-01-29,878.529
2010-02-26,900.797
2010-03-31,966.775
2010-04-30,986.181
2010-05-31,820.339
2010-06-30,799.468
2010-07-30,899.085
2010-08-31,878.203
2010-09-30,984.784
2010-10-29,1000.681
2010-11-30,951.046
2010-12-31,1045.099
2011-01-31,1042.324
2011-02-28,1090.925
2011-03-31,1105.942
2011-04-29,1192.129
2011-05-31,1111.452
2011-06-30,1115.651
2011-07-29,1073.29
2011-08-31,1047.703
2011-09-30,914.502
2011-10-31,1087.159
2011-11-30,1016.33
2011-12-30,1019.77
2012-01-31,1091.97
2012-02-29,1118.543
2012-03-30,1116.668
2012-04-30,1153.995
2012-05-31,1005.297
2012-06-29,1113.667
2012-07-31,1224.868
2012-08-31,1232.493
2012-09-28,1252.992
2012-10-31,1290.977
2012-11-30,1303.426
2012-12-31,1336.656
2013-01-31,1431.721
2013-02-28,1507.064
2013-03-29,1538.603
2013-04-30,1664.56
2013-05-31,1406.842
2013-06-28,1349.63
2013-07-31,1389.384
2013-08-30,1403.195
2013-09-30,1511.813
2013-10-31,1607.78
2013-11-29,1538.852
2013-12-31,1502.44
2014-01-31,1407.34
2014-02-28,1525.29
2014-03-31,1608.991
2014-04-30,1637.536
2014-05-30,1644.084
2014-06-30,1657.075
2014-07-31,1705.174
2014-08-29,1718.948
2014-09-30,1501.406
2014-10-31,1602.574
2014-11-28,1511.375
2014-12-31,1483.538
2015-01-30,1452.187
2015-02-27,1567.84
2015-03-31,1546.946
2015-04-30,1526.866
2015-05-29,1466.014
2015-06-30,1396.579
2015-07-31,1371.5
2015-08-31,1201.337
2015-09-30,1134.282
2015-10-30,1197.079
2015-11-30,1171.86
2015-12-31,1191.275
2016-01-29,1060.758
2016-02-29,1033.342
2016-03-31,1179.631
2016-04-29,1248.765
2016-05-31,1193.717
2016-06-30,1180.043
2016-07-29,1279.942
2016-08-31,1267.45
2016-09-30,1319.818
2016-10-31,1323.741
2016-11-30,1349.648
2016-12-30,1396.333
2017-01-31,1445.672
2017-02-28,1518.037
2017-03-31,1561.342
2017-04-28,1556.628
2017-05-31,1429.308
2017-06-30,1476.457
2017-07-31,1565.895
2017-08-31,1526.992
2017-09-29,1529.25
2017-10-31,1543.544
2017-11-30,1516.616
2017-12-29,1574.385
2018-01-31,1615.986
2018-02-28,1554.152
2018-03-30,1444.752
2018-04-30,1434.453
2018-05-31,1423.094
2018-06-29,1435.227
2018-07-31,1473.988
2018-08-31,1416.873
2018-09-28,1420.59
2018-10-31,1311.325
2018-11-30,1354.999
2018-12-31,1301.343
2019-01-31,1358.58
2019-02-28,1424.799
2019-03-29,1412.727
2019-04-30,1427.767
2019-05-31,1456.167
2019-06-28,1526.584
2019-07-31,1510.454
2019-08-30,1409.959
2019-09-30,1473.041
2019-10-31,1460.009
2019-11-29,1436.249
2019-12-31,1482.531
2020-01-31,1458.343
2020-02-28,1298.462
2020-03-31,933.901
2020-04-30,1059.895
2020-05-29,1126.234
2020-06-30,1217.491
2020-07-31,1283.649
2020-08-31,1346.366
2020-09-30,1231.916
2020-10-30,1248.53
2020-11-30,1520.514
2020-12-31,1660.513
2021-01-29,1691.011
2021-02-26,1830.001
2021-03-31,1813.923
2021-04-30,1909.759
2021-05-31,1998.205
2021-06-30,1936.317
2021-07-30,1916.259
2021-08-31,1868.244
2021-09-30,1825.092
2021-10-29,1879.071
2021-11-30,1685.372
2021-12-31,1827.039
2022-01-31,1763.951
2022-02-28,1889.707
2022-03-31,2155.271
2022-04-29,1989.236
2022-05-31,2003.144
2022-06-30,1738.393
2022-07-29,1785.632
2022-08-31,1799.183
2022-09-30,1642.254
2022-10-31,1725.697
2022-11-30,1994.062
2022-12-30,1982.916
2023-01-31,2196.672
2023-02-28,2010.978
2023-03-31,2021.279
2023-04-28,1981.36
2023-05-31,1864.544
2023-06-30,2002.943
2023-07-31,2108.649
2023-08-31,2003.511
2023-09-29,1987.663
2023-10-31,1913.507
2023-11-30,2068.204
2023-12-29,2296.045
2024-01-31,2255.91
2024-02-29,2196.921
2024-03-29,2248.388
2024-04-30,2181.427
2024-05-31,2272.742
2024-06-28,2270.124
2024-07-31,2262.792
2024-08-30,2348.549
2024-09-30,2536.997
2024-10-31,2327.702
2024-11-29,2330.039
2024-12-31,2137.957
2025-01-31,2229.31
2025-02-28,2111.588
2025-03-31,2083.832
2025-04-30,2186.124
2025-05-30,2243.205
2025-06-30,2309.952
2025-07-31,2343.644
2025-08-29,2584.475
2025-09-30,2610.395
2025-10-31,2654.85
2025-11-28,2553.321
2025-12-31,2738.874
