Date,SINGAPORE LARGE CAP Large Cap
2010-11-30,1061.986
2010-12-31,1109.308
2011-01-31,1112.162
2011-02-28,1057.085
2011-03-31,1108.41
2011-04-29,1171.79
2011-05-31,1150.837
2011-06-30,1137.672
2011-07-29,1195.849
2011-08-31,1078.507
2011-09-30,932.819
2011-10-31,1029.562
2011-11-30,936.15
2011-12-30,913.684
2012-01-31,1048.964
2012-02-29,1099.117
2012-03-30,1089.41
2012-04-30,1099.815
2012-05-31,987.353
2012-06-29,1045.369
2012-07-31,1124.163
2012-08-31,1118.024
2012-09-28,1147.095
2012-10-31,1126.779
2012-11-30,1149.687
2012-12-31,1187.741
2013-01-31,1202.604
2013-02-28,1202.852
2013-03-29,1225.195
2013-04-30,1266.688
2013-05-31,1212.689
2013-06-28,1152.26
2013-07-31,1195.363
2013-08-30,1130.57
2013-09-30,1207.938
2013-10-31,1246.127
2013-11-29,1231.401
2013-12-31,1217.195
2014-01-31,1133.121
2014-02-28,1168.09
2014-03-31,1191.196
2014-04-30,1234.207
2014-05-30,1251.66
2014-06-30,1248.564
2014-07-31,1312.334
2014-08-29,1296.276
2014-09-30,1241.963
2014-10-31,1227.668
2014-11-28,1249.144
2014-12-31,1242.876
2015-01-30,1208.492
2015-02-27,1207.384
2015-03-31,1213.306
2015-04-30,1306.987
2015-05-29,1230.766
2015-06-30,1221.85
2015-07-31,1174.561
2015-08-31,1026.332
2015-09-30,973.219
2015-10-30,1071.126
2015-11-30,1011.359
2015-12-31,1023.636
2016-01-29,921.774
2016-02-29,942.898
2016-03-31,1061.356
2016-04-29,1071.903
2016-05-31,1031.606
2016-06-30,1079.21
2016-07-29,1080.416
2016-08-31,1064.16
2016-09-30,1082.53
2016-10-31,1039.911
2016-11-30,1072.923
2016-12-30,1052.552
2017-01-31,1143.238
2017-02-28,1165.005
2017-03-31,1186.276
2017-04-28,1182.418
2017-05-31,1245.232
2017-06-30,1263.263
2017-07-31,1334.359
2017-08-31,1321.264
2017-09-29,1310.627
2017-10-31,1373.844
2017-11-30,1442.363
2017-12-29,1456.25
2018-01-31,1542.02
2018-02-28,1540.908
2018-03-30,1516.34
2018-04-30,1632.295
2018-05-31,1533.922
2018-06-29,1412.921
2018-07-31,1438.384
2018-08-31,1411.57
2018-09-28,1435.351
2018-10-31,1308.759
2018-11-30,1357.483
2018-12-31,1345.426
2019-01-31,1404.318
2019-02-28,1391.372
2019-03-29,1400.754
2019-04-30,1510.322
2019-05-31,1356.683
2019-06-28,1496.822
2019-07-31,1495.279
2019-08-30,1401.374
2019-09-30,1422.305
2019-10-31,1499.166
2019-11-29,1479.49
2019-12-31,1534.367
2020-01-31,1476.972
2020-02-28,1378.379
2020-03-31,1082.724
2020-04-30,1170.297
2020-05-29,1133.689
2020-06-30,1203.695
2020-07-31,1193.234
2020-08-31,1227.289
2020-09-30,1175.591
2020-10-30,1164.915
2020-11-30,1427.465
2020-12-31,1446.228
2021-01-29,1479.83
2021-02-26,1545.275
2021-03-31,1622.996
2021-04-30,1694.747
2021-05-31,1704.004
2021-06-30,1642.089
2021-07-30,1655.139
2021-08-31,1655.307
2021-09-30,1648.536
2021-10-29,1722.585
2021-11-30,1577.764
2021-12-31,1568.329
2022-01-31,1559.287
2022-02-28,1513.238
2022-03-31,1488.661
2022-04-29,1334.931
2022-05-31,1287.212
2022-06-30,1170.4
2022-07-29,1249.042
2022-08-31,1232.122
2022-09-30,1177.743
2022-10-31,1190.211
2022-11-30,1320.998
2022-12-30,1295.443
2023-01-31,1391.447
2023-02-28,1318.46
2023-03-31,1392.099
2023-04-28,1364.293
2023-05-31,1259.015
2023-06-30,1283.389
2023-07-31,1419.133
2023-08-31,1274.802
2023-09-29,1291.719
2023-10-31,1243.973
2023-11-30,1244.447
2023-12-29,1324.142
2024-01-31,1270.483
2024-02-29,1312.981
2024-03-29,1395.832
2024-04-30,1476.846
2024-05-31,1549.562
2024-06-28,1576.362
2024-07-31,1624.767
2024-08-30,1724.091
2024-09-30,1863.183
2024-10-31,1820.889
2024-11-29,2011.241
2024-12-31,1983.049
2025-01-31,2108.989
2025-02-28,2162.598
2025-03-31,2192.08
2025-04-30,2186.148
2025-05-30,2367.182
2025-06-30,2399.26
2025-07-31,2429.617
2025-08-29,2657.181
2025-09-30,2603.074
2025-10-31,2567.259
2025-11-28,2591.948
2025-12-31,2632.627
2026-01-30,2742.333
