Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
2002-08-19,601.124
2002-08-20,593.322
2002-08-21,601.668
2002-08-22,610.44
2002-08-23,595.83
2002-08-26,599.262
2002-08-27,586.134
2002-08-28,574.961
2002-08-29,576.58
2002-08-30,573.816
2002-09-02,573.816
2002-09-03,550.429
2002-09-04,561.82
2002-09-05,551.401
2002-09-06,563.079
2002-09-09,568.972
2002-09-10,575.156
2002-09-11,574.579
2002-09-12,560.149
2002-09-13,562.582
2002-09-16,563.268
2002-09-17,552.701
2002-09-18,549.923
2002-09-19,533.438
2002-09-20,533.687
2002-09-23,524.406
2002-09-24,518.056
2002-09-25,532.904
2002-09-26,539.902
2002-09-27,524.238
2002-09-30,515.906
2002-10-01,534.939
2002-10-02,524.22
2002-10-03,518.364
2002-10-04,507.027
2002-10-07,497.712
2002-10-08,508.103
2002-10-09,495.853
2002-10-10,511.287
2002-10-11,531.41
2002-10-14,536.35
2002-10-15,561.612
2002-10-16,545.314
2002-10-17,559.035
2002-10-18,563.023
2002-10-21,571.36
2002-10-22,563.922
2002-10-23,568.7
2002-10-24,559.272
2002-10-25,570.201
2002-10-28,563.68
2002-10-29,559.34
2002-10-30,564.51
2002-10-31,562.583
2002-11-01,572.085
2002-11-04,578.167
2002-11-05,581.117
2002-11-06,587.305
2002-11-07,575.018
2002-11-08,568.124
2002-11-11,555.772
2002-11-12,562.579
2002-11-13,564.12
2002-11-14,579.357
2002-11-15,581.214
2002-11-18,574.879
2002-11-19,570.54
2002-11-20,582.857
2002-11-21,595.184
2002-11-22,592.935
2002-11-25,594.044
2002-11-26,581.336
2002-11-27,598.456
2002-11-28,598.458
2002-11-29,596.121
2002-12-02,595.975
2002-12-03,586.44
2002-12-04,584.297
2002-12-05,577.078
2002-12-06,579.693
2002-12-09,565.037
2002-12-10,573.763
2002-12-11,574.127
2002-12-12,572.748
2002-12-13,562.246
2002-12-16,574.169
2002-12-17,568.755
2002-12-18,560.067
2002-12-19,555.446
2002-12-20,561.847
2002-12-23,564.94
2002-12-24,562.366
2002-12-25,562.366
2002-12-26,559.363
2002-12-27,551.243
2002-12-30,552.713
2002-12-31,553.135
2003-01-01,553.135
2003-01-02,571.642
2003-01-03,571.074
2003-01-06,580.676
2003-01-07,578.75
2003-01-08,570.506
2003-01-09,582.5
2003-01-10,583.72
2003-01-13,582.872
2003-01-14,585.935
2003-01-15,577.9
2003-01-16,575.66
2003-01-17,564.795
2003-01-20,564.772
2003-01-21,557.919
2003-01-22,554.359
2003-01-23,562.382
2003-01-24,546.143
2003-01-27,537.325
2003-01-28,544.424
2003-01-29,547.924
2003-01-30,535.476
2003-01-31,540.864
2003-02-03,542.2
2003-02-04,534.674
2003-02-05,532.798
2003-02-06,530.04
2003-02-07,524.016
2003-02-10,528.535
2003-02-11,526.089
2003-02-12,519.603
2003-02-13,517.695
2003-02-14,528.47
2003-02-17,528.47
2003-02-18,540.851
2003-02-19,536.925
2003-02-20,533.228
2003-02-21,540.486
2003-02-24,530.843
2003-02-25,534.029
2003-02-26,527.485
2003-02-27,532.994
2003-02-28,536.234
2003-03-03,530.577
2003-03-04,523.219
2003-03-05,527.242
2003-03-06,524.287
2003-03-07,528.423
2003-03-10,516.542
2003-03-11,513.167
2003-03-12,516.08
2003-03-13,535.258
2003-03-14,534.91
2003-03-17,555.48
2003-03-18,558.751
2003-03-19,561.392
2003-03-20,563.129
2003-03-21,574.935
2003-03-24,554.898
2003-03-25,562.415
2003-03-26,559.424
2003-03-27,558.679
2003-03-28,555.627
2003-03-31,546.423
2003-04-01,550.897
2003-04-02,566.979
2003-04-03,565.05
2003-04-04,564.209
2003-04-07,564.95
2003-04-08,562.931
2003-04-09,554.852
2003-04-10,558.127
2003-04-11,556.536
2003-04-14,567.037
2003-04-15,569.65
2003-04-16,564.091
2003-04-17,573.899
2003-04-18,573.899
2003-04-21,573.234
2003-04-22,583.915
2003-04-23,587.011
2003-04-24,582.182
2003-04-25,573.965
2003-04-28,584.319
2003-04-29,587.561
2003-04-30,585.628
2003-05-01,586.125
2003-05-02,596.227
