Date,HONG KONG GROWTH Standard (Large+Mid Cap)
1998-09-30,5195.517
1998-10-30,6084.56
1998-11-30,5897.152
1998-12-31,5687.266
1999-01-29,5458.579
1999-02-26,5543.576
1999-03-31,6381.677
1999-04-30,7860.617
1999-05-31,7208.311
1999-06-30,7871.821
1999-07-30,7739.107
1999-08-31,7845.739
1999-09-30,7539.719
1999-10-29,8075.142
1999-11-30,9391.644
1999-12-31,10295.691
2000-01-31,9561.309
2000-02-29,10746.183
2000-03-31,10847.523
2000-04-28,9359.265
2000-05-31,8470.397
2000-06-30,9013.74
2000-07-31,9566.77
2000-08-31,8981.327
2000-09-29,8072.887
2000-10-31,7532.844
2000-11-30,7268.158
2000-12-29,7616.553
2001-01-31,7754.929
2001-02-28,7220.438
2001-03-30,6496.083
2001-04-30,6698.718
2001-05-31,6580.644
2001-06-29,6125.102
2001-07-31,6108.876
2001-08-31,5619.905
2001-09-28,5002.211
2001-10-31,5218.957
2001-11-30,5817.625
2001-12-31,5845.321
2002-01-31,5877.787
2002-02-28,6057.819
2002-03-29,6418.073
2002-04-30,6607.923
2002-05-31,6547.022
2002-06-28,6283.484
2002-07-31,6106.596
2002-08-30,5937.868
2002-09-30,5774.97
2002-10-31,5880.35
2002-11-29,6087.108
2002-12-31,5857.711
2003-01-31,5894.274
2003-02-28,5932.144
2003-03-31,5916.437
2003-04-30,5923.927
2003-05-30,6310.979
2003-06-30,6480.297
2003-07-31,6797.247
2003-08-29,7447.239
2003-09-30,7975.327
2003-10-31,8367.849
2003-11-28,8580.796
2003-12-31,8753.063
2004-01-30,9358.733
2004-02-27,9752.349
2004-03-31,9119.415
2004-04-30,8710.005
2004-05-31,8806.979
2004-06-30,8765.703
2004-07-30,8860.76
2004-08-31,9240.894
2004-09-30,9528.49
2004-10-29,9566.273
2004-11-30,10198.772
2004-12-31,10459.537
2005-01-31,10106.911
2005-02-28,10534.293
2005-03-31,10200.774
2005-04-29,10619.857
2005-05-31,10592.279
2005-06-30,10924.472
2005-07-29,11447.565
2005-08-31,11219.866
2005-09-30,11640.637
2005-10-31,10876.593
2005-11-30,11221.611
2005-12-30,11314.718
2006-01-31,12080.203
2006-02-28,11954.96
2006-03-31,12089.748
2006-04-28,12878.57
2006-05-31,12221.872
2006-06-30,12124.856
2006-07-31,12291.199
2006-08-31,12847.044
2006-09-29,13174.752
2006-10-31,13489.942
2006-11-30,14197.956
2006-12-29,15120.79
2007-01-31,15110.168
2007-02-28,14743.371
2007-03-30,14908.279
2007-04-30,15252.466
2007-05-31,15646.137
2007-06-29,16155.334
2007-07-31,17316.156
2007-08-31,17739.712
2007-09-28,21346.891
2007-10-31,23477.307
2007-11-30,22736.813
2007-12-31,22421.391
2008-01-31,18742.831
2008-02-29,18393.53
2008-03-31,16704.127
2008-04-30,18497.101
2008-05-30,17632.666
2008-06-30,15214.626
2008-07-31,15042.577
2008-08-29,13834.487
2008-09-30,10879.828
2008-10-31,8858.935
2008-11-28,8299.38
2008-12-31,8593.673
2009-01-30,8751.721
2009-02-27,8241.323
2009-03-31,8782.043
2009-04-30,10477.269
2009-05-29,12224.89
2009-06-30,11929.453
2009-07-31,13846.958
2009-08-31,12774.981
2009-09-30,14177.703
2009-10-30,14648.644
2009-11-30,14405.9
2009-12-31,14689.583
2010-01-29,13604.042
2010-02-26,14140.853
2010-03-31,15105.687
2010-04-30,14684.726
2010-05-31,13570.307
2010-06-30,14058.929
2010-07-30,14975.185
2010-08-31,14891.357
2010-09-30,17046.087
2010-10-29,17413.407
2010-11-30,17720.76
2010-12-31,17658.834
2011-01-31,18001.16
2011-02-28,17630.819
2011-03-31,17640.897
2011-04-29,18327.448
2011-05-31,18213.35
2011-06-30,17372.616
2011-07-29,17729.61
2011-08-31,16668.125
2011-09-30,13726.056
2011-10-31,15778.662
2011-11-30,14545.737
2011-12-30,14776.782
2012-01-31,16112.695
2012-02-29,17512.096
2012-03-30,16912.455
2012-04-30,16851.613
2012-05-31,15111.06
2012-06-29,15573.205
2012-07-31,15880.538
2012-08-31,15955.55
2012-09-28,16981.484
2012-10-31,17603.013
2012-11-30,18140.88
2012-12-31,18274.539
2013-01-31,19144.742
2013-02-28,19329.546
2013-03-29,19434.988
2013-04-30,19779.637
2013-05-31,19775.373
2013-06-28,18726.657
2013-07-31,19671.433
2013-08-30,19271.446
2013-09-30,20552.963
2013-10-31,21384.184
2013-11-29,21675.441
2013-12-31,22055.876
2014-01-31,20819.052
2014-02-28,21801.953
2014-03-31,20768.915
2014-04-30,21210.64
2014-05-30,21978.193
2014-06-30,22122.09
2014-07-31,23423.953
2014-08-29,22803.634
2014-09-30,20738.981
2014-10-31,22470.692
2014-11-28,22438.778
2014-12-31,21065.189
2015-01-30,21945.751
2015-02-27,22027.633
2015-03-31,22569.895
2015-04-30,25377.116
2015-05-29,25104.182
2015-06-30,24063.038
2015-07-31,23088.755
2015-08-31,20084.116
2015-09-30,19266.954
2015-10-30,21629.644
2015-11-30,21558.616
2015-12-31,21652.662
2016-01-29,19601.199
2016-02-29,19168.791
2016-03-31,21219.979
2016-04-29,21901.775
2016-05-31,21596.302
2016-06-30,22039.496
2016-07-29,23234.667
2016-08-31,23161.037
2016-09-30,24184.781
2016-10-31,23820.072
2016-11-30,23472.027
2016-12-30,21675.691
2017-01-31,23140.65
2017-02-28,23439.771
2017-03-31,24313.977
2017-04-28,25426.467
2017-05-31,26448.477
2017-06-30,26932.801
2017-07-31,28040.713
2017-08-31,28187.215
2017-09-29,28285.865
2017-10-31,28506.084
2017-11-30,30111.353
2017-12-29,31348.882
2018-01-31,32766.49
2018-02-28,31780.113
2018-03-30,31021.046
2018-04-30,32169.782
2018-05-31,32415.79
2018-06-29,30634.753
2018-07-31,30760.754
2018-08-31,30155.098
2018-09-28,30146.538
2018-10-31,26441.935
2018-11-30,28767.218
2018-12-31,29138.489
2019-01-31,31447.377
2019-02-28,34085.071
2019-03-29,34428.069
2019-04-30,35123.101
2019-05-31,32663.651
2019-06-28,36092.462
2019-07-31,34977.556
2019-08-30,32434.057
2019-09-30,31723.468
2019-10-31,33485.288
2019-11-29,33381.28
2019-12-31,34763.361
2020-01-31,33381.06
2020-02-28,32710.96
2020-03-31,29302.42
2020-04-30,31218.359
2020-05-29,29310.309
2020-06-30,33467.993
2020-07-31,33913.144
2020-08-31,37344.202
2020-09-30,35655.302
2020-10-30,35065.827
2020-11-30,38998.782
2020-12-31,43027.861
2021-01-29,44565.911
2021-02-26,45364.206
2021-03-31,44622.287
2021-04-30,46381.602
2021-05-31,46922.314
2021-06-30,45643.519
2021-07-30,44532.136
2021-08-31,44980.243
2021-09-30,42824.326
2021-10-29,42157.071
2021-11-30,39742.643
2021-12-31,39258.975
2022-01-31,38772.446
2022-02-28,37547.143
2022-03-31,37474.947
2022-04-29,34724.608
2022-05-31,35666.433
2022-06-30,37610.623
2022-07-29,35474.702
2022-08-31,33978.67
2022-09-30,29683.988
2022-10-31,25481.79
2022-11-30,34681.161
2022-12-30,37528.065
2023-01-31,38881.213
2023-02-28,35633.822
2023-03-31,36696.58
2023-04-28,36574.191
2023-05-31,32686.546
2023-06-30,34486.023
2023-07-31,35577.621
2023-08-31,32683.324
2023-09-29,30315.206
2023-10-31,30502.554
2023-11-30,30549.417
2023-12-29,31126.022
2024-01-31,27721.096
2024-02-29,28803.998
2024-03-29,26087.403
2024-04-30,28223.08
2024-05-31,29391.445
2024-06-28,27245.283
2024-07-31,26797.543
