Date,JAPAN IMI GROWTH IMI (Large+Mid+Small Cap)
2007-03-30,1000.335
2007-04-30,984.941
2007-05-31,1000.0
2007-06-29,998.904
2007-07-31,1005.709
2007-08-31,975.093
2007-09-28,1000.012
2007-10-31,1001.339
2007-11-30,981.451
2007-12-31,940.28
2008-01-31,878.487
2008-02-29,889.557
2008-03-31,857.295
2008-04-30,917.942
2008-05-30,948.863
2008-06-30,882.826
2008-07-31,847.134
2008-08-29,804.006
2008-09-30,706.803
2008-10-31,589.341
2008-11-28,577.939
2008-12-31,628.27
2009-01-30,574.729
2009-02-27,495.793
2009-03-31,506.055
2009-04-30,534.894
2009-05-29,592.316
2009-06-30,607.941
2009-07-31,633.673
2009-08-31,661.666
2009-09-30,662.786
2009-10-30,641.491
2009-11-30,632.83
2009-12-31,644.352
2010-01-29,651.393
2010-02-26,660.212
2010-03-31,692.674
2010-04-30,696.124
2010-05-31,638.307
2010-06-30,626.691
2010-07-30,653.226
2010-08-31,631.137
2010-09-30,672.402
2010-10-29,683.825
2010-11-30,699.092
2010-12-31,750.556
2011-01-31,752.129
2011-02-28,779.725
2011-03-31,721.065
2011-04-29,728.257
2011-05-31,718.625
2011-06-30,726.245
2011-07-29,753.899
2011-08-31,691.121
2011-09-30,674.084
2011-10-31,678.03
2011-11-30,649.862
2011-12-30,650.029
2012-01-31,673.788
2012-02-29,700.232
2012-03-30,716.74
2012-04-30,700.306
2012-05-31,642.075
2012-06-29,672.522
2012-07-31,660.068
2012-08-31,663.735
2012-09-28,677.334
2012-10-31,663.548
2012-11-30,677.933
2012-12-31,701.313
2013-01-31,721.642
2013-02-28,744.689
2013-03-29,791.642
2013-04-30,865.61
2013-05-31,821.715
2013-06-28,835.399
2013-07-31,841.573
2013-08-30,824.541
2013-09-30,899.126
2013-10-31,904.949
2013-11-29,918.209
2013-12-31,928.085
2014-01-31,894.45
2014-02-28,885.554
2014-03-31,877.586
2014-04-30,848.703
2014-05-30,883.965
2014-06-30,932.124
2014-07-31,943.871
2014-08-29,929.006
2014-09-30,924.377
2014-10-31,914.462
2014-11-28,918.703
2014-12-31,908.478
2015-01-30,934.46
2015-02-27,974.676
2015-03-31,1001.268
2015-04-30,1017.063
2015-05-29,1025.696
2015-06-30,1021.572
2015-07-31,1020.842
2015-08-31,965.831
2015-09-30,902.258
2015-10-30,994.496
2015-11-30,999.071
2015-12-31,1002.174
2016-01-29,930.341
2016-02-29,916.895
2016-03-31,965.53
2016-04-29,1011.411
2016-05-31,1006.705
2016-06-30,1007.127
2016-07-29,1055.124
2016-08-31,1025.501
2016-09-30,1065.973
2016-10-31,1065.207
2016-11-30,1009.587
2016-12-30,1013.087
2017-01-31,1050.628
2017-02-28,1066.405
2017-03-31,1075.62
2017-04-28,1092.794
2017-05-31,1155.808
2017-06-30,1160.206
2017-07-31,1188.458
2017-08-31,1194.326
2017-09-29,1210.039
2017-10-31,1274.218
2017-11-30,1324.399
2017-12-29,1329.062
2018-01-31,1396.021
2018-02-28,1382.915
2018-03-30,1365.759
2018-04-30,1355.217
2018-05-31,1368.271
2018-06-29,1330.826
2018-07-31,1320.72
2018-08-31,1333.791
2018-09-28,1364.749
2018-10-31,1219.978
2018-11-30,1248.951
2018-12-31,1149.454
2019-01-31,1208.475
2019-02-28,1232.292
2019-03-29,1249.1
2019-04-30,1275.038
2019-05-31,1226.636
2019-06-28,1268.023
2019-07-31,1282.969
2019-08-30,1277.253
2019-09-30,1318.457
2019-10-31,1380.967
2019-11-29,1393.177
2019-12-31,1422.657
2020-01-31,1407.253
2020-02-28,1264.045
2020-03-31,1224.849
2020-04-30,1302.877
2020-05-29,1402.531
2020-06-30,1421.252
2020-07-31,1424.462
2020-08-31,1507.252
2020-09-30,1562.169
2020-10-30,1536.447
2020-11-30,1747.45
2020-12-31,1802.056
2021-01-29,1765.381
2021-02-26,1730.22
2021-03-31,1727.609
2021-04-30,1706.105
2021-05-31,1711.133
2021-06-30,1716.392
2021-07-30,1696.711
2021-08-31,1770.617
2021-09-30,1806.064
2021-10-29,1754.366
2021-11-30,1724.15
2021-12-31,1750.836
2022-01-31,1552.274
2022-02-28,1528.748
2022-03-31,1517.83
2022-04-29,1352.658
2022-05-31,1377.607
2022-06-30,1251.87
2022-07-29,1348.541
2022-08-31,1308.49
2022-09-30,1177.003
2022-10-31,1209.467
2022-11-30,1325.16
2022-12-30,1308.291
2023-01-31,1395.849
2023-02-28,1328.161
2023-03-31,1408.399
2023-04-28,1405.6
2023-05-31,1438.896
2023-06-30,1465.795
2023-07-31,1491.581
2023-08-31,1433.864
2023-09-29,1353.103
2023-10-31,1297.706
2023-11-30,1433.099
2023-12-29,1516.475
2024-01-31,1554.739
2024-02-29,1603.203
2024-03-29,1628.961
2024-04-30,1522.875
2024-05-31,1539.686
2024-06-28,1544.695
2024-07-31,1627.891
2024-08-30,1663.626
2024-09-30,1671.212
2024-10-31,1598.969
2024-11-29,1601.317
2024-12-31,1580.604
2025-01-31,1597.875
2025-02-28,1545.218
2025-03-31,1537.174
2025-04-30,1636.114
2025-05-30,1715.923
2025-06-30,1792.993
2025-07-31,1740.009
