Date,PORTUGAL LARGE CAP Large Cap
2004-03-26,634.325
2004-03-29,638.53
2004-03-30,632.955
2004-03-31,656.578
2004-04-01,651.953
2004-04-02,642.864
2004-04-05,631.984
2004-04-06,629.474
2004-04-07,645.166
2004-04-08,643.878
2004-04-09,643.878
2004-04-12,642.07
2004-04-13,631.408
2004-04-14,634.25
2004-04-15,643.89
2004-04-16,642.087
2004-04-19,648.391
2004-04-20,649.27
2004-04-21,640.653
2004-04-22,638.051
2004-04-23,644.285
2004-04-26,645.196
2004-04-27,648.562
2004-04-28,653.127
2004-04-29,655.714
2004-04-30,652.417
2004-05-03,660.686
2004-05-04,667.926
2004-05-05,668.004
2004-05-06,666.031
2004-05-07,641.01
2004-05-10,620.306
2004-05-11,614.876
2004-05-12,609.598
2004-05-13,600.117
2004-05-14,591.761
2004-05-17,591.634
2004-05-18,604.195
2004-05-19,615.119
2004-05-20,609.65
2004-05-21,611.436
2004-05-24,602.138
2004-05-25,609.963
2004-05-26,617.408
2004-05-27,633.514
2004-05-28,616.14
2004-05-31,619.812
2004-06-01,610.03
2004-06-02,619.268
2004-06-03,622.172
2004-06-04,624.228
2004-06-07,645.513
2004-06-08,643.944
2004-06-09,634.809
2004-06-10,642.86
2004-06-11,642.113
2004-06-14,635.895
2004-06-15,631.895
2004-06-16,642.781
2004-06-17,636.909
2004-06-18,640.24
2004-06-21,641.459
2004-06-22,639.899
2004-06-23,629.666
2004-06-24,632.0
2004-06-25,637.954
2004-06-28,649.537
2004-06-29,639.764
2004-06-30,648.989
2004-07-01,639.736
2004-07-02,638.384
2004-07-05,631.764
2004-07-06,636.193
2004-07-07,637.884
2004-07-08,656.251
2004-07-09,642.232
2004-07-12,645.377
2004-07-13,644.765
2004-07-14,643.003
2004-07-15,641.325
2004-07-16,641.419
2004-07-19,634.257
2004-07-20,640.147
2004-07-21,633.704
2004-07-22,633.189
2004-07-23,618.684
2004-07-26,607.997
2004-07-27,612.503
2004-07-28,615.426
2004-07-29,619.888
2004-07-30,616.874
2004-08-02,607.983
2004-08-03,605.72
2004-08-04,602.469
2004-08-05,612.886
2004-08-06,614.775
2004-08-09,608.828
2004-08-10,619.115
2004-08-11,607.713
2004-08-12,609.743
2004-08-13,605.426
2004-08-16,608.696
2004-08-17,605.04
2004-08-18,601.006
2004-08-19,607.206
2004-08-20,605.585
2004-08-23,602.724
2004-08-24,600.664
2004-08-25,604.518
2004-08-26,604.97
2004-08-27,611.653
2004-08-30,611.933
2004-08-31,611.727
2004-09-01,610.412
2004-09-02,613.314
2004-09-03,604.544
2004-09-06,610.105
2004-09-07,611.558
2004-09-08,631.593
2004-09-09,629.966
2004-09-10,640.395
2004-09-13,644.314
2004-09-14,655.862
2004-09-15,641.348
2004-09-16,646.036
2004-09-17,639.373
2004-09-20,633.365
2004-09-21,644.156
2004-09-22,642.526
2004-09-23,642.613
2004-09-24,642.573
2004-09-27,646.416
2004-09-28,648.633
2004-09-29,662.068
2004-09-30,662.512
2004-10-01,674.568
2004-10-04,675.413
2004-10-05,680.88
2004-10-06,682.934
2004-10-07,670.853
2004-10-08,681.684
2004-10-11,679.018
2004-10-12,672.081
2004-10-13,683.831
2004-10-14,681.222
2004-10-15,678.553
2004-10-18,674.541
2004-10-19,679.004
2004-10-20,682.208
2004-10-21,683.128
2004-10-22,676.073
2004-10-25,679.938
2004-10-26,679.885
2004-10-27,680.44
2004-10-28,683.937
2004-10-29,675.481
2004-11-01,689.046
2004-11-02,691.932
2004-11-03,698.204
2004-11-04,696.479
2004-11-05,700.377
2004-11-08,704.829
2004-11-09,702.038
2004-11-10,702.201
2004-11-11,697.931
2004-11-12,700.738
2004-11-15,699.615
2004-11-16,694.591
2004-11-17,696.324
2004-11-18,692.056
2004-11-19,698.141
2004-11-22,700.423
2004-11-23,702.107
2004-11-24,709.872
2004-11-25,714.188
2004-11-26,713.699
2004-11-29,715.071
2004-11-30,711.344
2004-12-01,702.545
2004-12-02,707.826
2004-12-03,709.193
2004-12-06,713.778
2004-12-07,721.907
2004-12-08,712.48
2004-12-09,719.942
2004-12-10,731.56
2004-12-13,738.108
2004-12-14,738.929
2004-12-15,736.92
2004-12-16,727.11
2004-12-17,717.361
2004-12-20,725.669
2004-12-21,720.931
2004-12-22,725.311
2004-12-23,733.247
2004-12-24,735.148
2004-12-27,740.556
2004-12-28,740.314
2004-12-29,736.937
2004-12-30,736.072
2004-12-31,743.856
2005-01-03,732.612
2005-01-04,726.639
2005-01-05,721.773
2005-01-06,716.884
2005-01-07,717.17
2005-01-10,713.508
2005-01-11,715.714
2005-01-12,721.463
2005-01-13,719.338
2005-01-14,712.666
2005-01-17,723.082
2005-01-18,721.333
2005-01-19,726.59
2005-01-20,725.162
2005-01-21,734.801
2005-01-24,737.344
2005-01-25,724.635
2005-01-26,732.638
2005-01-27,736.278
2005-01-28,732.293
2005-01-31,744.731
2005-02-01,751.679
2005-02-02,749.32
2005-02-03,743.22
2005-02-04,740.975
2005-02-07,743.88
2005-02-08,747.197
2005-02-09,742.214
2005-02-10,738.888
2005-02-11,744.94
2005-02-14,742.234
2005-02-15,739.287
2005-02-16,737.133
2005-02-17,740.103
2005-02-18,743.302
2005-02-21,731.852
2005-02-22,745.021
2005-02-23,731.542
2005-02-24,729.77
2005-02-25,733.755
2005-02-28,731.987
2005-03-01,735.856
2005-03-02,726.401
2005-03-03,719.988
2005-03-04,725.608
