Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
2003-01-30,487.043
2003-01-31,488.988
2003-02-03,488.403
2003-02-04,494.307
2003-02-05,501.346
2003-02-06,510.913
2003-02-07,509.771
2003-02-10,501.463
2003-02-11,488.479
2003-02-12,480.694
2003-02-13,490.717
2003-02-14,488.331
2003-02-17,496.207
2003-02-18,490.279
2003-02-19,489.407
2003-02-20,487.108
2003-02-21,488.041
2003-02-24,485.145
2003-02-25,484.242
2003-02-26,489.021
2003-02-27,494.063
2003-02-28,494.349
2003-03-03,501.128
2003-03-04,498.262
2003-03-05,500.341
2003-03-06,496.321
2003-03-07,492.11
2003-03-10,490.022
2003-03-11,486.167
2003-03-12,483.187
2003-03-13,482.743
2003-03-14,478.652
2003-03-17,474.188
2003-03-18,481.439
2003-03-19,474.758
2003-03-20,476.943
2003-03-21,477.604
2003-03-24,486.878
2003-03-25,490.681
2003-03-26,495.92
2003-03-27,494.349
2003-03-28,496.865
2003-03-31,502.141
2003-04-01,503.524
2003-04-02,507.195
2003-04-03,501.957
2003-04-04,504.352
2003-04-07,516.751
2003-04-08,514.575
2003-04-09,510.441
2003-04-10,507.593
2003-04-11,505.489
2003-04-14,506.263
2003-04-15,501.682
2003-04-16,495.607
2003-04-17,503.004
2003-04-18,503.004
2003-04-21,500.836
2003-04-22,497.976
2003-04-23,509.964
2003-04-24,513.258
2003-04-25,512.854
2003-04-28,517.107
2003-04-29,519.552
2003-04-30,528.495
2003-05-01,533.349
2003-05-02,532.251
2003-05-05,535.703
2003-05-06,541.262
2003-05-07,547.644
2003-05-08,546.282
2003-05-09,550.327
2003-05-12,568.483
2003-05-13,571.137
2003-05-14,579.186
2003-05-15,582.764
2003-05-16,589.859
2003-05-19,590.622
2003-05-20,585.185
2003-05-21,590.338
2003-05-22,591.01
2003-05-23,597.315
2003-05-26,600.497
2003-05-27,596.064
2003-05-28,589.127
2003-05-29,593.492
2003-05-30,565.61
2003-06-02,578.699
2003-06-03,578.667
2003-06-04,571.002
2003-06-05,581.652
2003-06-06,572.403
2003-06-09,575.51
2003-06-10,570.345
2003-06-11,575.269
2003-06-12,571.113
2003-06-13,579.357
2003-06-16,584.82
2003-06-17,584.148
2003-06-18,585.207
2003-06-19,584.881
2003-06-20,583.328
2003-06-23,577.11
2003-06-24,574.843
2003-06-25,573.061
2003-06-26,575.959
2003-06-27,580.054
2003-06-30,575.105
2003-07-01,586.566
2003-07-02,595.738
2003-07-03,587.764
2003-07-04,589.385
2003-07-07,598.495
2003-07-08,586.185
2003-07-09,588.567
2003-07-10,577.599
2003-07-11,574.818
2003-07-14,579.403
2003-07-15,581.578
2003-07-16,581.241
2003-07-17,577.216
2003-07-18,579.702
2003-07-21,581.385
2003-07-22,574.021
2003-07-23,588.374
2003-07-24,582.877
2003-07-25,588.186
2003-07-28,584.857
2003-07-29,586.36
2003-07-30,578.027
2003-07-31,564.77
2003-08-01,563.791
2003-08-04,566.778
2003-08-05,573.206
2003-08-06,569.771
2003-08-07,572.956
2003-08-08,568.57
2003-08-11,566.726
2003-08-12,569.172
2003-08-13,566.555
2003-08-14,564.174
2003-08-15,563.774
2003-08-18,557.536
2003-08-19,557.559
2003-08-20,557.019
2003-08-21,550.866
2003-08-22,547.73
2003-08-25,551.974
2003-08-26,557.715
2003-08-27,557.738
2003-08-28,558.655
2003-08-29,552.8
2003-09-01,554.42
2003-09-02,549.357
2003-09-03,542.679
2003-09-04,544.593
2003-09-05,551.506
2003-09-08,558.928
2003-09-09,559.075
2003-09-10,558.423
2003-09-11,561.264
2003-09-12,567.341
2003-09-15,562.861
2003-09-16,558.055
2003-09-17,559.715
2003-09-18,562.145
2003-09-19,565.972
2003-09-22,572.52
2003-09-23,571.154
2003-09-24,566.931
2003-09-25,567.095
2003-09-26,564.917
2003-09-29,568.937
2003-09-30,574.653
2003-10-01,575.404
2003-10-02,575.631
2003-10-03,573.519
2003-10-06,582.609
2003-10-07,591.003
