Date,FINLAND VALUE Standard (Large+Mid Cap)
2001-10-26,181.467
2001-10-29,182.717
2001-10-30,181.695
2001-10-31,186.432
2001-11-01,185.83
2001-11-02,187.677
2001-11-05,187.672
2001-11-06,184.62
2001-11-07,185.326
2001-11-08,187.669
2001-11-09,185.861
2001-11-12,185.597
2001-11-13,188.173
2001-11-14,189.499
2001-11-15,190.104
2001-11-16,191.407
2001-11-19,188.959
2001-11-20,189.369
2001-11-21,187.449
2001-11-22,192.754
2001-11-23,192.647
2001-11-26,192.279
2001-11-27,191.978
2001-11-28,191.221
2001-11-29,190.696
2001-11-30,195.184
2001-12-03,193.336
2001-12-04,193.42
2001-12-05,196.69
2001-12-06,197.366
2001-12-07,197.455
2001-12-10,195.227
2001-12-11,196.169
2001-12-12,196.572
2001-12-13,194.88
2001-12-14,195.735
2001-12-17,195.587
2001-12-18,197.92
2001-12-19,194.951
2001-12-20,192.818
2001-12-21,191.575
2001-12-24,189.664
2001-12-25,189.664
2001-12-26,189.826
2001-12-27,193.452
2001-12-28,193.977
2001-12-31,195.869
2002-01-01,195.869
2002-01-02,200.681
2002-01-03,204.708
2002-01-04,205.879
2002-01-07,208.863
2002-01-08,206.451
2002-01-09,205.147
2002-01-10,204.465
2002-01-11,205.241
2002-01-14,200.755
2002-01-15,198.302
2002-01-16,193.289
2002-01-17,196.562
2002-01-18,198.127
2002-01-21,196.601
2002-01-22,198.376
2002-01-23,196.592
2002-01-24,197.463
2002-01-25,195.075
2002-01-28,195.277
2002-01-29,196.33
2002-01-30,193.491
2002-01-31,196.36
2002-02-01,198.942
2002-02-04,200.51
2002-02-05,199.457
2002-02-06,196.954
2002-02-07,197.815
2002-02-08,196.908
2002-02-11,200.807
2002-02-12,203.699
2002-02-13,205.117
2002-02-14,206.391
2002-02-15,208.621
2002-02-18,205.495
2002-02-19,206.188
2002-02-20,204.091
2002-02-21,205.429
2002-02-22,206.053
2002-02-25,205.215
2002-02-26,205.604
2002-02-27,206.106
2002-02-28,205.12
2002-03-01,206.988
2002-03-04,211.367
2002-03-05,210.36
2002-03-06,212.511
2002-03-07,216.473
2002-03-08,216.477
2002-03-11,215.709
2002-03-12,214.256
2002-03-13,214.051
2002-03-14,213.046
2002-03-15,212.443
2002-03-18,213.668
2002-03-19,212.929
2002-03-20,212.608
2002-03-21,213.742
2002-03-22,212.259
2002-03-25,211.883
2002-03-26,210.926
2002-03-27,210.315
2002-03-28,210.231
2002-03-29,210.231
2002-04-01,211.954
2002-04-02,215.136
2002-04-03,214.835
2002-04-04,213.979
2002-04-05,214.261
2002-04-08,212.061
2002-04-09,214.51
2002-04-10,214.569
2002-04-11,214.618
2002-04-12,213.581
2002-04-15,213.762
2002-04-16,216.972
2002-04-17,219.354
2002-04-18,217.452
2002-04-19,215.743
2002-04-22,213.195
2002-04-23,210.133
2002-04-24,209.969
2002-04-25,209.173
2002-04-26,213.327
2002-04-29,213.853
2002-04-30,212.847
2002-05-01,214.052
2002-05-02,216.325
2002-05-03,217.485
2002-05-06,217.058
2002-05-07,216.437
2002-05-08,219.427
2002-05-09,219.379
2002-05-10,219.688
2002-05-13,220.433
2002-05-14,220.948
2002-05-15,223.172
2002-05-16,221.788
2002-05-17,224.239
2002-05-20,223.439
2002-05-21,221.303
2002-05-22,220.435
2002-05-23,220.671
2002-05-24,221.703
2002-05-27,219.578
2002-05-28,222.474
2002-05-29,222.191
2002-05-30,221.212
2002-05-31,221.332
2002-06-03,221.146
2002-06-04,218.542
2002-06-05,219.586
2002-06-06,221.605
2002-06-07,218.735
2002-06-10,219.603
2002-06-11,220.897
2002-06-12,217.968
2002-06-13,217.13
2002-06-14,214.331
2002-06-17,215.666
2002-06-18,218.899
2002-06-19,218.87
2002-06-20,215.558
2002-06-21,216.609
2002-06-24,214.815
2002-06-25,213.481
2002-06-26,212.394
2002-06-27,214.492
2002-06-28,219.94
2002-07-01,220.393
2002-07-02,219.521
2002-07-03,213.958
2002-07-04,215.478
2002-07-05,214.364
2002-07-08,218.0
2002-07-09,219.597
2002-07-10,216.617
2002-07-11,215.33
2002-07-12,212.511
2002-07-15,211.928
2002-07-16,206.627
2002-07-17,209.131
2002-07-18,208.572
2002-07-19,203.555
2002-07-22,199.2
2002-07-23,190.155
2002-07-24,179.533
2002-07-25,183.406
2002-07-26,180.868
2002-07-29,186.496
2002-07-30,191.096
2002-07-31,190.481
2002-08-01,188.137
2002-08-02,181.764
2002-08-05,175.403
2002-08-06,175.31
2002-08-07,175.926
2002-08-08,177.017
2002-08-09,179.321
2002-08-12,179.045
2002-08-13,176.047
2002-08-14,177.594
2002-08-15,179.455
2002-08-16,178.909
2002-08-19,179.929
2002-08-20,181.581
2002-08-21,188.042
2002-08-22,192.734
2002-08-23,192.583
2002-08-26,189.645
2002-08-27,193.6
2002-08-28,191.067
2002-08-29,187.993
2002-08-30,186.963
2002-09-02,188.733
2002-09-03,181.666
2002-09-04,181.045
2002-09-05,181.5
2002-09-06,180.975
2002-09-09,181.0
2002-09-10,182.854
2002-09-11,184.827
2002-09-12,184.351
2002-09-13,183.476
2002-09-16,182.367
2002-09-17,181.591
2002-09-18,177.261
2002-09-19,176.283
2002-09-20,173.797
2002-09-23,171.011
2002-09-24,165.192
2002-09-25,164.566
2002-09-26,168.643
2002-09-27,169.947
2002-09-30,166.128
2002-10-01,164.834
2002-10-02,164.357
2002-10-03,162.985
2002-10-04,164.378
2002-10-07,159.897
2002-10-08,156.389
2002-10-09,158.481
2002-10-10,159.38
2002-10-11,167.884
2002-10-14,168.808
2002-10-15,175.627
2002-10-16,173.747
2002-10-17,178.153
2002-10-18,181.319
2002-10-21,177.425
2002-10-22,181.761
2002-10-23,178.342
2002-10-24,183.946
2002-10-25,179.32
2002-10-28,181.719
2002-10-29,175.462
2002-10-30,175.95
2002-10-31,181.467
2002-11-01,179.542
2002-11-04,185.082
2002-11-05,185.46
2002-11-06,185.706
2002-11-07,187.801
2002-11-08,187.662
2002-11-11,180.938
2002-11-12,180.561
2002-11-13,181.23
2002-11-14,183.231
2002-11-15,182.658
2002-11-18,184.192
2002-11-19,184.918
2002-11-20,183.363
2002-11-21,188.55
2002-11-22,188.163
2002-11-25,191.179
2002-11-26,189.108
2002-11-27,194.144
2002-11-28,199.691
2002-11-29,202.437
2002-12-02,203.4
2002-12-03,196.475
2002-12-04,193.182
2002-12-05,194.038
2002-12-06,195.464
2002-12-09,191.71
2002-12-10,191.041
2002-12-11,192.503
2002-12-12,191.665
2002-12-13,190.582
2002-12-16,191.691
2002-12-17,193.529
2002-12-18,197.292
2002-12-19,193.016
2002-12-20,192.279
2002-12-23,190.331
2002-12-24,191.119
2002-12-25,191.119
2002-12-26,191.601
2002-12-27,190.978
2002-12-30,194.444
2002-12-31,195.207
2003-01-01,195.207
2003-01-02,201.357
2003-01-03,202.743
2003-01-06,203.988
2003-01-07,200.295
2003-01-08,196.498
2003-01-09,197.932
2003-01-10,199.199
2003-01-13,203.92
2003-01-14,206.741
2003-01-15,205.376
2003-01-16,208.062
2003-01-17,207.562
2003-01-20,210.3
2003-01-21,207.106
2003-01-22,205.146
2003-01-23,204.963
2003-01-24,204.789
2003-01-27,199.466
2003-01-28,196.884
2003-01-29,194.837
2003-01-30,185.314
2003-01-31,183.945
2003-02-03,187.119
2003-02-04,189.357
2003-02-05,187.581
2003-02-06,187.455
2003-02-07,187.33
2003-02-10,186.805
2003-02-11,186.231
2003-02-12,184.843
2003-02-13,183.78
2003-02-14,184.298
2003-02-17,186.816
2003-02-18,185.77
2003-02-19,187.096
2003-02-20,185.437
2003-02-21,183.91
2003-02-24,185.127
2003-02-25,181.298
2003-02-26,180.819
2003-02-27,179.027
2003-02-28,182.096
2003-03-03,183.111
2003-03-04,182.455
2003-03-05,181.23
2003-03-06,179.493
2003-03-07,177.413
2003-03-10,177.699
2003-03-11,179.506
2003-03-12,178.192
2003-03-13,176.507
2003-03-14,179.652
2003-03-17,181.58
2003-03-18,187.226
2003-03-19,186.893
2003-03-20,184.466
2003-03-21,186.975
2003-03-24,185.575
2003-03-25,184.605
2003-03-26,183.043
2003-03-27,182.731
2003-03-28,180.931
2003-03-31,177.285
2003-04-01,179.799
2003-04-02,182.954
2003-04-03,183.438
2003-04-04,177.633
2003-04-07,181.601
2003-04-08,179.737
2003-04-09,179.54
2003-04-10,181.939
2003-04-11,182.463
2003-04-14,181.788
2003-04-15,184.046
2003-04-16,186.152
2003-04-17,188.856
2003-04-18,188.856
2003-04-21,188.042
2003-04-22,188.786
2003-04-23,193.988
2003-04-24,195.025
2003-04-25,193.439
2003-04-28,195.903
2003-04-29,197.397
2003-04-30,199.595
2003-05-01,201.428
2003-05-02,201.763
2003-05-05,204.367
2003-05-06,207.839
2003-05-07,207.352
2003-05-08,204.258
2003-05-09,203.843
2003-05-12,203.44
2003-05-13,201.942
2003-05-14,200.629
2003-05-15,201.503
2003-05-16,201.319
2003-05-19,204.466
2003-05-20,201.167
2003-05-21,200.149
2003-05-22,200.7
2003-05-23,201.445
2003-05-26,202.521
2003-05-27,200.559
2003-05-28,201.732
2003-05-29,203.227
2003-05-30,201.249
2003-06-02,204.34
2003-06-03,203.195
2003-06-04,203.258
2003-06-05,203.013
2003-06-06,207.215
2003-06-09,205.335
2003-06-10,203.015
2003-06-11,206.554
2003-06-12,203.327
2003-06-13,201.916
2003-06-16,203.969
2003-06-17,206.894
2003-06-18,204.795
2003-06-19,206.879
2003-06-20,205.772
2003-06-23,200.762
2003-06-24,195.205
2003-06-25,196.845
2003-06-26,195.617
2003-06-27,198.117
2003-06-30,195.707
2003-07-01,193.691
2003-07-02,195.784
2003-07-03,197.597
2003-07-04,197.466
2003-07-07,204.556
2003-07-08,206.299
2003-07-09,209.679
2003-07-10,209.709
2003-07-11,208.405
2003-07-14,211.443
2003-07-15,209.5
2003-07-16,209.388
2003-07-17,193.518
2003-07-18,194.521
2003-07-21,193.823
2003-07-22,193.072
2003-07-23,194.753
2003-07-24,198.583
2003-07-25,198.452
2003-07-28,200.695
2003-07-29,199.813
2003-07-30,198.153
2003-07-31,197.197
2003-08-01,194.758
2003-08-04,193.895
2003-08-05,194.64
2003-08-06,190.219
2003-08-07,189.215
2003-08-08,190.372
2003-08-11,191.879
2003-08-12,193.224
2003-08-13,194.038
2003-08-14,196.283
2003-08-15,195.972
2003-08-18,196.934
2003-08-19,201.662
2003-08-20,202.755
2003-08-21,204.622
2003-08-22,204.104
2003-08-25,202.012
2003-08-26,198.154
2003-08-27,204.018
2003-08-28,205.224
2003-08-29,208.702
2003-09-01,210.611
2003-09-02,207.975
2003-09-03,213.022
2003-09-04,211.897
2003-09-05,211.72
2003-09-08,215.506
2003-09-09,210.798
2003-09-10,204.089
2003-09-11,205.383
2003-09-12,207.703
2003-09-15,207.741
2003-09-16,207.071
2003-09-17,207.245
2003-09-18,206.768
2003-09-19,207.524
2003-09-22,205.136
2003-09-23,205.184
2003-09-24,205.386
2003-09-25,201.847
2003-09-26,202.157
2003-09-29,205.788
2003-09-30,203.604
2003-10-01,205.843
2003-10-02,208.2
2003-10-03,214.567
2003-10-06,213.453
2003-10-07,213.365
2003-10-08,215.408
2003-10-09,219.563
2003-10-10,219.055
2003-10-13,220.512
2003-10-14,218.686
2003-10-15,220.923
2003-10-16,217.092
2003-10-17,219.712
2003-10-20,218.559
2003-10-21,220.761
2003-10-22,219.472
2003-10-23,220.323
2003-10-24,220.996
2003-10-27,219.529
2003-10-28,222.094
2003-10-29,225.507
2003-10-30,226.537
2003-10-31,225.813
2003-11-03,227.49
2003-11-04,226.475
2003-11-05,223.107
2003-11-06,226.394
2003-11-07,229.362
2003-11-10,228.973
2003-11-11,226.74
2003-11-12,231.556
2003-11-13,235.176
2003-11-14,236.454
2003-11-17,231.465
2003-11-18,232.968
2003-11-19,230.644
2003-11-20,232.302
2003-11-21,233.249
2003-11-24,236.167
2003-11-25,233.743
2003-11-26,235.937
2003-11-27,237.318
2003-11-28,237.314
2003-12-01,236.121
2003-12-02,239.762
2003-12-03,240.201
2003-12-04,241.339
2003-12-05,241.407
2003-12-08,241.37
2003-12-09,240.738
2003-12-10,238.969
2003-12-11,236.424
2003-12-12,238.646
2003-12-15,239.196
2003-12-16,234.509
2003-12-17,231.683
2003-12-18,231.322
2003-12-19,231.141
2003-12-22,229.893
2003-12-23,232.555
2003-12-24,233.21
2003-12-25,233.21
2003-12-26,233.116
2003-12-29,231.872
2003-12-30,234.338
2003-12-31,235.891
2004-01-01,235.891
2004-01-02,239.178
2004-01-05,243.144
2004-01-06,244.602
2004-01-07,245.138
2004-01-08,258.769
2004-01-09,261.412
2004-01-12,262.898
2004-01-13,260.451
2004-01-14,261.208
2004-01-15,259.429
2004-01-16,259.21
2004-01-19,260.715
2004-01-20,259.806
2004-01-21,254.577
2004-01-22,262.903
2004-01-23,262.664
2004-01-26,260.046
2004-01-27,262.628
2004-01-28,260.761
2004-01-29,254.209
2004-01-30,255.509
2004-02-02,255.742
2004-02-03,257.645
2004-02-04,255.034
2004-02-05,255.616
2004-02-06,260.539
2004-02-09,264.142
2004-02-10,268.841
2004-02-11,270.705
2004-02-12,276.194
2004-02-13,271.887
2004-02-16,272.732
2004-02-17,275.306
2004-02-18,276.895
2004-02-19,279.003
2004-02-20,274.249
2004-02-23,277.546
2004-02-24,275.944
2004-02-25,271.938
2004-02-26,270.074
2004-02-27,270.847
2004-03-01,273.171
2004-03-02,274.526
2004-03-03,271.878
2004-03-04,276.663
2004-03-05,282.9
2004-03-08,282.939
2004-03-09,278.735
2004-03-10,271.901
2004-03-11,265.727
2004-03-12,263.286
2004-03-15,259.412
2004-03-16,261.876
2004-03-17,262.755
2004-03-18,260.181
2004-03-19,257.66
2004-03-22,252.62
2004-03-23,253.461
2004-03-24,252.679
2004-03-25,255.831
2004-03-26,252.747
2004-03-29,257.357
2004-03-30,257.427
2004-03-31,261.803
2004-04-01,265.319
2004-04-02,269.385
2004-04-05,265.62
2004-04-06,244.752
2004-04-07,243.001
2004-04-08,242.308
2004-04-09,242.308
2004-04-12,241.627
2004-04-13,239.818
2004-04-14,236.422
2004-04-15,233.476
2004-04-16,226.55
2004-04-19,228.211
2004-04-20,230.135
2004-04-21,226.51
2004-04-22,231.878
2004-04-23,231.489
2004-04-26,232.906
2004-04-27,233.644
2004-04-28,228.68
2004-04-29,227.194
2004-04-30,223.696
2004-05-03,224.441
2004-05-04,224.712
2004-05-05,227.828
2004-05-06,223.23
2004-05-07,221.412
2004-05-10,214.876
2004-05-11,217.438
2004-05-12,215.695
2004-05-13,214.239
2004-05-14,211.867
2004-05-17,211.061
2004-05-18,213.316
2004-05-19,217.438
2004-05-20,215.504
2004-05-21,213.179
2004-05-24,214.91
2004-05-25,213.667
2004-05-26,214.999
2004-05-27,220.813
2004-05-28,220.037
2004-05-31,221.032
2004-06-01,220.264
2004-06-02,221.53
2004-06-03,221.506
2004-06-04,224.496
2004-06-07,229.434
2004-06-08,228.68
2004-06-09,226.375
2004-06-10,225.698
2004-06-11,226.062
2004-06-14,224.019
2004-06-15,224.746
2004-06-16,221.774
2004-06-17,221.619
2004-06-18,225.459
2004-06-21,226.045
2004-06-22,224.756
2004-06-23,226.09
2004-06-24,229.672
2004-06-25,228.918
2004-06-28,230.683
2004-06-29,229.132
2004-06-30,231.605
2004-07-01,231.9
2004-07-02,231.759
2004-07-05,231.027
2004-07-06,229.587
2004-07-07,230.159
2004-07-08,233.108
2004-07-09,232.67
2004-07-12,231.535
2004-07-13,229.055
2004-07-14,228.182
2004-07-15,216.03
2004-07-16,216.55
2004-07-19,213.62
2004-07-20,215.291
2004-07-21,214.853
2004-07-22,211.334
2004-07-23,208.474
2004-07-26,210.126
2004-07-27,211.06
2004-07-28,209.572
2004-07-29,213.294
2004-07-30,214.492
2004-08-02,213.797
2004-08-03,216.603
2004-08-04,214.295
2004-08-05,214.666
2004-08-06,212.311
2004-08-09,210.649
2004-08-10,213.073
2004-08-11,210.658
2004-08-12,209.247
2004-08-13,212.009
2004-08-16,213.584
2004-08-17,215.969
2004-08-18,216.038
2004-08-19,218.414
2004-08-20,216.405
2004-08-23,217.408
2004-08-24,215.873
2004-08-25,214.508
2004-08-26,216.376
2004-08-27,215.663
2004-08-30,215.682
2004-08-31,215.476
2004-09-01,216.442
2004-09-02,217.789
2004-09-03,217.917
2004-09-06,219.704
2004-09-07,219.829
2004-09-08,220.555
2004-09-09,226.724
2004-09-10,229.33
2004-09-13,228.977
2004-09-14,229.141
2004-09-15,225.784
2004-09-16,227.108
2004-09-17,228.913
2004-09-20,229.48
2004-09-21,231.329
2004-09-22,229.147
2004-09-23,228.094
2004-09-24,228.057
2004-09-27,227.127
2004-09-28,227.033
2004-09-29,229.997
2004-09-30,231.839
2004-10-01,237.182
2004-10-04,236.684
2004-10-05,236.46
2004-10-06,236.327
2004-10-07,237.171
2004-10-08,238.168
2004-10-11,238.039
2004-10-12,233.957
2004-10-13,236.665
2004-10-14,238.956
2004-10-15,242.755
2004-10-18,242.008
2004-10-19,247.454
2004-10-20,244.185
2004-10-21,245.608
2004-10-22,248.256
2004-10-25,246.94
2004-10-26,246.225
2004-10-27,249.319
2004-10-28,248.562
2004-10-29,249.773
2004-11-01,253.224
2004-11-02,253.334
2004-11-03,255.561
2004-11-04,256.395
2004-11-05,258.505
2004-11-08,257.968
2004-11-09,258.965
2004-11-10,263.346
2004-11-11,265.639
2004-11-12,266.298
2004-11-15,266.047
2004-11-16,264.121
2004-11-17,269.343
2004-11-18,268.467
2004-11-19,267.565
2004-11-22,265.679
2004-11-23,266.53
2004-11-24,268.821
2004-11-25,273.775
2004-11-26,274.869
2004-11-29,275.243
2004-11-30,274.64
2004-12-01,275.341
2004-12-02,276.276
2004-12-03,274.837
2004-12-06,275.988
2004-12-07,277.209
2004-12-08,270.012
2004-12-09,267.239
2004-12-10,267.306
2004-12-13,266.459
2004-12-14,266.077
2004-12-15,267.587
2004-12-16,263.54
2004-12-17,259.849
2004-12-20,266.486
2004-12-21,268.39
2004-12-22,270.868
2004-12-23,273.245
2004-12-24,273.953
2004-12-27,274.546
2004-12-28,272.858
2004-12-29,271.465
2004-12-30,272.639
2004-12-31,271.889
2005-01-03,270.101
2005-01-04,267.802
2005-01-05,265.863
2005-01-06,263.77
2005-01-07,262.467
2005-01-10,265.021
2005-01-11,263.483
2005-01-12,262.712
2005-01-13,261.88
2005-01-14,261.277
2005-01-17,263.801
2005-01-18,261.877
2005-01-19,260.582
2005-01-20,253.319
2005-01-21,253.669
2005-01-24,253.505
2005-01-25,251.768
2005-01-26,254.545
2005-01-27,260.301
2005-01-28,257.683
2005-01-31,262.066
2005-02-01,264.154
2005-02-02,267.24
2005-02-03,267.325
2005-02-04,267.066
2005-02-07,266.649
2005-02-08,267.171
2005-02-09,267.919
2005-02-10,268.802
2005-02-11,271.5
2005-02-14,272.684
2005-02-15,274.067
2005-02-16,273.696
2005-02-17,275.083
2005-02-18,276.845
2005-02-21,275.298
2005-02-22,279.744
2005-02-23,274.974
2005-02-24,276.192
2005-02-25,278.742
2005-02-28,280.283
2005-03-01,280.154
2005-03-02,278.953
2005-03-03,281.087
2005-03-04,286.587
2005-03-07,286.042
2005-03-08,287.191
2005-03-09,287.465
2005-03-10,286.548
2005-03-11,288.848
2005-03-14,286.237
2005-03-15,288.004
2005-03-16,286.282
2005-03-17,286.636
2005-03-18,284.802
2005-03-21,280.644
2005-03-22,279.581
2005-03-23,273.699
2005-03-24,273.932
2005-03-25,273.932
2005-03-28,272.009
2005-03-29,273.467
2005-03-30,273.258
2005-03-31,274.746
2005-04-01,274.509
2005-04-04,267.559
2005-04-05,270.13
2005-04-06,272.175
2005-04-07,276.941
2005-04-08,276.464
2005-04-11,276.711
2005-04-12,273.789
2005-04-13,275.108
2005-04-14,271.532
2005-04-15,267.16
2005-04-18,266.628
2005-04-19,270.47
2005-04-20,273.822
2005-04-21,277.611
2005-04-22,280.129
2005-04-25,278.999
2005-04-26,278.537
2005-04-27,274.817
2005-04-28,273.891
2005-04-29,273.142
2005-05-02,273.773
2005-05-03,274.02
2005-05-04,276.331
2005-05-05,276.0
2005-05-06,281.131
2005-05-09,282.14
2005-05-10,280.909
2005-05-11,278.723
2005-05-12,277.934
2005-05-13,278.188
2005-05-16,278.666
2005-05-17,278.468
2005-05-18,284.819
2005-05-19,285.499
2005-05-20,282.24
2005-05-23,284.418
2005-05-24,285.222
2005-05-25,282.386
2005-05-26,282.682
2005-05-27,284.584
2005-05-30,282.916
2005-05-31,279.653
2005-06-01,283.096
2005-06-02,283.555
2005-06-03,282.578
2005-06-06,280.27
2005-06-07,283.116
2005-06-08,283.463
2005-06-09,278.811
2005-06-10,279.842
2005-06-13,279.243
2005-06-14,282.029
2005-06-15,281.706
2005-06-16,283.772
2005-06-17,286.919
2005-06-20,284.454
2005-06-21,285.954
2005-06-22,287.855
2005-06-23,286.382
2005-06-24,287.249
2005-06-27,282.636
2005-06-28,282.624
2005-06-29,284.919
2005-06-30,283.535
2005-07-01,281.704
2005-07-04,281.404
2005-07-05,281.506
2005-07-06,283.664
2005-07-07,280.097
2005-07-08,283.673
2005-07-11,288.914
2005-07-12,290.302
2005-07-13,290.092
2005-07-14,289.783
2005-07-15,289.598
2005-07-18,288.906
2005-07-19,292.544
2005-07-20,290.705
2005-07-21,282.498
2005-07-22,280.01
2005-07-25,278.76
2005-07-26,278.014
2005-07-27,283.315
2005-07-28,286.481
2005-07-29,287.279
2005-08-01,287.649
2005-08-02,289.921
2005-08-03,292.672
2005-08-04,292.314
2005-08-05,290.243
2005-08-08,292.443
2005-08-09,293.893
2005-08-10,298.937
2005-08-11,296.751
2005-08-12,296.867
2005-08-15,293.664
2005-08-16,291.084
2005-08-17,287.866
2005-08-18,284.172
2005-08-19,287.109
2005-08-22,290.055
2005-08-23,288.147
2005-08-24,287.416
2005-08-25,286.105
2005-08-26,284.796
2005-08-29,283.892
2005-08-30,284.174
2005-08-31,290.096
2005-09-01,295.795
2005-09-02,297.482
2005-09-05,298.19
2005-09-06,299.183
2005-09-07,298.929
2005-09-08,296.869
2005-09-09,299.658
2005-09-12,297.615
2005-09-13,303.182
2005-09-14,304.39
2005-09-15,302.096
2005-09-16,302.613
2005-09-19,302.77
2005-09-20,304.548
2005-09-21,302.699
2005-09-22,300.606
2005-09-23,298.448
2005-09-26,300.197
2005-09-27,298.269
2005-09-28,298.307
2005-09-29,298.047
2005-09-30,302.846
2005-10-03,301.952
2005-10-04,302.81
2005-10-05,299.714
2005-10-06,299.516
2005-10-07,296.735
2005-10-10,298.068
2005-10-11,297.829
2005-10-12,297.544
2005-10-13,290.123
2005-10-14,293.547
2005-10-17,292.497
2005-10-18,290.63
2005-10-19,286.557
2005-10-20,281.147
2005-10-21,278.391
2005-10-24,282.443
2005-10-25,285.771
2005-10-26,287.351
2005-10-27,285.112
2005-10-28,284.463
2005-10-31,290.006
2005-11-01,292.004
2005-11-02,294.048
2005-11-03,296.198
2005-11-04,292.482
2005-11-07,290.831
2005-11-08,289.503
