Date,FINLAND VALUE Standard (Large+Mid Cap)
2010-02-26,321.572
2010-03-31,363.956
2010-04-30,325.454
2010-05-31,281.223
2010-06-30,254.633
2010-07-30,284.793
2010-08-31,271.089
2010-09-30,316.961
2010-10-29,332.688
2010-11-30,297.637
2010-12-31,336.813
2011-01-31,354.525
2011-02-28,319.263
2011-03-31,328.18
2011-04-29,347.577
2011-05-31,304.292
2011-06-30,287.012
2011-07-29,260.588
2011-08-31,257.349
2011-09-30,223.191
2011-10-31,251.902
2011-11-30,228.73
2011-12-30,209.03
2012-01-31,223.516
2012-02-29,237.525
2012-03-30,239.177
2012-04-30,204.648
2012-05-31,167.794
2012-06-29,170.611
2012-07-31,176.862
2012-08-31,190.017
2012-09-28,193.904
2012-10-31,196.296
2012-11-30,211.525
2012-12-31,225.861
2013-01-31,237.007
2013-02-28,231.054
2013-03-29,226.131
2013-04-30,234.535
2013-05-31,235.639
2013-06-28,229.835
2013-07-31,250.05
2013-08-30,248.869
2013-09-30,304.178
2013-10-31,333.993
2013-11-29,344.575
2013-12-31,354.434
2014-01-31,328.131
2014-02-28,367.053
2014-03-31,362.362
2014-04-30,372.687
2014-05-30,384.265
2014-06-30,390.869
2014-07-31,377.97
2014-08-29,369.298
2014-09-30,358.47
2014-10-31,353.434
2014-11-28,367.959
2014-12-31,346.927
2015-01-30,357.081
2015-02-27,374.3
2015-03-31,370.619
2015-04-30,377.206
2015-05-29,368.406
2015-06-30,365.516
2015-07-31,379.09
2015-08-31,355.228
2015-09-30,340.031
2015-10-30,370.743
2015-11-30,375.792
2015-12-31,375.834
2016-01-29,354.532
2016-02-29,341.088
2016-03-31,369.124
2016-04-29,369.903
2016-05-31,371.264
2016-06-30,367.322
2016-07-29,384.618
2016-08-31,379.324
2016-09-30,394.356
2016-10-31,369.288
2016-11-30,359.352
2016-12-30,382.647
2017-01-31,375.185
2017-02-28,391.272
2017-03-31,409.921
2017-04-28,434.595
2017-05-31,469.312
2017-06-30,464.122
2017-07-31,478.116
2017-08-31,472.721
2017-09-29,479.161
2017-10-31,469.094
2017-11-30,475.361
2017-12-29,484.643
2018-01-31,523.196
2018-02-28,523.659
2018-03-30,530.778
2018-04-30,554.024
2018-05-31,541.822
2018-06-29,536.918
2018-07-31,529.139
2018-08-31,546.084
2018-09-28,546.469
2018-10-31,505.897
2018-11-30,485.431
2018-12-31,489.848
2019-01-31,528.885
2019-02-28,526.798
2019-03-29,501.547
2019-04-30,491.192
2019-05-31,465.419
2019-06-28,491.028
2019-07-31,492.941
2019-08-30,471.709
2019-09-30,489.365
2019-10-31,464.961
2019-11-29,457.173
2019-12-31,486.059
2020-01-31,477.056
2020-02-28,433.695
2020-03-31,363.314
2020-04-30,397.234
2020-05-29,422.741
2020-06-30,423.904
2020-07-31,436.443
2020-08-31,480.808
2020-09-30,481.859
2020-10-30,447.976
2020-11-30,512.338
2020-12-31,534.293
2021-01-29,525.982
2021-02-26,553.192
2021-03-31,551.295
2021-04-30,578.7
2021-05-31,587.399
2021-06-30,588.135
2021-07-30,626.341
2021-08-31,629.093
2021-09-30,576.951
2021-10-29,586.98
2021-11-30,563.515
2021-12-31,602.184
2022-01-31,566.26
2022-02-28,531.426
2022-03-31,528.083
2022-04-29,511.133
2022-05-31,513.284
2022-06-30,472.271
2022-07-29,476.959
2022-08-31,476.882
2022-09-30,445.184
2022-10-31,469.069
2022-11-30,517.853
2022-12-30,527.482
2023-01-31,533.515
2023-02-28,520.056
2023-03-31,516.195
2023-04-28,514.88
2023-05-31,480.403
2023-06-30,478.385
2023-07-31,486.127
2023-08-31,486.409
2023-09-29,466.722
2023-10-31,450.298
2023-11-30,488.731
2023-12-29,506.461
2024-01-31,503.261
2024-02-29,484.437
2024-03-29,481.366
2024-04-30,491.192
2024-05-31,518.872
2024-06-28,500.959
2024-07-31,506.346
2024-08-30,535.792
2024-09-30,542.904
2024-10-31,517.888
2024-11-29,488.635
2024-12-31,476.734
2025-01-31,507.72
2025-02-28,528.331
2025-03-31,543.171
2025-04-30,573.342
2025-05-30,598.719
2025-06-30,610.814
2025-07-31,578.263
2025-08-29,606.547
2025-09-30,631.347
2025-10-31,682.728
2025-11-28,679.017
2025-12-31,718.471
