Date,NORWAY VALUE Standard (Large+Mid Cap)
2003-02-28,1320.317
2003-03-31,1342.769
2003-04-30,1577.179
2003-05-30,1732.78
2003-06-30,1795.147
2003-07-31,1902.92
2003-08-29,1898.811
2003-09-30,1864.64
2003-10-31,2125.96
2003-11-28,2186.736
2003-12-31,2365.564
2004-01-30,2340.647
2004-02-27,2601.149
2004-03-31,2574.616
2004-04-30,2460.074
2004-05-31,2588.264
2004-06-30,2747.44
2004-07-30,2754.781
2004-08-31,2799.072
2004-09-30,3167.654
2004-10-29,3239.253
2004-11-30,3714.716
2004-12-31,3704.161
2005-01-31,3533.093
2005-02-28,4040.048
2005-03-31,3891.912
2005-04-29,3736.839
2005-05-31,3875.434
2005-06-30,4203.181
2005-07-29,4420.554
2005-08-31,4694.027
2005-09-30,4745.637
2005-10-31,4373.166
2005-11-30,4453.166
2005-12-30,4567.994
2006-01-31,5052.071
2006-02-28,5069.078
2006-03-31,5698.984
2006-04-28,6110.113
2006-05-31,5706.821
2006-06-30,5531.341
2006-07-31,5751.736
2006-08-31,5697.33
2006-09-29,5293.682
2006-10-31,5592.493
2006-11-30,6008.963
2006-12-29,6598.135
2007-01-31,6946.978
2007-02-28,6809.303
2007-03-30,7159.985
2007-04-30,7597.526
2007-05-31,7783.198
2007-06-29,8189.554
2007-07-31,8211.728
2007-08-31,7798.722
2007-09-28,8810.941
2007-10-31,9087.94
2007-11-30,8584.347
2007-12-31,8579.418
2008-01-31,6851.253
2008-02-29,7937.484
2008-03-31,7885.741
2008-04-30,8943.182
2008-05-30,9747.739
2008-06-30,8930.883
2008-07-31,8265.857
2008-08-29,7780.798
2008-09-30,5500.796
2008-10-31,4072.594
2008-11-28,3403.311
2008-12-31,3455.909
2009-01-30,3562.599
2009-02-27,3369.039
2009-03-31,3649.479
2009-04-30,4115.52
2009-05-29,4847.376
2009-06-30,4463.587
2009-07-31,4936.247
2009-08-31,5179.308
2009-09-30,5702.41
2009-10-30,5929.114
2009-11-30,6173.907
2009-12-31,6294.91
2010-01-29,5930.419
2010-02-26,5668.94
2010-03-31,5978.244
2010-04-30,6222.946
2010-05-31,5193.192
2010-06-30,5093.397
2010-07-30,5854.797
2010-08-31,5485.398
2010-09-30,6281.591
2010-10-29,6443.876
2010-11-30,5845.522
2010-12-31,6836.082
2011-01-31,6729.868
2011-02-28,7373.797
2011-03-31,7540.301
2011-04-29,7976.512
2011-05-31,7529.207
2011-06-30,7320.295
2011-07-29,7250.962
2011-08-31,6773.467
2011-09-30,6011.643
2011-10-31,7058.874
2011-11-30,6883.722
2011-12-30,6797.362
2012-01-31,6894.573
2012-02-29,7958.865
2012-03-30,7578.428
2012-04-30,7278.612
2012-05-31,6334.108
2012-06-29,7002.573
2012-07-31,7252.996
2012-08-31,7640.135
2012-09-28,8041.766
2012-10-31,7997.786
2012-11-30,8216.773
2012-12-31,8341.586
2013-01-31,8905.361
2013-02-28,8600.454
2013-03-29,8438.723
2013-04-30,8878.379
2013-05-31,8647.489
2013-06-28,8006.93
2013-07-31,8663.482
2013-08-30,8466.432
2013-09-30,8684.345
2013-10-31,9320.661
2013-11-29,9107.534
2013-12-31,9254.024
2014-01-31,8633.331
2014-02-28,9255.591
2014-03-31,9425.352
2014-04-30,9832.979
2014-05-30,10336.859
2014-06-30,10384.561
2014-07-31,9912.93
2014-08-29,10121.717
2014-09-30,9583.685
2014-10-31,8606.908
2014-11-28,7543.697
2014-12-31,7018.61
2015-01-30,7084.031
2015-02-27,7624.187
2015-03-31,7246.794
2015-04-30,8227.164
2015-05-29,7906.06
2015-06-30,7588.068
2015-07-31,7377.793
2015-08-31,6513.364
2015-09-30,6153.372
2015-10-30,6566.207
2015-11-30,6474.547
2015-12-31,6083.569
2016-01-29,5763.365
2016-02-29,5878.212
2016-03-31,6201.72
2016-04-29,6704.978
2016-05-31,6473.847
2016-06-30,6338.225
2016-07-29,6240.701
2016-08-31,6456.622
2016-09-30,6782.464
2016-10-31,6837.073
2016-11-30,6926.346
2016-12-30,7137.312
2017-01-31,7768.567
2017-02-28,7446.746
2017-03-31,7352.32
2017-04-28,7381.621
2017-05-31,7785.277
2017-06-30,7638.924
2017-07-31,8625.807
2017-08-31,8760.902
2017-09-29,9151.243
2017-10-31,9119.942
2017-11-30,8936.566
2017-12-29,9079.481
2018-01-31,9832.656
2018-02-28,9692.572
2018-03-30,9684.376
2018-04-30,10001.413
2018-05-31,9823.041
2018-06-29,10137.845
2018-07-31,10306.061
2018-08-31,10220.921
2018-09-28,10899.171
2018-10-31,9975.278
2018-11-30,9240.09
2018-12-31,8563.224
2019-01-31,9300.43
2019-02-28,9460.951
2019-03-29,9191.964
2019-04-30,9497.002
2019-05-31,8528.648
2019-06-28,8967.781
2019-07-31,8642.946
2019-08-30,8220.821
2019-09-30,8607.587
2019-10-31,8527.548
2019-11-29,8248.217
2019-12-31,8835.211
2020-01-31,8283.865
2020-02-28,7312.213
2020-03-31,5720.0
2020-04-30,6306.979
2020-05-29,6709.763
2020-06-30,6593.71
2020-07-31,7203.986
2020-08-31,7713.032
2020-09-30,6989.049
2020-10-30,6529.627
2020-11-30,8161.421
2020-12-31,8658.941
2021-01-29,8833.52
2021-02-26,9268.161
2021-03-31,9899.234
2021-04-30,10031.161
2021-05-31,10378.771
2021-06-30,10157.424
2021-07-30,9831.798
2021-08-31,10122.381
2021-09-30,10862.632
2021-10-29,11140.741
2021-11-30,10406.953
2021-12-31,11234.651
2022-01-31,11403.586
2022-02-28,11952.804
2022-03-31,12770.776
2022-04-29,11726.397
2022-05-31,12310.229
2022-06-30,10855.72
2022-07-29,11696.71
2022-08-31,11622.566
2022-09-30,9747.263
2022-10-31,10809.344
2022-11-30,11491.103
2022-12-30,11202.752
2023-01-31,10750.111
2023-02-28,10813.021
2023-03-31,10188.331
2023-04-28,10240.549
2023-05-31,9422.725
2023-06-30,10015.06
2023-07-31,10949.827
2023-08-31,10728.095
2023-09-29,11205.307
2023-10-31,10630.31
2023-11-30,11015.513
2023-12-29,11493.534
2024-01-31,10728.213
2024-02-29,10192.221
2024-03-29,10375.363
2024-04-30,10407.77
2024-05-31,11250.861
2024-06-28,11052.404
2024-07-31,10828.446
2024-08-30,11080.219
2024-09-30,11079.149
2024-10-31,10731.873
2024-11-29,10941.753
2024-12-31,10458.128
2025-01-31,11115.947
2025-02-28,11386.212
2025-03-31,12890.761
2025-04-30,12458.203
2025-05-30,13044.868
2025-06-30,13611.946
2025-07-31,13387.266
2025-08-29,13695.125
2025-09-30,13815.219
2025-10-31,13400.373
