Date,USA LARGE GROWTH Large Cap
2022-02-28,5642.891
2022-03-31,5892.932
2022-04-29,5084.404
2022-05-31,4939.525
2022-06-30,4523.073
2022-07-29,5132.448
2022-08-31,4859.889
2022-09-30,4348.956
2022-10-31,4537.743
2022-11-30,4737.954
2022-12-30,4332.44
2023-01-31,4785.177
2023-02-28,4725.599
2023-03-31,5136.342
2023-04-28,5221.864
2023-05-31,5504.811
2023-06-30,5890.498
2023-07-31,6084.241
2023-08-31,6038.916
2023-09-29,5698.35
2023-10-31,5619.612
2023-11-30,6254.57
2023-12-29,6475.767
2024-01-31,6666.721
2024-02-29,7137.383
2024-03-29,7242.939
2024-04-30,6968.099
2024-05-31,7460.532
2024-06-28,8011.261
2024-07-31,7833.481
2024-08-30,7988.319
2024-09-30,8185.889
2024-10-31,8151.992
2024-11-29,8689.14
2024-12-31,8882.916
2025-01-31,9012.887
2025-02-28,8672.332
2025-03-31,7885.979
2025-04-30,8086.002
2025-05-30,8891.205
2025-06-30,9400.456
2025-07-31,9776.998
2025-08-29,9915.395
2025-09-30,10481.035
