Date,CANADA Standard (Large+Mid Cap)
1981-04-30,334.802
1981-05-29,346.81
1981-06-30,346.805
1981-07-31,323.421
1981-08-31,324.15
1981-09-30,277.003
1981-10-30,270.082
1981-11-30,305.748
1981-12-31,290.858
1982-01-29,265.233
1982-02-26,244.649
1982-03-31,229.95
1982-04-30,228.011
1982-05-31,223.309
1982-06-30,193.04
1982-07-30,205.526
1982-08-31,242.229
1982-09-30,239.06
1982-10-29,266.123
1982-11-30,269.974
1982-12-31,294.383
1983-01-31,303.399
1983-02-28,314.408
1983-03-31,322.217
1983-04-29,355.727
1983-05-31,364.365
1983-06-30,372.026
1983-07-29,373.972
1983-08-31,375.689
1983-09-30,380.783
1983-10-31,358.538
1983-11-30,389.752
1983-12-30,389.616
1984-01-31,370.875
1984-02-29,366.899
1984-03-30,355.744
1984-04-30,346.309
1984-05-31,331.335
1984-06-29,324.966
1984-07-31,315.199
1984-08-31,361.098
1984-09-28,357.643
1984-10-31,351.06
1984-11-30,351.201
1984-12-31,356.787
1985-01-31,385.179
1985-02-28,368.975
1985-03-29,378.285
1985-04-30,380.168
1985-05-31,391.978
1985-06-28,389.559
1985-07-31,407.931
1985-08-30,403.326
1985-09-30,377.829
1985-10-31,384.413
1985-11-29,409.147
1985-12-31,410.485
1986-01-31,392.527
1986-02-28,397.036
1986-03-31,432.467
1986-04-30,440.305
1986-05-30,445.725
1986-06-30,437.002
1986-07-31,416.544
1986-08-29,433.422
1986-09-30,430.143
1986-10-31,439.327
1986-11-28,443.771
1986-12-31,451.281
1987-01-30,514.811
1987-02-27,539.559
1987-03-31,590.104
1987-04-30,574.657
1987-05-29,571.684
1987-06-30,589.222
1987-07-31,638.971
1987-08-31,638.768
1987-09-30,629.627
1987-10-30,490.628
1987-11-30,478.24
1987-12-31,514.042
1988-01-29,507.025
1988-02-29,540.448
1988-03-31,564.908
1988-04-29,573.938
1988-05-31,552.593
1988-06-30,599.125
1988-07-29,587.844
1988-08-31,557.091
1988-09-30,569.001
1988-10-31,587.804
1988-11-30,585.185
1988-12-30,601.799
1989-01-31,651.365
1989-02-28,630.635
1989-03-31,637.65
1989-04-28,654.524
1989-05-31,659.131
1989-06-30,674.747
1989-07-31,726.823
1989-08-31,738.044
1989-09-29,726.215
1989-10-31,726.229
1989-11-30,733.481
1989-12-29,748.019
1990-01-31,679.015
1990-02-28,680.227
1990-03-30,686.107
1990-04-30,634.549
1990-05-31,681.035
1990-06-29,678.351
1990-07-31,692.137
1990-08-31,656.675
1990-09-28,627.356
1990-10-31,607.814
1990-11-30,624.027
1990-12-31,650.785
1991-01-31,650.52
1991-02-28,693.812
1991-03-29,692.484
1991-04-30,699.95
1991-05-31,724.929
1991-06-28,707.085
1991-07-31,718.365
1991-08-30,726.65
1991-09-30,707.69
1991-10-31,739.054
1991-11-29,720.584
1991-12-31,722.903
1992-01-31,732.502
1992-02-28,726.434
1992-03-31,686.463
1992-04-30,677.164
1992-05-29,680.653
1992-06-30,682.853
1992-07-31,698.224
1992-08-31,682.93
1992-09-30,632.391
1992-10-30,648.131
1992-11-30,618.876
1992-12-31,635.06
1993-01-29,622.793
1993-02-26,657.396
1993-03-31,674.937
1993-04-30,698.564
1993-05-31,708.537
1993-06-30,703.411
1993-07-30,698.217
1993-08-31,703.286
1993-09-30,668.634
1993-10-29,731.131
1993-11-30,714.297
1993-12-31,746.687
1994-01-31,793.76
1994-02-28,754.991
1994-03-31,722.208
1994-04-29,714.088
1994-05-31,722.656
1994-06-30,675.784
1994-07-29,706.859
1994-08-31,746.768
1994-09-30,763.333
1994-10-31,753.731
1994-11-30,711.869
1994-12-30,723.952
1995-01-31,686.919
1995-02-28,724.664
1995-03-31,755.401
1995-04-28,768.513
1995-05-31,800.416
1995-06-30,814.071
1995-07-31,828.461
1995-08-31,828.978
1995-09-29,825.103
1995-10-31,818.109
1995-11-30,848.529
1995-12-29,856.507
1996-01-31,900.935
1996-02-29,892.904
1996-03-29,910.373
1996-04-30,947.87
1996-05-31,962.84
1996-06-28,936.432
1996-07-31,907.769
1996-08-30,948.294
1996-09-30,985.871
1996-10-31,1063.011
1996-11-29,1140.362
1996-12-31,1100.985
1997-01-31,1155.059
1997-02-28,1145.857
1997-03-31,1088.279
1997-04-30,1113.762
1997-05-30,1206.817
1997-06-30,1228.043
1997-07-31,1307.897
1997-08-29,1238.939
1997-09-30,1311.186
1997-10-31,1249.197
1997-11-28,1211.249
1997-12-31,1241.861
1998-01-30,1219.646
1998-02-27,1323.067
1998-03-31,1422.735
1998-04-30,1429.551
1998-05-29,1412.193
1998-06-30,1355.243
1998-07-31,1258.845
1998-08-31,984.382
1998-09-30,1009.769
1998-10-30,1111.971
1998-11-30,1152.778
1998-12-31,1165.658
1999-01-29,1262.231
1999-02-26,1190.256
1999-03-31,1239.258
1999-04-30,1365.263
1999-05-31,1327.658
1999-06-30,1382.93
1999-07-30,1392.88
1999-08-31,1370.292
1999-09-30,1409.831
1999-10-29,1504.617
1999-11-30,1565.204
1999-12-31,1792.059
2000-01-31,1797.533
2000-02-29,1904.757
2000-03-31,2074.896
2000-04-28,1998.675
2000-05-31,1961.07
2000-06-30,2207.364
2000-07-31,2274.235
2000-08-31,2473.995
2000-09-29,2224.032
2000-10-31,2029.566
2000-11-30,1847.536
2000-12-29,1887.701
2001-01-31,1979.891
2001-02-28,1664.187
2001-03-30,1511.674
2001-04-30,1619.372
2001-05-31,1649.14
2001-06-29,1585.892
2001-07-31,1578.554
2001-08-31,1492.502
2001-09-28,1353.135
2001-10-31,1354.662
2001-11-30,1478.9
2001-12-31,1501.997
2002-01-31,1490.791
2002-02-28,1474.988
2002-03-29,1527.562
2002-04-30,1515.52
2002-05-31,1548.138
2002-06-28,1460.09
2002-07-31,1295.736
2002-08-30,1311.645
2002-09-30,1205.807
2002-10-31,1242.148
2002-11-29,1314.618
2002-12-31,1303.956
2003-01-31,1340.299
2003-02-28,1386.942
2003-03-31,1368.568
2003-04-30,1455.415
2003-05-30,1579.672
2003-06-30,1621.148
2003-07-31,1626.261
2003-08-29,1710.83
2003-09-30,1740.098
2003-10-31,1857.158
2003-11-28,1912.146
2003-12-31,2015.862
2004-01-30,2036.964
2004-02-27,2081.053
2004-03-31,2070.793
2004-04-30,1898.111
2004-05-31,1948.466
2004-06-30,2031.001
2004-07-30,2032.6
2004-08-31,2032.974
2004-09-30,2186.745
2004-10-29,2324.29
2004-11-30,2418.904
2004-12-31,2463.475
2005-01-31,2365.421
2005-02-28,2516.985
2005-03-31,2551.837
2005-04-29,2413.171
2005-05-31,2465.78
2005-06-30,2615.186
2005-07-29,2758.428
2005-08-31,2921.091
2005-09-30,3096.077
2005-10-31,2872.584
2005-11-30,3027.092
2005-12-30,3160.776
2006-01-31,3438.076
2006-02-28,3375.056
2006-03-31,3426.153
2006-04-28,3592.88
2006-05-31,3496.815
2006-06-30,3440.426
2006-07-31,3450.02
2006-08-31,3588.162
2006-09-29,3479.688
2006-10-31,3646.053
2006-11-30,3749.85
2006-12-29,3723.548
2007-01-31,3712.545
2007-02-28,3738.692
2007-03-30,3840.985
2007-04-30,4073.326
2007-05-31,4420.979
2007-06-29,4413.266
2007-07-31,4401.979
2007-08-31,4402.265
2007-09-28,4832.669
2007-10-31,5284.95
2007-11-30,4697.127
2007-12-31,4824.454
2008-01-31,4516.184
2008-02-29,4794.519
2008-03-31,4529.491
2008-04-30,4848.973
2008-05-30,5216.239
2008-06-30,5027.007
2008-07-31,4675.708
2008-08-29,4583.132
2008-09-30,3931.023
2008-10-31,2869.799
2008-11-28,2705.931
2008-12-31,2628.627
2009-01-30,2535.033
2009-02-27,2316.813
2009-03-31,2533.256
2009-04-30,2884.8
2009-05-29,3496.365
2009-06-30,3305.626
2009-07-31,3701.156
2009-08-31,3646.929
2009-09-30,3910.083
2009-10-30,3707.888
2009-11-30,3981.986
2009-12-31,4105.515
2010-01-29,3801.071
2010-02-26,4019.62
2010-03-31,4351.631
2010-04-30,4413.456
2010-05-31,4109.677
2010-06-30,3895.298
2010-07-30,4173.213
2010-08-31,4091.843
2010-09-30,4409.358
2010-10-29,4546.497
2010-11-30,4593.019
2010-12-31,4945.186
2011-01-31,4965.106
2011-02-28,5326.078
2011-03-31,5323.908
2011-04-29,5386.119
2011-05-31,5221.538
2011-06-30,5072.103
2011-07-29,4963.018
2011-08-31,4786.205
2011-09-30,4109.913
2011-10-31,4538.351
2011-11-30,4415.384
2011-12-30,4316.44
2012-01-31,4572.162
2012-02-29,4734.407
2012-03-30,4591.89
2012-04-30,4614.494
2012-05-31,4118.464
2012-06-29,4235.915
2012-07-31,4328.117
2012-08-31,4511.863
2012-09-28,4677.731
2012-10-31,4660.391
2012-11-30,4637.913
2012-12-31,4708.752
2013-01-31,4794.035
2013-02-28,4725.281
2013-03-29,4750.035
2013-04-30,4679.942
2013-05-31,4655.054
2013-06-28,4394.925
2013-07-31,4647.213
2013-08-30,4602.859
2013-09-30,4782.65
2013-10-31,4939.718
2013-11-29,4894.806
2013-12-31,4973.707
2014-01-31,4767.857
2014-02-28,4978.853
2014-03-31,5051.316
2014-04-30,5198.071
2014-05-30,5238.693
2014-06-30,5550.175
2014-07-31,5545.853
2014-08-29,5670.09
2014-09-30,5302.343
2014-10-31,5149.904
2014-11-28,5150.22
2014-12-31,5048.56
2015-01-30,4627.668
2015-02-27,4902.401
2015-03-31,4743.443
2015-04-30,5072.143
2015-05-29,4842.303
2015-06-30,4699.709
2015-07-31,4527.0
2015-08-31,4234.743
2015-09-30,4035.097
2015-10-30,4203.852
2015-11-30,4119.395
2015-12-31,3828.853
2016-01-29,3732.446
2016-02-29,3874.525
2016-03-31,4260.653
2016-04-29,4545.832
2016-05-31,4389.049
2016-06-30,4405.383
2016-07-29,4554.089
2016-08-31,4568.548
2016-09-30,4618.937
2016-10-31,4577.896
2016-11-30,4686.69
2016-12-30,4769.378
2017-01-31,4947.013
2017-02-28,4869.016
2017-03-31,4888.9
2017-04-28,4785.338
2017-05-31,4774.126
2017-06-30,4920.071
2017-07-31,5114.195
2017-08-31,5120.564
2017-09-29,5309.826
2017-10-31,5298.192
2017-11-30,5330.827
2017-12-29,5535.939
2018-01-31,5586.972
2018-02-28,5177.254
2018-03-30,5128.966
2018-04-30,5253.98
2018-05-31,5357.593
2018-06-29,5368.583
2018-07-31,5497.939
2018-08-31,5416.788
2018-09-28,5411.64
2018-10-31,4988.724
2018-11-30,5002.661
2018-12-31,4583.815
2019-01-31,5181.113
2019-02-28,5324.714
2019-03-29,5288.416
2019-04-30,5448.84
2019-05-31,5230.586
2019-06-28,5546.678
2019-07-31,5514.281
2019-08-30,5449.919
2019-09-30,5571.813
2019-10-31,5559.998
2019-11-29,5696.515
2019-12-31,5844.193
2020-01-31,5819.57
2020-02-28,5394.646
2020-03-31,4235.201
2020-04-30,4758.071
2020-05-29,4911.991
2020-06-30,5089.495
2020-07-31,5393.94
2020-08-31,5682.118
2020-09-30,5402.837
2020-10-30,5223.36
2020-11-30,5943.689
2020-12-31,6154.918
2021-01-29,6088.84
2021-02-26,6427.554
2021-03-31,6745.264
2021-04-30,7042.804
2021-05-31,7425.848
2021-06-30,7421.975
2021-07-30,7413.675
2021-08-31,7428.239
2021-09-30,7234.474
2021-10-29,7785.337
2021-11-30,7404.304
2021-12-31,7753.951
2022-01-31,7687.512
2022-02-28,7700.672
2022-03-31,8109.063
2022-04-29,7516.603
2022-05-31,7625.448
2022-06-30,6832.199
2022-07-29,7166.075
2022-08-31,6874.265
2022-09-30,6289.384
2022-10-31,6700.324
2022-11-30,7106.013
2022-12-30,6756.096
2023-01-31,7364.915
2023-02-28,7043.101
2023-03-31,7047.484
2023-04-28,7257.118
2023-05-31,6860.025
2023-06-30,7307.28
2023-07-31,7543.936
2023-08-31,7228.167
2023-09-29,7011.92
2023-10-31,6617.144
2023-11-30,7304.972
2023-12-29,7799.406
2024-01-31,7738.339
2024-02-29,7789.489
2024-03-29,8109.303
2024-04-30,7832.882
2024-05-31,8100.0
2024-06-28,7935.887
2024-07-31,8322.942
2024-08-30,8659.791
2024-09-30,8887.805
2024-10-31,8681.056
2024-11-29,9256.764
2024-12-31,8726.492
2025-01-31,8970.995
2025-02-28,8999.487
2025-03-31,8824.131
2025-04-30,9208.37
2025-05-30,9739.949
2025-06-30,10076.951
2025-07-31,10108.317
2025-08-29,10661.68
2025-09-30,11058.403
