Date,FINLAND GROWTH Standard (Large+Mid Cap)
2003-11-14,953.449
2003-11-17,929.867
2003-11-18,944.516
2003-11-19,929.14
2003-11-20,940.677
2003-11-21,938.648
2003-11-24,966.339
2003-11-25,946.024
2003-11-26,954.429
2003-11-27,960.102
2003-11-28,958.317
2003-12-01,951.689
2003-12-02,964.748
2003-12-03,969.412
2003-12-04,978.45
2003-12-05,962.371
2003-12-08,948.84
2003-12-09,941.498
2003-12-10,934.481
2003-12-11,934.106
2003-12-12,940.13
2003-12-15,948.457
2003-12-16,927.88
2003-12-17,919.677
2003-12-18,920.711
2003-12-19,921.429
2003-12-22,914.492
2003-12-23,917.227
2003-12-24,919.812
2003-12-25,919.812
2003-12-26,919.443
2003-12-29,908.467
2003-12-30,917.748
2003-12-31,923.827
2004-01-01,923.827
2004-01-02,927.84
2004-01-05,938.85
2004-01-06,944.481
2004-01-07,958.703
2004-01-08,1072.329
2004-01-09,1095.063
2004-01-12,1104.419
2004-01-13,1097.022
2004-01-14,1108.291
2004-01-15,1091.562
2004-01-16,1097.205
2004-01-19,1104.158
2004-01-20,1114.011
2004-01-21,1086.942
2004-01-22,1131.748
2004-01-23,1132.94
2004-01-26,1118.682
2004-01-27,1128.233
2004-01-28,1119.955
2004-01-29,1083.128
2004-01-30,1088.541
2004-02-02,1095.835
2004-02-03,1108.072
2004-02-04,1088.783
2004-02-05,1084.882
2004-02-06,1119.786
2004-02-09,1136.406
2004-02-10,1166.524
2004-02-11,1177.112
2004-02-12,1200.96
2004-02-13,1175.152
2004-02-16,1181.468
2004-02-17,1195.96
2004-02-18,1204.065
2004-02-19,1203.07
2004-02-20,1177.488
2004-02-23,1197.06
2004-02-24,1181.716
2004-02-25,1160.791
2004-02-26,1158.281
2004-02-27,1161.163
2004-03-01,1167.285
2004-03-02,1179.57
2004-03-03,1161.203
2004-03-04,1193.609
2004-03-05,1230.212
2004-03-08,1227.085
2004-03-09,1196.584
2004-03-10,1166.33
2004-03-11,1136.586
2004-03-12,1124.727
2004-03-15,1101.009
2004-03-16,1116.114
2004-03-17,1125.789
2004-03-18,1099.162
2004-03-19,1086.409
2004-03-22,1052.371
2004-03-23,1051.829
2004-03-24,1040.868
2004-03-25,1068.609
2004-03-26,1062.525
2004-03-29,1085.495
2004-03-30,1085.412
2004-03-31,1110.352
2004-04-01,1121.657
2004-04-02,1143.639
2004-04-05,1128.631
2004-04-06,959.932
2004-04-07,935.993
2004-04-08,940.652
2004-04-09,940.652
2004-04-12,938.01
2004-04-13,927.971
2004-04-14,907.782
2004-04-15,894.702
2004-04-16,835.402
2004-04-19,846.572
2004-04-20,849.85
2004-04-21,830.28
2004-04-22,839.893
2004-04-23,842.562
2004-04-26,844.341
2004-04-27,835.801
2004-04-28,816.618
2004-04-29,801.753
2004-04-30,786.351
2004-05-03,788.305
2004-05-04,785.601
2004-05-05,803.402
2004-05-06,784.909
2004-05-07,781.681
2004-05-10,758.91
2004-05-11,758.685
2004-05-12,751.778
2004-05-13,751.83
2004-05-14,734.298
2004-05-17,730.256
2004-05-18,743.316
2004-05-19,762.698
2004-05-20,755.916
2004-05-21,729.934
2004-05-24,736.423
2004-05-25,736.712
2004-05-26,744.774
2004-05-27,772.104
2004-05-28,762.607
2004-05-31,778.587
2004-06-01,763.805
2004-06-02,763.008
2004-06-03,759.262
2004-06-04,777.453
2004-06-07,798.283
2004-06-08,796.185
2004-06-09,794.239
2004-06-10,790.043
2004-06-11,795.046
2004-06-14,784.888
2004-06-15,789.818
2004-06-16,783.007
2004-06-17,777.869
2004-06-18,789.817
2004-06-21,788.666
2004-06-22,778.267
2004-06-23,784.649
2004-06-24,794.064
2004-06-25,791.456
2004-06-28,800.366
2004-06-29,789.177
2004-06-30,805.619
2004-07-01,815.139
2004-07-02,809.293
2004-07-05,804.998
2004-07-06,794.631
2004-07-07,792.913
2004-07-08,799.057
2004-07-09,806.274
2004-07-12,801.056
2004-07-13,794.759
2004-07-14,786.223
2004-07-15,704.969
2004-07-16,698.266
2004-07-19,690.403
2004-07-20,692.19
2004-07-21,695.453
2004-07-22,680.272
2004-07-23,672.521
2004-07-26,671.546
2004-07-27,665.889
2004-07-28,650.998
2004-07-29,666.672
2004-07-30,661.26
2004-08-02,656.695
2004-08-03,665.231
2004-08-04,658.259
2004-08-05,657.063
2004-08-06,644.016
2004-08-09,640.256
2004-08-10,654.754
2004-08-11,641.652
2004-08-12,632.275
2004-08-13,644.708
2004-08-16,653.686
2004-08-17,667.971
2004-08-18,668.274
2004-08-19,679.483
2004-08-20,670.386
2004-08-23,675.406
2004-08-24,667.076
2004-08-25,666.851
2004-08-26,678.745
2004-08-27,674.167
2004-08-30,673.104
2004-08-31,671.165
2004-09-01,675.122
