Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2002-07-15,2058.318
2002-07-16,2035.676
2002-07-17,2069.796
2002-07-18,2037.998
2002-07-19,1962.772
2002-07-22,1899.058
2002-07-23,1863.518
2002-07-24,1924.09
2002-07-25,1942.718
2002-07-26,1964.361
2002-07-29,2058.471
2002-07-30,2067.85
2002-07-31,2080.611
2002-08-01,2014.353
2002-08-02,1994.852
2002-08-05,1936.235
2002-08-06,1978.95
2002-08-07,2010.041
2002-08-08,2072.055
2002-08-09,2085.642
2002-08-12,2068.342
2002-08-13,2045.339
2002-08-14,2091.15
2002-08-15,2118.444
2002-08-16,2122.993
2002-08-19,2162.956
2002-08-20,2132.496
2002-08-21,2159.127
2002-08-22,2186.263
2002-08-23,2145.383
2002-08-26,2145.105
2002-08-27,2135.173
2002-08-28,2091.356
2002-08-29,2080.785
2002-08-30,2082.927
2002-09-02,2074.291
2002-09-03,2004.575
2002-09-04,2030.305
2002-09-05,2007.269
2002-09-06,2040.736
2002-09-09,2046.505
2002-09-10,2068.169
2002-09-11,2078.496
2002-09-12,2026.986
2002-09-13,2022.931
2002-09-16,2022.092
2002-09-17,1991.322
2002-09-18,1970.629
2002-09-19,1925.645
2002-09-20,1926.675
2002-09-23,1890.426
2002-09-24,1866.596
2002-09-25,1907.571
2002-09-26,1947.513
2002-09-27,1903.978
2002-09-30,1868.864
2002-10-01,1925.111
2002-10-02,1922.913
2002-10-03,1905.473
2002-10-04,1865.704
2002-10-07,1842.924
2002-10-08,1857.712
2002-10-09,1832.665
2002-10-10,1872.171
2002-10-11,1940.618
2002-10-14,1957.542
2002-10-15,2038.233
2002-10-16,1996.121
2002-10-17,2036.977
2002-10-18,2043.364
2002-10-21,2061.496
2002-10-22,2039.318
2002-10-23,2028.813
2002-10-24,2014.512
2002-10-25,2042.693
2002-10-28,2038.197
2002-10-29,2007.288
2002-10-30,2028.984
2002-10-31,2038.234
2002-11-01,2052.709
2002-11-04,2082.457
2002-11-05,2095.62
2002-11-06,2102.749
2002-11-07,2075.299
2002-11-08,2056.806
2002-11-11,2024.613
2002-11-12,2038.014
2002-11-13,2034.268
2002-11-14,2074.42
2002-11-15,2079.92
2002-11-18,2071.485
2002-11-19,2063.414
2002-11-20,2082.867
2002-11-21,2121.902
2002-11-22,2112.229
2002-11-25,2104.195
2002-11-26,2069.432
2002-11-27,2113.439
2002-11-28,2118.784
2002-11-29,2108.974
2002-12-02,2106.665
2002-12-03,2083.495
