Date,EM (EMERGING MARKETS) Standard (Large+Mid Cap)
2003-09-19,565.47
2003-09-22,559.608
2003-09-23,562.0
2003-09-24,566.208
2003-09-25,560.795
2003-09-26,556.41
2003-09-29,556.92
2003-09-30,557.877
2003-10-01,563.841
2003-10-02,571.83
2003-10-03,576.791
2003-10-06,582.088
2003-10-07,585.283
2003-10-08,589.181
2003-10-09,596.756
2003-10-10,602.955
2003-10-13,606.903
2003-10-14,604.324
2003-10-15,603.013
2003-10-16,608.649
2003-10-17,605.793
2003-10-20,608.032
2003-10-21,606.481
2003-10-22,604.867
2003-10-23,592.735
2003-10-24,592.73
2003-10-27,593.264
2003-10-28,602.302
2003-10-29,604.872
2003-10-30,606.497
2003-10-31,605.351
2003-11-03,614.793
2003-11-04,617.745
2003-11-05,617.89
2003-11-06,612.58
2003-11-07,616.585
2003-11-10,613.087
2003-11-11,606.495
2003-11-12,610.784
2003-11-13,618.34
2003-11-14,618.461
2003-11-17,607.556
2003-11-18,608.272
2003-11-19,598.675
2003-11-20,594.058
2003-11-21,597.887
2003-11-24,593.931
2003-11-25,600.535
2003-11-26,606.136
2003-11-27,605.739
2003-11-28,612.79
2003-12-01,624.601
2003-12-02,626.693
2003-12-03,628.132
2003-12-04,624.535
2003-12-05,622.319
2003-12-08,621.067
2003-12-09,627.675
2003-12-10,625.676
2003-12-11,628.256
2003-12-12,632.546
2003-12-15,637.351
2003-12-16,631.616
2003-12-17,626.187
2003-12-18,631.846
2003-12-19,634.788
2003-12-22,638.978
2003-12-23,639.089
2003-12-24,641.674
2003-12-25,641.758
2003-12-26,643.144
2003-12-29,647.527
2003-12-30,655.507
2003-12-31,657.215
2004-01-01,657.752
2004-01-02,669.176
2004-01-05,686.583
2004-01-06,684.602
2004-01-07,682.965
2004-01-08,685.958
2004-01-09,695.186
2004-01-12,694.129
2004-01-13,695.022
2004-01-14,689.773
2004-01-15,681.782
2004-01-16,682.59
2004-01-19,688.114
2004-01-20,695.075
2004-01-21,692.725
2004-01-22,692.989
2004-01-23,696.354
2004-01-26,699.184
2004-01-27,701.685
2004-01-28,697.824
2004-01-29,683.517
2004-01-30,680.556
2004-02-02,679.948
2004-02-03,680.727
2004-02-04,678.375
2004-02-05,675.397
2004-02-06,684.902
2004-02-09,696.769
2004-02-10,698.252
2004-02-11,702.924
2004-02-12,710.535
2004-02-13,714.836
2004-02-16,714.282
2004-02-17,720.458
2004-02-18,719.722
2004-02-19,712.832
2004-02-20,708.364
2004-02-23,705.246
2004-02-24,700.975
2004-02-25,701.748
2004-02-26,704.231
2004-02-27,711.95
2004-03-01,723.217
2004-03-02,727.956
2004-03-03,719.269
2004-03-04,723.809
2004-03-05,728.141
2004-03-08,725.677
2004-03-09,724.124
2004-03-10,710.831
2004-03-11,700.398
2004-03-12,696.68
2004-03-15,692.993
2004-03-16,693.556
2004-03-17,701.857
2004-03-18,708.774
2004-03-19,712.092
2004-03-22,699.921
2004-03-23,695.382
2004-03-24,696.538
2004-03-25,692.444
2004-03-26,697.397
2004-03-29,706.983
2004-03-30,712.577
2004-03-31,721.098
2004-04-01,726.078
2004-04-02,728.987
2004-04-05,734.128
2004-04-06,738.104
2004-04-07,740.784
2004-04-08,742.343
2004-04-09,739.385
2004-04-12,744.435
2004-04-13,740.254
2004-04-14,729.867
2004-04-15,724.337
2004-04-16,722.646
2004-04-19,721.66
2004-04-20,722.534
2004-04-21,714.923
2004-04-22,708.846
2004-04-23,716.991
2004-04-26,711.271
2004-04-27,706.795
2004-04-28,694.574
2004-04-29,674.662
2004-04-30,662.143
2004-05-03,661.315
2004-05-04,671.548
2004-05-05,669.565
2004-05-06,658.669
2004-05-07,650.989
2004-05-10,620.16
2004-05-11,624.81
2004-05-12,633.861
2004-05-13,626.545
2004-05-14,614.897
2004-05-17,595.061
2004-05-18,605.429
2004-05-19,630.745
2004-05-20,622.933
2004-05-21,630.868
2004-05-24,636.625
2004-05-25,635.585
2004-05-26,641.235
2004-05-27,651.82
2004-05-28,653.365
2004-05-31,649.102
2004-06-01,649.72
2004-06-02,647.291
2004-06-03,632.556
2004-06-04,635.811
2004-06-07,654.541
2004-06-08,654.338
2004-06-09,648.021
2004-06-10,642.701
2004-06-11,631.529
2004-06-14,621.062
2004-06-15,625.506
2004-06-16,625.389
2004-06-17,631.198
2004-06-18,628.832
2004-06-21,632.107
2004-06-22,629.522
2004-06-23,633.633
2004-06-24,645.077
2004-06-25,650.226
2004-06-28,646.725
2004-06-29,645.892
2004-06-30,652.067
2004-07-01,653.7
2004-07-02,649.029
2004-07-05,648.427
2004-07-06,648.148
2004-07-07,652.196
2004-07-08,644.844
2004-07-09,648.177
2004-07-12,649.429
2004-07-13,650.044
2004-07-14,644.112
2004-07-15,641.729
2004-07-16,647.529
2004-07-19,650.481
2004-07-20,644.979
2004-07-21,647.561
2004-07-22,641.09
2004-07-23,637.391
2004-07-26,633.067
2004-07-27,635.144
2004-07-28,635.344
2004-07-29,634.188
2004-07-30,640.537
2004-08-02,637.282
2004-08-03,638.726
2004-08-04,637.122
2004-08-05,642.063
2004-08-06,638.2
2004-08-09,640.055
2004-08-10,641.086
2004-08-11,635.287
2004-08-12,637.379
2004-08-13,639.247
2004-08-16,640.077
2004-08-17,642.951
2004-08-18,645.704
2004-08-19,655.149
2004-08-20,655.372
2004-08-23,654.55
2004-08-24,655.23
2004-08-25,658.267
2004-08-26,664.0
2004-08-27,664.811
2004-08-30,665.934
2004-08-31,667.35
2004-09-01,672.933
2004-09-02,676.19
2004-09-03,671.619
2004-09-06,675.073
2004-09-07,675.659
2004-09-08,676.706
2004-09-09,678.153
2004-09-10,684.532
2004-09-13,690.372
2004-09-14,695.6
2004-09-15,693.157
2004-09-16,699.532
2004-09-17,700.425
2004-09-20,704.726
2004-09-21,709.451
2004-09-22,703.565
2004-09-23,702.647
2004-09-24,701.475
2004-09-27,698.14
2004-09-28,700.338
2004-09-29,702.233
2004-09-30,705.894
2004-10-01,716.201
2004-10-04,731.388
2004-10-05,731.176
2004-10-06,731.409
2004-10-07,733.067
2004-10-08,733.38
2004-10-11,730.927
2004-10-12,718.64
2004-10-13,712.1
2004-10-14,707.743
2004-10-15,710.584
2004-10-18,712.001
2004-10-19,715.335
2004-10-20,706.065
2004-10-21,710.019
2004-10-22,713.347
2004-10-25,707.609
2004-10-26,710.049
2004-10-27,715.805
2004-10-28,719.966
2004-10-29,722.805
2004-11-01,725.282
2004-11-02,730.09
2004-11-03,740.409
2004-11-04,741.78
2004-11-05,747.424
2004-11-08,743.574
2004-11-09,745.768
2004-11-10,749.675
2004-11-11,750.769
2004-11-12,758.789
2004-11-15,764.668
2004-11-16,762.71
2004-11-17,774.515
2004-11-18,775.425
2004-11-19,771.096
2004-11-22,764.343
2004-11-23,769.12
2004-11-24,775.28
2004-11-25,778.73
2004-11-26,780.162
2004-11-29,785.259
2004-11-30,789.755
2004-12-01,790.68
2004-12-02,795.263
2004-12-03,794.198
2004-12-06,795.629
2004-12-07,790.732
2004-12-08,779.56
2004-12-09,773.589
2004-12-10,768.723
2004-12-13,774.241
2004-12-14,782.147
2004-12-15,792.152
2004-12-16,795.723
2004-12-17,794.943
2004-12-20,801.083
2004-12-21,805.025
2004-12-22,805.674
2004-12-23,809.099
2004-12-24,811.338
2004-12-27,813.306
2004-12-28,815.828
2004-12-29,818.839
2004-12-30,822.677
2004-12-31,827.775
2005-01-03,828.142
2005-01-04,813.941
2005-01-05,802.196
2005-01-06,791.604
2005-01-07,792.688
2005-01-10,794.184
2005-01-11,797.127
2005-01-12,797.881
2005-01-13,802.086
2005-01-14,806.911
2005-01-17,812.423
2005-01-18,807.162
2005-01-19,808.621
2005-01-20,802.318
2005-01-21,804.116
2005-01-24,806.911
2005-01-25,807.735
2005-01-26,815.302
2005-01-27,817.106
2005-01-28,819.934
2005-01-31,830.395
2005-02-01,829.851
2005-02-02,832.314
2005-02-03,836.616
2005-02-04,841.817
2005-02-07,844.579
2005-02-08,841.741
2005-02-09,845.596
2005-02-10,844.91
2005-02-11,848.968
2005-02-14,860.129
2005-02-15,862.724
2005-02-16,862.41
2005-02-17,864.765
2005-02-18,868.835
2005-02-21,870.731
2005-02-22,876.88
2005-02-23,876.207
2005-02-24,885.832
2005-02-25,892.406
2005-02-28,903.311
2005-03-01,900.586
2005-03-02,890.675
2005-03-03,893.409
2005-03-04,898.382
2005-03-07,902.032
2005-03-08,901.217
2005-03-09,901.866
2005-03-10,893.301
2005-03-11,898.362
2005-03-14,886.573
2005-03-15,871.547
2005-03-16,869.422
2005-03-17,866.747
2005-03-18,866.674
2005-03-21,860.217
2005-03-22,856.36
2005-03-23,841.226
2005-03-24,839.311
2005-03-25,842.863
2005-03-28,838.235
2005-03-29,828.117
2005-03-30,830.52
2005-03-31,843.8
2005-04-01,855.355
2005-04-04,847.196
2005-04-05,848.157
2005-04-06,852.148
2005-04-07,855.441
2005-04-08,855.153
2005-04-11,853.398
2005-04-12,851.498
2005-04-13,854.221
2005-04-14,837.312
2005-04-15,826.22
2005-04-18,811.817
2005-04-19,822.133
2005-04-20,823.74
2005-04-21,826.212
2005-04-22,829.704
2005-04-25,833.931
2005-04-26,836.857
2005-04-27,829.844
2005-04-28,820.1
2005-04-29,821.31
2005-05-02,824.393
2005-05-03,824.967
2005-05-04,839.03
2005-05-05,847.073
2005-05-06,851.919
2005-05-09,851.092
2005-05-10,846.598
2005-05-11,840.727
2005-05-12,835.769
2005-05-13,832.02
2005-05-16,830.99
2005-05-17,829.861
2005-05-18,836.961
2005-05-19,845.56
2005-05-20,843.378
2005-05-23,841.256
2005-05-24,844.44
2005-05-25,842.078
2005-05-26,843.594
2005-05-27,853.667
2005-05-30,857.29
2005-05-31,850.227
2005-06-01,847.815
2005-06-02,855.494
2005-06-03,862.359
2005-06-06,861.588
2005-06-07,859.479
2005-06-08,862.398
2005-06-09,857.622
2005-06-10,863.349
2005-06-13,865.07
2005-06-14,867.342
2005-06-15,874.242
2005-06-16,878.164
2005-06-17,885.876
2005-06-20,884.783
2005-06-21,881.873
2005-06-22,889.828
2005-06-23,886.966
2005-06-24,882.212
2005-06-27,880.579
2005-06-28,882.093
2005-06-29,879.951
2005-06-30,879.576
2005-07-01,884.701
2005-07-04,881.326
2005-07-05,877.275
2005-07-06,881.341
2005-07-07,876.862
2005-07-08,879.206
2005-07-11,895.027
2005-07-12,907.596
2005-07-13,909.755
2005-07-14,916.515
2005-07-15,909.287
2005-07-18,911.206
2005-07-19,915.115
2005-07-20,919.499
2005-07-21,926.09
2005-07-22,930.708
2005-07-25,930.186
2005-07-26,923.814
2005-07-27,928.234
2005-07-28,938.365
2005-07-29,941.813
2005-08-01,948.861
2005-08-02,960.855
2005-08-03,966.68
2005-08-04,967.588
2005-08-05,962.949
2005-08-08,963.214
2005-08-09,965.203
2005-08-10,974.292
2005-08-11,975.989
2005-08-12,972.618
2005-08-15,972.138
2005-08-16,967.402
2005-08-17,964.374
2005-08-18,952.46
2005-08-19,946.244
2005-08-22,959.35
2005-08-23,954.986
2005-08-24,946.602
2005-08-25,948.608
2005-08-26,947.572
2005-08-29,939.395
2005-08-30,941.179
2005-08-31,950.291
2005-09-01,967.083
2005-09-02,978.498
2005-09-05,980.036
2005-09-06,982.616
2005-09-07,985.503
2005-09-08,987.789
2005-09-09,994.07
2005-09-12,997.862
2005-09-13,994.386
2005-09-14,997.62
2005-09-15,1001.258
2005-09-16,1004.955
2005-09-19,1009.093
2005-09-20,1016.18
2005-09-21,1021.813
2005-09-22,1013.948
2005-09-23,1006.229
2005-09-26,1013.497
2005-09-27,1017.497
2005-09-28,1021.47
2005-09-29,1030.11
2005-09-30,1038.902
2005-10-03,1039.267
2005-10-04,1042.794
2005-10-05,1025.611
2005-10-06,1001.191
2005-10-07,1002.24
2005-10-10,1009.822
2005-10-11,1015.762
2005-10-12,1000.716
2005-10-13,978.077
2005-10-14,971.764
2005-10-17,977.196
2005-10-18,969.258
2005-10-19,949.429
2005-10-20,952.483
2005-10-21,955.898
2005-10-24,963.822
2005-10-25,963.821
2005-10-26,968.105
2005-10-27,956.198
2005-10-28,952.551
2005-10-31,971.025
2005-11-01,985.494
