Date,EM (EMERGING MARKETS) MID GROWTH Mid Cap
2005-08-31,523.395
2005-09-30,570.873
2005-10-31,532.167
2005-11-30,584.527
2005-12-30,628.362
2006-01-31,686.318
2006-02-28,697.825
2006-03-31,705.475
2006-04-28,754.57
2006-05-31,667.088
2006-06-30,645.651
2006-07-31,658.9
2006-08-31,684.661
2006-09-29,694.209
2006-10-31,738.8
2006-11-30,783.486
2006-12-29,828.392
2007-01-31,822.322
2007-02-28,825.761
2007-03-30,859.471
2007-04-30,922.25
2007-05-31,1000.0
2007-06-29,1026.602
2007-07-31,1062.069
2007-08-31,1020.149
2007-09-28,1134.125
2007-10-31,1265.71
2007-11-30,1157.559
2007-12-31,1172.859
2008-01-31,976.638
2008-02-29,1052.483
2008-03-31,967.712
2008-04-30,1024.532
2008-05-30,1013.737
2008-06-30,878.325
2008-07-31,881.825
2008-08-29,803.662
2008-09-30,643.749
2008-10-31,447.361
2008-11-28,390.794
2008-12-31,435.693
2009-01-30,407.978
2009-02-27,384.168
2009-03-31,440.601
2009-04-30,535.138
2009-05-29,617.517
2009-06-30,619.743
2009-07-31,693.064
2009-08-31,688.842
2009-09-30,749.139
2009-10-30,751.088
2009-11-30,795.111
2009-12-31,836.776
2010-01-29,775.498
2010-02-26,783.727
2010-03-31,835.516
2010-04-30,849.193
2010-05-31,779.147
2010-06-30,786.967
2010-07-30,856.299
2010-08-31,850.139
2010-09-30,950.711
2010-10-29,976.825
2010-11-30,947.665
2010-12-31,970.668
2011-01-31,934.922
2011-02-28,908.623
2011-03-31,965.801
2011-04-29,1006.174
2011-05-31,993.829
2011-06-30,983.643
2011-07-29,990.476
2011-08-31,912.009
2011-09-30,751.774
2011-10-31,840.548
2011-11-30,774.696
2011-12-30,756.919
2012-01-31,831.53
2012-02-29,891.172
2012-03-30,869.071
2012-04-30,857.346
2012-05-31,778.25
2012-06-29,796.151
2012-07-31,805.213
2012-08-31,819.824
2012-09-28,860.715
2012-10-31,856.591
2012-11-30,866.213
2012-12-31,905.606
2013-01-31,901.201
2013-02-28,911.081
2013-03-29,896.532
2013-04-30,914.092
2013-05-31,902.688
2013-06-28,839.086
2013-07-31,852.957
2013-08-30,820.431
2013-09-30,867.35
2013-10-31,909.264
2013-11-29,897.814
2013-12-31,893.735
2014-01-31,836.593
2014-02-28,878.642
2014-03-31,905.993
2014-04-30,911.173
2014-05-30,933.749
2014-06-30,965.138
2014-07-31,969.638
2014-08-29,1000.24
2014-09-30,944.237
2014-10-31,941.533
2014-11-28,927.528
2014-12-31,891.895
2015-01-30,909.173
2015-02-27,928.688
2015-03-31,931.091
2015-04-30,1004.696
2015-05-29,973.617
2015-06-30,947.292
2015-07-31,914.462
2015-08-31,841.135
2015-09-30,819.209
2015-10-30,869.594
2015-11-30,850.558
2015-12-31,836.486
2016-01-29,793.532
2016-02-29,779.869
2016-03-31,864.362
2016-04-29,871.441
2016-05-31,848.354
2016-06-30,877.587
2016-07-29,921.086
2016-08-31,931.615
2016-09-30,937.152
2016-10-31,936.505
2016-11-30,869.176
2016-12-30,861.323
2017-01-31,913.377
2017-02-28,947.134
2017-03-31,980.275
2017-04-28,1009.713
2017-05-31,1039.406
2017-06-30,1039.049
2017-07-31,1094.631
2017-08-31,1121.041
2017-09-29,1122.765
2017-10-31,1131.294
2017-11-30,1151.731
2017-12-29,1215.112
2018-01-31,1297.923
2018-02-28,1239.939
2018-03-30,1248.776
2018-04-30,1235.397
2018-05-31,1207.351
2018-06-29,1147.364
2018-07-31,1149.428
2018-08-31,1126.818
2018-09-28,1104.359
2018-10-31,1018.256
2018-11-30,1082.642
2018-12-31,1075.603
2019-01-31,1145.121
2019-02-28,1143.399
2019-03-29,1141.093
2019-04-30,1165.46
2019-05-31,1111.11
2019-06-28,1176.016
2019-07-31,1165.43
2019-08-30,1111.901
2019-09-30,1124.63
2019-10-31,1177.18
2019-11-29,1156.235
2019-12-31,1243.784
2020-01-31,1211.98
2020-02-28,1103.33
2020-03-31,862.962
2020-04-30,995.3
2020-05-29,1045.221
2020-06-30,1118.205
2020-07-31,1232.425
2020-08-31,1252.184
2020-09-30,1209.059
2020-10-30,1179.111
2020-11-30,1303.038
2020-12-31,1419.702
2021-01-29,1396.319
2021-02-26,1394.012
2021-03-31,1405.515
2021-04-30,1473.256
2021-05-31,1525.556
2021-06-30,1584.528
2021-07-30,1499.887
2021-08-31,1544.672
2021-09-30,1463.157
2021-10-29,1461.042
2021-11-30,1433.534
2021-12-31,1449.2
2022-01-31,1371.01
2022-02-28,1361.185
2022-03-31,1362.096
2022-04-29,1257.152
2022-05-31,1271.681
2022-06-30,1159.013
2022-07-29,1173.232
2022-08-31,1185.003
2022-09-30,1044.328
2022-10-31,1074.325
2022-11-30,1175.867
2022-12-30,1160.82
2023-01-31,1218.688
2023-02-28,1168.799
2023-03-31,1192.829
2023-04-28,1206.332
2023-05-31,1184.286
2023-06-30,1230.824
2023-07-31,1301.885
2023-08-31,1242.918
2023-09-29,1206.087
2023-10-31,1147.201
2023-11-30,1255.81
2023-12-29,1302.714
2024-01-31,1245.915
2024-02-29,1311.043
2024-03-29,1310.087
2024-04-30,1303.065
2024-05-31,1294.188
2024-06-28,1325.17
2024-07-31,1341.651
2024-08-30,1361.072
2024-09-30,1444.378
2024-10-31,1366.677
2024-11-29,1330.96
2024-12-31,1320.367
2025-01-31,1345.798
2025-02-28,1345.392
2025-03-31,1365.134
2025-04-30,1426.462
2025-05-30,1490.358
2025-06-30,1611.757
2025-07-31,1626.589
2025-08-29,1670.454
2025-09-30,1734.734
2025-10-31,1769.799
