Date,DENMARK IMI VALUE IMI (Large+Mid+Small Cap)
2024-07-31,1376.761
2024-08-30,1354.267
2024-09-30,1406.589
2024-10-31,1313.601
2024-11-29,1304.377
2024-12-31,1280.508
2025-01-31,1292.747
2025-02-28,1414.708
2025-03-31,1456.603
2025-04-30,1508.889
2025-05-30,1627.142
