Date,NEW ZEALAND SMID CAP SMID (Small+Mid Cap)
2003-08-29,364.241
2003-09-30,384.308
2003-10-31,409.68
2003-11-28,424.803
2003-12-31,453.287
2004-01-30,459.446
2004-02-27,459.28
2004-03-31,475.531
2004-04-30,461.695
2004-05-31,458.849
2004-06-30,475.78
2004-07-30,491.122
2004-08-31,504.98
2004-09-30,537.626
2004-10-29,539.481
2004-11-30,599.579
2004-12-31,624.969
2005-01-31,615.474
2005-02-28,653.801
2005-03-31,606.184
2005-04-29,600.917
2005-05-31,590.631
2005-06-30,636.373
2005-07-29,645.361
2005-08-31,652.151
2005-09-30,680.331
2005-10-31,649.938
2005-11-30,653.703
2005-12-30,643.624
2006-01-31,645.204
2006-02-28,644.782
2006-03-31,655.28
2006-04-28,693.333
2006-05-31,697.83
2006-06-30,678.979
2006-07-31,682.231
2006-08-31,694.045
2006-09-29,713.654
2006-10-31,766.519
2006-11-30,812.474
2006-12-29,880.793
2007-01-31,882.847
2007-02-28,874.012
2007-03-30,918.198
2007-04-30,975.813
2007-05-31,1000.0
2007-06-29,1051.299
2007-07-31,1042.922
2007-08-31,912.273
2007-09-28,1039.258
2007-10-31,1034.508
2007-11-30,996.387
2007-12-31,997.255
2008-01-31,924.555
2008-02-29,910.571
2008-03-31,858.409
2008-04-30,879.861
2008-05-30,879.299
2008-06-30,752.377
2008-07-31,762.961
2008-08-29,733.693
2008-09-30,640.667
2008-10-31,509.943
2008-11-28,466.843
2008-12-31,494.321
2009-01-30,447.169
2009-02-27,402.131
2009-03-31,467.565
2009-04-30,496.939
2009-05-29,555.065
2009-06-30,568.914
2009-07-31,624.596
2009-08-31,664.861
2009-09-30,714.726
2009-10-30,722.516
2009-11-30,693.084
2009-12-31,727.393
2010-01-29,689.903
2010-02-26,680.915
2010-03-31,708.207
2010-04-30,737.493
2010-05-31,637.119
2010-06-30,632.857
2010-07-30,677.729
2010-08-31,657.718
2010-09-30,721.059
2010-10-29,777.753
2010-11-30,751.692
2010-12-31,800.322
2011-01-31,799.235
2011-02-28,781.393
2011-03-31,810.897
2011-04-29,877.253
2011-05-31,909.597
2011-06-30,890.562
2011-07-29,935.063
2011-08-31,895.053
2011-09-30,817.699
2011-10-31,844.084
2011-11-30,795.412
2011-12-30,809.268
2012-01-31,862.071
2012-02-29,885.621
2012-03-30,921.976
2012-04-30,928.647
2012-05-31,836.561
2012-06-29,864.375
2012-07-31,909.73
2012-08-31,927.186
2012-09-28,1005.077
2012-10-31,1023.826
2012-11-30,1039.462
2012-12-31,1048.088
2013-01-31,1125.945
2013-02-28,1121.112
2013-03-29,1147.073
2013-04-30,1217.3
2013-05-31,1098.046
2013-06-28,1054.055
2013-07-31,1104.659
2013-08-30,1073.559
2013-09-30,1218.935
2013-10-31,1253.988
2013-11-29,1198.358
2013-12-31,1196.126
2014-01-31,1211.65
2014-02-28,1285.842
2014-03-31,1373.374
2014-04-30,1391.121
2014-05-30,1354.453
2014-06-30,1379.965
2014-07-31,1343.214
2014-08-29,1342.224
2014-09-30,1264.44
2014-10-31,1298.537
2014-11-28,1316.77
2014-12-31,1353.967
2015-01-30,1300.072
2015-02-27,1385.154
2015-03-31,1358.217
2015-04-30,1371.643
2015-05-29,1295.273
2015-06-30,1197.282
2015-07-31,1218.839
2015-08-31,1114.916
2015-09-30,1107.956
2015-10-30,1259.469
2015-11-30,1243.753
2015-12-31,1337.137
2016-01-29,1233.17
2016-02-29,1276.025
2016-03-31,1461.307
2016-04-29,1487.526
2016-05-31,1487.914
2016-06-30,1538.765
2016-07-29,1669.923
2016-08-31,1686.679
2016-09-30,1677.315
2016-10-31,1552.867
2016-11-30,1524.291
2016-12-30,1491.266
2017-01-31,1610.425
2017-02-28,1612.093
2017-03-31,1563.995
2017-04-28,1583.923
2017-05-31,1648.389
2017-06-30,1746.979
2017-07-31,1797.851
2017-08-31,1752.689
2017-09-29,1790.492
2017-10-31,1737.778
2017-11-30,1748.238
2017-12-29,1860.559
2018-01-31,1951.599
2018-02-28,1896.451
2018-03-30,1880.094
2018-04-30,1864.503
2018-05-31,1900.737
2018-06-29,1908.122
2018-07-31,1908.788
2018-08-31,1951.13
2018-09-28,1944.442
2018-10-31,1792.644
2018-11-30,1902.278
2018-12-31,1860.136
2019-01-31,1961.552
2019-02-28,2004.942
2019-03-29,2123.543
2019-04-30,2110.262
2019-05-31,2071.587
2019-06-28,2215.107
2019-07-31,2258.471
2019-08-30,2146.263
2019-09-30,2159.299
2019-10-31,2172.106
2019-11-29,2310.188
2019-12-31,2439.769
2020-01-31,2408.765
2020-02-28,2237.176
2020-03-31,1881.598
2020-04-30,2106.447
2020-05-29,2170.777
2020-06-30,2323.877
2020-07-31,2450.6
2020-08-31,2512.397
2020-09-30,2451.268
2020-10-30,2488.775
2020-11-30,2827.187
2020-12-31,2988.621
2021-01-29,2967.889
2021-02-26,2787.559
2021-03-31,2709.85
2021-04-30,2738.585
2021-05-31,2714.897
2021-06-30,2676.227
2021-07-30,2642.449
2021-08-31,2763.559
2021-09-30,2732.924
2021-10-29,2812.407
2021-11-30,2533.53
2021-12-31,2589.361
2022-01-31,2256.926
2022-02-28,2376.243
2022-03-31,2437.014
2022-04-29,2226.718
2022-05-31,2140.287
2022-06-30,1982.116
2022-07-29,2108.579
2022-08-31,2106.67
2022-09-30,1854.313
2022-10-31,1953.227
2022-11-30,2140.124
2022-12-30,2178.445
2023-01-31,2328.031
2023-02-28,2221.329
2023-03-31,2256.754
2023-04-28,2254.815
2023-05-31,2148.205
2023-06-30,2207.532
2023-07-31,2270.05
2023-08-31,2076.148
2023-09-29,2045.597
2023-10-31,1901.843
2023-11-30,2124.578
2023-12-29,2254.66
2024-01-31,2200.572
2024-02-29,2146.713
2024-03-29,2150.512
2024-04-30,2133.618
2024-05-31,2204.386
2024-06-28,2169.785
2024-07-31,2189.312
2024-08-30,2321.535
2024-09-30,2340.551
2024-10-31,2232.134
2024-11-29,2299.358
2024-12-31,2192.603
2025-01-31,2178.849
2025-02-28,2041.421
2025-03-31,2010.579
2025-04-30,2050.622
2025-05-30,2129.244
2025-06-30,2199.242
2025-07-31,2190.838
2025-08-29,2162.545
2025-09-30,2179.16
2025-10-31,2176.529
