Date,UNITED KINGDOM SMID GROWTH SMID (Small+Mid Cap)
2020-03-31,1091.263
2020-04-30,1229.214
2020-05-29,1316.718
2020-06-30,1306.601
2020-07-31,1379.096
2020-08-31,1486.542
2020-09-30,1439.317
2020-10-30,1394.415
2020-11-30,1548.404
2020-12-31,1677.789
2021-01-29,1673.91
2021-02-26,1709.45
2021-03-31,1736.833
2021-04-30,1851.398
2021-05-31,1905.695
2021-06-30,1854.999
2021-07-30,1924.697
2021-08-31,1983.738
2021-09-30,1887.329
2021-10-29,1948.805
2021-11-30,1840.123
2021-12-31,1958.863
2022-01-31,1738.708
2022-02-28,1687.981
2022-03-31,1618.505
2022-04-29,1494.613
2022-05-31,1448.278
2022-06-30,1285.396
2022-07-29,1417.572
2022-08-31,1263.621
2022-09-30,1102.828
2022-10-31,1184.12
2022-11-30,1319.816
2022-12-30,1290.614
2023-01-31,1417.349
2023-02-28,1409.667
2023-03-31,1428.738
2023-04-28,1508.912
2023-05-31,1438.225
2023-06-30,1479.084
2023-07-31,1570.223
2023-08-31,1513.451
2023-09-29,1424.03
2023-10-31,1315.338
2023-11-30,1477.033
2023-12-29,1593.787
2024-01-31,1569.169
2024-02-29,1603.598
2024-03-29,1640.65
2024-04-30,1572.167
2024-05-31,1652.796
2024-06-28,1620.559
2024-07-31,1718.731
2024-08-30,1730.134
2024-09-30,1752.146
2024-10-31,1626.248
2024-11-29,1687.589
2024-12-31,1635.39
2025-01-31,1692.71
2025-02-28,1674.398
2025-03-31,1618.974
2025-04-30,1719.426
2025-05-30,1842.672
2025-06-30,1909.906
2025-07-31,1881.59
2025-08-29,1913.862
