Date,SWEDEN VALUE Standard (Large+Mid Cap)
2003-02-12,3574.389
2003-02-13,3578.654
2003-02-14,3606.649
2003-02-17,3713.997
2003-02-18,3713.217
2003-02-19,3728.257
2003-02-20,3664.68
2003-02-21,3618.642
2003-02-24,3568.994
2003-02-25,3473.227
2003-02-26,3445.171
2003-02-27,3441.208
2003-02-28,3482.698
2003-03-03,3488.9
2003-03-04,3431.997
2003-03-05,3421.869
2003-03-06,3383.511
2003-03-07,3355.901
2003-03-10,3318.033
2003-03-11,3226.35
2003-03-12,3198.252
2003-03-13,3310.909
2003-03-14,3459.668
2003-03-17,3618.188
2003-03-18,3547.59
2003-03-19,3600.474
2003-03-20,3617.437
2003-03-21,3677.597
2003-03-24,3590.119
2003-03-25,3595.834
2003-03-26,3596.274
2003-03-27,3553.154
2003-03-28,3560.443
2003-03-31,3451.279
2003-04-01,3490.066
2003-04-02,3599.199
2003-04-03,3607.111
2003-04-04,3610.277
2003-04-07,3762.871
2003-04-08,3735.072
2003-04-09,3728.329
2003-04-10,3696.906
2003-04-11,3684.067
2003-04-14,3694.305
2003-04-15,3779.861
2003-04-16,3817.976
2003-04-17,3850.412
2003-04-18,3850.412
2003-04-21,3838.64
2003-04-22,3880.486
2003-04-23,3951.258
2003-04-24,3972.275
2003-04-25,3929.716
2003-04-28,4053.502
2003-04-29,4246.521
2003-04-30,4324.122
2003-05-01,4366.858
2003-05-02,4386.915
2003-05-05,4444.637
2003-05-06,4496.993
2003-05-07,4329.833
2003-05-08,4206.998
2003-05-09,4289.929
2003-05-12,4328.865
2003-05-13,4406.512
2003-05-14,4338.178
2003-05-15,4349.545
2003-05-16,4384.769
2003-05-19,4298.498
2003-05-20,4220.54
2003-05-21,4216.288
2003-05-22,4249.71
2003-05-23,4293.571
2003-05-26,4267.515
2003-05-27,4339.126
2003-05-28,4434.2
2003-05-29,4455.233
2003-05-30,4497.904
2003-06-02,4529.856
2003-06-03,4475.394
2003-06-04,4521.866
2003-06-05,4569.42
2003-06-06,4603.967
2003-06-09,4619.96
2003-06-10,4599.169
2003-06-11,4703.618
2003-06-12,4763.64
2003-06-13,4677.712
2003-06-16,4751.441
2003-06-17,4817.467
2003-06-18,4788.781
2003-06-19,4736.992
2003-06-20,4708.393
2003-06-23,4585.87
2003-06-24,4490.785
2003-06-25,4530.111
2003-06-26,4495.522
2003-06-27,4550.199
2003-06-30,4546.318
2003-07-01,4492.365
2003-07-02,4556.466
2003-07-03,4651.723
2003-07-04,4639.479
2003-07-07,4724.117
2003-07-08,4728.641
2003-07-09,4681.549
2003-07-10,4630.503
2003-07-11,4633.931
2003-07-14,4720.681
2003-07-15,4765.093
2003-07-16,4709.408
2003-07-17,4642.306
2003-07-18,4741.163
2003-07-21,4792.266
2003-07-22,4759.43
2003-07-23,4811.827
2003-07-24,4932.422
2003-07-25,4932.251
2003-07-28,5047.479
2003-07-29,5007.279
2003-07-30,4990.787
2003-07-31,4968.612
2003-08-01,4946.101
2003-08-04,4989.701
2003-08-05,5044.025
2003-08-06,4930.255
2003-08-07,4938.112
2003-08-08,4906.887
2003-08-11,4889.97
2003-08-12,4988.301
2003-08-13,5067.953
2003-08-14,5074.599
2003-08-15,5038.804
2003-08-18,5091.182
2003-08-19,5145.989
2003-08-20,5219.365
2003-08-21,5205.27
2003-08-22,5114.244
2003-08-25,5060.986
2003-08-26,4964.212
2003-08-27,5049.843
2003-08-28,5078.36
2003-08-29,5108.06
2003-09-01,5209.494
2003-09-02,5203.538
2003-09-03,5307.272
2003-09-04,5338.964
2003-09-05,5407.402
2003-09-08,5442.807
2003-09-09,5412.293
2003-09-10,5327.654
2003-09-11,5387.436
2003-09-12,5445.183
2003-09-15,5413.134
2003-09-16,5458.289
2003-09-17,5496.434
2003-09-18,5517.779
2003-09-19,5479.658
2003-09-22,5411.299
2003-09-23,5426.354
2003-09-24,5391.705
2003-09-25,5349.763
2003-09-26,5343.852
2003-09-29,5332.916
2003-09-30,5230.906
2003-10-01,5305.523
2003-10-02,5326.906
2003-10-03,5501.849
2003-10-06,5557.677
2003-10-07,5611.567
2003-10-08,5651.775
2003-10-09,5678.006
2003-10-10,5647.359
2003-10-13,5706.15
2003-10-14,5793.556
2003-10-15,5872.754
2003-10-16,5803.942
2003-10-17,5784.13
2003-10-20,5757.642
2003-10-21,5695.4
2003-10-22,5616.779
2003-10-23,5662.493
2003-10-24,5721.717
2003-10-27,5784.671
2003-10-28,5800.651
2003-10-29,5847.041
2003-10-30,5843.613
2003-10-31,5787.994
2003-11-03,5767.307
2003-11-04,5763.354
2003-11-05,5693.557
2003-11-06,5748.099
2003-11-07,5840.674
2003-11-10,5807.613
2003-11-11,5746.234
2003-11-12,5879.775
2003-11-13,5988.435
2003-11-14,6079.201
2003-11-17,5911.724
2003-11-18,5912.1
2003-11-19,5850.935
2003-11-20,5811.203
2003-11-21,5835.166
2003-11-24,5865.603
2003-11-25,5882.862
2003-11-26,5893.756
2003-11-27,5957.257
2003-11-28,5955.102
2003-12-01,6005.929
2003-12-02,6082.106
2003-12-03,6149.369
2003-12-04,6176.846
2003-12-05,6214.418
2003-12-08,6217.739
2003-12-09,6207.026
2003-12-10,6177.57
2003-12-11,6129.835
2003-12-12,6230.878
2003-12-15,6299.402
2003-12-16,6230.79
2003-12-17,6164.712
2003-12-18,6168.778
2003-12-19,6174.655
2003-12-22,6226.002
2003-12-23,6330.5
2003-12-24,6336.133
2003-12-25,6336.133
2003-12-26,6328.726
2003-12-29,6444.71
2003-12-30,6455.706
2003-12-31,6495.228
2004-01-01,6495.228
2004-01-02,6578.056
2004-01-05,6612.83
2004-01-06,6616.343
2004-01-07,6524.692
2004-01-08,6586.549
2004-01-09,6689.272
2004-01-12,6673.912
2004-01-13,6682.757
2004-01-14,6633.855
2004-01-15,6624.301
2004-01-16,6572.219
2004-01-19,6593.225
2004-01-20,6632.421
2004-01-21,6678.561
2004-01-22,6800.641
2004-01-23,6767.323
2004-01-26,6717.809
2004-01-27,6732.052
2004-01-28,6701.628
2004-01-29,6480.708
2004-01-30,6554.448
2004-02-02,6551.841
2004-02-03,6569.182
2004-02-04,6523.416
2004-02-05,6585.729
2004-02-06,6825.278
2004-02-09,6881.265
2004-02-10,6956.093
2004-02-11,7015.11
2004-02-12,6981.442
2004-02-13,6893.424
2004-02-16,6902.498
2004-02-17,6988.328
2004-02-18,6985.422
2004-02-19,6978.7
2004-02-20,6874.626
2004-02-23,6901.789
2004-02-24,6839.667
2004-02-25,6764.921
2004-02-26,6742.341
2004-02-27,6729.486
2004-03-01,6811.433
2004-03-02,6804.501
2004-03-03,6777.162
2004-03-04,6787.829
2004-03-05,6960.688
2004-03-08,6981.82
2004-03-09,6912.717
2004-03-10,6784.215
2004-03-11,6587.458
2004-03-12,6557.698
2004-03-15,6527.605
2004-03-16,6577.308
2004-03-17,6593.097
2004-03-18,6576.827
2004-03-19,6603.83
2004-03-22,6444.843
2004-03-23,6501.375
2004-03-24,6371.882
2004-03-25,6480.503
2004-03-26,6476.103
2004-03-29,6626.154
2004-03-30,6617.113
2004-03-31,6703.764
2004-04-01,6908.909
2004-04-02,6874.795
2004-04-05,6912.426
2004-04-06,6915.166
2004-04-07,6988.764
2004-04-08,6999.154
2004-04-09,6999.154
2004-04-12,6963.525
2004-04-13,6899.136
2004-04-14,6840.208
2004-04-15,6785.381
2004-04-16,6882.637
2004-04-19,6921.866
2004-04-20,6973.753
2004-04-21,6870.149
2004-04-22,6976.083
2004-04-23,6888.977
2004-04-26,6909.81
2004-04-27,6945.461
2004-04-28,6825.023
2004-04-29,6804.001
2004-04-30,6740.553
2004-05-03,6779.987
2004-05-04,6848.613
2004-05-05,7006.987
2004-05-06,6784.301
2004-05-07,6703.789
2004-05-10,6354.111
2004-05-11,6433.927
2004-05-12,6390.476
2004-05-13,6554.269
2004-05-14,6512.079
2004-05-17,6483.772
2004-05-18,6512.339
2004-05-19,6704.195
2004-05-20,6654.653
2004-05-21,6655.531
2004-05-24,6666.433
2004-05-25,6650.502
2004-05-26,6707.779
2004-05-27,6883.618
