Date,SINGAPORE SMID GROWTH SMID (Small+Mid Cap)
2006-06-30,646.175
2006-07-31,649.805
2006-08-31,674.818
2006-09-29,690.569
2006-10-31,733.559
2006-11-30,779.431
2006-12-29,814.41
2007-01-31,879.355
2007-02-28,888.991
2007-03-30,943.207
2007-04-30,989.203
2007-05-31,1000.0
2007-06-29,1098.865
2007-07-31,1090.327
2007-08-31,1047.52
2007-09-28,1200.34
2007-10-31,1338.385
2007-11-30,1239.241
2007-12-31,1242.565
2008-01-31,1039.52
2008-02-29,1086.223
2008-03-31,1020.16
2008-04-30,1101.476
2008-05-30,1155.626
2008-06-30,1063.223
2008-07-31,989.773
2008-08-29,870.156
2008-09-30,706.534
2008-10-31,479.697
2008-11-28,445.574
2008-12-31,510.125
2009-01-30,487.249
2009-02-27,436.013
2009-03-31,485.813
2009-04-30,566.331
2009-05-29,749.448
2009-06-30,753.896
2009-07-31,869.657
2009-08-31,899.978
2009-09-30,959.992
2009-10-30,981.515
2009-11-30,1001.717
2009-12-31,1065.663
2010-01-29,1022.143
2010-02-26,1033.88
2010-03-31,1099.647
2010-04-30,1168.262
2010-05-31,1044.328
2010-06-30,1096.698
2010-07-30,1199.978
2010-08-31,1175.057
2010-09-30,1282.862
2010-10-29,1349.109
2010-11-30,1354.033
2010-12-31,1454.556
2011-01-31,1417.999
2011-02-28,1331.375
2011-03-31,1396.157
2011-04-29,1471.808
2011-05-31,1426.172
2011-06-30,1382.536
2011-07-29,1417.549
2011-08-31,1271.006
2011-09-30,1040.267
2011-10-31,1178.303
2011-11-30,1099.571
2011-12-30,1070.785
2012-01-31,1220.629
2012-02-29,1267.531
2012-03-30,1259.81
2012-04-30,1245.831
2012-05-31,1104.013
2012-06-29,1190.318
2012-07-31,1279.289
2012-08-31,1311.497
2012-09-28,1398.01
2012-10-31,1399.266
2012-11-30,1406.469
2012-12-31,1435.78
2013-01-31,1497.987
2013-02-28,1497.381
2013-03-29,1516.733
2013-04-30,1518.301
2013-05-31,1462.564
2013-06-28,1404.272
2013-07-31,1442.92
2013-08-30,1377.141
2013-09-30,1532.826
2013-10-31,1424.179
2013-11-29,1395.134
2013-12-31,1386.081
2014-01-31,1306.259
2014-02-28,1339.587
2014-03-31,1375.768
2014-04-30,1443.155
2014-05-30,1497.821
2014-06-30,1517.083
2014-07-31,1531.7
2014-08-29,1510.338
2014-09-30,1442.709
2014-10-31,1408.844
2014-11-28,1381.005
2014-12-31,1340.86
2015-01-30,1343.814
2015-02-27,1325.233
2015-03-31,1304.748
2015-04-30,1392.475
2015-05-29,1326.096
2015-06-30,1289.874
2015-07-31,1211.492
2015-08-31,1082.539
2015-09-30,1052.073
2015-10-30,1125.639
2015-11-30,1096.551
2015-12-31,1096.161
2016-01-29,1025.108
2016-02-29,1083.287
2016-03-31,1184.784
2016-04-29,1186.97
2016-05-31,1145.506
2016-06-30,1181.171
2016-07-29,1205.577
2016-08-31,1191.826
2016-09-30,1210.689
2016-10-31,1152.708
2016-11-30,1134.445
2016-12-30,1107.767
2017-01-31,1196.167
2017-02-28,1222.632
2017-03-31,1250.309
2017-04-28,1279.574
2017-05-31,1296.899
2017-06-30,1300.52
2017-07-31,1338.364
2017-08-31,1340.892
2017-09-29,1332.781
2017-10-31,1379.825
2017-11-30,1387.493
2017-12-29,1398.204
2018-01-31,1523.159
2018-02-28,1480.699
2018-03-30,1505.7
2018-04-30,1468.941
2018-05-31,1430.876
2018-06-29,1341.729
2018-07-31,1359.629
2018-08-31,1339.441
2018-09-28,1369.2
2018-10-31,1268.049
2018-11-30,1301.249
2018-12-31,1275.594
2019-01-31,1392.06
2019-02-28,1406.263
2019-03-29,1406.478
2019-04-30,1428.092
2019-05-31,1361.427
2019-06-28,1479.173
2019-07-31,1446.226
2019-08-30,1403.978
2019-09-30,1426.028
2019-10-31,1499.575
2019-11-29,1497.135
2019-12-31,1537.592
2020-01-31,1503.006
2020-02-28,1401.268
2020-03-31,1149.724
2020-04-30,1267.77
2020-05-29,1253.964
2020-06-30,1283.343
2020-07-31,1341.2
2020-08-31,1351.997
2020-09-30,1342.553
2020-10-30,1281.275
2020-11-30,1416.976
2020-12-31,1462.34
2021-01-29,1475.099
2021-02-26,1464.394
2021-03-31,1493.265
2021-04-30,1521.675
2021-05-31,1504.031
2021-06-30,1482.603
2021-07-30,1514.075
2021-08-31,1466.933
2021-09-30,1439.546
2021-10-29,1469.984
2021-11-30,1408.256
2021-12-31,1450.127
2022-01-31,1382.741
2022-02-28,1395.844
2022-03-31,1476.764
2022-04-29,1442.499
2022-05-31,1432.017
2022-06-30,1356.982
2022-07-29,1405.686
2022-08-31,1376.006
2022-09-30,1251.276
2022-10-31,1201.878
2022-11-30,1332.705
2022-12-30,1362.726
2023-01-31,1477.287
2023-02-28,1400.402
2023-03-31,1459.003
2023-04-28,1464.998
2023-05-31,1430.117
2023-06-30,1466.999
2023-07-31,1538.548
2023-08-31,1484.757
2023-09-29,1431.988
2023-10-31,1326.458
2023-11-30,1417.558
2023-12-29,1514.803
2024-01-31,1446.835
2024-02-29,1417.966
2024-03-29,1432.455
2024-04-30,1434.327
2024-05-31,1487.436
2024-06-28,1450.719
2024-07-31,1511.336
2024-08-30,1550.537
2024-09-30,1674.976
2024-10-31,1621.81
2024-11-29,1664.106
2024-12-31,1672.836
2025-01-31,1665.983
2025-02-28,1672.417
2025-03-31,1694.32
2025-04-30,1772.297
2025-05-30,1813.204
2025-06-30,1883.148
2025-07-31,1971.527
2025-08-29,2012.522
2025-09-30,2140.041
2025-10-31,2150.137
2025-11-28,2099.158
2025-12-31,2098.326
2026-01-30,2178.916
