Date,JAPAN SMID CAP SMID (Small+Mid Cap)
2021-10-29,1763.511
2021-11-30,1676.588
2021-12-31,1701.752
2022-01-31,1607.857
2022-02-28,1625.51
2022-03-31,1584.648
2022-04-29,1449.378
2022-05-31,1473.602
2022-06-30,1387.397
2022-07-29,1457.634
2022-08-31,1435.509
2022-09-30,1308.101
2022-10-31,1316.643
2022-11-30,1442.392
2022-12-30,1464.259
2023-01-31,1530.161
2023-02-28,1482.87
2023-03-31,1530.091
2023-04-28,1540.949
2023-05-31,1531.285
2023-06-30,1562.007
2023-07-31,1627.995
2023-08-31,1615.24
2023-09-29,1576.242
2023-10-31,1502.019
2023-11-30,1609.313
2023-12-29,1688.111
2024-01-31,1721.036
2024-02-29,1725.87
2024-03-29,1790.686
2024-04-30,1701.658
2024-05-31,1711.269
2024-06-28,1678.428
2024-07-31,1806.606
2024-08-30,1830.652
2024-09-30,1859.567
2024-10-31,1745.579
2024-11-29,1756.33
2024-12-31,1728.219
2025-01-31,1756.809
2025-02-28,1767.036
2025-03-31,1794.491
2025-04-30,1878.051
2025-05-30,1929.806
2025-06-30,1987.407
2025-07-31,1974.957
2025-08-29,2121.788
2025-09-30,2152.336
2025-10-31,2128.302
2025-11-28,2179.858
