Date,AUSTRIA IMI GROWTH IMI (Large+Mid+Small Cap)
2019-01-31,423.04
2019-02-28,424.113
2019-03-29,405.939
2019-04-30,439.616
2019-05-31,400.148
2019-06-28,424.625
2019-07-31,421.216
2019-08-30,423.175
2019-09-30,430.114
2019-10-31,452.39
2019-11-29,437.867
2019-12-31,449.914
2020-01-31,454.207
2020-02-28,402.042
2020-03-31,280.975
2020-04-30,331.507
2020-05-29,339.111
2020-06-30,338.603
2020-07-31,361.015
2020-08-31,370.611
2020-09-30,361.808
2020-10-30,372.294
2020-11-30,462.193
2020-12-31,550.821
2021-01-29,584.438
2021-02-26,537.856
2021-03-31,538.306
2021-04-30,591.6
2021-05-31,630.898
2021-06-30,610.775
2021-07-30,631.889
2021-08-31,678.397
2021-09-30,609.101
2021-10-29,623.245
2021-11-30,603.359
2021-12-31,649.94
2022-01-31,630.898
2022-02-28,592.236
2022-03-31,572.298
2022-04-29,534.553
2022-05-31,543.62
2022-06-30,517.68
2022-07-29,559.744
2022-08-31,498.567
2022-09-30,426.375
2022-10-31,398.876
2022-11-30,458.131
2022-12-30,433.254
2023-01-31,453.954
2023-02-28,462.17
2023-03-31,450.72
2023-04-28,463.035
2023-05-31,417.847
2023-06-30,449.863
2023-07-31,468.866
2023-08-31,445.222
2023-09-29,430.081
2023-10-31,442.89
2023-11-30,493.567
2023-12-29,502.004
2024-01-31,454.353
2024-02-29,421.907
2024-03-29,429.225
2024-04-30,439.917
2024-05-31,479.245
2024-06-28,471.531
2024-07-31,477.755
2024-08-30,497.766
2024-09-30,464.23
2024-10-31,442.127
2024-11-29,435.959
2024-12-31,412.665
2025-01-31,435.677
2025-02-28,439.311
2025-03-31,404.725
2025-04-30,429.083
2025-05-30,457.414
2025-06-30,460.024
2025-07-31,456.853
2025-08-29,463.671
