Date,HONG KONG LARGE GROWTH Large Cap
2003-01-02,430.81
2003-01-03,438.051
2003-01-06,439.482
2003-01-07,436.992
2003-01-08,438.288
2003-01-09,439.165
2003-01-10,441.576
2003-01-13,444.574
2003-01-14,442.578
2003-01-15,446.748
2003-01-16,443.503
2003-01-17,436.495
2003-01-20,433.728
2003-01-21,432.563
2003-01-22,433.308
2003-01-23,434.909
2003-01-24,432.039
2003-01-27,427.589
2003-01-28,429.11
2003-01-29,425.558
2003-01-30,426.911
2003-01-31,426.917
2003-02-03,426.911
2003-02-04,424.081
2003-02-05,421.342
2003-02-06,420.192
2003-02-07,422.341
2003-02-10,424.897
2003-02-11,423.927
2003-02-12,429.809
2003-02-13,424.033
2003-02-14,424.011
2003-02-17,431.046
2003-02-18,432.161
2003-02-19,432.642
2003-02-20,431.527
2003-02-21,426.042
2003-02-24,425.728
2003-02-25,422.451
2003-02-26,421.57
2003-02-27,422.096
2003-02-28,423.985
2003-03-03,428.628
2003-03-04,424.201
2003-03-05,424.033
2003-03-06,419.045
2003-03-07,415.403
2003-03-10,410.407
2003-03-11,411.743
2003-03-12,411.513
2003-03-13,408.004
2003-03-14,414.481
2003-03-17,410.133
2003-03-18,414.95
2003-03-19,423.59
2003-03-20,423.32
2003-03-21,421.977
2003-03-24,419.454
2003-03-25,419.283
2003-03-26,419.07
2003-03-27,412.453
2003-03-28,412.885
2003-03-31,402.115
2003-04-01,401.656
2003-04-02,405.119
2003-04-03,400.536
2003-04-04,409.053
2003-04-07,412.919
2003-04-08,406.95
2003-04-09,397.074
2003-04-10,396.784
2003-04-11,399.271
2003-04-14,390.84
2003-04-15,395.598
2003-04-16,396.127
2003-04-17,391.257
2003-04-18,391.257
2003-04-21,391.252
2003-04-22,388.833
2003-04-23,385.658
2003-04-24,387.327
2003-04-25,387.141
2003-04-28,389.419
2003-04-29,402.916
2003-04-30,396.026
2003-05-01,396.031
2003-05-02,401.722
2003-05-05,406.433
2003-05-06,405.147
2003-05-07,404.995
2003-05-08,404.995
2003-05-09,411.62
2003-05-12,417.282
2003-05-13,417.807
2003-05-14,417.57
2003-05-15,417.632
2003-05-16,416.208
2003-05-19,414.053
2003-05-20,413.1
2003-05-21,413.327
2003-05-22,415.821
2003-05-23,422.292
2003-05-26,428.983
2003-05-27,425.343
2003-05-28,426.884
2003-05-29,425.991
2003-05-30,425.201
2003-06-02,429.302
2003-06-03,426.454
2003-06-04,426.443
2003-06-05,421.862
2003-06-06,423.54
2003-06-09,426.606
2003-06-10,428.497
2003-06-11,429.363
2003-06-12,429.498
2003-06-13,431.577
2003-06-16,430.099
2003-06-17,431.918
2003-06-18,432.253
2003-06-19,431.55
2003-06-20,432.013
2003-06-23,426.408
2003-06-24,424.62
2003-06-25,425.32
2003-06-26,425.342
2003-06-27,427.8
2003-06-30,425.778
2003-07-01,425.761
2003-07-02,428.666
2003-07-03,424.714
2003-07-04,424.423
2003-07-07,430.614
2003-07-08,427.814
2003-07-09,427.355
2003-07-10,427.626
2003-07-11,426.291
2003-07-14,431.244
2003-07-15,427.718
2003-07-16,427.875
2003-07-17,426.453
2003-07-18,427.805
2003-07-21,426.804
2003-07-22,426.404
2003-07-23,426.791
2003-07-24,425.624
2003-07-25,427.109
2003-07-28,428.888
2003-07-29,428.812
2003-07-30,431.338
2003-07-31,433.395
2003-08-01,433.942
2003-08-04,431.524
2003-08-05,435.307
2003-08-06,430.918
2003-08-07,432.59
2003-08-08,431.297
2003-08-11,435.066
2003-08-12,436.904
2003-08-13,440.229
2003-08-14,442.147
2003-08-15,439.383
2003-08-18,444.41
2003-08-19,443.24
2003-08-20,444.496
2003-08-21,447.244
2003-08-22,447.566
2003-08-25,449.503
2003-08-26,451.211
2003-08-27,451.417
2003-08-28,452.897
2003-08-29,456.362
2003-09-01,454.339
2003-09-02,456.354
2003-09-03,456.896
2003-09-04,455.058
2003-09-05,457.588
2003-09-08,457.544
2003-09-09,456.526
2003-09-10,456.32
2003-09-11,457.898
2003-09-12,457.892
2003-09-15,461.448
2003-09-16,460.103
2003-09-17,461.025
2003-09-18,461.344
2003-09-19,462.608
2003-09-22,465.404
2003-09-23,471.668
2003-09-24,479.511
2003-09-25,478.587
2003-09-26,479.872
2003-09-29,474.678
2003-09-30,479.374
2003-10-01,479.736
2003-10-02,489.461
2003-10-03,492.205
2003-10-06,499.213
2003-10-07,496.987
2003-10-08,493.517
2003-10-09,493.159
2003-10-10,491.025
2003-10-13,490.648
2003-10-14,491.142
2003-10-15,499.457
2003-10-16,506.506
2003-10-17,505.89
2003-10-20,508.977
2003-10-21,510.442
2003-10-22,506.868
2003-10-23,492.98
2003-10-24,492.511
2003-10-27,500.363
2003-10-28,505.694
2003-10-29,502.505
2003-10-30,505.227
2003-10-31,503.248
2003-11-03,506.679
2003-11-04,513.021
2003-11-05,515.555
2003-11-06,512.787
2003-11-07,513.67
2003-11-10,511.753
2003-11-11,512.099
2003-11-12,507.642
2003-11-13,514.912
2003-11-14,516.882
2003-11-17,509.212
2003-11-18,518.585
2003-11-19,517.283
2003-11-20,518.908
2003-11-21,521.605
2003-11-24,521.522
2003-11-25,521.853
2003-11-26,525.041
2003-11-27,525.454
2003-11-28,532.285
2003-12-01,541.333
2003-12-02,543.107
2003-12-03,542.713
2003-12-04,545.054
2003-12-05,543.082
2003-12-08,537.563
2003-12-09,548.615
2003-12-10,550.304
2003-12-11,560.846
2003-12-12,558.048
2003-12-15,556.043
2003-12-16,535.748
2003-12-17,529.629
2003-12-18,529.646
2003-12-19,536.38
2003-12-22,541.416
2003-12-23,538.909
2003-12-24,538.946
2003-12-25,538.946
2003-12-26,538.915
2003-12-29,538.815
2003-12-30,545.26
2003-12-31,548.269
2004-01-01,548.269
2004-01-02,557.384
2004-01-05,565.715
2004-01-06,572.512
2004-01-07,575.45
2004-01-08,568.139
2004-01-09,572.946
2004-01-12,576.615
2004-01-13,579.215
2004-01-14,579.761
2004-01-15,572.872
2004-01-16,571.537
2004-01-19,574.188
2004-01-20,587.628
2004-01-21,598.195
2004-01-22,598.241
2004-01-23,598.256
2004-01-26,611.626
2004-01-27,608.418
2004-01-28,595.211
2004-01-29,584.208
2004-01-30,592.304
2004-02-02,579.208
2004-02-03,582.717
2004-02-04,585.291
2004-02-05,582.758
2004-02-06,596.436
2004-02-09,610.047
2004-02-10,607.0
2004-02-11,604.436
2004-02-12,608.365
2004-02-13,614.561
2004-02-16,616.125
2004-02-17,615.095
2004-02-18,617.247
2004-02-19,614.795
2004-02-20,610.337
2004-02-23,604.671
2004-02-24,606.274
2004-02-25,600.551
2004-02-26,602.045
2004-02-27,616.654
2004-03-01,617.788
2004-03-02,602.434
2004-03-03,593.541
2004-03-04,595.728
2004-03-05,596.222
2004-03-08,602.059
2004-03-09,592.056
2004-03-10,588.129
2004-03-11,577.257
2004-03-12,574.097
2004-03-15,570.483
2004-03-16,572.002
2004-03-17,577.488
2004-03-18,572.141
2004-03-19,576.976
2004-03-22,567.872
2004-03-23,573.137
2004-03-24,576.793
2004-03-25,571.424
2004-03-26,574.284
2004-03-29,572.441
2004-03-30,585.898
2004-03-31,583.266
2004-04-01,585.837
2004-04-02,590.782
2004-04-05,590.679
2004-04-06,597.447
2004-04-07,594.501
2004-04-08,595.874
2004-04-09,595.874
2004-04-12,595.855
2004-04-13,604.492
2004-04-14,590.835
2004-04-15,579.879
2004-04-16,577.891
2004-04-19,577.434
2004-04-20,575.918
2004-04-21,564.905
2004-04-22,561.081
2004-04-23,573.401
2004-04-26,564.446
2004-04-27,563.905
2004-04-28,561.545
2004-04-29,553.972
2004-04-30,554.666
2004-05-03,554.678
2004-05-04,562.74
2004-05-05,555.297
2004-05-06,555.49
2004-05-07,551.544
2004-05-10,532.174
2004-05-11,534.577
2004-05-12,534.278
2004-05-13,525.912
2004-05-14,522.807
2004-05-17,499.966
2004-05-18,498.792
2004-05-19,522.837
2004-05-20,512.636
2004-05-21,531.747
2004-05-24,533.652
2004-05-25,536.849
2004-05-26,536.815
2004-05-27,549.509
2004-05-28,554.546
2004-05-31,556.888
2004-06-01,554.48
2004-06-02,555.664
2004-06-03,544.408
2004-06-04,547.889
2004-06-07,562.1
2004-06-08,561.498
2004-06-09,560.587
2004-06-10,566.65
2004-06-11,562.645
2004-06-14,549.56
2004-06-15,546.2
2004-06-16,552.659
2004-06-17,549.152
2004-06-18,540.4
2004-06-21,537.414
2004-06-22,537.393
2004-06-23,534.595
2004-06-24,549.382
2004-06-25,551.218
2004-06-28,552.535
2004-06-29,550.21
2004-06-30,559.319
2004-07-01,559.33
2004-07-02,557.744
2004-07-05,559.324
2004-07-06,562.173
2004-07-07,563.688
2004-07-08,555.348
2004-07-09,558.27
2004-07-12,559.262
2004-07-13,553.407
2004-07-14,547.844
2004-07-15,548.089
2004-07-16,553.507
2004-07-19,557.553
2004-07-20,557.497
2004-07-21,571.833
2004-07-22,569.65
2004-07-23,571.22
2004-07-26,568.861
2004-07-27,568.113
2004-07-28,567.78
2004-07-29,562.904
2004-07-30,567.489
2004-08-02,564.721
2004-08-03,569.765
2004-08-04,566.832
2004-08-05,578.87
2004-08-06,577.36
2004-08-09,577.681
2004-08-10,576.072
2004-08-11,570.831
2004-08-12,575.559
2004-08-13,574.793
2004-08-16,566.585
2004-08-17,567.248
2004-08-18,569.469
2004-08-19,580.116
2004-08-20,579.948
2004-08-23,585.426
2004-08-24,592.147
2004-08-25,602.583
2004-08-26,604.752
2004-08-27,602.227
2004-08-30,606.125
2004-08-31,607.154
2004-09-01,614.369
2004-09-02,613.086
2004-09-03,608.551
2004-09-06,617.341
2004-09-07,621.272
2004-09-08,617.336
2004-09-09,613.458
2004-09-10,612.61
2004-09-13,621.748
2004-09-14,622.974
2004-09-15,619.655
2004-09-16,627.638
2004-09-17,629.914
2004-09-20,627.631
2004-09-21,631.111
2004-09-22,630.663
2004-09-23,627.947
2004-09-24,613.496
2004-09-27,611.895
2004-09-28,609.67
2004-09-29,609.713
2004-09-30,618.969
2004-10-01,619.029
2004-10-04,630.713
2004-10-05,631.515
2004-10-06,627.088
2004-10-07,628.715
2004-10-08,625.444
2004-10-11,625.091
2004-10-12,622.358
2004-10-13,619.765
2004-10-14,614.701
2004-10-15,617.308
2004-10-18,616.404
2004-10-19,621.746
2004-10-20,614.721
2004-10-21,614.825
2004-10-22,614.71
2004-10-25,606.48
2004-10-26,607.251
2004-10-27,607.934
2004-10-28,622.899
2004-10-29,621.168
2004-11-01,622.99
2004-11-02,633.03
2004-11-03,640.495
2004-11-04,638.189
2004-11-05,645.538
2004-11-08,647.809
2004-11-09,645.962
2004-11-10,654.022
2004-11-11,645.253
2004-11-12,649.336
2004-11-15,654.751
2004-11-16,648.986
2004-11-17,653.844
2004-11-18,654.666
2004-11-19,656.618
2004-11-22,656.473
2004-11-23,665.015
2004-11-24,663.036
2004-11-25,660.965
2004-11-26,662.253
2004-11-29,668.078
2004-11-30,665.447
2004-12-01,671.194
2004-12-02,674.298
2004-12-03,673.641
2004-12-06,677.624
2004-12-07,680.621
2004-12-08,674.569
2004-12-09,670.546
2004-12-10,665.316
2004-12-13,667.094
2004-12-14,673.167
2004-12-15,674.408
2004-12-16,671.635
2004-12-17,674.678
2004-12-20,681.115
2004-12-21,676.687
