Date,EM (EMERGING MARKETS) IMI VALUE IMI (Large+Mid+Small Cap)
2017-11-30,1451.846
2017-12-29,1513.409
2018-01-31,1640.738
2018-02-28,1564.467
2018-03-30,1534.056
2018-04-30,1547.864
2018-05-31,1478.184
2018-06-29,1399.507
2018-07-31,1454.498
2018-08-31,1424.306
2018-09-28,1440.129
2018-10-31,1331.875
2018-11-30,1373.743
2018-12-31,1346.016
2019-01-31,1451.29
2019-02-28,1448.849
2019-03-29,1452.709
2019-04-30,1468.475
2019-05-31,1392.631
2019-06-28,1466.234
2019-07-31,1429.604
2019-08-30,1345.883
2019-09-30,1375.529
2019-10-31,1422.465
2019-11-29,1413.569
2019-12-31,1512.893
2020-01-31,1413.805
2020-02-28,1321.975
2020-03-31,1080.811
2020-04-30,1177.43
2020-05-29,1175.897
2020-06-30,1242.924
2020-07-31,1324.595
2020-08-31,1339.38
2020-09-30,1310.224
2020-10-30,1315.998
2020-11-30,1487.864
2020-12-31,1614.161
2021-01-29,1624.072
2021-02-26,1675.332
2021-03-31,1688.017
2021-04-30,1735.051
2021-05-31,1800.624
2021-06-30,1795.561
2021-07-30,1719.342
2021-08-31,1764.984
2021-09-30,1715.048
2021-10-29,1719.645
2021-11-30,1649.186
2021-12-31,1710.283
2022-01-31,1694.431
2022-02-28,1665.861
2022-03-31,1656.686
2022-04-29,1567.99
2022-05-31,1576.867
2022-06-30,1471.44
2022-07-29,1467.373
2022-08-31,1474.089
2022-09-30,1325.434
2022-10-31,1307.008
2022-11-30,1475.032
2022-12-30,1456.245
2023-01-31,1557.415
2023-02-28,1477.173
2023-03-31,1509.848
2023-04-28,1518.549
2023-05-31,1496.781
2023-06-30,1559.481
2023-07-31,1663.461
2023-08-31,1576.43
2023-09-29,1560.75
2023-10-31,1499.053
2023-11-30,1605.862
2023-12-29,1692.542
2024-01-31,1638.685
2024-02-29,1700.42
2024-03-29,1716.184
2024-04-30,1733.5
2024-05-31,1751.438
2024-06-28,1809.794
2024-07-31,1824.008
2024-08-30,1853.324
2024-09-30,1955.005
2024-10-31,1857.994
2024-11-29,1799.198
2024-12-31,1784.119
2025-01-31,1800.716
2025-02-28,1814.393
2025-03-31,1841.919
2025-04-30,1859.823
2025-05-30,1944.49
2025-06-30,2043.506
2025-07-31,2074.505
2025-08-29,2089.533
2025-09-30,2219.036
