Date,EM (EMERGING MARKETS) IMI VALUE IMI (Large+Mid+Small Cap)
2012-07-31,1161.398
2012-08-31,1157.825
2012-09-28,1231.174
2012-10-31,1218.778
2012-11-30,1222.525
2012-12-31,1290.078
2013-01-31,1313.925
2013-02-28,1289.507
2013-03-29,1267.294
2013-04-30,1270.715
2013-05-31,1231.212
2013-06-28,1146.167
2013-07-31,1165.66
2013-08-30,1148.045
2013-09-30,1223.026
2013-10-31,1272.87
2013-11-29,1248.057
2013-12-31,1231.163
2014-01-31,1154.964
2014-02-28,1180.681
2014-03-31,1226.257
2014-04-30,1234.243
2014-05-30,1275.915
2014-06-30,1310.401
2014-07-31,1344.612
2014-08-29,1375.436
2014-09-30,1268.59
2014-10-31,1270.579
2014-11-28,1248.643
2014-12-31,1188.487
2015-01-30,1183.124
2015-02-27,1220.665
2015-03-31,1195.967
2015-04-30,1309.185
2015-05-29,1258.586
2015-06-30,1221.31
2015-07-31,1130.504
2015-08-31,1021.615
2015-09-30,991.362
2015-10-30,1059.664
2015-11-30,1005.261
2015-12-31,983.098
2016-01-29,916.825
2016-02-29,922.758
2016-03-31,1053.166
2016-04-29,1068.332
2016-05-31,1009.483
2016-06-30,1051.638
2016-07-29,1108.055
2016-08-31,1129.543
2016-09-30,1138.744
2016-10-31,1152.89
2016-11-30,1114.057
2016-12-30,1121.873
2017-01-31,1175.027
2017-02-28,1221.11
2017-03-31,1242.945
2017-04-28,1253.218
2017-05-31,1278.359
2017-06-30,1281.369
2017-07-31,1347.263
2017-08-31,1375.983
2017-09-29,1353.271
2017-10-31,1397.901
2017-11-30,1391.132
2017-12-29,1449.04
2018-01-31,1570.824
2018-02-28,1497.532
2018-03-30,1467.958
2018-04-30,1480.76
2018-05-31,1413.61
2018-06-29,1337.612
2018-07-31,1388.135
2018-08-31,1358.692
2018-09-28,1373.25
2018-10-31,1269.903
2018-11-30,1309.698
2018-12-31,1282.225
2019-01-31,1382.437
2019-02-28,1379.904
2019-03-29,1383.26
2019-04-30,1397.899
2019-05-31,1325.048
2019-06-28,1394.124
2019-07-31,1357.441
2019-08-30,1277.27
2019-09-30,1305.001
2019-10-31,1349.34
2019-11-29,1340.774
2019-12-31,1433.881
2020-01-31,1339.899
2020-02-28,1252.705
2020-03-31,1023.939
2020-04-30,1115.145
2020-05-29,1113.334
2020-06-30,1176.043
2020-07-31,1251.477
2020-08-31,1264.92
2020-09-30,1237.102
2020-10-30,1242.335
2020-11-30,1404.472
2020-12-31,1522.744
2021-01-29,1531.678
2021-02-26,1579.854
2021-03-31,1591.414
2021-04-30,1635.38
2021-05-31,1696.682
2021-06-30,1691.153
2021-07-30,1617.628
2021-08-31,1659.669
2021-09-30,1611.931
2021-10-29,1615.864
2021-11-30,1549.473
2021-12-31,1605.788
2022-01-31,1590.802
2022-02-28,1563.595
2022-03-31,1554.414
2022-04-29,1470.802
2022-05-31,1478.546
2022-06-30,1378.183
2022-07-29,1372.308
2022-08-31,1377.747
2022-09-30,1238.008
2022-10-31,1220.559
2022-11-30,1377.128
2022-12-30,1358.621
2023-01-31,1452.854
2023-02-28,1377.758
2023-03-31,1407.641
2023-04-28,1415.258
2023-05-31,1394.395
2023-06-30,1450.914
2023-07-31,1545.859
2023-08-31,1464.254
2023-09-29,1448.974
2023-10-31,1391.452
2023-11-30,1490.251
2023-12-29,1570.079
2024-01-31,1519.893
2024-02-29,1576.65
2024-03-29,1590.559
2024-04-30,1606.188
