Date,SWEDEN Standard (Large+Mid Cap)
2003-05-22,6801.666
2003-05-23,6876.244
2003-05-26,6852.186
2003-05-27,6949.956
2003-05-28,7076.437
2003-05-29,7110.002
2003-05-30,7142.525
2003-06-02,7169.968
2003-06-03,7064.902
2003-06-04,7129.631
2003-06-05,7231.39
2003-06-06,7275.574
2003-06-09,7300.848
2003-06-10,7254.52
2003-06-11,7416.048
2003-06-12,7504.113
2003-06-13,7384.835
2003-06-16,7500.424
2003-06-17,7593.783
2003-06-18,7541.008
2003-06-19,7459.905
2003-06-20,7414.865
2003-06-23,7239.581
2003-06-24,7092.593
2003-06-25,7163.065
2003-06-26,7103.201
2003-06-27,7207.781
2003-06-30,7190.092
2003-07-01,7124.331
2003-07-02,7196.602
2003-07-03,7322.527
2003-07-04,7303.333
2003-07-07,7389.979
2003-07-08,7427.8
2003-07-09,7389.167
2003-07-10,7305.358
2003-07-11,7297.35
2003-07-14,7435.029
2003-07-15,7450.098
2003-07-16,7360.813
2003-07-17,7243.965
2003-07-18,7371.044
2003-07-21,7440.438
2003-07-22,7412.69
2003-07-23,7485.085
2003-07-24,7639.816
2003-07-25,7641.868
2003-07-28,7783.969
2003-07-29,7733.09
2003-07-30,7699.887
2003-07-31,7649.989
2003-08-01,7638.264
2003-08-04,7709.11
2003-08-05,7768.122
2003-08-06,7615.237
2003-08-07,7586.382
2003-08-08,7573.882
2003-08-11,7534.06
2003-08-12,7663.614
2003-08-13,7776.118
2003-08-14,7793.506
2003-08-15,7735.646
2003-08-18,7792.943
2003-08-19,7852.408
2003-08-20,7913.769
2003-08-21,7926.825
2003-08-22,7817.783
2003-08-25,7721.066
2003-08-26,7586.211
2003-08-27,7681.215
2003-08-28,7715.015
2003-08-29,7780.617
2003-09-01,7952.206
2003-09-02,7919.869
2003-09-03,8083.243
2003-09-04,8122.174
2003-09-05,8233.927
2003-09-08,8294.223
2003-09-09,8266.143
2003-09-10,8145.595
2003-09-11,8211.829
2003-09-12,8292.807
2003-09-15,8266.189
2003-09-16,8312.934
2003-09-17,8366.822
2003-09-18,8398.334
2003-09-19,8340.652
2003-09-22,8233.829
2003-09-23,8276.616
2003-09-24,8240.99
2003-09-25,8195.881
2003-09-26,8188.878
2003-09-29,8175.084
2003-09-30,8041.772
2003-10-01,8134.299
2003-10-02,8175.256
2003-10-03,8402.876
2003-10-06,8496.259
2003-10-07,8566.571
2003-10-08,8635.707
2003-10-09,8662.392
2003-10-10,8624.443
2003-10-13,8691.892
2003-10-14,8820.24
2003-10-15,8860.794
2003-10-16,8773.027
2003-10-17,8720.616
2003-10-20,8695.723
2003-10-21,8660.369
2003-10-22,8544.868
2003-10-23,8576.588
2003-10-24,8675.86
2003-10-27,8761.761
2003-10-28,8806.655
2003-10-29,8850.852
2003-10-30,8837.665
2003-10-31,8729.766
2003-11-03,8687.593
2003-11-04,8706.412
2003-11-05,8591.9
2003-11-06,8650.63
2003-11-07,8827.184
2003-11-10,8784.227
