Date,ITALY LARGE GROWTH Large Cap
2008-12-31,511.391
2009-01-30,412.84
2009-02-27,331.777
2009-03-31,377.126
2009-04-30,448.046
2009-05-29,514.75
2009-06-30,493.675
2009-07-31,540.604
2009-08-31,554.34
2009-09-30,604.231
2009-10-30,604.834
2009-11-30,628.023
2009-12-31,654.38
2010-01-29,608.044
2010-02-26,571.765
2010-03-31,616.357
2010-04-30,571.229
2010-05-31,498.98
2010-06-30,482.844
2010-07-30,553.752
2010-08-31,503.667
2010-09-30,578.087
2010-10-29,629.882
2010-11-30,565.101
2010-12-31,636.087
2011-01-31,698.131
2011-02-28,713.656
2011-03-31,712.953
2011-04-29,760.901
2011-05-31,709.25
2011-06-30,672.829
2011-07-29,642.004
2011-08-31,527.831
2011-09-30,429.071
2011-10-31,494.882
2011-11-30,487.625
2011-12-30,459.951
2012-01-31,491.968
2012-02-29,520.055
2012-03-30,508.926
2012-04-30,477.158
2012-05-31,387.654
2012-06-29,416.718
2012-07-31,428.988
2012-08-31,446.486
2012-09-28,448.439
2012-10-31,453.626
2012-11-30,462.355
2012-12-31,466.339
2013-01-31,476.353
2013-02-28,439.54
2013-03-29,439.722
2013-04-30,472.5
2013-05-31,475.401
2013-06-28,422.486
2013-07-31,478.363
2013-08-30,476.596
2013-09-30,510.724
2013-10-31,561.266
2013-11-29,545.839
2013-12-31,550.127
2014-01-31,556.041
2014-02-28,583.918
2014-03-31,642.099
2014-04-30,639.172
2014-05-30,634.359
2014-06-30,609.554
2014-07-31,576.039
2014-08-29,571.545
2014-09-30,578.21
2014-10-31,541.058
2014-11-28,550.868
2014-12-31,517.531
2015-01-30,509.488
2015-02-27,565.725
2015-03-31,573.495
2015-04-30,588.262
2015-05-29,613.037
2015-06-30,606.395
2015-07-31,641.241
2015-08-31,602.061
2015-09-30,585.824
2015-10-30,609.524
2015-11-30,584.076
2015-12-31,571.08
2016-01-29,483.544
2016-02-29,443.132
2016-03-31,468.266
2016-04-29,470.273
2016-05-31,450.113
2016-06-30,351.922
2016-07-29,387.005
2016-08-31,407.071
2016-09-30,382.983
2016-10-31,400.13
2016-11-30,382.433
2016-12-30,410.706
2017-01-31,405.244
2017-02-28,391.249
2017-03-31,408.6
2017-04-28,401.963
2017-05-31,412.424
2017-06-30,408.096
2017-07-31,423.941
2017-08-31,427.442
2017-09-29,422.649
2017-10-31,432.022
2017-11-30,446.259
2017-12-29,457.707
2018-01-31,528.03
2018-02-28,485.221
2018-03-30,480.306
2018-04-30,513.589
2018-05-31,499.655
2018-06-29,474.439
2018-07-31,468.606
2018-08-31,420.641
2018-09-28,430.655
2018-10-31,383.506
2018-11-30,382.851
2018-12-31,337.364
2019-01-31,397.642
2019-02-28,354.253
2019-03-29,359.683
2019-04-30,380.732
2019-05-31,347.583
2019-06-28,382.481
2019-07-31,367.644
2019-08-30,341.861
2019-09-30,335.788
2019-10-31,362.33
2019-11-29,371.98
2019-12-31,365.116
2020-01-31,371.676
2020-02-28,341.953
2020-03-31,341.579
2020-04-30,347.707
2020-05-29,374.051
2020-06-30,377.558
2020-07-31,396.201
2020-08-31,432.081
2020-09-30,406.659
2020-10-30,394.929
2020-11-30,468.185
2020-12-31,505.926
2021-01-29,464.131
2021-02-26,472.407
2021-03-31,511.845
2021-04-30,515.496
2021-05-31,544.808
2021-06-30,525.45
2021-07-30,530.444
2021-08-31,544.435
2021-09-30,536.92
2021-10-29,566.592
2021-11-30,536.691
2021-12-31,565.55
2022-01-31,517.7
2022-02-28,472.328
2022-03-31,462.391
2022-04-29,442.089
2022-05-31,431.538
2022-06-30,406.75
2022-07-29,466.907
2022-08-31,431.421
2022-09-30,417.046
2022-10-31,437.869
2022-11-30,484.519
2022-12-30,474.483
2023-01-31,552.06
2023-02-28,577.695
2023-03-31,601.482
2023-04-28,622.292
2023-05-31,634.989
2023-06-30,730.011
2023-07-31,717.788
2023-08-31,710.47
2023-09-29,661.598
2023-10-31,674.201
2023-11-30,805.889
2023-12-29,765.557
2024-01-31,807.39
2024-02-29,954.287
2024-03-29,1011.396
2024-04-30,980.622
2024-05-31,991.755
2024-06-28,965.122
2024-07-31,1011.151
2024-08-30,1131.374
2024-09-30,1115.859
2024-10-31,1128.967
2024-11-29,1018.043
2024-12-31,999.788
2025-01-31,1013.92
2025-02-28,1095.683
2025-03-31,991.861
2025-04-30,1075.795
2025-05-30,1127.345
