Date,ITALY LARGE GROWTH Large Cap
2019-04-30,409.048
2019-05-31,371.272
2019-06-28,408.55
2019-07-31,392.701
2019-08-30,365.16
2019-09-30,358.674
2019-10-31,387.025
2019-11-29,397.386
2019-12-31,390.054
2020-01-31,397.061
2020-02-28,365.309
2020-03-31,364.909
2020-04-30,371.886
2020-05-29,400.061
2020-06-30,403.812
2020-07-31,423.751
2020-08-31,462.126
2020-09-30,434.937
2020-10-30,422.391
2020-11-30,500.741
2020-12-31,541.106
2021-01-29,496.405
2021-02-26,505.257
2021-03-31,547.437
2021-04-30,551.539
2021-05-31,582.9
2021-06-30,562.189
2021-07-30,567.532
2021-08-31,582.501
2021-09-30,574.461
2021-10-29,606.207
2021-11-30,574.216
2021-12-31,605.093
2022-01-31,553.897
2022-02-28,505.353
2022-03-31,494.721
2022-04-29,474.84
2022-05-31,463.507
2022-06-30,436.883
2022-07-29,501.496
2022-08-31,463.381
2022-09-30,447.941
2022-10-31,470.307
2022-11-30,520.413
2022-12-30,509.634
2023-01-31,592.957
2023-02-28,620.492
2023-03-31,646.041
2023-04-28,669.101
2023-05-31,682.753
2023-06-30,784.923
2023-07-31,771.78
2023-08-31,763.911
2023-09-29,711.363
2023-10-31,724.914
2023-11-30,866.509
2023-12-29,823.142
2024-01-31,868.122
2024-02-29,1026.068
2024-03-29,1087.474
2024-04-30,1059.046
2024-05-31,1071.07
2024-06-28,1042.306
2024-07-31,1092.016
2024-08-30,1221.854
2024-09-30,1205.098
2024-10-31,1219.254
2024-11-29,1103.632
2024-12-31,1083.842
2025-01-31,1099.163
2025-02-28,1187.799
2025-03-31,1075.249
2025-04-30,1167.577
2025-05-30,1223.525
