Date,FRANCE VALUE Standard (Large+Mid Cap)
1986-11-28,910.735
1986-12-31,931.063
1987-01-30,1060.778
1987-02-27,1088.217
1987-03-31,1159.796
1987-04-30,1168.72
1987-05-29,1111.103
1987-06-30,1031.794
1987-07-31,1047.583
1987-08-31,1098.739
1987-09-30,1031.984
1987-10-30,858.906
1987-11-30,833.579
1987-12-31,835.258
1988-01-29,716.632
1988-02-29,867.822
1988-03-31,816.01
1988-04-29,894.85
1988-05-31,948.908
1988-06-30,962.106
1988-07-29,933.86
1988-08-31,896.337
1988-09-30,980.728
1988-10-31,1103.109
1988-11-30,1131.537
1988-12-30,1169.354
1989-01-31,1171.593
1989-02-28,1155.257
1989-03-31,1175.621
1989-04-28,1215.013
1989-05-31,1174.578
1989-06-30,1211.457
1989-07-31,1334.931
1989-08-31,1336.358
1989-09-29,1405.858
1989-10-31,1352.113
1989-11-30,1413.998
1989-12-29,1587.507
1990-01-31,1547.085
1990-02-28,1523.161
1990-03-30,1627.057
1990-04-30,1706.57
1990-05-31,1724.205
1990-06-29,1698.427
1990-07-31,1704.351
1990-08-31,1475.928
1990-09-28,1333.44
1990-10-31,1425.046
1990-11-30,1444.574
1990-12-31,1351.688
1991-01-31,1409.803
1991-02-28,1553.43
1991-03-29,1455.078
1991-04-30,1415.49
1991-05-31,1472.812
1991-06-28,1337.122
1991-07-31,1393.651
1991-08-30,1490.401
1991-09-30,1577.069
1991-10-31,1548.457
1991-11-29,1511.57
1991-12-31,1610.248
1992-01-31,1643.45
1992-02-28,1710.529
1992-03-31,1660.385
1992-04-30,1785.01
1992-05-29,1865.711
1992-06-30,1796.771
1992-07-31,1707.24
1992-08-31,1666.946
1992-09-30,1739.526
1992-10-30,1612.502
1992-11-30,1583.853
1992-12-31,1640.494
1993-01-29,1631.99
1993-02-26,1794.611
1993-03-31,1863.637
1993-04-30,1845.692
1993-05-31,1806.652
1993-06-30,1798.143
1993-07-30,1860.546
1993-08-31,1997.735
1993-09-30,1959.597
1993-10-29,1981.866
1993-11-30,1900.876
1993-12-31,2062.142
1994-01-31,2181.046
1994-02-28,2160.229
1994-03-31,2025.397
1994-04-29,2134.448
1994-05-31,2058.616
1994-06-30,1970.88
1994-07-29,2141.476
1994-08-31,2147.985
1994-09-30,1986.647
1994-10-31,2075.181
1994-11-30,2058.06
1994-12-30,1975.651
1995-01-31,1928.294
1995-02-28,1922.71
1995-03-31,2124.417
1995-04-28,2163.246
1995-05-31,2208.288
1995-06-30,2154.95
1995-07-31,2237.302
1995-08-31,2063.396
1995-09-29,1976.056
1995-10-31,2034.504
1995-11-30,2064.509
1995-12-29,2142.877
1996-01-31,2172.085
1996-02-29,2174.364
1996-03-29,2171.386
1996-04-30,2186.716
1996-05-31,2149.765
1996-06-28,2156.793
1996-07-31,2101.047
1996-08-30,2084.796
1996-09-30,2194.466
1996-10-31,2216.911
1996-11-29,2348.399
1996-12-31,2332.706
1997-01-31,2474.734
1997-02-28,2502.21
1997-03-31,2582.996
1997-04-30,2435.602
1997-05-30,2445.642
1997-06-30,2599.841
1997-07-31,2713.909
1997-08-29,2565.331
1997-09-30,2917.879
1997-10-31,2790.027
1997-11-28,2791.276
1997-12-31,2913.465
1998-01-30,3011.443
1998-02-27,3273.243
1998-03-31,3708.922
1998-04-30,3870.553
1998-05-29,4040.227
1998-06-30,4041.542
1998-07-31,4118.352
1998-08-31,3422.557
1998-09-30,3384.116
1998-10-30,3615.701
1998-11-30,3894.793
1998-12-31,3829.301
1999-01-29,3911.735
1999-02-26,3676.588
1999-03-31,3975.299
1999-04-30,4190.752
1999-05-31,4093.526
1999-06-30,4219.372
1999-07-30,4379.887
1999-08-31,4438.01
1999-09-30,4430.374
1999-10-29,4634.008
1999-11-30,4632.843
1999-12-31,4906.63
2000-01-31,4494.556
2000-02-29,4595.982
2000-03-31,4821.753
2000-04-28,4843.409
2000-05-31,5125.413
2000-06-30,5453.231
2000-07-31,5534.73
2000-08-31,5449.199
2000-09-29,5179.837
2000-10-31,5124.256
2000-11-30,5150.321
2000-12-29,5576.849
2001-01-31,5576.157
2001-02-28,5292.645
2001-03-30,4982.483
2001-04-30,5377.098
2001-05-31,5242.459
2001-06-29,5112.314
2001-07-31,5173.684
2001-08-31,5195.061
2001-09-28,4490.28
2001-10-31,4630.322
2001-11-30,4688.769
2001-12-31,4759.951
2002-01-31,4387.78
2002-02-28,4386.265
2002-03-29,4684.257
2002-04-30,4612.744
2002-05-31,4661.504
2002-06-28,4282.203
2002-07-31,3598.852
2002-08-30,3548.291
2002-09-30,2742.278
2002-10-31,3225.485
2002-11-29,3570.236
2002-12-31,3315.605
2003-01-31,3332.393
2003-02-28,3143.306
2003-03-31,3008.342
2003-04-30,3592.249
2003-05-30,3824.703
2003-06-30,3923.174
2003-07-31,4126.572
2003-08-29,4107.709
2003-09-30,4051.476
2003-10-31,4387.871
2003-11-28,4619.499
2003-12-31,5069.5
2004-01-30,5065.906
2004-02-27,5234.25
2004-03-31,5069.778
2004-04-30,5070.294
2004-05-31,5207.419
2004-06-30,5347.274
2004-07-30,5189.138
2004-08-31,5233.736
2004-09-30,5433.698
2004-10-29,5678.664
2004-11-30,5992.876
2004-12-31,6249.419
2005-01-31,6225.756
2005-02-28,6572.654
2005-03-31,6423.195
2005-04-29,6092.529
2005-05-31,6268.103
2005-06-30,6388.282
2005-07-29,6763.305
2005-08-31,6782.581
2005-09-30,7055.614
2005-10-31,6807.867
2005-11-30,7015.347
2005-12-30,7229.505
2006-01-31,7984.028
2006-02-28,8014.494
2006-03-31,8390.65
2006-04-28,8730.479
2006-05-31,8644.082
2006-06-30,8695.461
2006-07-31,8790.433
2006-08-31,9198.317
2006-09-29,9343.06
2006-10-31,9701.991
2006-11-30,9943.481
2006-12-29,10293.054
2007-01-31,10361.69
2007-02-28,10159.216
2007-03-30,10247.401
2007-04-30,11301.438
2007-05-31,11648.856
2007-06-29,11733.174
2007-07-31,11244.096
2007-08-31,10838.563
2007-09-28,11449.79
2007-10-31,11741.336
2007-11-30,11515.038
2007-12-31,11276.957
2008-01-31,9948.917
2008-02-29,9914.986
2008-03-31,10075.52
2008-04-30,10632.508
2008-05-30,10766.892
2008-06-30,9771.928
2008-07-31,9660.641
2008-08-29,9339.441
2008-09-30,8068.504
2008-10-31,6380.119
2008-11-28,5981.038
2008-12-31,6459.0
2009-01-30,5555.408
2009-02-27,4927.264
2009-03-31,5412.51
2009-04-30,6280.337
2009-05-29,7119.64
2009-06-30,6780.673
2009-07-31,7531.775
2009-08-31,8251.789
2009-09-30,8787.655
2009-10-30,8329.173
2009-11-30,8686.232
2009-12-31,8951.033
2010-01-29,8194.832
2010-02-26,7956.663
2010-03-31,8456.535
2010-04-30,7949.091
2010-05-31,6915.501
2010-06-30,6730.647
2010-07-30,7614.698
2010-08-31,7117.016
2010-09-30,8112.656
2010-10-29,8562.491
2010-11-30,7557.57
2010-12-31,8281.259
2011-01-31,9041.472
2011-02-28,9321.349
2011-03-31,9230.922
2011-04-29,9900.344
2011-05-31,9560.075
2011-06-30,9587.253
2011-07-29,8697.712
2011-08-31,7597.748
2011-09-30,6551.86
2011-10-31,7369.989
2011-11-30,6909.881
2011-12-30,6744.169
2012-01-31,7049.671
2012-02-29,7507.391
2012-03-30,7325.346
2012-04-30,6723.061
2012-05-31,5954.576
2012-06-29,6673.66
2012-07-31,6693.299
2012-08-31,7141.243
2012-09-28,7297.146
2012-10-31,7541.335
2012-11-30,7778.163
2012-12-31,8092.811
2013-01-31,8549.165
2013-02-28,8089.21
2013-03-29,7935.59
2013-04-30,8497.59
2013-05-31,8745.749
2013-06-28,8359.743
2013-07-31,9201.398
2013-08-30,9049.249
2013-09-30,9879.946
2013-10-31,10563.899
2013-11-29,10610.702
2013-12-31,10818.119
2014-01-31,10327.265
2014-02-28,11239.003
2014-03-31,11300.913
2014-04-30,11625.06
2014-05-30,11610.645
2014-06-30,11499.721
2014-07-31,10936.583
2014-08-29,11092.039
2014-09-30,10856.353
2014-10-31,10093.287
2014-11-28,10301.936
2014-12-31,9734.034
2015-01-30,9678.528
2015-02-27,10292.843
2015-03-31,10027.676
2015-04-30,10531.184
2015-05-29,10281.272
2015-06-30,10104.142
2015-07-31,10637.582
2015-08-31,9923.179
2015-09-30,9383.931
2015-10-30,10169.559
2015-11-30,9845.438
2015-12-31,9516.941
2016-01-29,8989.432
2016-02-29,8893.998
2016-03-31,9397.865
2016-04-29,9723.71
2016-05-31,9766.593
2016-06-30,9085.828
2016-07-29,9567.468
2016-08-31,9498.992
2016-09-30,9611.03
2016-10-31,9741.353
2016-11-30,9625.529
2016-12-30,10242.181
2017-01-31,10207.139
2017-02-28,10124.249
2017-03-31,10817.129
2017-04-28,11253.586
2017-05-31,11830.51
2017-06-30,11665.896
2017-07-31,12097.479
2017-08-31,12126.226
2017-09-29,12589.083
2017-10-31,12489.14
2017-11-30,12495.871
2017-12-29,12387.651
2018-01-31,13263.754
2018-02-28,12593.049
2018-03-30,12252.83
2018-04-30,12765.341
2018-05-31,11956.194
2018-06-29,11870.57
2018-07-31,12513.296
2018-08-31,12039.748
2018-09-28,12358.19
2018-10-31,11372.933
2018-11-30,11180.365
2018-12-31,10451.755
2019-01-31,11000.964
2019-02-28,11243.751
2019-03-29,11139.158
2019-04-30,11591.956
2019-05-31,10860.798
2019-06-28,11605.128
2019-07-31,11233.591
2019-08-30,10970.973
2019-09-30,11609.297
2019-10-31,11916.03
2019-11-29,12027.936
2019-12-31,12506.527
2020-01-31,11845.789
2020-02-28,10843.833
2020-03-31,8663.284
2020-04-30,8932.606
2020-05-29,9407.907
2020-06-30,10003.059
2020-07-31,10068.143
2020-08-31,10538.694
2020-09-30,9898.373
2020-10-30,9216.486
2020-11-30,11740.595
2020-12-31,11955.288
2021-01-29,11669.109
2021-02-26,12483.02
2021-03-31,12808.328
2021-04-30,13366.384
2021-05-31,13998.689
2021-06-30,13581.28
2021-07-30,13636.936
2021-08-31,14011.769
2021-09-30,13703.097
2021-10-29,14182.731
2021-11-30,13199.872
2021-12-31,14290.22
2022-01-31,14609.589
2022-02-28,13829.625
2022-03-31,13650.858
2022-04-29,13176.435
2022-05-31,13982.011
2022-06-30,12339.945
2022-07-29,12386.367
2022-08-31,11784.233
2022-09-30,10802.805
2022-10-31,12110.018
2022-11-30,13397.927
2022-12-30,13717.76
2023-01-31,14767.413
2023-02-28,14903.527
2023-03-31,14777.639
2023-04-28,15597.851
2023-05-31,14439.594
2023-06-30,15261.827
2023-07-31,15851.669
2023-08-31,15599.927
2023-09-29,15394.525
2023-10-31,14710.513
2023-11-30,15831.778
2023-12-29,16531.875
2024-01-31,16488.702
2024-02-29,16169.465
2024-03-29,17102.242
2024-04-30,17185.754
2024-05-31,18045.058
2024-06-28,16431.265
2024-07-31,17386.496
2024-08-30,18133.382
2024-09-30,18242.58
2024-10-31,17462.462
2024-11-29,16406.512
2024-12-31,16248.928
2025-01-31,17434.532
2025-02-28,18176.401
2025-03-31,18939.16
2025-04-30,19805.033
2025-05-30,20346.212
2025-06-30,20876.255
2025-07-31,20545.532
2025-08-29,20806.159
2025-09-30,21022.585
2025-10-31,20671.431
2025-11-28,21413.429
2025-12-31,22191.322
