Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
2002-10-31,916.439
2002-11-01,908.327
2002-11-04,929.312
2002-11-05,931.245
2002-11-06,938.711
2002-11-07,942.507
2002-11-08,930.217
2002-11-11,910.743
2002-11-12,915.546
2002-11-13,906.961
2002-11-14,908.477
2002-11-15,922.33
2002-11-18,923.612
2002-11-19,915.775
2002-11-20,918.963
2002-11-21,919.526
2002-11-22,927.599
2002-11-25,916.741
2002-11-26,913.713
2002-11-27,902.863
2002-11-28,927.454
2002-11-29,935.995
2002-12-02,943.034
2002-12-03,937.017
2002-12-04,923.887
2002-12-05,932.332
2002-12-06,927.717
2002-12-09,927.313
2002-12-10,908.781
2002-12-11,897.475
2002-12-12,913.666
2002-12-13,905.48
2002-12-16,895.741
2002-12-17,915.787
2002-12-18,912.104
2002-12-19,910.582
2002-12-20,913.383
2002-12-23,925.671
2002-12-24,926.881
2002-12-25,926.881
2002-12-26,926.881
2002-12-27,922.173
2002-12-30,912.67
2002-12-31,918.617
2003-01-01,918.617
2003-01-02,922.724
2003-01-03,932.42
2003-01-06,954.314
2003-01-07,953.749
2003-01-08,949.856
2003-01-09,951.372
2003-01-10,958.583
2003-01-13,958.105
2003-01-14,964.673
2003-01-15,964.994
2003-01-16,961.298
2003-01-17,967.031
2003-01-20,964.739
2003-01-21,963.021
2003-01-22,954.58
2003-01-23,961.963
2003-01-24,965.905
2003-01-27,962.396
2003-01-28,940.882
2003-01-29,941.034
2003-01-30,934.888
2003-01-31,934.566
2003-02-03,923.156
2003-02-04,935.577
2003-02-05,929.049
2003-02-06,915.155
2003-02-07,922.229
2003-02-10,919.67
2003-02-11,908.772
2003-02-12,913.486
2003-02-13,902.895
2003-02-14,886.448
2003-02-17,897.225
2003-02-18,897.36
2003-02-19,906.82
2003-02-20,897.183
2003-02-21,899.572
2003-02-24,925.19
2003-02-25,911.346
2003-02-26,925.441
2003-02-27,914.937
2003-02-28,920.55
2003-03-03,939.434
2003-03-04,937.9
2003-03-05,928.81
2003-03-06,928.887
2003-03-07,916.694
2003-03-10,917.974
2003-03-11,896.417
2003-03-12,882.743
2003-03-13,876.597
2003-03-14,899.342
2003-03-17,900.079
2003-03-18,927.294
2003-03-19,931.885
2003-03-20,935.058
2003-03-21,929.325
2003-03-24,934.488
2003-03-25,938.277
2003-03-26,953.073
2003-03-27,961.956
2003-03-28,957.095
2003-03-31,961.038
2003-04-01,962.044
2003-04-02,955.409
2003-04-03,961.346
2003-04-04,972.797
2003-04-07,984.266
2003-04-08,986.792
2003-04-09,977.633
2003-04-10,988.66
2003-04-11,982.24
2003-04-14,975.589
2003-04-15,990.958
2003-04-16,1007.431
2003-04-17,1005.628
2003-04-18,1005.628
2003-04-21,1003.258
2003-04-22,1023.953
2003-04-23,1024.601
2003-04-24,1020.399
2003-04-25,1016.111
2003-04-28,1011.647
2003-04-29,1027.393
2003-04-30,1031.178
2003-05-01,1040.315
2003-05-02,1023.684
2003-05-05,1034.78
2003-05-06,1035.209
2003-05-07,1033.854
2003-05-08,1037.764
2003-05-09,1034.073
2003-05-12,1049.19
2003-05-13,1046.381
2003-05-14,1042.201
2003-05-15,1037.413
2003-05-16,1046.1
2003-05-19,1056.213
2003-05-20,1049.253
2003-05-21,1053.347
2003-05-22,1063.077
2003-05-23,1072.695
2003-05-26,1076.147
2003-05-27,1071.197
2003-05-28,1063.168
2003-05-29,1064.594
2003-05-30,1069.462
2003-06-02,1091.896
2003-06-03,1086.028
2003-06-04,1097.729
2003-06-05,1110.061
2003-06-06,1110.39
2003-06-09,1106.19
2003-06-10,1105.938
2003-06-11,1121.121
2003-06-12,1128.463
2003-06-13,1131.907
2003-06-16,1130.265
2003-06-17,1146.336
2003-06-18,1135.26
2003-06-19,1130.556
2003-06-20,1121.109
2003-06-23,1114.304
2003-06-24,1102.234
2003-06-25,1114.6
2003-06-26,1092.485
2003-06-27,1099.584
2003-06-30,1099.648
2003-07-01,1112.771
2003-07-02,1111.296
2003-07-03,1122.018
2003-07-04,1110.822
2003-07-07,1116.891
2003-07-08,1098.905
2003-07-09,1082.413
2003-07-10,1095.341
2003-07-11,1096.123
2003-07-14,1113.197
2003-07-15,1102.256
2003-07-16,1117.124
2003-07-17,1107.171
2003-07-18,1094.369
2003-07-21,1105.533
2003-07-22,1097.017
2003-07-23,1119.019
2003-07-24,1136.264
2003-07-25,1143.34
2003-07-28,1155.461
2003-07-29,1149.843
2003-07-30,1119.92
2003-07-31,1121.668
2003-08-01,1143.843
2003-08-04,1129.797
2003-08-05,1126.584
2003-08-06,1131.866
2003-08-07,1141.787
2003-08-08,1148.296
2003-08-11,1153.96
2003-08-12,1151.679
2003-08-13,1160.436
2003-08-14,1156.894
2003-08-15,1162.293
2003-08-18,1165.323
2003-08-19,1170.074
2003-08-20,1178.871
2003-08-21,1166.737
2003-08-22,1167.47
2003-08-25,1168.649
2003-08-26,1159.532
2003-08-27,1152.15
2003-08-28,1159.681
2003-08-29,1176.274
2003-09-01,1183.192
2003-09-02,1186.214
2003-09-03,1181.053
2003-09-04,1189.355
2003-09-05,1188.481
2003-09-08,1198.196
2003-09-09,1218.922
2003-09-10,1210.378
2003-09-11,1198.241
2003-09-12,1203.804
2003-09-15,1204.776
2003-09-16,1207.79
2003-09-17,1224.088
2003-09-18,1227.197
2003-09-19,1236.312
2003-09-22,1243.961
2003-09-23,1231.381
2003-09-24,1245.426
2003-09-25,1233.328
2003-09-26,1217.086
2003-09-29,1213.504
2003-09-30,1218.897
2003-10-01,1218.107
2003-10-02,1237.943
2003-10-03,1238.896
2003-10-06,1252.749
2003-10-07,1269.045
2003-10-08,1277.956
2003-10-09,1286.225
2003-10-10,1288.861
2003-10-13,1294.727
2003-10-14,1306.984
2003-10-15,1302.521
2003-10-16,1320.327
2003-10-17,1317.825
2003-10-20,1311.396
2003-10-21,1330.997
2003-10-22,1340.769
2003-10-23,1306.31
2003-10-24,1305.454
2003-10-27,1306.503
2003-10-28,1311.056
2003-10-29,1316.723
2003-10-30,1330.491
2003-10-31,1341.542
2003-11-03,1322.959
2003-11-04,1320.944
2003-11-05,1332.766
2003-11-06,1335.122
2003-11-07,1340.758
2003-11-10,1352.952
2003-11-11,1336.493
2003-11-12,1338.022
2003-11-13,1352.171
2003-11-14,1336.371
2003-11-17,1312.792
2003-11-18,1324.939
2003-11-19,1324.333
2003-11-20,1328.58
2003-11-21,1318.848
2003-11-24,1303.435
2003-11-25,1321.989
2003-11-26,1331.911
2003-11-27,1326.146
2003-11-28,1334.639
2003-12-01,1332.658
2003-12-02,1355.586
2003-12-03,1370.456
2003-12-04,1370.898
2003-12-05,1369.094
2003-12-08,1373.753
2003-12-09,1367.808
2003-12-10,1373.947
2003-12-11,1359.231
2003-12-12,1381.461
2003-12-15,1403.608
2003-12-16,1382.45
2003-12-17,1384.713
2003-12-18,1371.641
2003-12-19,1377.412
2003-12-22,1386.43
2003-12-23,1392.603
2003-12-24,1409.566
2003-12-25,1409.566
2003-12-26,1406.721
2003-12-29,1417.051
2003-12-30,1439.289
2003-12-31,1448.7
2004-01-01,1448.7
2004-01-02,1458.163
2004-01-05,1477.814
2004-01-06,1502.518
2004-01-07,1484.384
2004-01-08,1482.095
2004-01-09,1485.987
2004-01-12,1480.535
2004-01-13,1475.618
2004-01-14,1484.755
2004-01-15,1464.47
2004-01-16,1445.03
2004-01-19,1435.391
2004-01-20,1471.048
2004-01-21,1482.481
2004-01-22,1500.157
2004-01-23,1499.438
2004-01-26,1494.804
2004-01-27,1492.342
2004-01-28,1466.035
2004-01-29,1427.358
2004-01-30,1434.418
2004-02-02,1428.879
2004-02-03,1434.612
2004-02-04,1422.174
2004-02-05,1435.265
2004-02-06,1444.659
2004-02-09,1467.356
2004-02-10,1479.65
2004-02-11,1486.797
2004-02-12,1519.433
2004-02-13,1525.685
2004-02-16,1528.137
2004-02-17,1542.327
2004-02-18,1544.406
2004-02-19,1535.264
2004-02-20,1507.938
2004-02-23,1496.601
2004-02-24,1499.842
2004-02-25,1491.003
2004-02-26,1487.641
2004-02-27,1499.065
2004-03-01,1511.418
2004-03-02,1508.923
2004-03-03,1470.755
2004-03-04,1470.997
2004-03-05,1504.636
2004-03-08,1497.091
2004-03-09,1502.307
2004-03-10,1461.537
2004-03-11,1431.678
2004-03-12,1423.674
2004-03-15,1438.054
2004-03-16,1456.445
2004-03-17,1455.985
2004-03-18,1479.572
2004-03-19,1483.6
2004-03-22,1472.493
2004-03-23,1463.504
2004-03-24,1448.891
2004-03-25,1442.666
2004-03-26,1462.603
2004-03-29,1466.717
2004-03-30,1485.658
2004-03-31,1503.095
2004-04-01,1525.128
2004-04-02,1512.712
2004-04-05,1513.923
2004-04-06,1527.727
2004-04-07,1548.199
2004-04-08,1542.587
2004-04-09,1542.587
2004-04-12,1550.479
2004-04-13,1519.899
2004-04-14,1474.522
2004-04-15,1477.775
2004-04-16,1493.328
2004-04-19,1508.505
2004-04-20,1499.862
2004-04-21,1483.665
2004-04-22,1473.932
2004-04-23,1485.655
2004-04-26,1483.447
2004-04-27,1481.335
2004-04-28,1462.423
2004-04-29,1428.596
2004-04-30,1436.854
2004-05-03,1420.124
2004-05-04,1446.46
2004-05-05,1463.276
2004-05-06,1447.248
2004-05-07,1402.442
2004-05-10,1357.415
2004-05-11,1357.478
2004-05-12,1373.805
2004-05-13,1360.586
2004-05-14,1358.994
2004-05-17,1344.549
2004-05-18,1355.313
2004-05-19,1389.614
2004-05-20,1368.994
2004-05-21,1390.436
2004-05-24,1386.963
2004-05-25,1395.82
2004-05-26,1411.399
2004-05-27,1439.049
2004-05-28,1424.358
2004-05-31,1433.538
2004-06-01,1425.931
2004-06-02,1411.18
2004-06-03,1387.161
2004-06-04,1395.827
2004-06-07,1427.637
2004-06-08,1421.769
2004-06-09,1394.938
2004-06-10,1408.357
2004-06-11,1405.983
2004-06-14,1405.273
2004-06-15,1393.231
2004-06-16,1395.939
2004-06-17,1396.633
2004-06-18,1417.341
2004-06-21,1428.447
2004-06-22,1411.882
2004-06-23,1418.452
2004-06-24,1427.414
2004-06-25,1426.938
2004-06-28,1432.749
2004-06-29,1408.619
2004-06-30,1426.525
2004-07-01,1441.529
2004-07-02,1458.958
2004-07-05,1456.766
2004-07-06,1470.937
2004-07-07,1488.319
2004-07-08,1486.144
2004-07-09,1481.592
2004-07-12,1493.093
2004-07-13,1488.353
2004-07-14,1476.296
2004-07-15,1478.322
2004-07-16,1500.235
2004-07-19,1507.544
2004-07-20,1488.841
2004-07-21,1465.781
2004-07-22,1459.015
2004-07-23,1438.134
2004-07-26,1435.01
2004-07-27,1422.949
2004-07-28,1424.013
2004-07-29,1423.137
2004-07-30,1448.654
2004-08-02,1457.394
2004-08-03,1465.118
2004-08-04,1460.704
2004-08-05,1448.332
2004-08-06,1463.227
2004-08-09,1457.252
2004-08-10,1449.801
2004-08-11,1447.636
2004-08-12,1434.942
2004-08-13,1442.101
2004-08-16,1445.818
2004-08-17,1446.669
2004-08-18,1443.077
2004-08-19,1465.417
2004-08-20,1469.16
2004-08-23,1476.534
2004-08-24,1456.89
2004-08-25,1449.311
2004-08-26,1444.812
2004-08-27,1460.505
2004-08-30,1450.704
2004-08-31,1467.037
2004-09-01,1471.672
2004-09-02,1459.433
2004-09-03,1447.586
2004-09-06,1452.345
2004-09-07,1460.227
2004-09-08,1460.736
2004-09-09,1447.64
2004-09-10,1480.7
2004-09-13,1476.942
2004-09-14,1504.342
2004-09-15,1495.515
2004-09-16,1506.348
2004-09-17,1507.7
2004-09-20,1518.743
2004-09-21,1521.929
2004-09-22,1539.964
2004-09-23,1551.778
2004-09-24,1537.544
2004-09-27,1540.156
2004-09-28,1554.999
2004-09-29,1569.766
2004-09-30,1591.583
2004-10-01,1584.612
2004-10-04,1599.085
2004-10-05,1606.886
2004-10-06,1607.43
2004-10-07,1618.638
2004-10-08,1626.16
2004-10-11,1629.994
2004-10-12,1626.35
2004-10-13,1607.457
2004-10-14,1618.525
2004-10-15,1621.78
2004-10-18,1604.139
2004-10-19,1609.658
2004-10-20,1613.789
2004-10-21,1621.252
2004-10-22,1626.101
2004-10-25,1628.365
2004-10-26,1644.157
2004-10-27,1667.573
2004-10-28,1670.541
2004-10-29,1664.669
2004-11-01,1670.913
2004-11-02,1676.212
2004-11-03,1718.091
2004-11-04,1727.356
2004-11-05,1728.64
2004-11-08,1708.757
2004-11-09,1719.011
2004-11-10,1728.303
2004-11-11,1747.911
2004-11-12,1761.685
2004-11-15,1783.27
2004-11-16,1781.134
2004-11-17,1801.141
2004-11-18,1796.938
2004-11-19,1813.44
2004-11-22,1792.929
2004-11-23,1822.477
2004-11-24,1839.825
2004-11-25,1868.443
2004-11-26,1868.092
2004-11-29,1867.964
2004-11-30,1845.86
2004-12-01,1822.894
2004-12-02,1845.856
2004-12-03,1843.315
2004-12-06,1846.454
2004-12-07,1829.754
2004-12-08,1760.298
2004-12-09,1745.777
2004-12-10,1754.472
2004-12-13,1777.259
2004-12-14,1792.155
2004-12-15,1810.167
2004-12-16,1807.804
2004-12-17,1821.111
2004-12-20,1841.633
2004-12-21,1857.352
2004-12-22,1865.446
2004-12-23,1870.141
2004-12-24,1890.048
2004-12-27,1902.917
2004-12-28,1903.898
2004-12-29,1891.972
