Date,DENMARK SMALL VALUE Small Cap
2001-10-31,130.639
2001-11-30,127.052
2001-12-31,130.895
2002-01-31,138.066
2002-02-28,140.284
2002-03-29,146.461
2002-04-30,157.579
2002-05-31,165.547
2002-06-28,165.311
2002-07-31,156.823
2002-08-30,160.045
2002-09-30,151.481
2002-10-31,148.486
2002-11-29,151.607
2002-12-31,163.182
2003-01-31,164.676
2003-02-28,162.292
2003-03-31,166.383
2003-04-30,187.75
2003-05-30,205.891
2003-06-30,214.52
2003-07-31,210.263
2003-08-29,220.524
2003-09-30,231.035
2003-10-31,246.957
2003-11-28,252.432
2003-12-31,276.668
2004-01-30,298.702
2004-02-27,306.569
2004-03-31,302.814
2004-04-30,295.453
2004-05-31,302.597
2004-06-30,322.439
2004-07-30,317.278
2004-08-31,321.462
2004-09-30,343.942
2004-10-29,362.36
2004-11-30,415.613
2004-12-31,432.124
2005-01-31,430.43
2005-02-28,461.745
2005-03-31,463.289
2005-04-29,458.267
2005-05-31,478.083
2005-06-30,490.441
2005-07-29,513.017
2005-08-31,514.223
2005-09-30,527.867
2005-10-31,497.419
2005-11-30,515.063
2005-12-30,548.964
2006-01-31,578.619
2006-02-28,598.63
2006-03-31,666.08
2006-04-28,719.594
2006-05-31,687.462
2006-06-30,666.626
2006-07-31,668.295
2006-08-31,693.315
2006-09-29,700.49
2006-10-31,749.215
2006-11-30,842.664
2006-12-29,873.24
2007-01-31,892.01
2007-02-28,892.738
2007-03-30,930.809
2007-04-30,1001.469
2007-05-31,1000.0
2007-06-29,973.063
2007-07-31,1006.335
2007-08-31,967.56
2007-09-28,989.439
2007-10-31,1042.827
2007-11-30,902.148
2007-12-31,860.441
2008-01-31,717.383
2008-02-29,772.919
2008-03-31,795.979
2008-04-30,806.281
2008-05-30,799.16
2008-06-30,704.978
2008-07-31,658.736
2008-08-29,628.318
2008-09-30,469.517
2008-10-31,309.603
2008-11-28,257.543
2008-12-31,269.511
2009-01-30,266.327
2009-02-27,231.821
2009-03-31,230.242
2009-04-30,280.684
2009-05-29,339.55
2009-06-30,331.393
2009-07-31,388.043
2009-08-31,416.21
2009-09-30,454.198
2009-10-30,452.305
2009-11-30,444.14
2009-12-31,467.391
2010-01-29,475.803
2010-02-26,460.409
2010-03-31,498.121
2010-04-30,501.713
2010-05-31,411.452
2010-06-30,408.593
2010-07-30,456.937
2010-08-31,436.063
2010-09-30,515.1
2010-10-29,532.779
2010-11-30,487.72
2010-12-31,561.192
2011-01-31,620.828
2011-02-28,613.736
2011-03-31,616.794
2011-04-29,661.398
2011-05-31,635.926
2011-06-30,577.687
2011-07-29,575.677
2011-08-31,460.22
2011-09-30,414.833
2011-10-31,439.692
2011-11-30,410.121
2011-12-30,367.682
2012-01-31,430.27
2012-02-29,488.696
2012-03-30,466.165
2012-04-30,462.416
2012-05-31,406.27
2012-06-29,405.429
2012-07-31,394.217
2012-08-31,444.525
2012-09-28,464.925
2012-10-31,457.648
2012-11-30,452.246
2012-12-31,467.409
2013-01-31,517.959
2013-02-28,544.818
2013-03-29,568.22
2013-04-30,614.555
2013-05-31,695.305
2013-06-28,662.358
2013-07-31,797.407
2013-08-30,801.796
2013-09-30,932.107
2013-10-31,1001.971
2013-11-29,1017.386
2013-12-31,1033.918
2014-01-31,1015.553
2014-02-28,1104.996
2014-03-31,1042.274
2014-04-30,1071.227
2014-05-30,1118.718
2014-06-30,1114.306
2014-07-31,1073.499
2014-08-29,1085.551
2014-09-30,1028.555
2014-10-31,1017.918
2014-11-28,1001.251
2014-12-31,993.024
2015-01-30,931.882
2015-02-27,974.497
2015-03-31,981.345
2015-04-30,1074.372
2015-05-29,1117.736
2015-06-30,1144.334
2015-07-31,1154.221
2015-08-31,1150.269
2015-09-30,1116.291
2015-10-30,1039.114
2015-11-30,1020.624
2015-12-31,1021.168
2016-01-29,957.607
2016-02-29,957.003
2016-03-31,1034.68
2016-04-29,993.335
2016-05-31,990.162
2016-06-30,916.384
2016-07-29,981.864
2016-08-31,1073.257
2016-09-30,1070.094
2016-10-31,1064.847
2016-11-30,1026.86
2016-12-30,1087.915
2017-01-31,1162.399
2017-02-28,1172.238
2017-03-31,1211.742
2017-04-28,1293.094
2017-05-31,1307.825
2017-06-30,1352.812
2017-07-31,1440.116
2017-08-31,1427.686
2017-09-29,1454.913
2017-10-31,1421.019
2017-11-30,1361.33
2017-12-29,1420.083
2018-01-31,1447.873
2018-02-28,1417.665
2018-03-30,1376.463
2018-04-30,1386.089
2018-05-31,1302.585
2018-06-29,1284.156
2018-07-31,1357.645
2018-08-31,1236.302
2018-09-28,1196.476
2018-10-31,1034.683
2018-11-30,1000.485
2018-12-31,933.146
2019-01-31,979.902
2019-02-28,1004.328
2019-03-29,965.152
2019-04-30,1006.533
2019-05-31,919.835
2019-06-28,947.13
2019-07-31,887.981
2019-08-30,797.713
2019-09-30,865.377
2019-10-31,881.793
2019-11-29,900.018
2019-12-31,983.438
2020-01-31,955.218
2020-02-28,867.571
2020-03-31,652.346
2020-04-30,748.415
2020-05-29,813.72
2020-06-30,814.443
2020-07-31,854.725
2020-08-31,884.013
2020-09-30,845.461
2020-10-30,812.249
2020-11-30,986.52
2020-12-31,1039.545
2021-01-29,1015.071
2021-02-26,1100.554
2021-03-31,1156.205
2021-04-30,1206.09
2021-05-31,1257.211
2021-06-30,1256.036
2021-07-30,1256.76
2021-08-31,1242.648
2021-09-30,1189.452
2021-10-29,1261.496
2021-11-30,1178.942
2021-12-31,1252.952
2022-01-31,1244.527
2022-02-28,1179.858
2022-03-31,1228.4
2022-04-29,1220.36
2022-05-31,1240.152
2022-06-30,1096.041
2022-07-29,1177.223
2022-08-31,1133.205
2022-09-30,1020.544
2022-10-31,1104.081
2022-11-30,1248.62
2022-12-30,1342.767
2023-01-31,1431.973
2023-02-28,1534.885
2023-03-31,1475.013
2023-04-28,1520.474
2023-05-31,1430.259
2023-06-30,1489.502
2023-07-31,1497.211
2023-08-31,1450.578
2023-09-29,1434.065
2023-10-31,1355.676
2023-11-30,1426.286
2023-12-29,1477.683
2024-01-31,1526.867
2024-02-29,1570.461
2024-03-29,1573.536
2024-04-30,1579.092
2024-05-31,1674.591
2024-06-28,1680.726
2024-07-31,1722.258
2024-08-30,1726.188
2024-09-30,1706.268
2024-10-31,1572.576
2024-11-29,1546.222
2024-12-31,1578.217
2025-01-31,1612.858
2025-02-28,1673.664
2025-03-31,1683.422
2025-04-30,1752.52
2025-05-30,1874.063
2025-06-30,1960.912
2025-07-31,1951.515
2025-08-29,2118.316
2025-09-30,2175.33
