Date,AUSTRIA SMALL CAP Small Cap
2019-05-31,830.696
2019-06-28,864.913
2019-07-31,837.651
2019-08-30,826.21
2019-09-30,837.807
2019-10-31,891.607
2019-11-29,889.418
2019-12-31,926.659
2020-01-31,908.814
2020-02-28,823.95
2020-03-31,635.09
2020-04-30,667.212
2020-05-29,675.092
2020-06-30,678.485
2020-07-31,690.85
2020-08-31,725.039
2020-09-30,699.015
2020-10-30,670.902
2020-11-30,820.435
2020-12-31,898.512
2021-01-29,944.201
2021-02-26,969.726
2021-03-31,990.844
2021-04-30,1054.935
2021-05-31,1100.651
2021-06-30,1073.912
2021-07-30,1098.386
2021-08-31,1116.423
2021-09-30,1066.775
2021-10-29,1100.949
2021-11-30,1044.935
2021-12-31,1102.685
2022-01-31,1084.179
2022-02-28,1008.28
2022-03-31,981.554
2022-04-29,938.593
2022-05-31,968.141
2022-06-30,830.721
2022-07-29,870.873
2022-08-31,859.017
2022-09-30,766.274
2022-10-31,828.425
2022-11-30,911.448
2022-12-30,914.159
2023-01-31,1024.731
2023-02-28,1038.008
2023-03-31,984.659
2023-04-28,1012.35
2023-05-31,927.979
2023-06-30,978.828
2023-07-31,1009.688
2023-08-31,954.747
2023-09-29,921.74
2023-10-31,885.742
2023-11-30,992.492
2023-12-29,1091.038
2024-01-31,1066.925
2024-02-29,1079.391
2024-03-29,1125.151
2024-04-30,1107.718
2024-05-31,1165.06
2024-06-28,1146.133
2024-07-31,1207.073
2024-08-30,1230.327
2024-09-30,1212.042
2024-10-31,1107.411
2024-11-29,1093.299
2024-12-31,1095.796
2025-01-31,1186.052
2025-02-28,1294.029
2025-03-31,1313.629
2025-04-30,1457.93
2025-05-30,1563.781
2025-06-30,1618.005
2025-07-31,1590.14
2025-08-29,1668.14
2025-09-30,1688.86
2025-10-31,1694.285
2025-11-28,1794.787
