Date,BELGIUM VALUE Standard (Large+Mid Cap)
2002-05-09,7886.21
2002-05-10,7881.338
2002-05-13,7905.407
2002-05-14,7893.658
2002-05-15,7941.263
2002-05-16,7930.836
2002-05-17,7928.196
2002-05-20,7909.165
2002-05-21,7940.123
2002-05-22,7922.731
2002-05-23,7963.296
2002-05-24,7919.84
2002-05-27,7878.467
2002-05-28,7935.44
2002-05-29,8137.295
2002-05-30,8076.058
2002-05-31,8086.45
2002-06-03,8023.276
2002-06-04,7822.24
2002-06-05,7669.852
2002-06-06,7838.386
2002-06-07,7845.609
2002-06-10,7813.908
2002-06-11,7849.411
2002-06-12,7589.164
2002-06-13,7375.702
2002-06-14,7254.789
2002-06-17,7572.958
2002-06-18,7564.679
2002-06-19,7527.632
2002-06-20,7380.953
2002-06-21,7487.207
2002-06-24,7240.185
2002-06-25,7420.701
2002-06-26,7409.237
2002-06-27,7406.765
2002-06-28,7818.317
2002-07-01,7794.644
2002-07-02,7459.556
2002-07-03,7167.434
2002-07-04,7364.612
2002-07-05,7667.532
2002-07-08,7831.366
2002-07-09,7779.308
2002-07-10,7348.195
2002-07-11,6924.123
2002-07-12,7008.312
2002-07-15,6833.662
2002-07-16,6732.951
2002-07-17,6909.823
2002-07-18,7092.856
2002-07-19,6692.972
2002-07-22,6206.951
2002-07-23,5716.137
2002-07-24,5679.224
2002-07-25,6059.121
2002-07-26,5981.448
2002-07-29,6385.563
2002-07-30,6480.632
2002-07-31,6491.873
2002-08-01,6042.576
2002-08-02,5960.137
2002-08-05,5825.916
2002-08-06,5824.169
2002-08-07,5898.706
2002-08-08,6105.962
2002-08-09,6217.642
2002-08-12,6139.602
2002-08-13,6123.347
2002-08-14,6021.71
2002-08-15,6268.065
2002-08-16,6344.672
2002-08-19,6562.095
2002-08-20,6384.541
2002-08-21,6448.408
2002-08-22,6782.775
2002-08-23,6784.752
2002-08-26,6677.615
2002-08-27,7014.653
2002-08-28,6705.464
2002-08-29,6508.795
2002-08-30,6605.101
2002-09-02,6526.827
2002-09-03,6405.417
2002-09-04,6461.112
2002-09-05,6351.432
2002-09-06,6483.593
2002-09-09,6353.817
2002-09-10,6569.298
2002-09-11,6746.861
2002-09-12,6593.607
2002-09-13,6382.751
2002-09-16,6249.326
2002-09-17,6186.486
2002-09-18,5790.111
2002-09-19,5728.75
2002-09-20,5679.091
2002-09-23,5420.949
2002-09-24,5236.479
2002-09-25,5375.835
2002-09-26,5696.148
2002-09-27,5612.419
2002-09-30,5315.346
2002-10-01,5438.409
2002-10-02,5601.63
2002-10-03,5560.186
2002-10-04,5292.574
2002-10-07,5319.777
2002-10-08,5074.175
2002-10-09,5024.61
2002-10-10,5248.2
2002-10-11,5633.624
2002-10-14,5657.806
2002-10-15,6057.153
2002-10-16,6021.284
2002-10-17,6054.609
2002-10-18,6126.978
2002-10-21,6103.25
2002-10-22,6234.842
2002-10-23,5985.838
2002-10-24,6005.418
2002-10-25,5977.463
2002-10-28,6156.319
2002-10-29,5924.599
2002-10-30,6064.634
2002-10-31,6248.325
2002-11-01,6237.719
2002-11-04,6413.198
2002-11-05,6534.119
2002-11-06,6465.947
2002-11-07,6354.475
2002-11-08,6258.24
2002-11-11,6207.26
2002-11-12,6172.83
2002-11-13,6179.215
2002-11-14,6404.01
2002-11-15,6481.504
2002-11-18,6578.355
2002-11-19,6594.34
2002-11-20,6494.684
2002-11-21,6660.971
2002-11-22,6474.502
2002-11-25,6383.688
2002-11-26,6073.548
2002-11-27,6220.647
2002-11-28,6278.227
2002-11-29,6329.335
2002-12-02,6308.799
2002-12-03,6135.034
2002-12-04,5996.919
2002-12-05,5880.093
2002-12-06,6057.115
2002-12-09,5831.369
2002-12-10,5960.516
2002-12-11,6077.041
2002-12-12,5999.115
2002-12-13,5894.661
2002-12-16,6162.99
2002-12-17,6245.639
2002-12-18,6120.828
2002-12-19,6038.373
2002-12-20,6103.118
2002-12-23,6248.57
2002-12-24,6259.608
2002-12-25,6259.608
2002-12-26,6275.393
2002-12-27,6135.877
2002-12-30,6185.177
2002-12-31,6348.903
2003-01-01,6348.903
2003-01-02,6521.476
2003-01-03,6427.266
2003-01-06,6506.239
2003-01-07,6413.181
2003-01-08,6183.495
2003-01-09,6293.288
2003-01-10,6221.271
2003-01-13,6348.207
2003-01-14,6348.289
2003-01-15,6366.353
2003-01-16,6298.007
2003-01-17,6149.303
2003-01-20,6066.649
2003-01-21,5952.234
2003-01-22,5814.304
2003-01-23,5850.557
2003-01-24,5858.83
2003-01-27,5636.814
2003-01-28,5634.98
2003-01-29,5559.7
2003-01-30,5676.982
2003-01-31,5844.2
2003-02-03,5904.715
2003-02-04,5744.719
2003-02-05,5765.173
2003-02-06,5591.622
2003-02-07,5513.294
2003-02-10,5414.441
2003-02-11,5598.387
2003-02-12,5460.565
2003-02-13,5480.946
2003-02-14,5601.084
2003-02-17,5715.557
2003-02-18,5796.313
2003-02-19,5668.901
2003-02-20,5611.817
2003-02-21,5617.665
2003-02-24,5354.55
2003-02-25,5153.666
2003-02-26,4955.538
2003-02-27,4951.16
2003-02-28,5089.468
2003-03-03,5186.556
2003-03-04,5026.842
2003-03-05,4969.625
2003-03-06,4873.717
2003-03-07,4689.165
2003-03-10,4477.8
2003-03-11,4320.425
