Date,Open,High,Low,Close,Volume
2020-07-10,62.76,62.76,62.76,62.76,0.0
2020-07-13,62.7,62.7,62.7,62.7,0.0
2020-07-14,63.18,63.18,63.18,63.18,0.0
2020-07-15,63.96,63.96,63.96,63.96,0.0
2020-07-16,63.65,63.65,63.65,63.65,0.0
2020-07-17,63.75,63.75,63.75,63.75,0.0
2020-07-20,63.99,63.99,63.99,63.99,0.0
2020-07-21,64.47,64.47,64.47,64.47,0.0
2020-07-22,64.74,64.74,64.74,64.74,0.0
2020-07-23,64.11,64.11,64.11,64.11,0.0
2020-07-24,63.69,63.69,63.69,63.69,0.0
2020-07-27,64.18,64.18,64.18,64.18,0.0
2020-07-28,63.86,63.86,63.86,63.86,0.0
2020-07-29,64.62,64.62,64.62,64.62,0.0
2020-07-30,64.07,64.07,64.07,64.07,0.0
2020-07-31,64.25,64.25,64.25,64.25,0.0
2020-08-04,64.84,64.84,64.84,64.84,0.0
2020-08-05,65.39,65.39,65.39,65.39,0.0
2020-08-06,65.72,65.72,65.72,65.72,0.0
2020-08-07,65.89,65.89,65.89,65.89,0.0
2020-08-10,65.98,65.98,65.98,65.98,0.0
2020-08-11,65.77,65.77,65.77,65.77,0.0
2020-08-12,66.52,66.52,66.52,66.52,0.0
2020-08-13,66.24,66.24,66.24,66.24,0.0
2020-08-14,66.13,66.13,66.13,66.13,0.0
2020-08-17,66.19,66.19,66.19,66.19,0.0
2020-08-18,66.29,66.29,66.29,66.29,0.0
2020-08-19,66.09,66.09,66.09,66.09,0.0
2020-08-20,66.09,66.09,66.09,66.09,0.0
2020-08-21,66.26,66.26,66.26,66.26,0.0
2020-08-24,66.86,66.86,66.86,66.86,0.0
2020-08-25,67.13,67.13,67.13,67.13,0.0
2020-08-26,67.72,67.72,67.72,67.72,0.0
2020-08-27,67.9,67.9,67.9,67.9,0.0
2020-08-28,68.35,68.35,68.35,68.35,0.0
2020-09-01,68.34,68.34,68.34,68.34,0.0
2020-09-02,69.54,69.54,69.54,69.54,0.0
2020-09-03,67.65,67.65,67.65,67.65,0.0
2020-09-04,67.09,67.09,67.09,67.09,0.0
2020-09-08,65.63,65.63,65.63,65.63,0.0
2020-09-09,66.65,66.65,66.65,66.65,0.0
2020-09-10,65.88,65.88,65.88,65.88,0.0
2020-09-11,65.96,65.96,65.96,65.96,0.0
2020-09-14,66.95,66.95,66.95,66.95,0.0
2020-09-15,67.27,67.27,67.27,67.27,0.0
2020-09-16,67.19,67.19,67.19,67.19,0.0
2020-09-17,66.73,66.73,66.73,66.73,0.0
2020-09-18,66.33,66.33,66.33,66.33,0.0
2020-09-21,65.21,65.21,65.21,65.21,0.0
2020-09-22,65.35,65.35,65.35,65.35,0.0
2020-09-23,64.12,64.12,64.12,64.12,0.0
2020-09-24,64.02,64.02,64.02,64.02,0.0
2020-09-25,64.73,64.73,64.73,64.73,0.0
2020-09-28,65.7,65.7,65.7,65.7,0.0
2020-09-29,65.4,65.4,65.4,65.4,0.0
2020-09-30,65.94,65.94,65.94,65.94,0.0
2020-10-01,66.17,66.17,66.17,66.17,0.0
2020-10-02,65.75,65.75,65.75,65.75,0.0
2020-10-05,66.69,66.69,66.69,66.69,0.0
2020-10-06,66.0,66.0,66.0,66.0,0.0
2020-10-07,66.99,66.99,66.99,66.99,0.0
2020-10-08,67.6,67.6,67.6,67.6,0.0
2020-10-09,68.35,68.35,68.35,68.35,0.0
2020-10-12,69.21,69.21,69.21,69.21,0.0
2020-10-13,68.61,68.61,68.61,68.61,0.0
2020-10-14,68.24,68.24,68.24,68.24,0.0
2020-10-15,67.88,67.88,67.88,67.88,0.0
2020-10-16,68.15,68.15,68.15,68.15,0.0
2020-10-19,67.28,67.28,67.28,67.28,0.0
2020-10-20,67.46,67.46,67.46,67.46,0.0
2020-10-21,67.3,67.3,67.3,67.3,0.0
2020-10-22,67.77,67.77,67.77,67.77,0.0
2020-10-23,67.96,67.96,67.96,67.96,0.0
2020-10-27,65.79,65.79,65.79,65.79,0.0
2020-10-28,63.56,63.56,63.56,63.56,0.0
2020-10-29,63.97,63.97,63.97,63.97,0.0
2020-10-30,63.6,63.6,63.6,63.6,0.0
2020-11-02,64.33,64.33,64.33,64.33,0.0
2020-11-03,65.65,65.65,65.65,65.65,0.0
2020-11-04,67.43,67.43,67.43,67.43,0.0
2020-11-05,68.47,68.47,68.47,68.47,0.0
2020-11-06,68.38,68.38,68.38,68.38,0.0
2020-11-09,70.21,70.21,70.21,70.21,0.0
2020-11-10,70.23,70.23,70.23,70.23,0.0
2020-11-11,70.58,70.58,70.58,70.58,0.0
2020-11-12,70.07,70.07,70.07,70.07,0.0
2020-11-13,70.8,70.8,70.8,70.8,0.0
2020-11-16,71.57,71.57,71.57,71.57,0.0
2020-11-17,71.17,71.17,71.17,71.17,0.0
2020-11-18,70.48,70.48,70.48,70.48,0.0
2020-11-19,70.65,70.65,70.65,70.65,0.0
