Date,GERMANY LARGE VALUE Large Cap
2019-03-29,855.724
2019-04-30,919.179
2019-05-31,842.73
2019-06-28,913.089
2019-07-31,881.934
2019-08-30,864.101
2019-09-30,887.542
2019-10-31,958.597
2019-11-29,952.906
2019-12-31,968.91
2020-01-31,919.021
2020-02-28,830.211
2020-03-31,666.892
2020-04-30,741.867
2020-05-29,803.362
2020-06-30,875.946
2020-07-31,896.899
2020-08-31,959.629
2020-09-30,926.932
2020-10-30,844.713
2020-11-30,1019.964
2020-12-31,1066.015
2021-01-29,1047.524
2021-02-26,1087.78
2021-03-31,1181.843
2021-04-30,1201.316
2021-05-31,1246.537
2021-06-30,1206.909
2021-07-30,1196.353
2021-08-31,1197.429
2021-09-30,1146.904
2021-10-29,1157.38
2021-11-30,1067.155
2021-12-31,1144.569
2022-01-31,1142.318
2022-02-28,1063.346
2022-03-31,1034.071
2022-04-29,957.505
2022-05-31,1006.013
2022-06-30,855.881
2022-07-29,868.743
2022-08-31,818.632
2022-09-30,750.351
2022-10-31,837.624
2022-11-30,954.151
2022-12-30,947.917
2023-01-31,1065.845
2023-02-28,1049.602
2023-03-31,1079.288
2023-04-28,1128.129
2023-05-31,1082.326
2023-06-30,1138.966
2023-07-31,1173.874
2023-08-31,1108.729
2023-09-29,1050.536
2023-10-31,995.827
2023-11-30,1099.32
2023-12-29,1178.424
2024-01-31,1143.273
2024-02-29,1179.164
2024-03-29,1221.134
2024-04-30,1181.153
2024-05-31,1235.782
2024-06-28,1191.431
2024-07-31,1202.001
2024-08-30,1263.228
2024-09-30,1305.886
2024-10-31,1228.505
2024-11-29,1199.738
2024-12-31,1175.217
2025-01-31,1271.786
2025-02-28,1344.298
2025-03-31,1384.062
2025-04-30,1464.025
2025-05-30,1525.744
2025-06-30,1559.167
2025-07-31,1568.747
2025-08-29,1636.405
2025-09-30,1600.913
2025-10-31,1585.805
2025-11-28,1643.005
