Date,USA GROWTH Standard (Large+Mid Cap)
1999-06-30,4182.039
1999-07-30,4024.291
1999-08-31,4108.48
1999-09-30,4050.698
1999-10-29,4349.544
1999-11-30,4539.628
1999-12-31,5049.598
2000-01-31,4686.565
2000-02-29,4737.851
2000-03-31,5193.523
2000-04-28,4844.365
2000-05-31,4571.484
2000-06-30,4927.643
2000-07-31,4709.194
2000-08-31,4963.043
2000-09-29,4458.277
2000-10-31,4322.112
2000-11-30,3886.945
2000-12-29,3686.251
2001-01-31,3906.14
2001-02-28,3350.319
2001-03-30,3053.406
2001-04-30,3333.194
2001-05-31,3326.11
2001-06-29,3254.702
2001-07-31,3232.688
2001-08-31,2996.691
2001-09-28,2781.198
2001-10-31,2907.353
2001-11-30,3183.315
2001-12-31,3194.473
2002-01-31,3140.286
2002-02-28,3124.29
2002-03-29,3157.033
2002-04-30,2912.399
2002-05-31,2874.958
2002-06-28,2644.356
2002-07-31,2536.63
2002-08-30,2549.8
2002-09-30,2274.149
2002-10-31,2490.734
2002-11-29,2591.238
2002-12-31,2459.909
2003-01-31,2390.64
2003-02-28,2378.405
2003-03-31,2435.095
2003-04-30,2585.604
2003-05-30,2667.694
2003-06-30,2698.419
2003-07-31,2766.505
2003-08-29,2821.185
2003-09-30,2782.276
2003-10-31,2954.301
2003-11-28,2973.943
2003-12-31,3069.932
2004-01-30,3135.017
2004-02-27,3155.27
2004-03-31,3098.747
2004-04-30,3062.584
2004-05-31,3121.14
2004-06-30,3157.237
2004-07-30,2984.363
2004-08-31,2965.783
2004-09-30,3005.554
2004-10-29,3053.557
2004-11-30,3166.993
2004-12-31,3279.82
2005-01-31,3181.831
2005-02-28,3217.083
2005-03-31,3165.24
2005-04-29,3097.668
2005-05-31,3238.994
2005-06-30,3234.772
2005-07-29,3395.787
2005-08-31,3359.908
2005-09-30,3371.22
2005-10-31,3333.868
2005-11-30,3479.258
2005-12-30,3457.661
2006-01-31,3555.121
2006-02-28,3530.115
2006-03-31,3575.933
2006-04-28,3577.308
2006-05-31,3452.937
2006-06-30,3441.716
2006-07-31,3370.465
2006-08-31,3465.747
2006-09-29,3560.062
2006-10-31,3685.847
2006-11-30,3762.439
2006-12-29,3765.351
2007-01-31,3857.98
2007-02-28,3777.903
2007-03-30,3798.459
2007-04-30,3966.057
2007-05-31,4103.387
2007-06-29,4055.752
2007-07-31,3985.473
2007-08-31,4047.8
2007-09-28,4216.521
2007-10-31,4350.276
2007-11-30,4196.337
2007-12-31,4203.327
2008-01-31,3868.455
2008-02-29,3811.214
2008-03-31,3792.936
2008-04-30,4014.9
2008-05-30,4160.227
2008-06-30,3880.968
2008-07-31,3811.349
2008-08-29,3858.99
2008-09-30,3405.418
2008-10-31,2785.923
2008-11-28,2532.209
2008-12-31,2564.036
2009-01-30,2448.346
2009-02-27,2274.635
2009-03-31,2462.925
2009-04-30,2685.452
2009-05-29,2806.224
2009-06-30,2846.763
2009-07-31,3048.923
2009-08-31,3106.216
2009-09-30,3248.522
2009-10-30,3207.023
2009-11-30,3396.664
2009-12-31,3505.998
2010-01-29,3335.449
2010-02-26,3462.153
2010-03-31,3665.717
2010-04-30,3728.108
2010-05-31,3418.731
2010-06-30,3223.52
2010-07-30,3458.145
2010-08-31,3292.689
2010-09-30,3649.525
2010-10-29,3840.96
2010-11-30,3870.597
2010-12-31,4085.497
2011-01-31,4165.908
2011-02-28,4273.634
2011-03-31,4289.498
2011-04-29,4422.549
2011-05-31,4393.504
2011-06-30,4331.89
2011-07-29,4309.543
2011-08-31,4071.159
2011-09-30,3765.254
2011-10-31,4211.052
2011-11-30,4204.958
2011-12-30,4182.994
2012-01-31,4443.714
2012-02-29,4657.9
2012-03-30,4817.054
2012-04-30,4804.378
2012-05-31,4495.519
2012-06-29,4635.288
2012-07-31,4702.384
2012-08-31,4859.142
2012-09-28,4963.004
2012-10-31,4811.807
2012-11-30,4906.96
2012-12-31,4906.521
2013-01-31,5117.879
2013-02-28,5167.991
2013-03-29,5357.28
2013-04-30,5428.328
2013-05-31,5535.22
2013-06-28,5428.036
2013-07-31,5750.511
2013-08-30,5646.346
2013-09-30,5893.716
2013-10-31,6140.257
2013-11-29,6327.643
2013-12-31,6515.988
2014-01-31,6306.548
2014-02-28,6645.539
2014-03-31,6558.798
2014-04-30,6558.424
2014-05-30,6777.699
2014-06-30,6924.335
2014-07-31,6847.627
2014-08-29,7156.55
2014-09-30,7040.09
2014-10-31,7239.666
2014-11-28,7493.362
2014-12-31,7452.231
2015-01-30,7329.253
2015-02-27,7819.368
2015-03-31,7754.225
2015-04-30,7750.173
2015-05-29,7883.324
2015-06-30,7786.767
2015-07-31,8035.179
2015-08-31,7526.193
2015-09-30,7285.241
2015-10-30,7909.323
2015-11-30,7935.468
2015-12-31,7792.78
2016-01-29,7300.161
2016-02-29,7275.191
2016-03-31,7779.734
2016-04-29,7763.113
2016-05-31,7916.167
2016-06-30,7864.028
2016-07-29,8228.47
2016-08-31,8203.56
2016-09-30,8232.062
2016-10-31,8039.169
2016-11-30,8226.101
2016-12-30,8298.308
2017-01-31,8608.584
2017-02-28,8967.986
2017-03-31,9056.434
2017-04-28,9261.339
2017-05-31,9495.434
2017-06-30,9440.556
2017-07-31,9686.95
2017-08-31,9830.093
2017-09-29,9945.392
2017-10-31,10273.292
2017-11-30,10587.042
2017-12-29,10682.562
2018-01-31,11499.651
2018-02-28,11223.899
2018-03-30,10912.768
2018-04-30,10975.275
2018-05-31,11439.178
2018-06-29,11530.205
2018-07-31,11868.046
2018-08-31,12484.467
2018-09-28,12544.599
2018-10-31,11374.165
2018-11-30,11478.033
2018-12-31,10466.286
2019-01-31,11436.783
2019-02-28,11841.091
2019-03-29,12181.723
2019-04-30,12763.351
2019-05-31,11980.144
2019-06-28,12842.69
2019-07-31,13106.334
2019-08-30,12987.594
2019-09-30,13003.386
2019-10-31,13381.234
2019-11-29,13984.079
2019-12-31,14412.971
2020-01-31,14825.605
2020-02-28,13830.457
2020-03-31,12449.306
2020-04-30,14355.555
2020-05-29,15378.368
2020-06-30,16163.662
2020-07-31,17433.043
2020-08-31,19269.506
2020-09-30,18317.416
2020-10-30,17788.737
2020-11-30,19633.578
2020-12-31,20618.782
2021-01-29,20479.491
2021-02-26,20609.049
2021-03-31,20738.179
2021-04-30,22267.423
2021-05-31,21876.677
2021-06-30,23338.988
2021-07-30,24162.446
2021-08-31,25096.529
2021-09-30,23655.731
2021-10-29,25589.655
2021-11-30,25730.48
2021-12-31,26027.793
2022-01-31,23709.414
2022-02-28,22737.895
2022-03-31,23683.292
2022-04-29,20474.063
2022-05-31,19917.221
2022-06-30,18250.486
2022-07-29,20682.63
2022-08-31,19641.764
2022-09-30,17602.403
2022-10-31,18404.248
2022-11-30,19274.908
2022-12-30,17706.03
2023-01-31,19531.768
2023-02-28,19273.311
2023-03-31,20786.467
2023-04-28,21042.583
2023-05-31,22097.963
2023-06-30,23668.89
2023-07-31,24451.054
2023-08-31,24214.606
2023-09-29,22852.957
2023-10-31,22438.229
2023-11-30,24995.503
2023-12-29,25978.917
2024-01-31,26641.552
2024-02-29,28560.471
2024-03-29,29024.276
2024-04-30,27849.387
2024-05-31,29682.688
2024-06-28,31742.789
2024-07-31,31150.937
2024-08-30,31764.648
2024-09-30,32572.338
2024-10-31,32466.592
2024-11-29,34753.256
2024-12-31,35329.967
2025-01-31,35967.431
2025-02-28,34587.239
2025-03-31,31464.008
2025-04-30,32249.132
2025-05-30,35478.891
2025-06-30,37523.91
2025-07-31,38982.665
2025-08-29,39476.247
2025-09-30,41564.479
2025-10-31,43704.167
2025-11-28,43090.315
2025-12-31,42771.543
