Date,USA GROWTH Standard (Large+Mid Cap)
2005-05-31,2625.439
2005-06-30,2621.54
2005-07-29,2751.705
2005-08-31,2721.63
2005-09-30,2730.419
2005-10-31,2699.727
2005-11-30,2816.47
2005-12-30,2798.362
2006-01-31,2876.804
2006-02-28,2855.66
2006-03-31,2892.124
2006-04-28,2892.821
2006-05-31,2791.2
2006-06-30,2781.644
2006-07-31,2723.653
2006-08-31,2799.641
2006-09-29,2875.352
2006-10-31,2976.494
2006-11-30,3037.317
2006-12-29,3038.962
2007-01-31,3113.316
2007-02-28,3047.626
2007-03-30,3063.507
2007-04-30,3198.214
2007-05-31,3307.766
2007-06-29,3268.783
2007-07-31,3211.508
2007-08-31,3260.493
2007-09-28,3395.804
2007-10-31,3502.929
2007-11-30,3377.614
2007-12-31,3382.317
2008-01-31,3112.394
2008-02-29,3065.283
2008-03-31,3049.79
2008-04-30,3227.744
2008-05-30,3343.413
2008-06-30,3118.341
2008-07-31,3061.826
2008-08-29,3098.933
2008-09-30,2734.064
2008-10-31,2236.088
2008-11-28,2031.245
2008-12-31,2055.794
2009-01-30,1962.595
2009-02-27,1822.302
2009-03-31,1972.267
2009-04-30,2149.816
2009-05-29,2245.407
2009-06-30,2276.964
2009-07-31,2438.089
2009-08-31,2482.705
2009-09-30,2595.691
2009-10-30,2561.879
2009-11-30,2712.088
2009-12-31,2798.482
2010-01-29,2661.913
2010-02-26,2761.937
2010-03-31,2923.34
2010-04-30,2972.593
2010-05-31,2724.827
2010-06-30,2568.433
2010-07-30,2754.909
2010-08-31,2621.787
2010-09-30,2905.069
2010-10-29,3056.893
2010-11-30,3079.087
2010-12-31,3248.925
2011-01-31,3312.356
2011-02-28,3396.767
2011-03-31,3408.181
2011-04-29,3513.296
2011-05-31,3488.637
2011-06-30,3438.44
2011-07-29,3420.219
2011-08-31,3229.363
2011-09-30,2985.697
2011-10-31,3338.542
2011-11-30,3331.779
2011-12-30,3313.062
2012-01-31,3519.068
2012-02-29,3687.017
2012-03-30,3811.563
2012-04-30,3800.849
2012-05-31,3554.693
2012-06-29,3663.842
2012-07-31,3716.351
2012-08-31,3837.951
2012-09-28,3918.684
2012-10-31,3798.296
2012-11-30,3870.872
2012-12-31,3867.187
2013-01-31,4033.219
2013-02-28,4070.84
2013-03-29,4218.207
2013-04-30,4273.32
2013-05-31,4355.391
2013-06-28,4269.555
2013-07-31,4522.219
2013-08-30,4438.306
2013-09-30,4631.222
2013-10-31,4824.091
2013-11-29,4969.152
2013-12-31,5115.283
2014-01-31,4949.846
2014-02-28,5213.954
2014-03-31,5144.079
2014-04-30,5142.766
2014-05-30,5312.65
2014-06-30,5425.913
2014-07-31,5364.852
2014-08-29,5604.462
2014-09-30,5511.981
2014-10-31,5667.113
2014-11-28,5862.991
2014-12-31,5828.968
2015-01-30,5731.634
2015-02-27,6112.223
2015-03-31,6059.597
2015-04-30,6055.058
2015-05-29,6156.893
2015-06-30,6079.706
2015-07-31,6272.501
2015-08-31,5872.983
2015-09-30,5683.371
2015-10-30,6168.724
2015-11-30,6186.718
2015-12-31,6073.128
2016-01-29,5688.235
2016-02-29,5666.164
2016-03-31,6056.673
2016-04-29,6042.578
2016-05-31,6159.009
2016-06-30,6116.629
2016-07-29,6398.757
2016-08-31,6376.444
2016-09-30,6397.161
2016-10-31,6245.713
2016-11-30,6387.612
2016-12-30,6441.957
2017-01-31,6681.68
2017-02-28,6957.789
2017-03-31,7024.503
2017-04-28,7181.9
2017-05-31,7359.418
2017-06-30,7315.067
2017-07-31,7503.883
2017-08-31,7611.148
2017-09-29,7698.868
2017-10-31,7951.272
2017-11-30,8190.374
2017-12-29,8262.857
2018-01-31,8893.512
2018-02-28,8677.092
2018-03-30,8434.686
2018-04-30,8481.509
2018-05-31,8836.293
2018-06-29,8905.06
2018-07-31,9164.455
2018-08-31,9636.83
2018-09-28,9681.64
2018-10-31,8776.924
2018-11-30,8853.158
2018-12-31,8071.16
2019-01-31,8818.653
2019-02-28,9126.416
2019-03-29,9387.217
2019-04-30,9834.443
2019-05-31,9226.751
2019-06-28,9889.364
2019-07-31,10091.403
2019-08-30,9995.611
2019-09-30,10006.028
2019-10-31,10295.576
2019-11-29,10755.287
2019-12-31,11082.802
2020-01-31,11398.517
2020-02-28,10629.55
2020-03-31,9566.155
2020-04-30,11029.596
2020-05-29,11811.284
2020-06-30,12412.864
2020-07-31,13386.562
2020-08-31,14792.953
2020-09-30,14060.554
2020-10-30,13653.687
2020-11-30,15066.017
2020-12-31,15820.081
2021-01-29,15712.588
2021-02-26,15808.466
2021-03-31,15906.737
2021-04-30,17078.68
2021-05-31,16775.346
2021-06-30,17895.713
2021-07-30,18526.324
2021-08-31,19238.784
2021-09-30,18133.343
2021-10-29,19614.967
2021-11-30,19718.899
2021-12-31,19945.752
2022-01-31,18168.462
2022-02-28,17420.445
2022-03-31,18143.609
2022-04-29,15684.232
2022-05-31,15253.686
2022-06-30,13975.542
2022-07-29,15836.972
2022-08-31,15035.735
2022-09-30,13473.857
2022-10-31,14086.564
2022-11-30,14748.229
2022-12-30,13546.402
2023-01-31,14942.494
2023-02-28,14740.883
2023-03-31,15896.064
2023-04-28,16091.08
2023-05-31,16893.228
2023-06-30,18092.83
2023-07-31,18690.01
2023-08-31,18504.262
2023-09-29,17462.729
2023-10-31,17144.997
2023-11-30,19093.403
2023-12-29,19841.462
2024-01-31,20346.841
2024-02-29,21807.308
2024-03-29,22160.176
2024-04-30,21262.243
2024-05-31,22657.263
2024-06-28,24227.631
2024-07-31,23774.859
2024-08-30,24238.77
2024-09-30,24852.654
2024-10-31,24770.074
2024-11-29,26510.331
2024-12-31,26947.438
2025-01-31,27433.036
2025-02-28,26376.339
2025-03-31,23991.494
2025-04-30,24589.422
2025-05-30,27047.367
