Date,PORTUGAL SMID CAP SMID (Small+Mid Cap)
2003-06-30,285.175
2003-07-31,275.444
2003-08-29,283.139
2003-09-30,309.143
2003-10-31,317.898
2003-11-28,347.298
2003-12-31,373.803
2004-01-30,382.611
2004-02-27,417.487
2004-03-31,406.899
2004-04-30,402.686
2004-05-31,399.211
2004-06-30,407.772
2004-07-30,389.538
2004-08-31,396.115
2004-09-30,417.941
2004-10-29,433.534
2004-11-30,458.8
2004-12-31,473.865
2005-01-31,482.362
2005-02-28,483.527
2005-03-31,465.918
2005-04-29,463.749
2005-05-31,443.603
2005-06-30,440.552
2005-07-29,447.765
2005-08-31,471.247
2005-09-30,483.285
2005-10-31,462.497
2005-11-30,472.906
2005-12-30,501.452
2006-01-31,532.536
2006-02-28,554.367
2006-03-31,615.581
2006-04-28,632.891
2006-05-31,610.243
2006-06-30,613.4
2006-07-31,617.801
2006-08-31,642.876
2006-09-29,664.618
2006-10-31,685.473
2006-11-30,724.294
2006-12-29,761.681
2007-01-31,793.433
2007-02-28,803.508
2007-03-30,813.803
2007-04-30,902.701
2007-05-31,1000.0
2007-06-29,995.438
2007-07-31,1023.723
2007-08-31,954.742
2007-09-28,931.927
2007-10-31,1001.511
2007-11-30,997.707
2007-12-31,954.32
2008-01-31,821.633
2008-02-29,836.683
2008-03-31,842.549
2008-04-30,886.864
2008-05-30,839.286
2008-06-30,697.651
2008-07-31,674.046
2008-08-29,626.654
2008-09-30,581.851
2008-10-31,436.023
2008-11-28,405.011
2008-12-31,446.789
2009-01-30,411.36
2009-02-27,374.019
2009-03-31,421.019
2009-04-30,478.585
2009-05-29,544.96
2009-06-30,533.005
2009-07-31,564.105
2009-08-31,612.836
2009-09-30,681.715
2009-10-30,668.775
2009-11-30,658.383
2009-12-31,650.481
2010-01-29,599.325
2010-02-26,543.05
2010-03-31,574.019
2010-04-30,524.304
2010-05-31,440.361
2010-06-30,446.271
2010-07-30,499.922
2010-08-31,480.287
2010-09-30,516.121
2010-10-29,563.534
2010-11-30,468.119
2010-12-31,512.183
2011-01-31,527.548
2011-02-28,553.76
2011-03-31,546.273
2011-04-29,563.471
2011-05-31,553.082
2011-06-30,533.746
2011-07-29,502.523
2011-08-31,456.802
2011-09-30,382.552
2011-10-31,392.35
2011-11-30,367.027
2011-12-30,359.715
2012-01-31,341.597
2012-02-29,371.689
2012-03-30,373.547
2012-04-30,350.953
2012-05-31,298.173
2012-06-29,306.372
2012-07-31,290.487
2012-08-31,319.999
2012-09-28,330.39
2012-10-31,358.802
2012-11-30,361.547
2012-12-31,395.727
2013-01-31,465.677
2013-02-28,431.21
2013-03-29,404.571
2013-04-30,455.034
2013-05-31,419.336
2013-06-28,394.861
2013-07-31,404.262
2013-08-30,404.442
2013-09-30,436.594
2013-10-31,459.908
2013-11-29,496.628
2013-12-31,506.899
2014-01-31,504.385
2014-02-28,561.751
2014-03-31,574.532
2014-04-30,565.336
2014-05-30,523.867
2014-06-30,481.592
2014-07-31,400.906
2014-08-29,379.178
2014-09-30,356.009
2014-10-31,311.581
2014-11-28,314.571
2014-12-31,276.113
2015-01-30,271.938
2015-02-27,312.15
2015-03-31,324.71
2015-04-30,337.456
2015-05-29,321.111
2015-06-30,305.387
2015-07-31,314.223
2015-08-31,293.251
2015-09-30,271.425
2015-10-30,292.742
2015-11-30,274.62
2015-12-31,279.969
2016-01-29,266.222
2016-02-29,253.792
2016-03-31,287.243
2016-04-29,295.501
2016-05-31,285.698
2016-06-30,265.194
2016-07-29,276.303
2016-08-31,277.472
2016-09-30,272.516
2016-10-31,270.785
2016-11-30,260.001
2016-12-30,274.365
2017-01-31,271.821
2017-02-28,270.504
2017-03-31,289.957
2017-04-28,299.233
2017-05-31,322.304
2017-06-30,320.783
2017-07-31,331.773
2017-08-31,333.25
2017-09-29,350.818
2017-10-31,353.604
2017-11-30,361.568
2017-12-29,361.321
2018-01-31,392.417
2018-02-28,370.673
2018-03-30,360.758
2018-04-30,363.159
2018-05-31,348.607
2018-06-29,350.369
2018-07-31,364.986
2018-08-31,354.972
2018-09-28,352.406
2018-10-31,315.526
2018-11-30,304.819
2018-12-31,293.49
2019-01-31,314.715
2019-02-28,321.011
2019-03-29,313.056
2019-04-30,330.455
2019-05-31,308.929
2019-06-28,322.081
2019-07-31,312.959
2019-08-30,295.647
2019-09-30,303.96
2019-10-31,318.659
2019-11-29,317.87
2019-12-31,326.497
2020-01-31,309.384
2020-02-28,279.128
2020-03-31,243.021
2020-04-30,247.04
2020-05-29,254.477
2020-06-30,256.474
2020-07-31,249.371
2020-08-31,250.354
2020-09-30,228.189
2020-10-30,210.645
2020-11-30,258.293
2020-12-31,260.645
2021-01-29,249.879
2021-02-26,261.124
2021-03-31,271.754
2021-04-30,282.677
2021-05-31,307.142
2021-06-30,283.014
2021-07-30,281.153
2021-08-31,297.54
2021-09-30,304.971
2021-10-29,311.722
2021-11-30,286.608
2021-12-31,301.263
2022-01-31,316.114
2022-02-28,307.596
2022-03-31,340.032
2022-04-29,313.196
2022-05-31,337.845
2022-06-30,323.447
2022-07-29,313.542
2022-08-31,308.539
2022-09-30,266.4
2022-10-31,292.888
2022-11-30,319.402
2022-12-30,329.478
2023-01-31,341.319
2023-02-28,330.592
2023-03-31,336.15
2023-04-28,358.19
2023-05-31,328.974
2023-06-30,361.164
2023-07-31,383.929
2023-08-31,381.53
2023-09-29,371.906
2023-10-31,381.611
2023-11-30,398.389
2023-12-29,395.659
2024-01-31,392.836
2024-02-29,394.741
2024-03-29,391.654
2024-04-30,439.724
2024-05-31,458.263
2024-06-28,437.017
2024-07-31,437.661
2024-08-30,450.092
2024-09-30,438.012
2024-10-31,423.199
2024-11-29,412.32
2024-12-31,411.413
2025-01-31,427.025
2025-02-28,445.059
2025-03-31,461.237
2025-04-30,497.946
2025-05-30,533.343
2025-06-30,567.499
2025-07-31,575.809
2025-08-29,590.37
2025-09-30,609.303
2025-10-31,636.506
2025-11-28,609.132
2025-12-31,617.165
