Date,GERMANY SMID GROWTH SMID (Small+Mid Cap)
2009-07-31,501.644
2009-08-31,526.847
2009-09-30,584.589
2009-10-30,551.115
2009-11-30,606.455
2009-12-31,604.858
2010-01-29,581.035
2010-02-26,570.906
2010-03-31,618.705
2010-04-30,614.47
2010-05-31,529.723
2010-06-30,526.526
2010-07-30,586.276
2010-08-31,554.184
2010-09-30,638.473
2010-10-29,692.636
2010-11-30,653.307
2010-12-31,720.072
2011-01-31,726.656
2011-02-28,750.719
2011-03-31,763.616
2011-04-29,829.561
2011-05-31,808.529
2011-06-30,812.056
2011-07-29,756.713
2011-08-31,672.418
2011-09-30,569.427
2011-10-31,643.316
2011-11-30,613.431
2011-12-30,577.582
2012-01-31,641.435
2012-02-29,691.474
2012-03-30,696.6
2012-04-30,704.66
2012-05-31,613.422
2012-06-29,625.625
2012-07-31,638.024
2012-08-31,656.493
2012-09-28,683.58
2012-10-31,705.85
2012-11-30,731.79
2012-12-31,748.788
2013-01-31,794.997
2013-02-28,807.437
2013-03-29,792.962
2013-04-30,812.374
2013-05-31,828.971
2013-06-28,808.232
2013-07-31,854.215
2013-08-30,849.75
2013-09-30,913.428
2013-10-31,950.087
2013-11-29,969.159
2013-12-31,989.066
2014-01-31,973.018
2014-02-28,1050.147
2014-03-31,1026.985
2014-04-30,1012.468
2014-05-30,1046.133
2014-06-30,1040.506
2014-07-31,956.031
2014-08-29,959.662
2014-09-30,902.262
2014-10-31,891.003
2014-11-28,939.564
2014-12-31,933.139
2015-01-30,948.36
2015-02-27,995.495
2015-03-31,973.973
2015-04-30,987.619
2015-05-29,1006.732
2015-06-30,981.551
2015-07-31,1016.18
2015-08-31,980.43
2015-09-30,970.5
2015-10-30,1028.11
2015-11-30,1017.699
2015-12-31,1025.004
2016-01-29,953.496
2016-02-29,937.127
2016-03-31,1028.189
2016-04-29,1016.597
2016-05-31,1022.167
2016-06-30,983.645
2016-07-29,1069.374
2016-08-31,1078.041
2016-09-30,1109.481
2016-10-31,1053.138
2016-11-30,990.549
2016-12-30,1028.051
2017-01-31,1079.531
2017-02-28,1093.704
2017-03-31,1138.7
2017-04-28,1198.183
2017-05-31,1296.204
2017-06-30,1286.138
2017-07-31,1349.358
2017-08-31,1366.166
2017-09-29,1437.832
2017-10-31,1460.072
2017-11-30,1497.172
2017-12-29,1525.915
2018-01-31,1624.876
2018-02-28,1554.508
2018-03-30,1498.467
2018-04-30,1503.347
2018-05-31,1501.599
2018-06-29,1466.474
2018-07-31,1552.984
2018-08-31,1564.337
2018-09-28,1485.527
2018-10-31,1324.284
2018-11-30,1257.637
2018-12-31,1160.624
2019-01-31,1282.842
2019-02-28,1306.371
2019-03-29,1312.947
2019-04-30,1384.972
2019-05-31,1290.597
2019-06-28,1366.685
2019-07-31,1347.483
2019-08-30,1321.906
2019-09-30,1325.238
2019-10-31,1363.397
2019-11-29,1428.109
2019-12-31,1500.488
2020-01-31,1497.471
2020-02-28,1373.663
2020-03-31,1162.074
2020-04-30,1279.641
2020-05-29,1467.761
2020-06-30,1521.745
2020-07-31,1623.935
2020-08-31,1709.624
2020-09-30,1685.591
2020-10-30,1574.817
2020-11-30,1772.53
2020-12-31,1956.903
2021-01-29,1956.465
2021-02-26,1891.0
2021-03-31,1849.429
2021-04-30,2015.354
2021-05-31,2058.176
2021-06-30,2053.576
2021-07-30,2117.267
2021-08-31,2154.967
2021-09-30,1990.876
2021-10-29,2000.892
2021-11-30,1940.882
2021-12-31,1948.448
2022-01-31,1714.905
2022-02-28,1622.819
2022-03-31,1550.75
2022-04-29,1389.724
2022-05-31,1378.505
2022-06-30,1214.841
2022-07-29,1281.589
2022-08-31,1153.387
2022-09-30,1014.382
2022-10-31,1081.202
2022-11-30,1228.323
2022-12-30,1244.319
2023-01-31,1394.868
2023-02-28,1347.085
2023-03-31,1385.863
2023-04-28,1428.775
2023-05-31,1306.277
2023-06-30,1346.615
2023-07-31,1399.877
2023-08-31,1343.447
2023-09-29,1202.642
2023-10-31,1144.026
2023-11-30,1271.61
2023-12-29,1322.328
2024-01-31,1273.616
2024-02-29,1327.926
2024-03-29,1415.763
2024-04-30,1347.337
2024-05-31,1392.826
2024-06-28,1322.068
2024-07-31,1376.058
2024-08-30,1432.479
2024-09-30,1477.964
2024-10-31,1410.54
2024-11-29,1464.263
2024-12-31,1416.662
2025-01-31,1533.958
2025-02-28,1622.566
2025-03-31,1746.17
2025-04-30,1968.068
2025-05-30,2215.791
2025-06-30,2264.756
