Date,NORWAY IMI IMI (Large+Mid+Small Cap)
2006-04-28,784.999
2006-05-31,756.027
2006-06-30,727.382
2006-07-31,745.582
2006-08-31,730.491
2006-09-29,682.577
2006-10-31,738.581
2006-11-30,804.878
2006-12-29,849.878
2007-01-31,882.704
2007-02-28,866.312
2007-03-30,915.395
2007-04-30,973.166
2007-05-31,1000.0
2007-06-29,1050.669
2007-07-31,1038.669
2007-08-31,992.009
2007-09-28,1117.258
2007-10-31,1164.163
2007-11-30,1089.526
2007-12-31,1108.877
2008-01-31,884.166
2008-02-29,1000.854
2008-03-31,994.471
2008-04-30,1113.48
2008-05-30,1196.812
2008-06-30,1119.284
2008-07-31,1018.469
2008-08-29,971.29
2008-09-30,666.729
2008-10-31,448.889
2008-11-28,388.16
2008-12-31,399.233
2009-01-30,409.473
2009-02-27,381.314
2009-03-31,418.134
2009-04-30,476.929
2009-05-29,578.631
2009-06-30,546.691
2009-07-31,600.851
2009-08-31,618.57
2009-09-30,688.164
2009-10-30,716.616
2009-11-30,755.932
2009-12-31,792.124
2010-01-29,757.765
2010-02-26,728.075
2010-03-31,779.148
2010-04-30,794.235
2010-05-31,651.802
2010-06-30,621.897
2010-07-30,724.553
2010-08-31,689.528
2010-09-30,801.486
2010-10-29,843.603
2010-11-30,779.782
2010-12-31,925.92
2011-01-31,916.741
2011-02-28,978.977
2011-03-31,989.372
2011-04-29,1049.905
2011-05-31,1002.859
2011-06-30,960.097
2011-07-29,947.732
2011-08-31,871.046
2011-09-30,727.895
2011-10-31,856.032
2011-11-30,811.958
2011-12-30,794.672
2012-01-31,837.697
2012-02-29,958.48
2012-03-30,925.398
2012-04-30,910.343
2012-05-31,774.912
2012-06-29,842.467
2012-07-31,870.613
2012-08-31,928.096
2012-09-28,959.828
2012-10-31,950.039
2012-11-30,954.227
2012-12-31,975.53
2013-01-31,1036.993
2013-02-28,1005.539
2013-03-29,984.34
2013-04-30,1011.692
2013-05-31,1018.243
2013-06-28,937.749
2013-07-31,1021.297
2013-08-30,994.414
2013-09-30,1018.942
2013-10-31,1087.925
2013-11-29,1070.077
2013-12-31,1087.931
2014-01-31,1016.566
2014-02-28,1102.83
2014-03-31,1113.282
2014-04-30,1152.4
2014-05-30,1203.434
2014-06-30,1202.612
2014-07-31,1152.022
2014-08-29,1169.732
2014-09-30,1107.643
2014-10-31,1003.301
2014-11-28,916.248
2014-12-31,861.022
2015-01-30,858.931
2015-02-27,901.262
2015-03-31,850.559
2015-04-30,954.366
2015-05-29,924.827
2015-06-30,892.176
2015-07-31,867.807
2015-08-31,778.466
2015-09-30,745.09
2015-10-30,787.639
2015-11-30,789.46
2015-12-31,741.153
2016-01-29,694.763
2016-02-29,711.37
2016-03-31,760.574
2016-04-29,822.575
2016-05-31,805.984
2016-06-30,788.035
2016-07-29,791.842
2016-08-31,805.226
2016-09-30,845.41
2016-10-31,844.354
2016-11-30,844.153
2016-12-30,874.913
2017-01-31,924.063
2017-02-28,905.356
2017-03-31,878.601
2017-04-28,891.205
2017-05-31,921.176
2017-06-30,911.617
2017-07-31,1016.088
2017-08-31,1042.408
2017-09-29,1079.566
2017-10-31,1083.662
2017-11-30,1054.394
2017-12-29,1089.193
2018-01-31,1155.533
2018-02-28,1140.12
2018-03-30,1119.675
2018-04-30,1177.062
2018-05-31,1171.617
2018-06-29,1185.327
2018-07-31,1202.791
2018-08-31,1186.504
2018-09-28,1259.774
2018-10-31,1157.757
2018-11-30,1087.582
2018-12-31,1003.196
2019-01-31,1077.843
2019-02-28,1099.943
2019-03-29,1090.053
2019-04-30,1113.334
2019-05-31,1060.499
2019-06-28,1106.972
2019-07-31,1065.956
2019-08-30,1023.7
2019-09-30,1056.827
2019-10-31,1059.602
2019-11-29,1061.28
2019-12-31,1145.44
2020-01-31,1068.073
2020-02-28,948.114
2020-03-31,727.446
2020-04-30,815.086
2020-05-29,879.501
2020-06-30,881.594
2020-07-31,969.83
2020-08-31,1052.578
2020-09-30,972.574
2020-10-30,903.754
2020-11-30,1119.03
2020-12-31,1210.139
2021-01-29,1207.657
2021-02-26,1247.831
2021-03-31,1325.395
2021-04-30,1382.625
2021-05-31,1421.284
2021-06-30,1382.62
2021-07-30,1361.144
2021-08-31,1395.242
2021-09-30,1413.543
2021-10-29,1496.57
2021-11-30,1375.167
2021-12-31,1444.88
2022-01-31,1396.536
2022-02-28,1442.955
2022-03-31,1522.154
2022-04-29,1413.8
2022-05-31,1449.433
2022-06-30,1255.146
2022-07-29,1363.116
2022-08-31,1326.896
2022-09-30,1067.502
2022-10-31,1187.709
2022-11-30,1287.179
2022-12-30,1274.078
2023-01-31,1272.428
2023-02-28,1279.069
2023-03-31,1216.234
2023-04-28,1225.376
2023-05-31,1146.539
2023-06-30,1205.359
2023-07-31,1309.019
2023-08-31,1260.743
2023-09-29,1294.983
2023-10-31,1223.7
2023-11-30,1284.644
2023-12-29,1367.671
2024-01-31,1304.231
2024-02-29,1284.216
2024-03-29,1316.415
2024-04-30,1336.394
2024-05-31,1484.709
2024-06-28,1447.029
2024-07-31,1446.409
2024-08-30,1467.918
2024-09-30,1455.487
2024-10-31,1409.373
2024-11-29,1422.306
2024-12-31,1356.998
2025-01-31,1456.828
2025-02-28,1444.559
2025-03-31,1564.305
2025-04-30,1563.037
2025-05-30,1668.401
2025-06-30,1745.463
2025-07-31,1719.566
2025-08-29,1785.642
2025-09-30,1801.789
