Date,CANADA SMALL CAP Small Cap
2003-10-03,155.794
2003-10-06,156.813
2003-10-07,158.583
2003-10-08,159.541
2003-10-09,159.265
2003-10-10,160.948
2003-10-13,161.161
2003-10-14,162.997
2003-10-15,163.188
2003-10-16,165.774
2003-10-17,164.279
2003-10-20,163.531
2003-10-21,165.285
2003-10-22,165.181
2003-10-23,163.015
2003-10-24,163.319
2003-10-27,164.652
2003-10-28,165.435
2003-10-29,166.064
2003-10-30,164.968
2003-10-31,165.37
2003-11-03,165.433
2003-11-04,166.725
2003-11-05,167.09
2003-11-06,166.306
2003-11-07,167.393
2003-11-10,168.658
2003-11-11,168.16
2003-11-12,171.096
2003-11-13,171.285
2003-11-14,170.383
2003-11-17,170.369
2003-11-18,170.728
2003-11-19,171.51
2003-11-20,171.466
2003-11-21,170.06
2003-11-24,168.678
2003-11-25,169.544
2003-11-26,172.401
2003-11-27,171.987
2003-11-28,173.697
2003-12-01,174.872
2003-12-02,176.341
2003-12-03,176.281
2003-12-04,174.356
2003-12-05,176.029
2003-12-08,176.355
2003-12-09,174.65
2003-12-10,172.194
2003-12-11,171.98
2003-12-12,174.299
2003-12-15,174.401
2003-12-16,175.1
2003-12-17,175.114
2003-12-18,175.521
2003-12-19,173.799
2003-12-22,175.063
2003-12-23,176.153
2003-12-24,178.037
2003-12-25,178.037
2003-12-26,179.21
2003-12-29,182.185
2003-12-30,182.548
2003-12-31,184.874
2004-01-01,184.874
2004-01-02,186.177
2004-01-05,190.51
2004-01-06,189.772
2004-01-07,187.302
2004-01-08,188.186
2004-01-09,188.694
2004-01-12,186.959
2004-01-13,187.958
2004-01-14,184.91
2004-01-15,183.387
2004-01-16,184.752
2004-01-19,185.726
2004-01-20,189.421
2004-01-21,187.459
2004-01-22,187.004
2004-01-23,185.95
2004-01-26,184.05
2004-01-27,185.362
2004-01-28,180.873
2004-01-29,178.437
2004-01-30,180.034
2004-02-02,180.506
2004-02-03,181.854
2004-02-04,179.903
2004-02-05,180.456
2004-02-06,184.432
2004-02-09,185.724
2004-02-10,186.284
2004-02-11,187.186
2004-02-12,189.394
2004-02-13,190.136
2004-02-16,190.807
2004-02-17,192.626
2004-02-18,191.947
2004-02-19,189.38
2004-02-20,186.147
2004-02-23,185.681
2004-02-24,186.958
2004-02-25,186.868
2004-02-26,187.252
2004-02-27,188.744
2004-03-01,192.652
2004-03-02,191.034
2004-03-03,190.036
2004-03-04,191.962
2004-03-05,196.901
2004-03-08,196.509
2004-03-09,194.774
2004-03-10,189.183
2004-03-11,189.548
2004-03-12,189.753
2004-03-15,187.416
2004-03-16,187.309
2004-03-17,186.87
2004-03-18,189.657
2004-03-19,190.863
2004-03-22,188.557
2004-03-23,187.568
2004-03-24,185.641
2004-03-25,189.328
2004-03-26,189.578
2004-03-29,191.373
2004-03-30,193.573
2004-03-31,192.535
2004-04-01,194.499
2004-04-02,195.959
2004-04-05,196.82
2004-04-06,197.132
2004-04-07,195.291
2004-04-08,194.005
2004-04-09,194.005
2004-04-12,193.864
2004-04-13,189.95
2004-04-14,185.389
2004-04-15,185.663
2004-04-16,189.237
2004-04-19,188.622
