Date,UNITED KINGDOM LARGE VALUE Large Cap
2003-04-01,411.74
2003-04-02,417.078
2003-04-03,419.227
2003-04-04,421.064
2003-04-07,429.964
2003-04-08,421.683
2003-04-09,421.517
2003-04-10,420.932
2003-04-11,421.809
2003-04-14,427.543
2003-04-15,435.025
2003-04-16,429.149
2003-04-17,432.862
2003-04-18,432.862
2003-04-21,428.763
2003-04-22,436.245
2003-04-23,441.908
2003-04-24,436.995
2003-04-25,429.41
2003-04-28,439.613
2003-04-29,440.094
2003-04-30,438.271
2003-05-01,434.091
2003-05-02,441.8
2003-05-05,442.626
2003-05-06,450.654
2003-05-07,443.948
2003-05-08,439.687
2003-05-09,444.813
2003-05-12,448.861
2003-05-13,449.782
2003-05-14,449.876
2003-05-15,456.013
2003-05-16,458.266
2003-05-19,451.292
2003-05-20,455.567
2003-05-21,454.613
2003-05-22,457.956
2003-05-23,460.043
2003-05-26,460.253
2003-05-27,462.457
2003-05-28,470.821
2003-05-29,478.743
2003-05-30,472.043
2003-06-02,480.29
2003-06-03,477.286
2003-06-04,479.742
2003-06-05,481.4
2003-06-06,486.53
2003-06-09,479.536
2003-06-10,478.514
2003-06-11,487.238
2003-06-12,491.564
2003-06-13,487.058
2003-06-16,492.696
2003-06-17,498.06
2003-06-18,497.244
2003-06-19,486.991
2003-06-20,488.001
2003-06-23,481.324
2003-06-24,478.108
2003-06-25,480.444
2003-06-26,474.165
2003-06-27,472.644
2003-06-30,467.545
2003-07-01,462.726
2003-07-02,468.595
2003-07-03,470.687
2003-07-04,468.833
2003-07-07,472.651
2003-07-08,468.966
2003-07-09,465.539
2003-07-10,460.516
2003-07-11,465.172
2003-07-14,471.192
2003-07-15,464.092
2003-07-16,459.188
2003-07-17,456.369
2003-07-18,455.955
2003-07-21,456.201
2003-07-22,461.108
2003-07-23,460.597
2003-07-24,470.367
2003-07-25,470.751
2003-07-28,475.393
2003-07-29,473.391
2003-07-30,471.814
2003-07-31,472.875
2003-08-01,465.111
2003-08-04,466.527
2003-08-05,469.533
2003-08-06,464.384
2003-08-07,470.299
2003-08-08,473.579
2003-08-11,476.054
2003-08-12,476.398
2003-08-13,479.494
2003-08-14,485.83
2003-08-15,484.781
2003-08-18,487.922
2003-08-19,482.19
2003-08-20,481.642
2003-08-21,480.005
2003-08-22,476.583
2003-08-25,476.977
2003-08-26,468.479
2003-08-27,472.938
2003-08-28,474.246
2003-08-29,470.472
2003-09-01,471.402
2003-09-02,472.259
2003-09-03,478.373
2003-09-04,480.205
2003-09-05,480.896
2003-09-08,487.506
2003-09-09,485.036
2003-09-10,483.126
2003-09-11,483.301
2003-09-12,486.651
2003-09-15,488.722
2003-09-16,488.832
2003-09-17,492.056
2003-09-18,497.715
2003-09-19,494.188
2003-09-22,496.881
2003-09-23,496.215
2003-09-24,501.671
2003-09-25,500.652
2003-09-26,492.104
2003-09-29,490.266
2003-09-30,484.659
2003-10-01,498.017
2003-10-02,502.91
2003-10-03,509.558
2003-10-06,510.665
2003-10-07,511.071
2003-10-08,507.639
2003-10-09,514.355
2003-10-10,514.747
2003-10-13,521.067
2003-10-14,516.309
2003-10-15,520.117
2003-10-16,519.259
2003-10-17,515.941
2003-10-20,518.786
2003-10-21,520.0
2003-10-22,516.066
2003-10-23,508.439
2003-10-24,509.922
2003-10-27,508.507
2003-10-28,513.765
2003-10-29,516.04
2003-10-30,518.158
2003-10-31,517.244
