Date,WORLD MID CAP Mid Cap
2010-07-30,745.815
2010-08-31,718.477
2010-09-30,796.759
2010-10-29,826.07
2010-11-30,819.029
2010-12-31,884.644
2011-01-31,900.853
2011-02-28,933.667
2011-03-31,936.231
2011-04-29,974.164
2011-05-31,960.232
2011-06-30,940.553
2011-07-29,918.367
2011-08-31,853.469
2011-09-30,765.888
2011-10-31,850.826
2011-11-30,827.082
2011-12-30,819.336
2012-01-31,869.811
2012-02-29,911.863
2012-03-30,921.331
2012-04-30,911.705
2012-05-31,825.428
2012-06-29,859.704
2012-07-31,867.251
2012-08-31,893.795
2012-09-28,919.67
2012-10-31,915.216
2012-11-30,930.578
2012-12-31,958.059
2013-01-31,1008.498
2013-02-28,1016.207
2013-03-29,1046.228
2013-04-30,1077.496
2013-05-31,1079.958
2013-06-28,1055.668
2013-07-31,1116.119
2013-08-30,1094.166
2013-09-30,1158.796
2013-10-31,1193.076
2013-11-29,1200.165
2013-12-31,1230.899
2014-01-31,1198.741
2014-02-28,1269.363
2014-03-31,1264.129
2014-04-30,1266.119
2014-05-30,1294.407
2014-06-30,1324.603
2014-07-31,1292.084
2014-08-29,1325.082
2014-09-30,1269.384
2014-10-31,1283.473
2014-11-28,1308.924
2014-12-31,1300.112
2015-01-30,1287.196
2015-02-27,1365.305
2015-03-31,1354.516
2015-04-30,1380.302
2015-05-29,1387.476
2015-06-30,1356.669
2015-07-31,1370.04
2015-08-31,1293.685
2015-09-30,1242.635
2015-10-30,1329.594
2015-11-30,1327.282
2015-12-31,1299.896
2016-01-29,1206.932
2016-02-29,1214.864
2016-03-31,1313.603
2016-04-29,1340.402
2016-05-31,1344.304
2016-06-30,1318.079
2016-07-29,1388.511
2016-08-31,1384.059
2016-09-30,1398.628
2016-10-31,1359.367
2016-11-30,1384.868
2016-12-30,1403.653
2017-01-31,1450.681
2017-02-28,1482.637
2017-03-31,1496.332
2017-04-28,1525.16
2017-05-31,1556.344
2017-06-30,1567.049
2017-07-31,1604.021
2017-08-31,1603.665
2017-09-29,1641.684
2017-10-31,1669.519
2017-11-30,1710.042
2017-12-29,1738.115
2018-01-31,1817.794
2018-02-28,1740.947
2018-03-30,1727.001
2018-04-30,1744.033
2018-05-31,1756.333
2018-06-29,1749.461
2018-07-31,1785.606
2018-08-31,1802.111
2018-09-28,1795.759
2018-10-31,1630.659
2018-11-30,1639.385
2018-12-31,1514.08
2019-01-31,1656.145
2019-02-28,1711.662
2019-03-29,1723.792
2019-04-30,1782.225
2019-05-31,1682.965
2019-06-28,1793.202
2019-07-31,1796.913
2019-08-30,1751.624
2019-09-30,1794.082
2019-10-31,1840.771
2019-11-29,1892.75
2019-12-31,1938.017
2020-01-31,1915.585
2020-02-28,1742.05
2020-03-31,1431.389
2020-04-30,1605.308
2020-05-29,1717.183
2020-06-30,1756.947
2020-07-31,1843.091
2020-08-31,1930.081
2020-09-30,1892.826
2020-10-30,1873.494
2020-11-30,2142.486
2020-12-31,2250.872
2021-01-29,2241.145
2021-02-26,2325.065
2021-03-31,2379.229
2021-04-30,2487.892
2021-05-31,2526.99
2021-06-30,2536.814
2021-07-30,2564.981
2021-08-31,2630.695
2021-09-30,2528.736
2021-10-29,2645.182
2021-11-30,2554.53
2021-12-31,2658.01
2022-01-31,2464.692
2022-02-28,2445.385
2022-03-31,2479.394
2022-04-29,2290.606
2022-05-31,2289.872
2022-06-30,2062.349
2022-07-29,2231.443
2022-08-31,2154.756
2022-09-30,1934.777
2022-10-31,2069.822
2022-11-30,2229.044
2022-12-30,2161.341
2023-01-31,2343.604
2023-02-28,2282.248
2023-03-31,2260.817
2023-04-28,2271.845
2023-05-31,2199.109
2023-06-30,2335.794
2023-07-31,2436.193
2023-08-31,2351.569
2023-09-29,2243.599
2023-10-31,2124.542
2023-11-30,2340.466
2023-12-29,2509.609
2024-01-31,2479.745
2024-02-29,2574.02
2024-03-29,2681.81
2024-04-30,2564.278
2024-05-31,2640.652
2024-06-28,2600.764
2024-07-31,2721.758
2024-08-30,2794.381
2024-09-30,2863.072
2024-10-31,2790.261
2024-11-29,2958.351
2024-12-31,2791.278
2025-01-31,2908.064
2025-02-28,2871.423
2025-03-31,2787.246
2025-04-30,2818.385
2025-05-30,2974.66
2025-06-30,3087.694
2025-07-31,3114.956
2025-08-29,3203.475
2025-09-30,3233.787
2025-10-31,3233.082
2025-11-28,3259.17
2025-12-31,3286.516
2026-01-30,3396.399
