Date,EM (EMERGING MARKETS) MID CAP Mid Cap
2017-11-30,1307.839
2017-12-29,1381.987
2018-01-31,1474.09
2018-02-28,1407.115
2018-03-30,1405.603
2018-04-30,1404.409
2018-05-31,1374.248
2018-06-29,1297.686
2018-07-31,1311.497
2018-08-31,1284.903
2018-09-28,1265.568
2018-10-31,1152.975
2018-11-30,1217.567
2018-12-31,1205.532
2019-01-31,1294.184
2019-02-28,1287.112
2019-03-29,1291.789
2019-04-30,1308.144
2019-05-31,1239.21
2019-06-28,1309.384
2019-07-31,1294.933
2019-08-30,1222.185
2019-09-30,1236.419
2019-10-31,1285.855
2019-11-29,1276.808
2019-12-31,1369.222
2020-01-31,1314.399
2020-02-28,1200.194
2020-03-31,945.622
2020-04-30,1071.638
2020-05-29,1104.651
2020-06-30,1180.815
2020-07-31,1273.966
2020-08-31,1296.093
2020-09-30,1270.75
2020-10-30,1248.417
2020-11-30,1399.706
2020-12-31,1517.574
2021-01-29,1507.992
2021-02-26,1543.748
2021-03-31,1570.455
2021-04-30,1649.94
2021-05-31,1705.0
2021-06-30,1722.596
2021-07-30,1651.879
2021-08-31,1710.497
2021-09-30,1647.224
2021-10-29,1644.334
2021-11-30,1593.059
2021-12-31,1628.552
2022-01-31,1563.411
2022-02-28,1558.149
2022-03-31,1557.191
2022-04-29,1461.506
2022-05-31,1473.18
2022-06-30,1347.845
2022-07-29,1360.918
2022-08-31,1373.917
2022-09-30,1221.175
2022-10-31,1242.689
2022-11-30,1380.624
2022-12-30,1370.552
2023-01-31,1446.289
2023-02-28,1395.385
2023-03-31,1412.689
2023-04-28,1427.504
2023-05-31,1399.36
2023-06-30,1454.844
2023-07-31,1550.589
2023-08-31,1470.843
2023-09-29,1439.605
2023-10-31,1377.904
2023-11-30,1505.228
2023-12-29,1570.15
2024-01-31,1499.99
2024-02-29,1569.548
2024-03-29,1571.806
2024-04-30,1571.764
2024-05-31,1579.478
2024-06-28,1611.921
2024-07-31,1631.724
2024-08-30,1662.938
2024-09-30,1757.895
2024-10-31,1665.282
2024-11-29,1617.137
2024-12-31,1605.049
2025-01-31,1632.773
2025-02-28,1631.378
2025-03-31,1638.684
2025-04-30,1702.292
2025-05-30,1792.95
2025-06-30,1913.736
2025-07-31,1943.628
2025-08-29,1978.821
2025-09-30,2049.978
2025-10-31,2087.44
