Date,EM (EMERGING MARKETS) GROWTH Standard (Large+Mid Cap)
2002-06-25,75.126
2002-06-26,72.552
2002-06-27,73.635
2002-06-28,75.048
2002-07-01,74.747
2002-07-02,74.306
2002-07-03,74.075
2002-07-04,75.156
2002-07-05,76.434
2002-07-08,77.157
2002-07-09,77.868
2002-07-10,76.741
2002-07-11,75.101
2002-07-12,76.907
2002-07-15,76.566
2002-07-16,75.897
2002-07-17,76.027
2002-07-18,76.177
2002-07-19,75.027
2002-07-22,72.488
2002-07-23,72.493
2002-07-24,70.535
2002-07-25,70.566
2002-07-26,68.133
2002-07-29,68.388
2002-07-30,69.467
2002-07-31,68.835
2002-08-01,68.484
2002-08-02,68.614
2002-08-05,66.441
2002-08-06,65.719
2002-08-07,67.501
2002-08-08,68.614
2002-08-09,68.955
2002-08-12,68.739
2002-08-13,68.92
2002-08-14,69.616
2002-08-15,70.177
2002-08-16,70.628
2002-08-19,70.863
2002-08-20,71.357
2002-08-21,71.541
2002-08-22,71.659
2002-08-23,71.331
2002-08-26,71.094
2002-08-27,71.093
2002-08-28,70.177
2002-08-29,69.846
2002-08-30,70.475
2002-09-02,70.447
2002-09-03,69.408
2002-09-04,68.963
2002-09-05,68.746
2002-09-06,68.809
2002-09-09,69.399
2002-09-10,70.429
2002-09-11,70.873
2002-09-12,70.996
2002-09-13,69.766
2002-09-16,68.592
2002-09-17,69.642
2002-09-18,68.005
2002-09-19,67.467
2002-09-20,67.195
2002-09-23,65.728
2002-09-24,65.281
2002-09-25,64.542
2002-09-26,65.049
2002-09-27,64.503
2002-09-30,63.561
2002-10-01,64.005
2002-10-02,64.233
2002-10-03,64.066
2002-10-04,64.453
2002-10-07,62.941
2002-10-08,62.916
2002-10-09,62.065
2002-10-10,60.903
2002-10-11,60.974
2002-10-14,61.767
2002-10-15,63.442
2002-10-16,64.071
2002-10-17,64.687
2002-10-18,65.929
2002-10-21,65.851
2002-10-22,65.314
2002-10-23,66.763
2002-10-24,66.897
2002-10-25,67.122
2002-10-28,68.104
2002-10-29,67.432
2002-10-30,67.103
2002-10-31,68.194
2002-11-01,68.007
2002-11-04,69.714
2002-11-05,69.324
2002-11-06,70.054
2002-11-07,70.609
2002-11-08,70.586
2002-11-11,69.488
2002-11-12,68.984
2002-11-13,68.787
2002-11-14,68.9
2002-11-15,70.408
2002-11-18,70.67
2002-11-19,70.148
2002-11-20,70.329
2002-11-21,71.553
2002-11-22,71.978
2002-11-25,72.561
2002-11-26,71.946
2002-11-27,72.064
2002-11-28,72.586
2002-11-29,72.844
2002-12-02,73.335
2002-12-03,73.577
2002-12-04,72.382
2002-12-05,72.288
2002-12-06,72.221
2002-12-09,72.557
2002-12-10,71.926
2002-12-11,71.844
2002-12-12,72.102
2002-12-13,71.906
2002-12-16,71.425
2002-12-17,71.947
2002-12-18,71.663
2002-12-19,71.8
2002-12-20,72.233
2002-12-23,71.601
2002-12-24,71.197
2002-12-25,71.144
2002-12-26,71.319
2002-12-27,70.907
2002-12-30,69.858
2002-12-31,69.831
2003-01-01,69.899
2003-01-02,70.258
2003-01-03,71.863
2003-01-06,72.851
2003-01-07,72.196
2003-01-08,72.358
2003-01-09,71.992
2003-01-10,72.239
2003-01-13,73.235
2003-01-14,73.131
2003-01-15,73.313
2003-01-16,72.864
2003-01-17,71.947
2003-01-20,71.569
2003-01-21,70.992
2003-01-22,70.3
2003-01-23,70.409
2003-01-24,69.681
2003-01-27,68.485
2003-01-28,68.695
2003-01-29,68.235
2003-01-30,68.407
2003-01-31,68.592
2003-02-03,68.894
2003-02-04,68.775
2003-02-05,68.674
2003-02-06,67.507
2003-02-07,66.613
2003-02-10,65.928
2003-02-11,66.373
2003-02-12,66.613
2003-02-13,65.619
2003-02-14,65.691
2003-02-17,67.586
2003-02-18,67.593
2003-02-19,67.454
2003-02-20,67.881
2003-02-21,68.079
2003-02-24,68.412
2003-02-25,66.949
2003-02-26,66.689
2003-02-27,66.678
2003-02-28,66.586
2003-03-03,67.485
2003-03-04,66.661
2003-03-05,65.745
2003-03-06,65.3
2003-03-07,65.061
2003-03-10,64.59
2003-03-11,64.166
2003-03-12,64.239
2003-03-13,64.697
2003-03-14,65.443
2003-03-17,64.264
2003-03-18,65.947
2003-03-19,66.006
2003-03-20,67.049
2003-03-21,67.333
2003-03-24,66.638
2003-03-25,66.215
2003-03-26,66.335
2003-03-27,66.026
2003-03-28,66.13
2003-03-31,64.866
2003-04-01,65.17
2003-04-02,65.612
2003-04-03,65.852
2003-04-04,66.598
2003-04-07,68.049
2003-04-08,67.736
2003-04-09,67.182
2003-04-10,67.021
2003-04-11,67.046
2003-04-14,67.314
2003-04-15,68.512
2003-04-16,69.511
2003-04-17,69.422
2003-04-18,70.336
2003-04-21,70.464
2003-04-22,69.607
2003-04-23,69.817
2003-04-24,68.92
2003-04-25,67.807
2003-04-28,68.134
2003-04-29,69.438
2003-04-30,69.824
2003-05-01,69.857
2003-05-02,70.373
2003-05-05,70.969
2003-05-06,71.007
2003-05-07,71.73
2003-05-08,71.314
2003-05-09,71.729
2003-05-12,72.518
2003-05-13,72.53
2003-05-14,72.248
2003-05-15,72.366
2003-05-16,71.698
2003-05-19,71.276
2003-05-20,71.088
2003-05-21,71.019
2003-05-22,71.302
2003-05-23,72.495
2003-05-26,73.46
2003-05-27,72.921
2003-05-28,73.767
2003-05-29,74.191
2003-05-30,74.254
2003-06-02,75.353
2003-06-03,74.995
2003-06-04,75.392
2003-06-05,75.99
2003-06-06,76.432
2003-06-09,76.805
2003-06-10,76.672
2003-06-11,76.739
2003-06-12,77.764
2003-06-13,78.045
2003-06-16,78.22
2003-06-17,79.807
2003-06-18,79.327
2003-06-19,79.929
2003-06-20,79.599
2003-06-23,78.583
2003-06-24,78.091
2003-06-25,78.795
2003-06-26,78.818
2003-06-27,78.985
2003-06-30,78.782
2003-07-01,79.889
2003-07-02,81.041
2003-07-03,81.683
2003-07-04,82.096
2003-07-07,83.236
2003-07-08,83.907
2003-07-09,83.31
2003-07-10,82.598
2003-07-11,82.559
2003-07-14,84.39
2003-07-15,84.114
2003-07-16,83.844
2003-07-17,82.82
2003-07-18,82.37
2003-07-21,82.274
2003-07-22,82.554
2003-07-23,82.264
2003-07-24,83.016
2003-07-25,83.555
2003-07-28,84.737
2003-07-29,84.459
2003-07-30,84.126
2003-07-31,84.403
2003-08-01,84.588
2003-08-04,84.32
2003-08-05,83.947
2003-08-06,83.187
2003-08-07,83.782
2003-08-08,83.589
2003-08-11,84.276
2003-08-12,84.203
2003-08-13,85.391
2003-08-14,86.33
2003-08-15,86.697
2003-08-18,87.143
2003-08-19,87.599
2003-08-20,87.839
2003-08-21,88.95
2003-08-22,89.271
2003-08-25,88.901
2003-08-26,88.575
2003-08-27,89.081
2003-08-28,89.409
2003-08-29,90.345
2003-09-01,91.127
2003-09-02,90.961
2003-09-03,91.525
2003-09-04,91.957
2003-09-05,92.789
2003-09-08,93.369
2003-09-09,93.331
2003-09-10,92.952
2003-09-11,93.098
2003-09-12,93.024
2003-09-15,91.858
2003-09-16,92.843
2003-09-17,93.451
2003-09-18,93.387
2003-09-19,92.964
2003-09-22,91.676
2003-09-23,91.823
2003-09-24,92.48
2003-09-25,91.531
2003-09-26,90.672
2003-09-29,90.74
2003-09-30,90.991
2003-10-01,91.972
2003-10-02,93.241
2003-10-03,93.992
2003-10-06,94.806
2003-10-07,95.349
2003-10-08,95.937
2003-10-09,97.028
2003-10-10,98.107
2003-10-13,98.626
2003-10-14,98.249
2003-10-15,98.068
2003-10-16,99.027
2003-10-17,98.355
2003-10-20,98.604
2003-10-21,98.416
2003-10-22,98.312
2003-10-23,96.141
2003-10-24,96.086
2003-10-27,96.223
2003-10-28,97.832
2003-10-29,98.395
2003-10-30,98.618
2003-10-31,98.2
2003-11-03,99.681
2003-11-04,100.069
2003-11-05,99.805
2003-11-06,98.963
2003-11-07,99.666
2003-11-10,98.928
2003-11-11,97.821
2003-11-12,98.55
2003-11-13,99.713
2003-11-14,99.611
2003-11-17,97.827
2003-11-18,98.033
2003-11-19,96.759
2003-11-20,95.968
2003-11-21,96.614
2003-11-24,95.844
2003-11-25,96.928
2003-11-26,97.775
2003-11-27,97.629
2003-11-28,98.788
2003-12-01,100.495
2003-12-02,101.067
2003-12-03,101.333
2003-12-04,100.664
2003-12-05,100.156
2003-12-08,99.896
2003-12-09,100.726
2003-12-10,100.183
2003-12-11,100.363
2003-12-12,101.165
2003-12-15,102.057
2003-12-16,101.063
2003-12-17,100.076
2003-12-18,100.618
2003-12-19,101.038
2003-12-22,101.837
2003-12-23,101.777
2003-12-24,102.159
2003-12-25,102.197
2003-12-26,102.421
2003-12-29,103.081
2003-12-30,104.241
2003-12-31,104.476
2004-01-01,104.542
2004-01-02,105.968
2004-01-05,108.828
2004-01-06,108.548
2004-01-07,108.415
2004-01-08,109.22
2004-01-09,111.184
2004-01-12,110.807
2004-01-13,111.09
2004-01-14,109.86
2004-01-15,108.529
2004-01-16,108.803
2004-01-19,109.666
2004-01-20,110.855
2004-01-21,110.512
2004-01-22,110.624
2004-01-23,111.144
2004-01-26,111.82
2004-01-27,112.266
2004-01-28,111.531
2004-01-29,109.277
2004-01-30,108.642
2004-02-02,108.635
2004-02-03,108.814
2004-02-04,108.452
2004-02-05,107.768
2004-02-06,109.217
2004-02-09,111.133
