Date,EM (EMERGING MARKETS) SMALL CAP Small Cap
2022-10-31,1529.991
2022-11-30,1674.505
2022-12-30,1658.496
2023-01-31,1757.009
2023-02-28,1707.19
2023-03-31,1723.847
2023-04-28,1735.868
2023-05-31,1755.733
2023-06-30,1836.483
2023-07-31,1958.361
2023-08-31,1932.71
2023-09-29,1893.345
2023-10-31,1802.045
2023-11-30,1976.004
2023-12-29,2064.598
2024-01-31,2029.265
2024-02-29,2085.327
2024-03-29,2087.601
2024-04-30,2129.657
2024-05-31,2144.409
2024-06-28,2214.32
2024-07-31,2214.765
2024-08-30,2255.393
2024-09-30,2339.157
2024-10-31,2243.663
2024-11-29,2194.344
2024-12-31,2172.539
2025-01-31,2112.666
2025-02-28,2057.398
2025-03-31,2055.104
2025-04-30,2111.577
2025-05-30,2279.188
2025-06-30,2411.232
2025-07-31,2428.341
2025-08-29,2493.552
2025-09-30,2544.131
2025-10-31,2602.506
2025-11-28,2565.106
2025-12-31,2587.166
