Date,AUSTRALIA Standard (Large+Mid Cap)
2000-04-28,786.114
2000-05-31,758.191
2000-06-30,867.733
2000-07-31,814.935
2000-08-31,823.538
2000-09-29,787.311
2000-10-31,736.613
2000-11-30,752.994
2000-12-29,779.664
2001-01-31,811.156
2001-02-28,774.115
2001-03-30,691.964
2001-04-30,773.391
2001-05-31,777.785
2001-06-29,802.503
2001-07-31,761.097
2001-08-31,765.138
2001-09-28,668.98
2001-10-31,727.931
2001-11-30,783.817
2001-12-31,792.736
2002-01-31,794.879
2002-02-28,799.375
2002-03-29,826.502
2002-04-30,816.185
2002-05-31,867.097
2002-06-28,824.294
2002-07-31,762.522
2002-08-30,780.63
2002-09-30,736.956
2002-10-31,776.514
2002-11-29,796.962
2002-12-31,782.144
2003-01-31,796.208
2003-02-28,784.934
2003-03-31,812.614
2003-04-30,876.992
2003-05-30,906.339
2003-06-30,941.392
2003-07-31,938.379
2003-08-29,960.757
2003-09-30,997.812
2003-10-31,1082.189
2003-11-28,1077.724
2003-12-31,1169.001
2004-01-30,1167.337
2004-02-27,1221.162
2004-03-31,1238.312
2004-04-30,1164.9
2004-05-31,1171.809
2004-06-30,1169.997
2004-07-30,1173.003
2004-08-31,1194.339
2004-09-30,1272.112
2004-10-29,1348.471
2004-11-30,1461.705
2004-12-31,1523.668
2005-01-31,1534.785
2005-02-28,1617.173
2005-03-31,1551.293
2005-04-29,1526.24
2005-05-31,1524.03
2005-06-30,1609.063
2005-07-29,1647.007
2005-08-31,1659.921
2005-09-30,1779.928
2005-10-31,1669.144
2005-11-30,1728.631
2005-12-30,1767.735
2006-01-31,1893.592
2006-02-28,1864.156
2006-03-31,1871.229
2006-04-28,2042.853
2006-05-31,1928.408
2006-06-30,1940.577
2006-07-31,1964.17
2006-08-31,2020.265
2006-09-29,1990.847
2006-10-31,2154.462
2006-11-30,2239.706
2006-12-29,2313.25
2007-01-31,2318.457
2007-02-28,2397.247
2007-03-30,2526.58
2007-04-30,2677.714
2007-05-31,2717.016
2007-06-29,2787.086
2007-07-31,2749.001
2007-08-31,2697.223
2007-09-28,3097.439
2007-10-31,3330.737
2007-11-30,3078.908
2007-12-31,2968.762
2008-01-31,2694.944
2008-02-29,2774.984
2008-03-31,2620.191
2008-04-30,2841.524
2008-05-30,2906.694
2008-06-30,2725.684
2008-07-31,2534.51
2008-08-29,2425.081
2008-09-30,2001.767
2008-10-31,1490.801
2008-11-28,1377.941
2008-12-31,1464.385
2009-01-30,1271.303
2009-02-27,1223.683
2009-03-31,1441.261
2009-04-30,1603.437
2009-05-29,1762.577
2009-06-30,1849.822
2009-07-31,2039.217
2009-08-31,2205.875
2009-09-30,2462.478
2009-10-30,2464.115
2009-11-30,2540.559
2009-12-31,2583.663
2010-01-29,2402.869
2010-02-26,2484.135
2010-03-31,2690.926
2010-04-30,2675.808
2010-05-31,2228.873
2010-06-30,2179.976
2010-07-30,2445.662
2010-08-31,2370.206
2010-09-30,2694.797
2010-10-29,2772.033
2010-11-30,2676.005
2010-12-31,2958.876
2011-01-31,2891.37
2011-02-28,3023.982
2011-03-31,3090.417
2011-04-29,3268.78
2011-05-31,3104.684
2011-06-30,3071.854
2011-07-29,3004.34
2011-08-31,2871.575
2011-09-30,2451.763
2011-10-31,2868.813
2011-11-30,2676.542
2011-12-30,2634.745
2012-01-31,2867.17
2012-02-29,2953.67
2012-03-30,2870.476
2012-04-30,2926.182
2012-05-31,2547.837
2012-06-29,2724.927
2012-07-31,2927.858
2012-08-31,2933.193
2012-09-28,3010.259
2012-10-31,3089.859
2012-11-30,3125.033
2012-12-31,3216.216
2013-01-31,3393.298
2013-02-28,3525.735
2013-03-29,3507.585
2013-04-30,3671.405
2013-05-31,3227.167
2013-06-28,3019.035
2013-07-31,3104.36
2013-08-30,3151.85
2013-09-30,3379.59
2013-10-31,3567.709
2013-11-29,3410.706
2013-12-31,3350.134
2014-01-31,3168.467
2014-02-28,3413.153
2014-03-31,3548.501
2014-04-30,3614.85
2014-05-30,3654.592
2014-06-30,3646.862
2014-07-31,3751.219
2014-08-29,3790.036
2014-09-30,3357.549
2014-10-31,3534.847
2014-11-28,3312.553
2014-12-31,3235.745
2015-01-30,3178.276
2015-02-27,3421.121
2015-03-31,3335.836
2015-04-30,3374.623
2015-05-29,3281.662
2015-06-30,3129.479
2015-07-31,3122.847
2015-08-31,2766.203
2015-09-30,2649.863
2015-10-30,2804.56
2015-11-30,2827.869
2015-12-31,2913.692
2016-01-29,2665.226
2016-02-29,2640.298
2016-03-31,2974.826
2016-04-29,3059.881
2016-05-31,2986.642
2016-06-30,2988.53
2016-07-29,3232.493
2016-08-31,3147.853
2016-09-30,3225.041
2016-10-31,3156.518
2016-11-30,3167.865
2016-12-30,3247.26
2017-01-31,3385.8
2017-02-28,3512.813
2017-03-31,3603.703
2017-04-28,3578.48
2017-05-31,3437.816
2017-06-30,3536.213
2017-07-31,3693.463
2017-08-31,3685.558
2017-09-29,3647.114
2017-10-31,3698.934
2017-11-30,3718.103
2017-12-29,3894.586
2018-01-31,4009.655
2018-02-28,3870.416
2018-03-30,3654.905
2018-04-30,3744.294
2018-05-31,3798.006
2018-06-29,3844.957
2018-07-31,3930.387
2018-08-31,3860.53
2018-09-28,3808.972
2018-10-31,3520.349
2018-11-30,3542.355
2018-12-31,3427.531
2019-01-31,3674.539
2019-02-28,3797.761
2019-03-29,3818.027
2019-04-30,3863.971
2019-05-31,3891.952
2019-06-28,4096.689
2019-07-31,4122.338
2019-08-30,3943.824
2019-09-30,4039.726
2019-10-31,4110.281
2019-11-29,4151.722
2019-12-31,4213.153
2020-01-31,4216.953
2020-02-28,3753.177
2020-03-31,2812.454
2020-04-30,3242.469
2020-05-29,3390.43
2020-06-30,3625.397
2020-07-31,3787.905
2020-08-31,4000.047
2020-09-30,3727.788
2020-10-30,3728.567
2020-11-30,4320.955
2020-12-31,4580.972
2021-01-29,4582.897
2021-02-26,4703.834
2021-03-31,4737.184
2021-04-30,4970.888
2021-05-31,5132.288
2021-06-30,5062.434
2021-07-30,4995.71
2021-08-31,5068.064
2021-09-30,4909.042
2021-10-29,5101.549
2021-11-30,4768.791
2021-12-31,5012.113
2022-01-31,4573.09
2022-02-28,4840.5
2022-03-31,5375.59
2022-04-29,5060.02
2022-05-31,5004.936
2022-06-30,4401.806
2022-07-29,4690.3
2022-08-31,4641.764
2022-09-30,4105.308
2022-10-31,4320.822
2022-11-30,4846.862
2022-12-30,4748.84
2023-01-31,5256.912
2023-02-28,4911.458
2023-03-31,4881.343
2023-04-28,4891.252
2023-05-31,4657.908
2023-06-30,4894.538
2023-07-31,5090.157
2023-08-31,4870.029
2023-09-29,4730.917
2023-10-31,4487.387
2023-11-30,4930.012
2023-12-29,5451.284
2024-01-31,5365.818
2024-02-29,5335.248
2024-03-29,5494.655
2024-04-30,5287.915
2024-05-31,5475.845
2024-06-28,5583.686
2024-07-31,5676.798
2024-08-30,5920.492
2024-09-30,6227.178
2024-10-31,5792.788
2024-11-29,5992.787
2024-12-31,5518.094
2025-01-31,5799.044
2025-02-28,5554.746
2025-03-31,5373.339
2025-04-30,5737.106
2025-05-30,5979.662
2025-06-30,6182.711
2025-07-31,6188.255
2025-08-29,6416.61
2025-09-30,6396.439
2025-10-31,6330.059
