Date,AUSTRALIA Standard (Large+Mid Cap)
2010-07-30,3965.549
2010-08-31,3844.4
2010-09-30,4371.686
2010-10-29,4497.088
2010-11-30,4341.481
2010-12-31,4801.755
2011-01-31,4692.206
2011-02-28,4908.59
2011-03-31,5017.227
2011-04-29,5306.796
2011-05-31,5040.612
2011-06-30,4988.903
2011-07-29,4879.256
2011-08-31,4665.053
2011-09-30,3983.987
2011-10-31,4661.796
2011-11-30,4349.964
2011-12-30,4283.507
2012-01-31,4661.378
2012-02-29,4803.932
2012-03-30,4669.334
2012-04-30,4759.95
2012-05-31,4144.731
2012-06-29,4434.882
2012-07-31,4765.156
2012-08-31,4775.354
2012-09-28,4901.245
2012-10-31,5030.961
2012-11-30,5088.311
2012-12-31,5238.898
2013-01-31,5527.471
2013-02-28,5744.788
2013-03-29,5715.347
2013-04-30,5982.278
2013-05-31,5258.606
2013-06-28,4921.693
2013-07-31,5060.79
2013-08-30,5140.147
2013-09-30,5511.716
2013-10-31,5818.516
2013-11-29,5562.534
2013-12-31,5466.261
2014-01-31,5169.844
2014-02-28,5571.06
2014-03-31,5792.216
2014-04-30,5900.518
2014-05-30,5965.463
2014-06-30,5957.184
2014-07-31,6127.652
2014-08-29,6191.792
2014-09-30,5485.501
2014-10-31,5775.168
2014-11-28,5412.093
2014-12-31,5289.228
2015-01-30,5195.288
2015-02-27,5594.105
2015-03-31,5454.873
2015-04-30,5518.3
2015-05-29,5366.287
2015-06-30,5120.36
2015-07-31,5109.508
2015-08-31,4527.621
2015-09-30,4337.436
2015-10-30,4590.653
2015-11-30,4628.806
2015-12-31,4772.239
2016-01-29,4365.285
2016-02-29,4325.919
2016-03-31,4874.335
2016-04-29,5013.699
2016-05-31,4893.695
2016-06-30,4900.073
2016-07-29,5300.082
2016-08-31,5162.588
2016-09-30,5289.454
2016-10-31,5177.068
2016-11-30,5195.728
2016-12-30,5329.168
2017-01-31,5556.53
2017-02-28,5766.114
2017-03-31,5915.952
2017-04-28,5874.544
2017-05-31,5643.742
2017-06-30,5808.641
2017-07-31,6066.937
2017-08-31,6055.438
2017-09-29,5992.859
2017-10-31,6078.007
2017-11-30,6109.622
2017-12-29,6403.236
2018-01-31,6592.425
2018-02-28,6365.025
2018-03-30,6010.971
2018-04-30,6157.983
2018-05-31,6246.546
2018-06-29,6327.37
2018-07-31,6467.956
2018-08-31,6354.113
2018-09-28,6269.898
2018-10-31,5794.799
2018-11-30,5831.097
2018-12-31,5645.901
2019-01-31,6052.779
2019-02-28,6256.705
2019-03-29,6291.348
2019-04-30,6367.055
2019-05-31,6413.344
2019-06-28,6754.58
2019-07-31,6796.869
2019-08-30,6504.168
2019-09-30,6662.556
2019-10-31,6778.92
2019-11-29,6847.393
2019-12-31,6952.817
2020-01-31,6959.086
2020-02-28,6195.187
2020-03-31,4642.609
2020-04-30,5352.45
2020-05-29,5596.849
2020-06-30,5986.967
2020-07-31,6255.331
2020-08-31,6606.241
2020-09-30,6157.076
2020-10-30,6158.363
2020-11-30,7137.29
2020-12-31,7569.63
2021-01-29,7572.812
2021-02-26,7774.601
2021-03-31,7830.378
2021-04-30,8216.68
2021-05-31,8483.605
2021-06-30,8371.378
2021-07-30,8261.041
2021-08-31,8383.05
2021-09-30,8120.208
2021-10-29,8438.639
2021-11-30,7888.74
2021-12-31,8293.932
2022-01-31,7567.447
2022-02-28,8011.129
2022-03-31,8897.241
2022-04-29,8374.935
2022-05-31,8283.999
2022-06-30,7288.595
2022-07-29,7766.289
2022-08-31,7687.177
2022-09-30,6798.883
2022-10-31,7155.798
2022-11-30,8026.984
2022-12-30,7868.048
2023-01-31,8709.838
2023-02-28,8138.43
2023-03-31,8088.604
2023-04-28,8105.024
2023-05-31,7718.363
2023-06-30,8114.054
2023-07-31,8438.347
2023-08-31,8074.526
2023-09-29,7844.119
2023-10-31,7440.333
2023-11-30,8174.229
2023-12-29,9042.141
2024-01-31,8900.379
2024-02-29,8850.736
2024-03-29,9115.554
2024-04-30,8772.577
2024-05-31,9084.349
2024-06-28,9267.257
2024-07-31,9421.796
2024-08-30,9827.394
2024-09-30,10337.033
2024-10-31,9615.95
2024-11-29,9947.947
2024-12-31,9163.086
2025-01-31,9629.618
2025-02-28,9224.894
2025-03-31,8924.145
2025-04-30,9528.297
2025-05-30,9931.138
