Date,ISRAEL Standard (Large+Mid Cap)
2013-10-31,295.573
2013-11-29,314.26
2013-12-31,313.474
2014-01-31,326.022
2014-02-28,349.925
2014-03-31,372.116
2014-04-30,365.083
2014-05-30,368.81
2014-06-30,381.079
2014-07-31,384.709
2014-08-29,374.602
2014-09-30,382.539
2014-10-31,378.224
2014-11-28,388.604
2014-12-31,387.692
2015-01-30,383.269
2015-02-27,383.423
2015-03-31,422.953
2015-04-30,419.054
2015-05-29,420.279
2015-06-30,417.404
2015-07-31,471.743
2015-08-31,434.917
2015-09-30,394.732
2015-10-30,423.213
2015-11-30,419.925
2015-12-31,430.639
2016-01-29,397.661
2016-02-29,388.164
2016-03-31,387.302
2016-04-29,397.067
2016-05-31,378.858
2016-06-30,373.25
2016-07-29,394.815
2016-08-31,381.208
2016-09-30,366.415
2016-10-31,341.216
2016-11-30,325.817
2016-12-30,325.319
2017-01-31,328.097
2017-02-28,342.031
2017-03-31,343.661
2017-04-28,345.64
2017-05-31,343.886
2017-06-30,366.594
2017-07-31,359.632
2017-08-31,307.852
2017-09-29,320.273
2017-10-31,311.004
2017-11-30,306.744
2017-12-29,333.752
2018-01-31,347.973
2018-02-28,334.325
2018-03-30,316.236
2018-04-30,319.183
2018-05-31,342.629
2018-06-29,351.144
2018-07-31,365.495
2018-08-31,376.879
2018-09-28,369.311
2018-10-31,347.135
2018-11-30,362.646
2018-12-31,316.422
2019-01-31,354.655
2019-02-28,351.918
2019-03-29,348.436
2019-04-30,358.861
2019-05-31,322.723
2019-06-28,336.25
2019-07-31,342.218
2019-08-30,321.336
2019-09-30,323.977
2019-10-31,336.781
2019-11-29,354.117
2019-12-31,347.87
2020-01-31,364.354
2020-02-28,340.27
2020-03-31,285.294
2020-04-30,315.335
2020-05-29,343.615
2020-06-30,342.772
2020-07-31,365.132
2020-08-31,368.557
2020-09-30,336.069
2020-10-30,335.814
2020-11-30,368.432
2020-12-31,400.786
2021-01-29,407.436
2021-02-26,406.751
2021-03-31,399.529
2021-04-30,424.779
2021-05-31,414.397
2021-06-30,419.983
2021-07-30,440.482
2021-08-31,443.859
2021-09-30,432.094
2021-10-29,454.256
2021-11-30,443.672
2021-12-31,463.298
2022-01-31,424.063
2022-02-28,431.175
2022-03-31,431.777
2022-04-29,397.164
2022-05-31,376.324
2022-06-30,345.705
2022-07-29,367.075
2022-08-31,386.164
2022-09-30,339.757
2022-10-31,369.459
2022-11-30,360.454
2022-12-30,341.704
2023-01-31,356.523
2023-02-28,340.782
2023-03-31,345.029
2023-04-28,338.618
2023-05-31,325.475
2023-06-30,331.994
2023-07-31,358.794
2023-08-31,349.678
2023-09-29,349.032
2023-10-31,305.033
2023-11-30,354.633
2023-12-29,381.691
2024-01-31,388.197
2024-02-29,422.291
2024-03-29,429.399
2024-04-30,397.386
2024-05-31,411.401
2024-06-28,412.204
2024-07-31,428.281
2024-08-30,463.143
2024-09-30,463.824
2024-10-31,469.257
2024-11-29,505.842
2024-12-31,529.92
2025-01-31,554.12
2025-02-28,544.64
2025-03-31,519.876
2025-04-30,545.903
2025-05-30,588.055
