Date,SINGAPORE SMALL CAP Small Cap
2014-06-30,648.061
2014-07-31,656.172
2014-08-29,654.669
2014-09-30,621.575
2014-10-31,615.263
2014-11-28,605.606
2014-12-31,584.567
2015-01-30,597.64
2015-02-27,592.023
2015-03-31,585.389
2015-04-30,625.143
2015-05-29,604.491
2015-06-30,589.611
2015-07-31,565.421
2015-08-31,502.178
2015-09-30,496.242
2015-10-30,525.389
2015-11-30,511.423
2015-12-31,505.076
2016-01-29,477.176
2016-02-29,500.994
2016-03-31,547.952
2016-04-29,560.067
2016-05-31,543.838
2016-06-30,553.874
2016-07-29,573.312
2016-08-31,570.443
2016-09-30,579.942
2016-10-31,565.718
2016-11-30,542.164
2016-12-30,532.183
2017-01-31,563.997
2017-02-28,585.403
2017-03-31,596.294
2017-04-28,598.776
2017-05-31,601.913
2017-06-30,614.634
2017-07-31,627.997
2017-08-31,632.604
2017-09-29,644.361
2017-10-31,658.683
2017-11-30,666.9
2017-12-29,678.825
2018-01-31,727.558
2018-02-28,700.606
2018-03-30,706.669
2018-04-30,680.578
2018-05-31,665.456
2018-06-29,635.96
2018-07-31,652.035
2018-08-31,638.034
2018-09-28,641.89
2018-10-31,604.922
2018-11-30,623.56
2018-12-31,615.246
2019-01-31,667.492
2019-02-28,668.36
2019-03-29,677.575
2019-04-30,681.796
2019-05-31,662.724
2019-06-28,711.231
2019-07-31,698.148
2019-08-30,681.783
2019-09-30,696.103
2019-10-31,723.325
2019-11-29,729.346
2019-12-31,752.354
2020-01-31,742.726
2020-02-28,703.131
2020-03-31,540.297
2020-04-30,611.346
2020-05-29,638.003
2020-06-30,652.314
2020-07-31,671.642
2020-08-31,684.922
2020-09-30,681.6
2020-10-30,653.729
2020-11-30,731.874
2020-12-31,750.558
2021-01-29,760.826
2021-02-26,764.024
2021-03-31,784.316
2021-04-30,827.077
2021-05-31,817.753
2021-06-30,795.052
2021-07-30,803.156
2021-08-31,805.676
2021-09-30,784.18
2021-10-29,802.171
2021-11-30,780.041
2021-12-31,805.081
2022-01-31,769.564
2022-02-28,783.782
2022-03-31,829.559
2022-04-29,816.29
2022-05-31,801.867
2022-06-30,765.467
2022-07-29,784.816
2022-08-31,779.829
2022-09-30,698.651
2022-10-31,674.989
2022-11-30,734.432
2022-12-30,742.501
2023-01-31,799.203
2023-02-28,763.913
2023-03-31,772.046
2023-04-28,767.865
2023-05-31,747.102
2023-06-30,771.326
2023-07-31,790.507
2023-08-31,759.488
2023-09-29,726.672
2023-10-31,678.763
2023-11-30,728.786
2023-12-29,777.682
2024-01-31,748.944
2024-02-29,733.104
2024-03-29,743.339
2024-04-30,731.558
2024-05-31,753.592
2024-06-28,736.676
2024-07-31,786.578
2024-08-30,820.273
2024-09-30,872.904
2024-10-31,824.857
2024-11-29,807.257
2024-12-31,796.811
2025-01-31,793.97
2025-02-28,778.199
2025-03-31,803.963
2025-04-30,802.718
2025-05-30,819.287
2025-06-30,857.606
2025-07-31,899.508
2025-08-29,948.062
2025-09-30,967.991
