Date,ISRAEL IMI GROWTH IMI (Large+Mid+Small Cap)
2011-12-30,923.075
2012-01-31,1004.882
2012-02-29,990.979
2012-03-30,1020.048
2012-04-30,1047.205
2012-05-31,946.146
2012-06-29,932.876
2012-07-31,1003.502
2012-08-31,979.278
2012-09-28,1012.571
2012-10-31,1005.435
2012-11-30,1025.924
2012-12-31,966.244
2013-01-31,974.372
2013-02-28,985.804
2013-03-29,1026.74
2013-04-30,1012.454
2013-05-31,1002.097
2013-06-28,975.968
2013-07-31,997.942
2013-08-30,965.637
2013-09-30,1021.238
2013-10-31,1028.458
2013-11-29,1083.076
2013-12-31,1103.293
2014-01-31,1101.553
2014-02-28,1165.429
2014-03-31,1218.854
2014-04-30,1195.857
2014-05-30,1202.345
2014-06-30,1229.175
2014-07-31,1230.5
2014-08-29,1195.065
2014-09-30,1211.892
2014-10-31,1178.205
2014-11-28,1198.53
2014-12-31,1205.652
2015-01-30,1195.347
2015-02-27,1214.604
2015-03-31,1322.471
2015-04-30,1324.313
2015-05-29,1319.751
2015-06-30,1306.307
2015-07-31,1476.984
2015-08-31,1380.159
2015-09-30,1248.549
2015-10-30,1333.782
2015-11-30,1334.909
2015-12-31,1361.272
2016-01-29,1258.498
2016-02-29,1239.554
2016-03-31,1251.145
2016-04-29,1280.362
2016-05-31,1236.898
2016-06-30,1223.793
2016-07-29,1299.541
2016-08-31,1263.917
2016-09-30,1210.179
2016-10-31,1144.644
2016-11-30,1106.794
2016-12-30,1106.014
2017-01-31,1170.119
2017-02-28,1222.051
2017-03-31,1278.756
2017-04-28,1304.399
2017-05-31,1322.861
2017-06-30,1322.826
2017-07-31,1304.081
2017-08-31,1355.611
2017-09-29,1393.116
2017-10-31,1435.784
2017-11-30,1398.526
2017-12-29,1406.978
2018-01-31,1460.151
2018-02-28,1451.0
2018-03-30,1408.182
2018-04-30,1399.549
2018-05-31,1455.357
2018-06-29,1437.469
2018-07-31,1506.776
2018-08-31,1624.374
2018-09-28,1634.286
2018-10-31,1511.707
2018-11-30,1557.995
2018-12-31,1471.028
2019-01-31,1577.52
2019-02-28,1686.331
2019-03-29,1705.085
2019-04-30,1781.07
2019-05-31,1745.379
2019-06-28,1790.422
2019-07-31,1883.723
2019-08-30,1807.886
2019-09-30,1817.497
2019-10-31,1866.513
2019-11-29,1932.107
2019-12-31,1919.293
2020-01-31,2027.195
2020-02-28,1862.25
2020-03-31,1583.307
2020-04-30,1798.587
2020-05-29,1998.61
2020-06-30,2020.278
2020-07-31,2242.469
2020-08-31,2349.686
2020-09-30,2218.766
2020-10-30,2196.688
2020-11-30,2368.342
2020-12-31,2590.306
2021-01-29,2556.072
2021-02-26,2666.628
2021-03-31,2486.445
2021-04-30,2693.621
2021-05-31,2548.882
2021-06-30,2663.211
2021-07-30,2771.809
2021-08-31,2769.178
2021-09-30,2719.673
2021-10-29,2866.832
2021-11-30,2805.28
2021-12-31,2913.799
2022-01-31,2621.991
2022-02-28,2609.973
2022-03-31,2571.659
2022-04-29,2343.639
2022-05-31,2193.764
2022-06-30,2051.869
2022-07-29,2173.728
2022-08-31,2242.994
2022-09-30,1993.028
2022-10-31,2083.692
2022-11-30,2062.141
2022-12-30,1926.198
2023-01-31,2013.008
2023-02-28,1907.76
2023-03-31,1951.256
2023-04-28,1879.588
2023-05-31,1875.694
2023-06-30,1903.814
2023-07-31,2042.245
2023-08-31,1940.035
2023-09-29,1828.347
2023-10-31,1620.496
2023-11-30,1906.928
2023-12-29,2059.9
2024-01-31,2101.063
2024-02-29,2267.118
2024-03-29,2292.789
2024-04-30,2089.247
2024-05-31,2150.304
2024-06-28,2191.29
2024-07-31,2215.108
2024-08-30,2349.511
2024-09-30,2345.797
2024-10-31,2326.26
2024-11-29,2539.923
2024-12-31,2546.457
2025-01-31,2761.551
2025-02-28,2656.538
2025-03-31,2453.711
2025-04-30,2552.352
2025-05-30,2696.774
2025-06-30,2917.659
2025-07-31,2797.747
2025-08-29,2864.494
2025-09-30,3087.26
2025-10-31,3128.3
