Date,ISRAEL IMI GROWTH IMI (Large+Mid+Small Cap)
2012-01-31,1024.063
2012-02-29,1010.887
2012-03-30,1040.646
2012-04-30,1069.472
2012-05-31,967.356
2012-06-29,954.354
2012-07-31,1026.606
2012-08-31,1003.607
2012-09-28,1037.764
2012-10-31,1030.485
2012-11-30,1052.526
2012-12-31,992.106
2013-01-31,1000.453
2013-02-28,1013.208
2013-03-29,1055.492
2013-04-30,1041.315
2013-05-31,1031.894
2013-06-28,1005.677
2013-07-31,1028.409
2013-08-30,996.316
2013-09-30,1053.953
2013-10-31,1061.405
2013-11-29,1118.892
2013-12-31,1140.154
2014-01-31,1138.375
2014-02-28,1205.207
2014-03-31,1260.89
2014-04-30,1237.41
2014-05-30,1245.193
2014-06-30,1273.307
2014-07-31,1274.713
2014-08-29,1239.18
2014-09-30,1256.932
2014-10-31,1221.993
2014-11-28,1244.122
2014-12-31,1251.959
2015-01-30,1241.258
2015-02-27,1262.492
2015-03-31,1374.777
2015-04-30,1377.053
2015-05-29,1373.51
2015-06-30,1359.625
2015-07-31,1537.316
2015-08-31,1437.942
2015-09-30,1300.862
2015-10-30,1389.684
2015-11-30,1392.3
2015-12-31,1419.931
2016-01-29,1312.728
2016-02-29,1294.034
2016-03-31,1306.264
2016-04-29,1337.201
2016-05-31,1292.977
2016-06-30,1279.427
2016-07-29,1358.721
2016-08-31,1322.372
2016-09-30,1266.158
2016-10-31,1197.592
2016-11-30,1158.095
2016-12-30,1158.271
2017-01-31,1225.609
2017-02-28,1280.625
2017-03-31,1340.242
2017-04-28,1367.651
2017-05-31,1387.166
2017-06-30,1387.382
2017-07-31,1367.722
2017-08-31,1422.16
2017-09-29,1462.052
2017-10-31,1506.848
2017-11-30,1467.889
2017-12-29,1477.313
2018-01-31,1533.241
2018-02-28,1523.692
2018-03-30,1479.341
2018-04-30,1470.955
2018-05-31,1529.739
2018-06-29,1511.306
2018-07-31,1584.172
2018-08-31,1708.133
2018-09-28,1718.657
2018-10-31,1589.835
2018-11-30,1638.882
2018-12-31,1547.773
2019-01-31,1659.891
2019-02-28,1774.652
2019-03-29,1794.885
2019-04-30,1875.588
2019-05-31,1838.007
2019-06-28,1885.716
2019-07-31,1983.983
2019-08-30,1904.75
2019-09-30,1915.237
2019-10-31,1967.101
2019-11-29,2036.457
2019-12-31,2023.26
2020-01-31,2137.008
2020-02-28,1963.127
2020-03-31,1669.232
2020-04-30,1896.708
2020-05-29,2107.721
2020-06-30,2130.667
2020-07-31,2364.998
2020-08-31,2478.211
2020-09-30,2340.433
2020-10-30,2317.144
2020-11-30,2498.535
2020-12-31,2732.946
2021-01-29,2696.989
2021-02-26,2813.727
2021-03-31,2624.384
2021-04-30,2843.804
2021-05-31,2691.033
2021-06-30,2812.044
2021-07-30,2926.711
2021-08-31,2925.393
2021-09-30,2873.521
2021-10-29,3029.004
2021-11-30,2966.211
2021-12-31,3081.672
2022-01-31,2773.052
2022-02-28,2760.4
2022-03-31,2722.282
2022-04-29,2481.929
2022-05-31,2324.183
2022-06-30,2175.164
2022-07-29,2304.698
2022-08-31,2380.199
2022-09-30,2115.76
2022-10-31,2212.107
2022-11-30,2190.452
2022-12-30,2046.372
2023-01-31,2138.598
2023-02-28,2027.023
2023-03-31,2074.306
2023-04-28,1998.615
2023-05-31,1995.584
2023-06-30,2025.701
2023-07-31,2172.995
2023-08-31,2064.511
2023-09-29,1945.862
2023-10-31,1725.166
2023-11-30,2030.18
2023-12-29,2193.61
2024-01-31,2237.445
2024-02-29,2414.278
2024-03-29,2442.164
2024-04-30,2226.285
2024-05-31,2291.957
2024-06-28,2335.946
2024-07-31,2361.335
2024-08-30,2504.895
2024-09-30,2501.649
2024-10-31,2480.88
2024-11-29,2708.784
2024-12-31,2715.939
2025-01-31,2945.348
2025-02-28,2833.346
2025-03-31,2617.441
2025-04-30,2723.129
2025-05-30,2877.897
2025-06-30,3113.911
2025-07-31,2985.956
2025-08-29,3057.485
2025-09-30,3296.447
2025-10-31,3340.566
2025-11-28,3233.388
2025-12-31,3493.517
