Date,UNITED KINGDOM MID GROWTH Mid Cap
2004-09-09,472.191
2004-09-10,478.967
2004-09-13,481.922
2004-09-14,482.247
2004-09-15,475.646
2004-09-16,479.778
2004-09-17,484.836
2004-09-20,479.562
2004-09-21,483.329
2004-09-22,480.581
2004-09-23,476.335
2004-09-24,478.762
2004-09-27,475.672
2004-09-28,478.508
2004-09-29,477.658
2004-09-30,478.742
2004-10-01,485.152
2004-10-04,487.59
2004-10-05,486.357
2004-10-06,485.714
2004-10-07,487.724
2004-10-08,491.648
2004-10-11,490.923
2004-10-12,482.947
2004-10-13,483.67
2004-10-14,481.619
2004-10-15,483.538
2004-10-18,481.366
2004-10-19,487.504
2004-10-20,486.575
2004-10-21,493.935
2004-10-22,494.042
2004-10-25,491.757
2004-10-26,494.328
2004-10-27,497.864
2004-10-28,497.582
2004-10-29,495.805
2004-11-01,502.406
2004-11-02,506.612
2004-11-03,511.225
2004-11-04,510.165
2004-11-05,514.133
2004-11-08,514.953
2004-11-09,513.773
2004-11-10,516.971
2004-11-11,522.452
2004-11-12,529.85
2004-11-15,528.764
2004-11-16,526.768
2004-11-17,530.841
2004-11-18,529.584
2004-11-19,531.867
2004-11-22,526.454
2004-11-23,532.134
2004-11-24,535.366
2004-11-25,540.521
2004-11-26,541.796
2004-11-29,541.987
2004-11-30,544.25
2004-12-01,550.007
2004-12-02,549.741
2004-12-03,553.016
2004-12-06,550.828
2004-12-07,551.56
2004-12-08,543.908
2004-12-09,539.49
2004-12-10,540.063
2004-12-13,547.354
2004-12-14,548.265
2004-12-15,552.417
2004-12-16,551.597
2004-12-17,549.592
2004-12-20,555.774
2004-12-21,552.233
2004-12-22,551.763
2004-12-23,555.895
2004-12-24,558.446
2004-12-27,560.621
2004-12-28,559.244
2004-12-29,556.771
2004-12-30,559.387
2004-12-31,558.974
2005-01-03,554.107
2005-01-04,549.853
2005-01-05,542.922
2005-01-06,540.015
2005-01-07,541.939
2005-01-10,543.174
2005-01-11,542.23
2005-01-12,544.27
2005-01-13,543.702
2005-01-14,543.269
2005-01-17,546.577
2005-01-18,548.12
2005-01-19,552.016
2005-01-20,549.048
2005-01-21,549.328
2005-01-24,550.563
2005-01-25,548.489
2005-01-26,553.434
2005-01-27,554.061
2005-01-28,553.615
2005-01-31,556.568
2005-02-01,560.549
2005-02-02,565.133
2005-02-03,564.073
2005-02-04,569.797
2005-02-07,568.071
2005-02-08,568.25
2005-02-09,568.024
2005-02-10,571.921
2005-02-11,574.672
2005-02-14,582.075
2005-02-15,582.721
2005-02-16,578.384
2005-02-17,582.367
2005-02-18,582.891
2005-02-21,581.525
2005-02-22,580.272
2005-02-23,577.982
2005-02-24,577.693
2005-02-25,585.859
2005-02-28,586.608
2005-03-01,588.211
2005-03-02,581.675
2005-03-03,580.661
2005-03-04,588.231
2005-03-07,584.932
2005-03-08,589.339
2005-03-09,586.232
2005-03-10,584.136
2005-03-11,587.953
2005-03-14,581.277
2005-03-15,586.636
2005-03-16,586.093
2005-03-17,583.443
2005-03-18,582.459
2005-03-21,574.896
2005-03-22,576.417
2005-03-23,565.247
2005-03-24,565.279
2005-03-25,565.279
2005-03-28,563.995
2005-03-29,563.161
2005-03-30,565.889
2005-03-31,569.132
2005-04-01,571.507
2005-04-04,563.64
2005-04-05,574.714
2005-04-06,577.581
2005-04-07,580.268
2005-04-08,581.99
2005-04-11,586.736
2005-04-12,582.057
2005-04-13,588.345
2005-04-14,581.801
2005-04-15,576.819
2005-04-18,572.206
2005-04-19,579.029
2005-04-20,577.856
2005-04-21,577.96
2005-04-22,583.273
2005-04-25,580.743
2005-04-26,575.193
2005-04-27,566.998
2005-04-28,563.106
2005-04-29,563.711
2005-05-02,558.738
2005-05-03,564.939
2005-05-04,569.087
2005-05-05,569.931
2005-05-06,567.322
2005-05-09,562.128
2005-05-10,559.89
2005-05-11,555.792
2005-05-12,556.41
2005-05-13,554.228
2005-05-16,548.62
2005-05-17,552.524
2005-05-18,558.228
2005-05-19,562.47
2005-05-20,559.063
2005-05-23,562.664
2005-05-24,561.934
2005-05-25,561.664
2005-05-26,567.576
2005-05-27,565.033
2005-05-30,565.173
2005-05-31,564.176
2005-06-01,568.283
2005-06-02,569.544
2005-06-03,571.13
2005-06-06,569.494
2005-06-07,579.114
2005-06-08,579.209
2005-06-09,573.359
2005-06-10,574.317
2005-06-13,573.471
2005-06-14,572.584
2005-06-15,574.422
2005-06-16,580.402
2005-06-17,585.419
2005-06-20,583.137
2005-06-21,583.247
2005-06-22,584.11
2005-06-23,583.426
2005-06-24,578.272
2005-06-27,574.272
2005-06-28,575.954
2005-06-29,575.237
2005-06-30,572.97
2005-07-01,572.914
2005-07-04,568.073
2005-07-05,565.147
2005-07-06,571.732
2005-07-07,556.648
2005-07-08,563.332
2005-07-11,572.479
2005-07-12,576.461
2005-07-13,572.967
2005-07-14,573.746
2005-07-15,570.171
2005-07-18,566.521
2005-07-19,559.267
2005-07-20,560.285
2005-07-21,572.173
2005-07-22,574.623
2005-07-25,577.517
2005-07-26,572.876
2005-07-27,575.311
2005-07-28,581.863
2005-07-29,586.805
2005-08-01,590.174
2005-08-02,591.954
2005-08-03,596.413
2005-08-04,597.187
2005-08-05,595.308
2005-08-08,600.999
2005-08-09,601.289
2005-08-10,608.425
2005-08-11,608.806
2005-08-12,610.41
2005-08-15,609.128
2005-08-16,607.869
2005-08-17,604.86
2005-08-18,600.967
2005-08-19,602.941
2005-08-22,608.542
2005-08-23,607.898
2005-08-24,607.024
2005-08-25,605.48
2005-08-26,606.767
2005-08-29,604.804
2005-08-30,598.822
2005-08-31,607.203
2005-09-01,623.115
2005-09-02,628.197
2005-09-05,628.849
2005-09-06,626.249
2005-09-07,629.271
2005-09-08,630.123
2005-09-09,632.096
2005-09-12,629.557
2005-09-13,621.905
2005-09-14,625.678
2005-09-15,618.401
2005-09-16,620.937
2005-09-19,622.273
2005-09-20,622.482
2005-09-21,618.297
2005-09-22,607.535
2005-09-23,607.285
2005-09-26,609.686
2005-09-27,604.47
2005-09-28,610.193
2005-09-29,608.444
2005-09-30,611.576
2005-10-03,610.166
2005-10-04,613.608
2005-10-05,606.327
2005-10-06,603.519
2005-10-07,595.724
2005-10-10,594.687
2005-10-11,592.301
2005-10-12,587.429
2005-10-13,576.507
2005-10-14,589.2
2005-10-17,585.698
2005-10-18,580.796
2005-10-19,572.929
2005-10-20,579.47
2005-10-21,578.983
2005-10-24,585.446
2005-10-25,588.328
2005-10-26,589.174
2005-10-27,583.66
2005-10-28,583.636
2005-10-31,592.006
2005-11-01,593.243
2005-11-02,604.619
2005-11-03,613.721
2005-11-04,602.919
