Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
2003-03-28,250.431
2003-03-31,243.043
2003-04-01,242.991
2003-04-02,250.149
2003-04-03,251.202
2003-04-04,252.481
2003-04-07,260.394
2003-04-08,256.541
2003-04-09,256.401
2003-04-10,255.207
2003-04-11,254.502
2003-04-14,255.062
2003-04-15,258.671
2003-04-16,260.247
2003-04-17,263.175
2003-04-18,263.175
2003-04-21,262.37
2003-04-22,265.447
2003-04-23,269.872
2003-04-24,271.957
2003-04-25,269.191
2003-04-28,273.866
2003-04-29,283.172
2003-04-30,286.047
2003-05-01,288.875
2003-05-02,287.625
2003-05-05,291.546
2003-05-06,293.922
2003-05-07,292.501
2003-05-08,287.699
2003-05-09,291.672
2003-05-12,294.893
2003-05-13,297.286
2003-05-14,295.058
2003-05-15,295.703
2003-05-16,297.5
2003-05-19,294.215
2003-05-20,290.46
2003-05-21,288.766
2003-05-22,291.901
2003-05-23,295.147
2003-05-26,294.808
2003-05-27,298.645
2003-05-28,303.475
2003-05-29,304.915
2003-05-30,305.0
2003-06-02,304.625
2003-06-03,300.005
2003-06-04,302.687
2003-06-05,308.596
2003-06-06,308.799
2003-06-09,309.872
2003-06-10,307.883
2003-06-11,314.214
2003-06-12,318.707
2003-06-13,314.931
2003-06-16,319.182
2003-06-17,322.188
2003-06-18,318.737
2003-06-19,315.218
2003-06-20,313.315
2003-06-23,307.036
2003-06-24,301.699
2003-06-25,304.826
2003-06-26,301.916
2003-06-27,306.915
2003-06-30,306.815
2003-07-01,304.969
2003-07-02,306.536
2003-07-03,309.946
2003-07-04,308.562
2003-07-07,308.474
2003-07-08,311.579
2003-07-09,312.49
2003-07-10,308.837
2003-07-11,307.935
2003-07-14,313.751
2003-07-15,311.316
2003-07-16,307.973
2003-07-17,301.99
2003-07-18,306.53
2003-07-21,309.395
2003-07-22,309.033
2003-07-23,312.587
2003-07-24,317.109
2003-07-25,317.897
2003-07-28,320.518
2003-07-29,319.248
2003-07-30,317.994
2003-07-31,315.296
2003-08-01,313.87
2003-08-04,317.936
2003-08-05,319.7
2003-08-06,315.114
2003-08-07,311.661
2003-08-08,313.107
2003-08-11,310.658
2003-08-12,314.808
2003-08-13,316.895
2003-08-14,318.606
2003-08-15,317.183
2003-08-18,317.617
2003-08-19,318.124
2003-08-20,318.214
2003-08-21,321.241
2003-08-22,318.825
2003-08-25,314.501
2003-08-26,311.326
2003-08-27,313.353
2003-08-28,314.587
2003-08-29,318.169
2003-09-01,324.757
2003-09-02,321.959
2003-09-03,330.496
2003-09-04,332.073
2003-09-05,337.109
2003-09-08,339.968
2003-09-09,339.6
2003-09-10,335.117
2003-09-11,336.425
2003-09-12,339.908
2003-09-15,339.265
2003-09-16,340.22
2003-09-17,341.904
2003-09-18,343.647
2003-09-19,341.483
2003-09-22,337.495
2003-09-23,340.333
2003-09-24,339.487
2003-09-25,338.567
2003-09-26,337.992
2003-09-29,338.542
2003-09-30,334.199
