Date,NORWAY SMID VALUE SMID (Small+Mid Cap)
2018-07-31,1038.948
2018-08-31,1027.118
2018-09-28,1082.483
2018-10-31,1014.352
2018-11-30,942.788
2018-12-31,866.77
2019-01-31,944.992
2019-02-28,953.138
2019-03-29,949.063
2019-04-30,982.334
2019-05-31,902.416
2019-06-28,939.536
2019-07-31,892.425
2019-08-30,849.842
2019-09-30,879.764
2019-10-31,885.978
2019-11-29,912.424
2019-12-31,993.676
2020-01-31,909.243
2020-02-28,791.583
2020-03-31,519.701
2020-04-30,607.875
2020-05-29,654.499
2020-06-30,668.964
2020-07-31,724.105
2020-08-31,767.602
2020-09-30,704.717
2020-10-30,652.834
2020-11-30,851.31
2020-12-31,919.708
2021-01-29,927.476
2021-02-26,997.447
2021-03-31,1068.208
2021-04-30,1093.134
2021-05-31,1126.122
2021-06-30,1091.479
2021-07-30,1078.856
2021-08-31,1083.384
2021-09-30,1105.097
2021-10-29,1179.997
2021-11-30,1062.16
2021-12-31,1161.776
2022-01-31,1151.129
2022-02-28,1209.302
2022-03-31,1254.576
2022-04-29,1163.74
2022-05-31,1176.873
2022-06-30,972.685
2022-07-29,1068.166
2022-08-31,1042.303
2022-09-30,853.278
2022-10-31,959.8
2022-11-30,1047.712
2022-12-30,1063.691
2023-01-31,1104.658
2023-02-28,1092.207
2023-03-31,1034.037
2023-04-28,1037.142
2023-05-31,966.333
2023-06-30,971.234
2023-07-31,1071.975
2023-08-31,1020.357
2023-09-29,1045.856
2023-10-31,982.985
2023-11-30,1037.785
2023-12-29,1115.524
2024-01-31,1087.497
2024-02-29,1074.436
2024-03-29,1078.872
2024-04-30,1120.769
2024-05-31,1234.7
2024-06-28,1189.38
2024-07-31,1178.554
2024-08-30,1199.753
2024-09-30,1245.0
2024-10-31,1189.744
2024-11-29,1190.267
2024-12-31,1142.688
2025-01-31,1232.136
2025-02-28,1212.426
2025-03-31,1314.06
2025-04-30,1319.93
2025-05-30,1396.612
