Date,EM (EMERGING MARKETS) SMID VALUE SMID (Small+Mid Cap)
2016-07-29,1293.377
2016-08-31,1308.841
2016-09-30,1320.749
2016-10-31,1314.125
2016-11-30,1259.62
2016-12-30,1259.907
2017-01-31,1327.51
2017-02-28,1393.667
2017-03-31,1426.159
2017-04-28,1440.356
2017-05-31,1460.693
2017-06-30,1471.948
2017-07-31,1538.47
2017-08-31,1565.501
2017-09-29,1554.774
2017-10-31,1597.767
2017-11-30,1597.805
2017-12-29,1676.276
2018-01-31,1783.878
2018-02-28,1701.411
2018-03-30,1676.973
2018-04-30,1690.984
2018-05-31,1652.222
2018-06-29,1545.372
2018-07-31,1574.663
2018-08-31,1541.722
2018-09-28,1513.316
2018-10-31,1369.058
2018-11-30,1434.881
2018-12-31,1418.707
2019-01-31,1518.783
2019-02-28,1519.835
2019-03-29,1536.709
2019-04-30,1540.748
2019-05-31,1458.593
2019-06-28,1529.497
2019-07-31,1504.127
2019-08-30,1413.033
2019-09-30,1434.245
2019-10-31,1479.273
2019-11-29,1483.197
2019-12-31,1581.035
2020-01-31,1498.646
2020-02-28,1378.883
2020-03-31,1070.468
2020-04-30,1199.182
2020-05-29,1214.788
2020-06-30,1306.193
2020-07-31,1391.623
2020-08-31,1429.726
2020-09-30,1415.755
2020-10-30,1408.348
2020-11-30,1604.054
2020-12-31,1729.532
2021-01-29,1724.535
2021-02-26,1811.996
2021-03-31,1854.963
2021-04-30,1962.062
2021-05-31,2020.453
2021-06-30,2022.234
2021-07-30,1974.445
2021-08-31,2031.761
2021-09-30,1986.242
2021-10-29,1981.648
2021-11-30,1902.968
2021-12-31,1974.525
2022-01-31,1925.415
2022-02-28,1906.767
2022-03-31,1929.916
2022-04-29,1848.895
2022-05-31,1839.213
2022-06-30,1675.347
2022-07-29,1704.627
2022-08-31,1731.025
2022-09-30,1557.683
2022-10-31,1570.198
2022-11-30,1741.847
2022-12-30,1738.655
2023-01-31,1836.778
2023-02-28,1776.346
2023-03-31,1784.197
2023-04-28,1805.761
2023-05-31,1794.518
2023-06-30,1866.865
2023-07-31,1999.914
2023-08-31,1924.845
2023-09-29,1901.556
2023-10-31,1828.397
2023-11-30,1994.525
2023-12-29,2095.726
2024-01-31,2036.986
2024-02-29,2100.979
2024-03-29,2104.773
2024-04-30,2139.381
2024-05-31,2166.968
2024-06-28,2215.369
2024-07-31,2238.98
2024-08-30,2284.369
2024-09-30,2385.665
2024-10-31,2272.51
2024-11-29,2212.318
2024-12-31,2185.35
2025-01-31,2179.293
2025-02-28,2158.509
2025-03-31,2159.269
2025-04-30,2221.177
2025-05-30,2369.721
2025-06-30,2490.178
2025-07-31,2526.755
