Date,UNITED KINGDOM IMI GROWTH IMI (Large+Mid+Small Cap)
2001-10-31,498.516
2001-11-30,508.289
2001-12-31,519.254
2002-01-31,480.896
2002-02-28,472.877
2002-03-29,481.86
2002-04-30,465.475
2002-05-31,439.196
2002-06-28,422.657
2002-07-31,393.646
2002-08-30,387.181
2002-09-30,356.858
2002-10-31,385.766
2002-11-29,401.36
2002-12-31,396.445
2003-01-31,367.488
2003-02-28,354.044
2003-03-31,357.997
2003-04-30,403.105
2003-05-30,420.424
2003-06-30,429.742
2003-07-31,428.557
2003-08-29,424.395
2003-09-30,444.627
2003-10-31,475.372
2003-11-28,487.519
2003-12-31,518.189
2004-01-30,523.222
2004-02-27,544.889
2004-03-31,527.66
2004-04-30,523.327
2004-05-31,528.506
2004-06-30,527.417
2004-07-30,514.988
2004-08-31,516.465
2004-09-30,530.41
2004-10-29,545.605
2004-11-30,581.01
2004-12-31,598.117
2005-01-31,591.211
2005-02-28,621.945
2005-03-31,607.612
2005-04-29,607.475
2005-05-31,601.68
2005-06-30,609.269
2005-07-29,624.262
2005-08-31,649.297
2005-09-30,669.493
2005-10-31,649.6
2005-11-30,657.447
2005-12-30,678.927
2006-01-31,729.242
2006-02-28,720.232
2006-03-31,741.696
2006-04-28,792.891
2006-05-31,773.642
2006-06-30,779.677
2006-07-31,794.834
2006-08-31,813.071
2006-09-29,801.014
2006-10-31,836.888
2006-11-30,859.848
2006-12-29,886.229
2007-01-31,887.834
2007-02-28,903.84
2007-03-30,941.979
2007-04-30,982.535
2007-05-31,1000.0
2007-06-29,1004.337
2007-07-31,987.842
2007-08-31,980.5
2007-09-28,1030.438
2007-10-31,1093.827
2007-11-30,1061.194
2007-12-31,1027.43
2008-01-31,945.337
2008-02-29,966.932
2008-03-31,939.468
2008-04-30,993.092
2008-05-30,1006.224
2008-06-30,962.859
2008-07-31,921.173
2008-08-29,881.832
2008-09-30,735.57
2008-10-31,582.332
2008-11-28,528.162
2008-12-31,520.655
2009-01-30,510.881
2009-02-27,477.029
2009-03-31,494.527
2009-04-30,542.158
2009-05-29,618.962
2009-06-30,616.035
2009-07-31,669.881
2009-08-31,686.485
2009-09-30,713.023
2009-10-30,729.049
2009-11-30,755.388
2009-12-31,783.274
2010-01-29,749.233
2010-02-26,736.661
2010-03-31,795.28
2010-04-30,783.205
2010-05-31,705.49
2010-06-30,702.8
2010-07-30,784.714
2010-08-31,768.314
2010-09-30,843.781
2010-10-29,875.164
2010-11-30,835.907
2010-12-31,900.792
2011-01-31,901.923
2011-02-28,935.335
2011-03-31,921.339
2011-04-29,985.64
2011-05-31,960.454
2011-06-30,933.192
2011-07-29,928.427
2011-08-31,862.389
2011-09-30,770.768
2011-10-31,858.801
2011-11-30,830.684
2011-12-30,825.305
2012-01-31,860.443
2012-02-29,913.89
2012-03-30,906.388
2012-04-30,921.741
2012-05-31,813.765
2012-06-29,859.24
2012-07-31,873.068
2012-08-31,896.007
2012-09-28,915.397
2012-10-31,915.691
2012-11-30,928.468
2012-12-31,942.795
2013-01-31,975.477
2013-02-28,970.571
2013-03-29,989.154
2013-04-30,1010.544
2013-05-31,1013.379
2013-06-28,965.423
2013-07-31,1028.252
2013-08-30,1024.112
2013-09-30,1085.873
2013-10-31,1127.766
2013-11-29,1138.217
2013-12-31,1178.137
2014-01-31,1113.799
2014-02-28,1200.25
2014-03-31,1169.915
2014-04-30,1195.597
2014-05-30,1220.118
2014-06-30,1231.611
2014-07-31,1193.171
2014-08-29,1210.738
2014-09-30,1151.751
2014-10-31,1125.71
2014-11-28,1147.814
2014-12-31,1123.167
2015-01-30,1121.566
2015-02-27,1202.3
2015-03-31,1131.474
2015-04-30,1205.99
2015-05-29,1216.201
2015-06-30,1194.43
2015-07-31,1230.801
2015-08-31,1153.586
2015-09-30,1132.916
2015-10-30,1218.13
2015-11-30,1205.797
2015-12-31,1173.216
2016-01-29,1097.789
2016-02-29,1084.395
2016-03-31,1143.792
2016-04-29,1151.878
2016-05-31,1170.417
2016-06-30,1095.75
2016-07-29,1137.957
2016-08-31,1133.05
2016-09-30,1140.118
2016-10-31,1043.218
2016-11-30,1040.371
2016-12-30,1067.077
2017-01-31,1092.656
2017-02-28,1131.662
2017-03-31,1154.636
2017-04-28,1193.596
2017-05-31,1249.692
2017-06-30,1219.325
2017-07-31,1243.416
2017-08-31,1236.004
2017-09-29,1260.644
2017-10-31,1276.838
2017-11-30,1272.655
2017-12-29,1336.464
2018-01-31,1373.503
2018-02-28,1279.283
2018-03-30,1291.143
2018-04-30,1322.43
2018-05-31,1322.502
2018-06-29,1315.967
2018-07-31,1333.6
2018-08-31,1312.31
2018-09-28,1313.822
2018-10-31,1202.377
2018-11-30,1199.76
2018-12-31,1157.48
2019-01-31,1239.233
2019-02-28,1285.01
2019-03-29,1299.726
2019-04-30,1352.327
2019-05-31,1302.371
2019-06-28,1354.639
2019-07-31,1346.676
2019-08-30,1336.92
2019-09-30,1357.159
2019-10-31,1400.634
2019-11-29,1423.738
2019-12-31,1487.278
2020-01-31,1461.897
2020-02-28,1311.894
2020-03-31,1127.782
2020-04-30,1248.792
2020-05-29,1304.337
2020-06-30,1292.927
2020-07-31,1369.878
2020-08-31,1426.256
2020-09-30,1396.913
2020-10-30,1319.26
2020-11-30,1449.176
2020-12-31,1529.232
2021-01-29,1534.499
2021-02-26,1561.791
2021-03-31,1578.055
2021-04-30,1682.352
2021-05-31,1756.197
2021-06-30,1728.019
2021-07-30,1757.24
2021-08-31,1783.998
2021-09-30,1742.516
2021-10-29,1794.238
2021-11-30,1695.551
2021-12-31,1810.605
2022-01-31,1667.229
2022-02-28,1651.89
2022-03-31,1619.358
2022-04-29,1554.471
2022-05-31,1522.187
2022-06-30,1393.946
2022-07-29,1521.529
2022-08-31,1386.714
2022-09-30,1249.8
2022-10-31,1315.348
2022-11-30,1453.327
2022-12-30,1435.386
2023-01-31,1498.798
2023-02-28,1500.794
2023-03-31,1552.78
2023-04-28,1635.305
2023-05-31,1570.557
2023-06-30,1620.721
2023-07-31,1667.648
2023-08-31,1594.676
2023-09-29,1521.888
2023-10-31,1452.217
2023-11-30,1554.353
2023-12-29,1650.144
2024-01-31,1647.287
2024-02-29,1669.519
2024-03-29,1719.031
2024-04-30,1707.04
2024-05-31,1775.291
2024-06-28,1739.87
2024-07-31,1805.773
2024-08-30,1903.142
2024-09-30,1886.646
2024-10-31,1759.803
2024-11-29,1772.289
2024-12-31,1710.82
2025-01-31,1793.412
2025-02-28,1840.097
2025-03-31,1828.392
2025-04-30,1920.925
2025-05-30,2009.223
2025-06-30,2026.121
2025-07-31,2019.318
2025-08-29,2060.168
2025-09-30,2067.657
2025-10-31,2071.687
