Date,NETHERLANDS SMALL GROWTH Small Cap
2005-11-30,572.063
2005-12-30,596.998
2006-01-31,665.433
2006-02-28,682.125
2006-03-31,747.523
2006-04-28,825.627
2006-05-31,783.145
2006-06-30,761.495
2006-07-31,724.491
2006-08-31,730.376
2006-09-29,721.301
2006-10-31,760.278
2006-11-30,789.371
2006-12-29,839.077
2007-01-31,862.889
2007-02-28,866.253
2007-03-30,901.178
2007-04-30,957.004
2007-05-31,1000.0
2007-06-29,1019.38
2007-07-31,1095.524
2007-08-31,1030.516
2007-09-28,1050.57
2007-10-31,1119.166
2007-11-30,1091.632
2007-12-31,1077.478
2008-01-31,938.071
2008-02-29,1029.441
2008-03-31,1027.504
2008-04-30,1089.507
2008-05-30,1158.547
2008-06-30,1036.153
2008-07-31,970.05
2008-08-29,942.211
2008-09-30,752.028
2008-10-31,505.065
2008-11-28,420.869
2008-12-31,483.19
2009-01-30,472.445
2009-02-27,443.046
2009-03-31,484.243
2009-04-30,574.984
2009-05-29,656.513
2009-06-30,664.704
2009-07-31,734.762
2009-08-31,789.728
2009-09-30,830.943
2009-10-30,845.151
2009-11-30,903.981
2009-12-31,911.556
2010-01-29,904.373
2010-02-26,891.37
2010-03-31,955.663
2010-04-30,945.833
2010-05-31,774.269
2010-06-30,768.944
2010-07-30,831.697
2010-08-31,781.227
2010-09-30,942.608
2010-10-29,1004.946
2010-11-30,968.681
2010-12-31,1083.131
2011-01-31,1066.635
2011-02-28,1082.945
2011-03-31,1134.648
2011-04-29,1200.941
2011-05-31,1145.365
2011-06-30,1107.795
2011-07-29,986.51
2011-08-31,890.266
2011-09-30,819.625
2011-10-31,900.04
2011-11-30,820.25
2011-12-30,816.187
2012-01-31,916.348
2012-02-29,989.81
2012-03-30,998.053
2012-04-30,976.034
2012-05-31,875.661
2012-06-29,895.97
2012-07-31,907.385
2012-08-31,924.705
2012-09-28,941.779
2012-10-31,937.002
2012-11-30,969.736
2012-12-31,1011.435
2013-01-31,1114.599
2013-02-28,1036.886
2013-03-29,1000.237
2013-04-30,1027.116
2013-05-31,1027.466
2013-06-28,995.377
2013-07-31,1082.344
2013-08-30,1072.721
2013-09-30,1187.134
2013-10-31,1226.118
2013-11-29,1255.76
2013-12-31,1284.859
2014-01-31,1244.439
2014-02-28,1316.671
2014-03-31,1345.663
2014-04-30,1337.315
2014-05-30,1307.623
2014-06-30,1293.002
2014-07-31,1211.338
2014-08-29,1162.569
2014-09-30,1111.196
2014-10-31,1215.479
2014-11-28,1298.051
2014-12-31,1277.021
2015-01-30,1240.347
2015-02-27,1313.984
2015-03-31,1307.253
2015-04-30,1364.488
2015-05-29,1332.206
2015-06-30,1290.181
2015-07-31,1329.394
2015-08-31,1285.066
2015-09-30,1243.971
2015-10-30,1359.197
2015-11-30,1346.962
2015-12-31,1353.263
2016-01-29,1293.997
2016-02-29,1260.306
2016-03-31,1356.757
2016-04-29,1370.359
2016-05-31,1342.804
2016-06-30,1264.194
2016-07-29,1358.253
2016-08-31,1367.373
2016-09-30,1382.76
2016-10-31,1329.33
2016-11-30,1294.793
2016-12-30,1387.876
2017-01-31,1453.057
2017-02-28,1452.129
2017-03-31,1520.126
2017-04-28,1631.632
2017-05-31,1695.572
2017-06-30,1686.678
2017-07-31,1774.769
2017-08-31,1772.264
2017-09-29,1885.879
2017-10-31,1960.517
2017-11-30,2019.651
2017-12-29,2070.913
2018-01-31,2209.935
2018-02-28,2079.921
2018-03-30,2079.866
2018-04-30,2056.255
2018-05-31,2095.299
2018-06-29,2050.318
2018-07-31,2066.618
2018-08-31,2041.001
2018-09-28,1997.612
2018-10-31,1771.472
2018-11-30,1706.553
2018-12-31,1599.011
2019-01-31,1721.548
2019-02-28,1854.691
2019-03-29,1836.229
2019-04-30,1988.933
2019-05-31,1888.416
2019-06-28,2100.055
2019-07-31,2144.215
2019-08-30,2084.153
2019-09-30,2139.202
2019-10-31,2236.455
2019-11-29,2327.97
2019-12-31,2396.02
2020-01-31,2396.012
2020-02-28,2266.024
2020-03-31,1720.386
2020-04-30,2053.291
2020-05-29,2135.961
2020-06-30,2408.653
2020-07-31,2502.53
2020-08-31,2652.739
2020-09-30,2593.031
2020-10-30,2512.665
2020-11-30,3065.643
2020-12-31,3414.866
2021-01-29,3605.7
2021-02-26,3730.076
2021-03-31,3951.471
2021-04-30,4136.064
2021-05-31,4435.276
2021-06-30,4289.437
2021-07-30,4524.6
2021-08-31,4787.636
2021-09-30,4602.165
2021-10-29,4849.382
2021-11-30,4766.369
2021-12-31,4910.054
2022-01-31,4687.287
2022-02-28,4803.961
2022-03-31,5050.188
2022-04-29,4568.477
2022-05-31,4583.755
2022-06-30,3928.697
2022-07-29,4281.55
2022-08-31,3943.174
2022-09-30,3571.351
2022-10-31,3891.379
2022-11-30,4356.058
2022-12-30,4360.382
2023-01-31,4945.199
2023-02-28,4948.227
2023-03-31,4975.57
2023-04-28,5120.408
2023-05-31,5279.687
2023-06-30,5187.085
2023-07-31,5496.087
2023-08-31,5272.428
2023-09-29,4830.79
2023-10-31,4263.912
2023-11-30,5091.447
2023-12-29,5674.472
2024-01-31,5659.626
2024-02-29,5708.353
2024-03-29,5799.03
2024-04-30,5615.625
2024-05-31,5810.747
2024-06-28,5208.939
2024-07-31,5594.547
2024-08-30,5639.265
2024-09-30,5592.891
2024-10-31,5388.571
2024-11-29,5017.636
2024-12-31,4756.017
2025-01-31,4668.909
2025-02-28,4371.836
2025-03-31,4319.352
2025-04-30,4326.485
2025-05-30,4769.151
2025-06-30,4976.18
2025-07-31,4866.383
2025-08-29,4910.9
2025-09-30,5005.735
2025-10-31,4802.996
