Date,CANADA LARGE VALUE Large Cap
2003-04-24,322.132
2003-04-25,321.455
2003-04-28,324.131
2003-04-29,324.576
2003-04-30,329.053
2003-05-01,331.045
2003-05-02,331.283
2003-05-05,335.867
2003-05-06,339.06
2003-05-07,337.793
2003-05-08,338.216
2003-05-09,340.652
2003-05-12,345.786
2003-05-13,344.82
2003-05-14,350.867
2003-05-15,353.876
2003-05-16,355.546
2003-05-19,357.428
2003-05-20,361.784
2003-05-21,361.784
2003-05-22,357.545
2003-05-23,353.037
2003-05-26,354.607
2003-05-27,356.555
2003-05-28,352.314
2003-05-29,355.521
2003-05-30,353.413
2003-06-02,358.327
2003-06-03,355.954
2003-06-04,364.938
2003-06-05,371.134
2003-06-06,368.375
2003-06-09,364.195
2003-06-10,367.407
2003-06-11,373.829
2003-06-12,375.915
2003-06-13,374.252
2003-06-16,381.13
2003-06-17,380.756
2003-06-18,381.216
2003-06-19,374.897
2003-06-20,374.264
2003-06-23,370.115
2003-06-24,368.217
2003-06-25,371.117
2003-06-26,370.566
2003-06-27,369.675
2003-06-30,368.794
2003-07-01,371.419
2003-07-02,372.822
2003-07-03,375.252
2003-07-04,374.288
2003-07-07,376.548
2003-07-08,375.677
2003-07-09,371.075
2003-07-10,367.753
2003-07-11,369.136
2003-07-14,373.123
2003-07-15,369.216
2003-07-16,370.486
2003-07-17,368.574
2003-07-18,365.64
2003-07-21,366.734
2003-07-22,368.111
2003-07-23,371.586
2003-07-24,375.613
2003-07-25,380.421
2003-07-28,379.96
2003-07-29,376.396
2003-07-30,371.533
2003-07-31,370.617
2003-08-01,371.269
2003-08-04,369.007
2003-08-05,366.701
2003-08-06,362.715
2003-08-07,367.65
2003-08-08,371.502
2003-08-11,378.623
2003-08-12,381.82
2003-08-13,383.775
2003-08-14,382.169
2003-08-15,382.144
2003-08-18,382.801
2003-08-19,382.007
2003-08-20,380.518
2003-08-21,378.855
2003-08-22,375.267
2003-08-25,377.484
2003-08-26,381.767
2003-08-27,382.014
2003-08-28,384.602
2003-08-29,385.815
2003-09-01,387.393
2003-09-02,389.672
2003-09-03,389.652
2003-09-04,393.206
2003-09-05,393.119
2003-09-08,391.407
2003-09-09,391.457
2003-09-10,392.919
2003-09-11,391.514
2003-09-12,394.775
2003-09-15,392.989
2003-09-16,394.907
2003-09-17,393.974
2003-09-18,395.564
2003-09-19,400.36
2003-09-22,399.087
2003-09-23,400.764
2003-09-24,399.811
2003-09-25,399.08
2003-09-26,394.98
2003-09-29,394.227
2003-09-30,395.786
2003-10-01,402.461
2003-10-02,404.95
2003-10-03,403.828
2003-10-06,406.104
2003-10-07,411.726
2003-10-08,412.533
2003-10-09,415.209
2003-10-10,420.228
2003-10-13,420.785
2003-10-14,428.666
2003-10-15,432.263
2003-10-16,435.079
2003-10-17,431.455
2003-10-20,431.29
2003-10-21,434.098
2003-10-22,435.602
2003-10-23,431.477
2003-10-24,428.707
2003-10-27,430.145
2003-10-28,433.466
2003-10-29,434.354
2003-10-30,434.529
2003-10-31,432.013
2003-11-03,431.944
2003-11-04,432.591
2003-11-05,434.733
2003-11-06,431.84
2003-11-07,433.62
2003-11-10,433.011
2003-11-11,430.63
2003-11-12,435.409
2003-11-13,434.136
2003-11-14,433.513
2003-11-17,433.298
2003-11-18,431.206
2003-11-19,436.495
2003-11-20,438.118
2003-11-21,439.274
2003-11-24,438.108
2003-11-25,436.036
2003-11-26,438.771
2003-11-27,438.29
2003-11-28,437.118
2003-12-01,437.737
2003-12-02,439.986
2003-12-03,441.139
2003-12-04,437.316
2003-12-05,439.681
2003-12-08,441.293
2003-12-09,437.198
2003-12-10,435.655
2003-12-11,430.255
2003-12-12,434.159
2003-12-15,431.962
2003-12-16,436.528
2003-12-17,436.183
2003-12-18,436.697
2003-12-19,435.023
2003-12-22,438.089
2003-12-23,439.223
2003-12-24,442.836
2003-12-25,442.836
2003-12-26,445.754
2003-12-29,447.365
2003-12-30,446.993
2003-12-31,452.619
2004-01-01,452.619
2004-01-02,457.185
2004-01-05,462.37
2004-01-06,462.811
2004-01-07,459.976
2004-01-08,459.257
2004-01-09,461.194
2004-01-12,460.92
2004-01-13,465.876
2004-01-14,461.826
2004-01-15,463.732
2004-01-16,466.715
2004-01-19,466.487
2004-01-20,473.594
2004-01-21,468.769
2004-01-22,472.203
2004-01-23,468.298
2004-01-26,466.796
2004-01-27,469.06
2004-01-28,460.691
2004-01-29,455.091
2004-01-30,456.243
2004-02-02,459.394
2004-02-03,460.186
2004-02-04,456.548
2004-02-05,456.737
2004-02-06,460.593
2004-02-09,463.783
2004-02-10,463.235
2004-02-11,462.685
2004-02-12,465.794
2004-02-13,467.674
2004-02-16,470.395
2004-02-17,471.589
2004-02-18,468.8
2004-02-19,462.098
2004-02-20,454.006
2004-02-23,455.12
2004-02-24,458.515
2004-02-25,454.956
2004-02-26,459.821
2004-02-27,461.627
2004-03-01,461.998
2004-03-02,457.483
2004-03-03,459.039
2004-03-04,461.371
2004-03-05,471.573
2004-03-08,469.472
2004-03-09,470.645
2004-03-10,462.65
2004-03-11,462.969
2004-03-12,460.434
2004-03-15,459.387
2004-03-16,465.861
2004-03-17,465.337
2004-03-18,467.165
2004-03-19,469.33
2004-03-22,467.042
2004-03-23,464.913
2004-03-24,460.288
2004-03-25,468.459
2004-03-26,471.527
2004-03-29,475.946
2004-03-30,478.547
2004-03-31,473.817
2004-04-01,475.359
2004-04-02,483.964
2004-04-05,491.491
2004-04-06,493.647
2004-04-07,489.459
2004-04-08,487.431
2004-04-09,487.431
2004-04-12,488.281
2004-04-13,480.714
2004-04-14,468.267
2004-04-15,465.588
2004-04-16,470.68
2004-04-19,469.124
2004-04-20,463.669
2004-04-21,461.422
2004-04-22,463.559
2004-04-23,462.588
2004-04-26,462.203
2004-04-27,457.888
2004-04-28,447.681
2004-04-29,444.757
2004-04-30,446.613
2004-05-03,448.923
2004-05-04,457.247
2004-05-05,456.904
2004-05-06,455.446
2004-05-07,444.44
2004-05-10,434.005
2004-05-11,436.083
2004-05-12,435.611
2004-05-13,431.311
2004-05-14,432.838
2004-05-17,432.797
2004-05-18,432.743
2004-05-19,437.916
2004-05-20,437.544
2004-05-21,440.538
2004-05-24,441.922
2004-05-25,446.535
2004-05-26,443.02
2004-05-27,448.31
2004-05-28,447.621
2004-05-31,449.81
2004-06-01,448.251
2004-06-02,451.66
2004-06-03,450.866
2004-06-04,454.197
2004-06-07,458.834
2004-06-08,461.651
2004-06-09,453.986
2004-06-10,453.405
2004-06-11,453.352
2004-06-14,448.406
2004-06-15,449.589
2004-06-16,448.789
2004-06-17,451.992
2004-06-18,452.164
2004-06-21,452.861
2004-06-22,458.988
2004-06-23,459.88
2004-06-24,463.323
2004-06-25,458.215
2004-06-28,461.066
2004-06-29,459.691
2004-06-30,460.982
2004-07-01,463.923
2004-07-02,464.591
2004-07-05,465.863
2004-07-06,465.571
2004-07-07,466.469
2004-07-08,466.533
2004-07-09,468.654
2004-07-12,467.255
2004-07-13,466.175
2004-07-14,470.279
2004-07-15,465.016
2004-07-16,466.436
2004-07-19,473.035
2004-07-20,472.339
2004-07-21,472.245
2004-07-22,474.061
2004-07-23,472.3
2004-07-26,465.799
2004-07-27,463.728
2004-07-28,468.089
2004-07-29,475.04
2004-07-30,475.404
2004-08-02,474.155
2004-08-03,479.147
2004-08-04,477.736
2004-08-05,470.007
2004-08-06,469.687
2004-08-09,467.339
2004-08-10,471.25
2004-08-11,465.616
2004-08-12,461.843
2004-08-13,470.743
2004-08-16,476.478
2004-08-17,476.855
2004-08-18,473.461
2004-08-19,481.285
2004-08-20,482.317
2004-08-23,478.276
2004-08-24,483.885
2004-08-25,486.773
2004-08-26,480.155
2004-08-27,477.982
2004-08-30,474.489
2004-08-31,476.584
2004-09-01,482.253
2004-09-02,483.628
2004-09-03,481.036
2004-09-06,482.332
2004-09-07,489.464
2004-09-08,486.77
2004-09-09,488.051
2004-09-10,485.52
2004-09-13,488.123
2004-09-14,490.322
2004-09-15,485.819
2004-09-16,493.668
2004-09-17,489.296
2004-09-20,490.504
2004-09-21,499.835
2004-09-22,500.826
2004-09-23,504.673
2004-09-24,505.125
2004-09-27,499.131
2004-09-28,502.668
2004-09-29,504.559
2004-09-30,509.431
2004-10-01,515.52
2004-10-04,513.585
2004-10-05,517.831
2004-10-06,522.391
2004-10-07,521.167
2004-10-08,523.77
2004-10-11,522.079
2004-10-12,522.483
2004-10-13,520.311
2004-10-14,528.856
2004-10-15,532.285
2004-10-18,530.845
2004-10-19,525.38
2004-10-20,531.988
2004-10-21,532.275
2004-10-22,529.589
2004-10-25,532.351
2004-10-26,537.672
2004-10-27,539.951
2004-10-28,543.472
2004-10-29,549.2
2004-11-01,547.474
2004-11-02,546.433
2004-11-03,550.894
2004-11-04,555.718
2004-11-05,559.847
2004-11-08,562.876
2004-11-09,559.482
2004-11-10,557.202
2004-11-11,561.364
2004-11-12,562.777
2004-11-15,562.284
2004-11-16,567.915
2004-11-17,567.685
2004-11-18,557.208
2004-11-19,560.759
2004-11-22,570.082
2004-11-23,565.409
2004-11-24,563.024
2004-11-25,568.85
2004-11-26,570.617
2004-11-29,567.132
2004-11-30,562.914
2004-12-01,571.151
2004-12-02,571.291
2004-12-03,564.609
2004-12-06,564.988
2004-12-07,559.823
2004-12-08,553.086
2004-12-09,550.541
2004-12-10,548.284
2004-12-13,550.722
2004-12-14,549.886
2004-12-15,556.086
2004-12-16,552.34
2004-12-17,553.971
2004-12-20,559.758
2004-12-21,562.054
2004-12-22,561.552
2004-12-23,559.744
2004-12-24,566.782
2004-12-27,570.172
2004-12-28,570.009
2004-12-29,570.05
2004-12-30,578.746
2004-12-31,580.939
2005-01-03,574.585
