Date,CANADA GROWTH Standard (Large+Mid Cap)
2000-01-31,1411.403
2000-02-29,1583.41
2000-03-31,1754.302
2000-04-28,1608.096
2000-05-31,1514.798
2000-06-30,1854.606
2000-07-31,1945.041
2000-08-31,2141.72
2000-09-29,1700.38
2000-10-31,1351.499
2000-11-30,1119.1
2000-12-29,1005.342
2001-01-31,1185.259
2001-02-28,692.227
2001-03-30,595.093
2001-04-30,646.152
2001-05-31,634.938
2001-06-29,587.651
2001-07-31,580.151
2001-08-31,519.215
2001-09-28,457.64
2001-10-31,473.441
2001-11-30,531.986
2001-12-31,549.459
2002-01-31,536.797
2002-02-28,542.793
2002-03-29,573.254
2002-04-30,576.637
2002-05-31,593.866
2002-06-28,547.554
2002-07-31,488.116
2002-08-30,490.108
2002-09-30,447.66
2002-10-31,464.179
2002-11-29,496.583
2002-12-31,493.714
2003-01-31,505.45
2003-02-28,530.208
2003-03-31,522.523
2003-04-30,549.269
2003-05-30,602.677
2003-06-30,615.376
2003-07-31,607.724
2003-08-29,644.804
2003-09-30,651.037
2003-10-31,680.647
2003-11-28,707.149
2003-12-31,748.293
2004-01-30,764.68
2004-02-27,784.712
2004-03-31,768.823
2004-04-30,688.254
2004-05-31,716.029
2004-06-30,752.61
2004-07-30,736.932
2004-08-31,738.866
2004-09-30,800.237
2004-10-29,844.111
2004-11-30,874.131
2004-12-31,882.422
2005-01-31,855.635
2005-02-28,920.395
2005-03-31,925.329
2005-04-29,867.147
2005-05-31,893.562
2005-06-30,952.228
2005-07-29,1003.001
2005-08-31,1085.073
2005-09-30,1151.926
2005-10-31,1047.098
2005-11-30,1088.083
2005-12-30,1156.616
2006-01-31,1289.585
2006-02-28,1243.774
2006-03-31,1269.782
2006-04-28,1341.166
2006-05-31,1293.06
2006-06-30,1274.365
2006-07-31,1272.022
2006-08-31,1321.997
2006-09-29,1267.147
2006-10-31,1345.852
2006-11-30,1398.113
2006-12-29,1380.209
2007-01-31,1384.151
2007-02-28,1397.967
2007-03-30,1425.212
2007-04-30,1505.439
2007-05-31,1633.281
2007-06-29,1647.178
2007-07-31,1652.449
2007-08-31,1650.318
2007-09-28,1848.338
2007-10-31,2064.902
2007-11-30,1815.31
2007-12-31,1927.734
2008-01-31,1788.743
2008-02-29,1960.147
2008-03-31,1849.3
2008-04-30,2016.898
2008-05-30,2217.701
2008-06-30,2209.384
2008-07-31,1959.911
2008-08-29,1914.431
2008-09-30,1514.255
2008-10-31,1075.932
2008-11-28,1046.501
2008-12-31,1054.509
2009-01-30,1042.874
2009-02-27,938.996
2009-03-31,1017.027
2009-04-30,1129.377
2009-05-29,1393.159
2009-06-30,1277.939
2009-07-31,1376.271
2009-08-31,1335.492
2009-09-30,1447.12
2009-10-30,1382.303
2009-11-30,1487.724
2009-12-31,1528.381
2010-01-29,1392.167
2010-02-26,1468.177
2010-03-31,1551.395
2010-04-30,1599.219
2010-05-31,1487.02
2010-06-30,1405.674
2010-07-30,1498.916
2010-08-31,1511.805
2010-09-30,1617.77
2010-10-29,1673.708
2010-11-30,1699.162
2010-12-31,1848.703
2011-01-31,1854.552
2011-02-28,1984.768
2011-03-31,1953.382
2011-04-29,1976.716
2011-05-31,1899.815
2011-06-30,1836.032
2011-07-29,1817.573
2011-08-31,1754.844
2011-09-30,1456.13
2011-10-31,1638.222
2011-11-30,1607.202
2011-12-30,1525.918
2012-01-31,1619.877
2012-02-29,1658.185
2012-03-30,1587.996
2012-04-30,1585.155
2012-05-31,1440.528
2012-06-29,1476.392
2012-07-31,1490.486
2012-08-31,1561.991
2012-09-28,1628.377
2012-10-31,1615.783
2012-11-30,1572.514
2012-12-31,1595.791
2013-01-31,1623.058
2013-02-28,1606.749
2013-03-29,1625.11
2013-04-30,1576.932
2013-05-31,1570.311
2013-06-28,1476.894
2013-07-31,1541.294
2013-08-30,1512.674
2013-09-30,1567.02
2013-10-31,1615.807
2013-11-29,1600.667
2013-12-31,1634.558
2014-01-31,1588.647
2014-02-28,1664.039
2014-03-31,1689.771
2014-04-30,1735.745
2014-05-30,1755.427
2014-06-30,1849.923
2014-07-31,1835.171
2014-08-29,1901.059
2014-09-30,1807.344
2014-10-31,1772.727
2014-11-28,1780.4
2014-12-31,1780.622
2015-01-30,1662.188
2015-02-27,1772.521
2015-03-31,1734.195
2015-04-30,1828.697
2015-05-29,1770.875
2015-06-30,1718.037
2015-07-31,1713.667
2015-08-31,1579.998
2015-09-30,1490.252
2015-10-30,1502.216
2015-11-30,1475.856
2015-12-31,1392.745
2016-01-29,1357.852
2016-02-29,1403.644
2016-03-31,1504.255
2016-04-29,1550.53
2016-05-31,1520.554
2016-06-30,1540.01
2016-07-29,1606.192
2016-08-31,1595.296
2016-09-30,1618.26
2016-10-31,1577.203
2016-11-30,1571.146
2016-12-30,1571.854
2017-01-31,1615.024
2017-02-28,1585.949
2017-03-31,1618.188
2017-04-28,1607.674
2017-05-31,1614.383
2017-06-30,1634.891
2017-07-31,1681.648
2017-08-31,1693.129
2017-09-29,1746.019
2017-10-31,1727.378
2017-11-30,1729.736
2017-12-29,1801.833
2018-01-31,1816.906
2018-02-28,1702.43
2018-03-30,1675.866
2018-04-30,1720.499
2018-05-31,1755.684
2018-06-29,1759.42
2018-07-31,1810.393
2018-08-31,1777.759
2018-09-28,1772.556
2018-10-31,1628.177
2018-11-30,1634.963
2018-12-31,1506.387
2019-01-31,1692.661
2019-02-28,1739.163
2019-03-29,1750.499
2019-04-30,1792.476
2019-05-31,1749.989
2019-06-28,1856.432
2019-07-31,1850.363
2019-08-30,1849.423
2019-09-30,1846.89
2019-10-31,1832.066
2019-11-29,1890.443
2019-12-31,1930.056
2020-01-31,1973.415
2020-02-28,1841.915
2020-03-31,1528.745
2020-04-30,1778.121
2020-05-29,1858.687
2020-06-30,1951.562
2020-07-31,2122.993
2020-08-31,2188.524
2020-09-30,2133.155
2020-10-30,2023.863
2020-11-30,2212.757
2020-12-31,2305.184
2021-01-29,2219.505
2021-02-26,2296.664
2021-03-31,2344.41
2021-04-30,2432.335
2021-05-31,2548.783
2021-06-30,2577.857
2021-07-30,2627.006
2021-08-31,2642.644
2021-09-30,2499.737
2021-10-29,2687.365
2021-11-30,2580.729
2021-12-31,2649.246
2022-01-31,2452.883
2022-02-28,2416.818
2022-03-31,2580.727
2022-04-29,2315.011
2022-05-31,2272.341
2022-06-30,2061.043
2022-07-29,2194.006
2022-08-31,2116.774
2022-09-30,1950.422
2022-10-31,2091.26
2022-11-30,2233.88
2022-12-30,2113.702
2023-01-31,2278.945
2023-02-28,2184.079
2023-03-31,2231.822
2023-04-28,2284.44
2023-05-31,2179.041
2023-06-30,2333.369
2023-07-31,2391.684
2023-08-31,2306.176
2023-09-29,2220.064
2023-10-31,2091.489
2023-11-30,2337.886
2023-12-29,2462.333
2024-01-31,2480.208
2024-02-29,2527.335
2024-03-29,2607.467
2024-04-30,2516.172
2024-05-31,2568.538
2024-06-28,2542.332
2024-07-31,2640.808
2024-08-30,2709.898
2024-09-30,2734.696
2024-10-31,2684.233
2024-11-29,2887.702
2024-12-31,2696.151
2025-01-31,2797.436
2025-02-28,2813.512
2025-03-31,2743.694
2025-04-30,2857.279
2025-05-30,3035.905
2025-06-30,3141.164
2025-07-31,3130.668
