Date,SWEDEN SMID CAP SMID (Small+Mid Cap)
2002-05-03,252.359
2002-05-06,252.646
2002-05-07,248.565
2002-05-08,252.898
2002-05-09,252.463
2002-05-10,250.911
2002-05-13,253.919
2002-05-14,254.848
2002-05-15,256.478
2002-05-16,257.102
2002-05-17,259.898
2002-05-20,260.639
2002-05-21,260.779
2002-05-22,259.658
2002-05-23,258.263
2002-05-24,258.232
2002-05-27,257.74
2002-05-28,260.056
2002-05-29,257.988
2002-05-30,257.028
2002-05-31,257.871
2002-06-03,258.652
2002-06-04,255.301
2002-06-05,255.682
2002-06-06,256.26
2002-06-07,251.92
2002-06-10,252.969
2002-06-11,253.954
2002-06-12,251.874
2002-06-13,250.973
2002-06-14,245.397
2002-06-17,249.692
2002-06-18,252.616
2002-06-19,250.968
2002-06-20,245.398
2002-06-21,246.915
2002-06-24,243.479
2002-06-25,249.987
2002-06-26,251.344
2002-06-27,256.711
2002-06-28,263.63
2002-07-01,261.759
2002-07-02,258.565
2002-07-03,249.282
2002-07-04,250.312
2002-07-05,254.494
2002-07-08,257.17
2002-07-09,256.535
2002-07-10,247.945
2002-07-11,240.047
2002-07-12,239.38
2002-07-15,240.116
2002-07-16,237.528
2002-07-17,242.826
2002-07-18,244.454
2002-07-19,240.09
2002-07-22,225.379
2002-07-23,215.219
2002-07-24,204.842
2002-07-25,217.476
2002-07-26,210.48
2002-07-29,224.691
2002-07-30,229.704
2002-07-31,229.678
2002-08-01,224.783
2002-08-02,220.141
2002-08-05,213.458
2002-08-06,214.003
2002-08-07,217.427
2002-08-08,220.643
2002-08-09,221.715
2002-08-12,224.287
2002-08-13,224.596
2002-08-14,223.69
2002-08-15,226.794
2002-08-16,225.038
2002-08-19,227.442
2002-08-20,227.61
2002-08-21,233.496
2002-08-22,234.178
2002-08-23,230.831
2002-08-26,229.502
2002-08-27,232.569
2002-08-28,229.583
2002-08-29,224.68
2002-08-30,222.984
2002-09-02,223.242
2002-09-03,217.019
2002-09-04,215.118
2002-09-05,214.268
2002-09-06,216.677
2002-09-09,214.928
2002-09-10,217.558
2002-09-11,222.694
2002-09-12,217.494
2002-09-13,215.344
2002-09-16,216.452
2002-09-17,214.711
2002-09-18,210.165
2002-09-19,207.826
2002-09-20,206.722
2002-09-23,199.648
2002-09-24,196.474
2002-09-25,198.687
2002-09-26,205.191
2002-09-27,203.486
2002-09-30,194.482
2002-10-01,196.155
2002-10-02,197.596
2002-10-03,194.566
2002-10-04,191.016
2002-10-07,183.697
2002-10-08,180.085
2002-10-09,179.12
2002-10-10,183.195
2002-10-11,194.929
2002-10-14,194.394
2002-10-15,208.112
2002-10-16,205.143
2002-10-17,205.917
2002-10-18,207.97
2002-10-21,208.551
2002-10-22,204.982
2002-10-23,200.542
2002-10-24,204.029
2002-10-25,203.73
2002-10-28,208.06
2002-10-29,202.436
2002-10-30,209.101
2002-10-31,213.832
2002-11-01,212.08
2002-11-04,217.456
2002-11-05,222.758
2002-11-06,219.744
2002-11-07,217.301
2002-11-08,217.706
2002-11-11,215.301
2002-11-12,220.071
2002-11-13,222.394
2002-11-14,226.116
2002-11-15,224.786
2002-11-18,228.27
2002-11-19,225.076
2002-11-20,226.161
2002-11-21,234.376
2002-11-22,236.262
2002-11-25,233.437
2002-11-26,231.19
2002-11-27,237.988
2002-11-28,242.856
2002-11-29,243.3
2002-12-02,242.204
2002-12-03,236.994
2002-12-04,236.193
2002-12-05,234.771
2002-12-06,235.046
2002-12-09,230.801
2002-12-10,231.988
2002-12-11,233.38
2002-12-12,231.829
2002-12-13,232.095
2002-12-16,231.809
2002-12-17,228.054
2002-12-18,223.869
2002-12-19,225.082
2002-12-20,226.92
2002-12-23,224.545
2002-12-24,225.679
2002-12-25,225.679
2002-12-26,226.118
2002-12-27,222.813
2002-12-30,224.121
2002-12-31,225.332
2003-01-01,225.332
2003-01-02,231.45
2003-01-03,234.822
2003-01-06,236.135
2003-01-07,236.093
2003-01-08,228.803
2003-01-09,230.236
2003-01-10,231.219
2003-01-13,232.633
2003-01-14,234.124
2003-01-15,233.239
2003-01-16,233.546
2003-01-17,231.267
2003-01-20,234.447
2003-01-21,230.996
2003-01-22,227.544
2003-01-23,227.992
2003-01-24,228.083
2003-01-27,222.151
2003-01-28,218.044
2003-01-29,214.972
2003-01-30,216.201
2003-01-31,213.438
2003-02-03,218.29
2003-02-04,215.78
2003-02-05,218.494
2003-02-06,216.628
2003-02-07,214.148
2003-02-10,208.463
2003-02-11,212.897
2003-02-12,213.93
2003-02-13,217.709
2003-02-14,219.348
2003-02-17,222.692
2003-02-18,223.199
2003-02-19,224.427
2003-02-20,223.821
2003-02-21,222.548
2003-02-24,220.51
2003-02-25,216.114
2003-02-26,215.654
2003-02-27,216.303
2003-02-28,218.373
2003-03-03,219.533
2003-03-04,218.187
2003-03-05,218.317
2003-03-06,216.81
2003-03-07,215.019
2003-03-10,213.426
2003-03-11,210.902
2003-03-12,206.27
2003-03-13,209.994
2003-03-14,213.697
2003-03-17,217.603
2003-03-18,218.831
2003-03-19,220.302
2003-03-20,222.703
2003-03-21,225.166
2003-03-24,221.421
2003-03-25,221.051
2003-03-26,221.062
2003-03-27,218.497
2003-03-28,217.105
2003-03-31,213.889
2003-04-01,214.206
2003-04-02,219.589
2003-04-03,219.051
2003-04-04,218.445
2003-04-07,225.279
2003-04-08,225.345
2003-04-09,225.317
2003-04-10,224.783
2003-04-11,226.125
2003-04-14,226.717
2003-04-15,230.444
2003-04-16,232.172
2003-04-17,233.2
2003-04-18,233.2
2003-04-21,232.487
2003-04-22,235.866
2003-04-23,239.245
2003-04-24,241.481
2003-04-25,240.076
2003-04-28,245.184
2003-04-29,249.907
2003-04-30,252.491
2003-05-01,254.987
2003-05-02,253.504
2003-05-05,257.571
2003-05-06,260.692
2003-05-07,258.96
2003-05-08,253.272
2003-05-09,255.592
2003-05-12,257.118
2003-05-13,259.364
2003-05-14,256.815
2003-05-15,255.207
2003-05-16,256.608
2003-05-19,254.176
2003-05-20,252.214
2003-05-21,250.875
2003-05-22,251.867
2003-05-23,254.259
2003-05-26,253.988
2003-05-27,255.993
2003-05-28,259.769
2003-05-29,261.001
2003-05-30,262.529
2003-06-02,264.145
2003-06-03,262.143
2003-06-04,264.382
2003-06-05,269.485
2003-06-06,269.477
2003-06-09,270.413
2003-06-10,267.284
2003-06-11,272.626
2003-06-12,276.237
2003-06-13,272.558
2003-06-16,276.913
2003-06-17,280.044
2003-06-18,277.155
2003-06-19,274.336
2003-06-20,272.68
2003-06-23,267.523
2003-06-24,262.573
2003-06-25,264.357
2003-06-26,263.397
2003-06-27,266.748
2003-06-30,266.774
2003-07-01,264.898
2003-07-02,268.243
2003-07-03,272.776
2003-07-04,271.788
2003-07-07,275.579
2003-07-08,276.38
2003-07-09,275.414
2003-07-10,273.073
2003-07-11,272.478
2003-07-14,275.956
2003-07-15,276.101
2003-07-16,274.618
2003-07-17,273.758
2003-07-18,273.851
2003-07-21,275.265
2003-07-22,274.342
2003-07-23,277.259
2003-07-24,281.41
2003-07-25,281.678
2003-07-28,284.055
2003-07-29,282.32
2003-07-30,280.542
2003-07-31,277.331
2003-08-01,279.355
2003-08-04,280.946
2003-08-05,282.023
2003-08-06,278.637
2003-08-07,277.416
2003-08-08,276.757
2003-08-11,275.203
2003-08-12,278.729
2003-08-13,283.398
2003-08-14,284.631
2003-08-15,283.164
2003-08-18,284.073
2003-08-19,284.865
2003-08-20,285.521
2003-08-21,285.061
2003-08-22,281.081
2003-08-25,278.704
2003-08-26,273.272
2003-08-27,276.545
2003-08-28,277.816
2003-08-29,281.678
2003-09-01,288.124
2003-09-02,286.707
2003-09-03,292.535
2003-09-04,293.081
2003-09-05,295.838
2003-09-08,297.034
2003-09-09,296.41
2003-09-10,294.407
2003-09-11,297.665
2003-09-12,299.824
2003-09-15,300.138
2003-09-16,300.365
2003-09-17,302.32
2003-09-18,303.492
2003-09-19,303.137
2003-09-22,299.323
2003-09-23,300.732
2003-09-24,301.099
2003-09-25,298.424
2003-09-26,297.462
2003-09-29,297.652
2003-09-30,292.726
2003-10-01,296.143
2003-10-02,298.001
2003-10-03,305.289
2003-10-06,307.978
2003-10-07,308.938
2003-10-08,310.193
2003-10-09,310.82
2003-10-10,310.381
2003-10-13,310.619
2003-10-14,316.193
2003-10-15,317.938
2003-10-16,315.972
2003-10-17,314.286
2003-10-20,314.057
2003-10-21,313.188
2003-10-22,309.482
2003-10-23,314.207
2003-10-24,314.562
2003-10-27,317.364
2003-10-28,318.74
2003-10-29,321.748
2003-10-30,322.496
2003-10-31,318.999
2003-11-03,319.043
2003-11-04,320.134
2003-11-05,317.806
2003-11-06,318.778
2003-11-07,326.172
2003-11-10,325.097
2003-11-11,323.609
2003-11-12,327.81
2003-11-13,332.114
2003-11-14,335.315
2003-11-17,330.343
2003-11-18,332.0
2003-11-19,328.987
2003-11-20,327.263
2003-11-21,328.653
2003-11-24,328.394
2003-11-25,329.77
2003-11-26,330.838
2003-11-27,334.324
2003-11-28,334.822
2003-12-01,338.495
2003-12-02,342.665
2003-12-03,345.773
2003-12-04,346.578
2003-12-05,349.335
2003-12-08,349.236
2003-12-09,350.373
2003-12-10,347.728
2003-12-11,344.481
2003-12-12,349.168
2003-12-15,350.102
2003-12-16,345.979
2003-12-17,343.944
2003-12-18,344.52
2003-12-19,343.616
2003-12-22,345.65
2003-12-23,350.854
2003-12-24,351.166
2003-12-25,351.166
2003-12-26,350.756
2003-12-29,355.947
2003-12-30,356.997
2003-12-31,359.182
2004-01-01,359.182
2004-01-02,363.569
2004-01-05,364.566
2004-01-06,364.76
2004-01-07,360.215
2004-01-08,361.465
2004-01-09,365.507
2004-01-12,363.997
2004-01-13,365.848
2004-01-14,365.401
2004-01-15,364.626
2004-01-16,360.061
2004-01-19,362.942
2004-01-20,365.463
2004-01-21,366.417
2004-01-22,374.816
2004-01-23,373.554
2004-01-26,371.274
2004-01-27,372.607
2004-01-28,370.729
2004-01-29,359.047
2004-01-30,362.265
2004-02-02,360.681
2004-02-03,365.176
2004-02-04,362.337
2004-02-05,365.115
2004-02-06,378.317
2004-02-09,377.469
2004-02-10,376.012
2004-02-11,376.555
2004-02-12,379.799
2004-02-13,377.922
2004-02-16,377.535
2004-02-17,381.002
2004-02-18,382.875
2004-02-19,381.269
2004-02-20,375.887
2004-02-23,374.627
2004-02-24,372.298
2004-02-25,367.999
2004-02-26,365.334
2004-02-27,364.113
2004-03-01,368.724
2004-03-02,366.912
2004-03-03,364.113
2004-03-04,365.384
2004-03-05,372.757
2004-03-08,371.833
2004-03-09,369.398
2004-03-10,362.977
2004-03-11,353.965
2004-03-12,351.718
2004-03-15,349.091
2004-03-16,354.137
2004-03-17,354.458
2004-03-18,354.368
2004-03-19,353.02
2004-03-22,348.291
2004-03-23,349.267
2004-03-24,343.187
2004-03-25,347.376
2004-03-26,346.737
2004-03-29,351.716
2004-03-30,351.573
2004-03-31,357.157
2004-04-01,366.312
2004-04-02,363.525
2004-04-05,363.24
2004-04-06,363.247
2004-04-07,370.22
2004-04-08,369.725
2004-04-09,369.725
2004-04-12,367.842
2004-04-13,364.756
2004-04-14,360.139
2004-04-15,358.609
2004-04-16,363.243
2004-04-19,362.239
2004-04-20,364.355
2004-04-21,361.251
2004-04-22,365.972
2004-04-23,367.861
2004-04-26,368.672
2004-04-27,367.506
2004-04-28,361.358
2004-04-29,361.961
2004-04-30,360.894
2004-05-03,361.878
2004-05-04,366.714
2004-05-05,372.077
2004-05-06,360.528
2004-05-07,355.863
2004-05-10,339.689
2004-05-11,344.175
2004-05-12,342.177
2004-05-13,347.141
2004-05-14,345.326
2004-05-17,344.937
2004-05-18,347.596
2004-05-19,357.001
2004-05-20,354.363
2004-05-21,356.319
2004-05-24,355.883
2004-05-25,357.283
2004-05-26,358.796
2004-05-27,366.794
2004-05-28,365.776
2004-05-31,365.776
2004-06-01,364.262
2004-06-02,366.926
2004-06-03,366.581
2004-06-04,369.573
2004-06-07,375.373
2004-06-08,373.809
2004-06-09,365.949
2004-06-10,363.917
2004-06-11,363.068
2004-06-14,361.212
2004-06-15,361.879
2004-06-16,361.645
2004-06-17,362.407
2004-06-18,365.031
2004-06-21,364.629
2004-06-22,361.688
2004-06-23,364.085
2004-06-24,370.3
2004-06-25,369.385
2004-06-28,371.693
2004-06-29,370.176
2004-06-30,369.392
2004-07-01,370.048
2004-07-02,371.607
2004-07-05,368.812
2004-07-06,366.208
2004-07-07,369.025
2004-07-08,369.579
2004-07-09,367.456
2004-07-12,365.2
2004-07-13,367.003
2004-07-14,369.22
2004-07-15,366.821
2004-07-16,367.913
2004-07-19,364.643
2004-07-20,362.409
2004-07-21,363.511
2004-07-22,358.218
2004-07-23,352.982
2004-07-26,353.54
2004-07-27,353.832
2004-07-28,351.245
2004-07-29,354.834
2004-07-30,355.055
2004-08-02,353.686
2004-08-03,355.937
2004-08-04,354.22
2004-08-05,355.328
2004-08-06,355.612
2004-08-09,351.377
2004-08-10,356.062
2004-08-11,349.559
2004-08-12,348.551
2004-08-13,348.876
2004-08-16,351.511
2004-08-17,352.005
2004-08-18,352.81
2004-08-19,355.082
2004-08-20,353.906
2004-08-23,356.305
2004-08-24,355.131
2004-08-25,355.947
2004-08-26,360.426
2004-08-27,358.611
2004-08-30,357.805
2004-08-31,358.587
2004-09-01,361.558
2004-09-02,361.381
2004-09-03,361.268
2004-09-06,362.577
2004-09-07,362.763
2004-09-08,364.434
2004-09-09,363.349
2004-09-10,368.982
2004-09-13,371.605
2004-09-14,373.136
2004-09-15,368.576
2004-09-16,369.095
2004-09-17,370.5
2004-09-20,370.133
2004-09-21,375.336
2004-09-22,374.379
2004-09-23,373.016
2004-09-24,371.083
2004-09-27,369.87
2004-09-28,370.894
2004-09-29,378.445
2004-09-30,381.287
2004-10-01,386.481
2004-10-04,384.126
2004-10-05,386.602
2004-10-06,386.25
2004-10-07,386.397
2004-10-08,389.051
2004-10-11,388.007
2004-10-12,381.974
2004-10-13,382.649
2004-10-14,384.071
2004-10-15,384.179
2004-10-18,385.366
2004-10-19,389.921
2004-10-20,387.487
2004-10-21,387.301
2004-10-22,390.127
2004-10-25,388.112
2004-10-26,390.382
2004-10-27,393.247
2004-10-28,392.489
2004-10-29,391.445
2004-11-01,396.154
2004-11-02,399.201
2004-11-03,403.575
2004-11-04,405.116
2004-11-05,407.643
2004-11-08,408.888
2004-11-09,409.168
2004-11-10,416.557
2004-11-11,419.61
2004-11-12,423.791
2004-11-15,424.654
2004-11-16,422.998
2004-11-17,429.217
2004-11-18,428.311
2004-11-19,429.528
2004-11-22,427.209
2004-11-23,429.479
2004-11-24,432.796
2004-11-25,438.965
2004-11-26,440.91
2004-11-29,444.504
2004-11-30,440.441
2004-12-01,444.851
2004-12-02,444.145
2004-12-03,447.698
2004-12-06,448.958
2004-12-07,451.826
2004-12-08,440.507
2004-12-09,437.812
2004-12-10,438.387
2004-12-13,444.007
2004-12-14,443.043
2004-12-15,446.676
2004-12-16,442.736
2004-12-17,438.918
2004-12-20,447.601
2004-12-21,449.289
2004-12-22,450.737
2004-12-23,455.623
2004-12-24,458.335
2004-12-27,461.338
2004-12-28,461.192
2004-12-29,460.452
2004-12-30,461.375
2004-12-31,459.202
2005-01-03,461.49
2005-01-04,454.289
2005-01-05,451.187
2005-01-06,446.175
2005-01-07,445.5
2005-01-10,452.067
2005-01-11,453.536
2005-01-12,449.902
2005-01-13,450.166
2005-01-14,448.865
2005-01-17,451.412
2005-01-18,450.165
2005-01-19,452.871
2005-01-20,445.923
2005-01-21,448.374
2005-01-24,445.988
2005-01-25,447.485
2005-01-26,451.941
2005-01-27,449.684
2005-01-28,444.172
2005-01-31,448.307
2005-02-01,451.195
2005-02-02,454.521
2005-02-03,452.019
2005-02-04,453.333
2005-02-07,452.997
2005-02-08,452.148
2005-02-09,453.049
2005-02-10,451.523
2005-02-11,454.653
2005-02-14,459.194
2005-02-15,464.591
2005-02-16,461.203
2005-02-17,465.096
2005-02-18,461.337
2005-02-21,463.319
2005-02-22,468.987
2005-02-23,467.914
2005-02-24,472.435
2005-02-25,476.504
2005-02-28,480.968
2005-03-01,477.857
2005-03-02,476.879
2005-03-03,482.814
2005-03-04,491.191
2005-03-07,487.892
2005-03-08,490.923
2005-03-09,490.125
2005-03-10,485.261
2005-03-11,489.024
2005-03-14,486.229
2005-03-15,487.682
2005-03-16,485.636
2005-03-17,483.892
2005-03-18,478.075
2005-03-21,473.366
2005-03-22,477.261
2005-03-23,468.786
2005-03-24,470.561
2005-03-25,470.561
2005-03-28,467.324
2005-03-29,465.66
2005-03-30,465.004
2005-03-31,466.996
2005-04-01,468.445
2005-04-04,462.735
2005-04-05,468.747
2005-04-06,472.06
2005-04-07,472.91
2005-04-08,471.669
2005-04-11,478.568
2005-04-12,474.555
2005-04-13,477.578
2005-04-14,472.733
2005-04-15,468.462
2005-04-18,463.394
2005-04-19,467.07
2005-04-20,468.285
2005-04-21,468.521
2005-04-22,473.2
2005-04-25,470.244
2005-04-26,466.742
2005-04-27,454.663
2005-04-28,447.631
2005-04-29,447.084
2005-05-02,450.101
2005-05-03,452.188
2005-05-04,455.073
2005-05-05,454.852
2005-05-06,453.809
2005-05-09,454.001
2005-05-10,451.776
2005-05-11,449.101
2005-05-12,448.634
2005-05-13,451.866
2005-05-16,450.241
2005-05-17,453.386
2005-05-18,458.552
2005-05-19,460.09
2005-05-20,459.053
2005-05-23,461.643
2005-05-24,463.251
2005-05-25,464.151
2005-05-26,466.311
2005-05-27,468.29
2005-05-30,466.928
2005-05-31,463.571
2005-06-01,460.292
2005-06-02,458.693
2005-06-03,457.596
2005-06-06,457.962
2005-06-07,461.046
2005-06-08,462.926
2005-06-09,457.172
2005-06-10,456.757
2005-06-13,453.165
2005-06-14,456.807
2005-06-15,457.72
2005-06-16,460.82
2005-06-17,468.871
2005-06-20,463.146
2005-06-21,466.991
