Date,EUROPE IMI GROWTH IMI (Large+Mid+Small Cap)
2002-12-31,360.174
2003-01-31,342.747
2003-02-28,331.246
2003-03-31,329.565
2003-04-30,375.693
2003-05-30,397.38
2003-06-30,400.678
2003-07-31,405.295
2003-08-29,405.474
2003-09-30,418.511
2003-10-31,444.822
2003-11-28,463.667
2003-12-31,494.768
2004-01-30,508.414
2004-02-27,524.335
2004-03-31,506.069
2004-04-30,497.89
2004-05-31,504.659
2004-06-30,509.384
2004-07-30,492.248
2004-08-31,490.319
2004-09-30,508.819
2004-10-29,526.065
2004-11-30,563.896
2004-12-31,587.327
2005-01-31,575.238
2005-02-28,601.38
2005-03-31,587.57
2005-04-29,579.998
2005-05-31,583.557
2005-06-30,589.725
2005-07-29,613.369
2005-08-31,625.169
2005-09-30,642.788
2005-10-31,621.651
2005-11-30,630.604
2005-12-30,653.337
2006-01-31,699.57
2006-02-28,697.556
2006-03-31,728.421
2006-04-28,769.869
2006-05-31,747.4
2006-06-30,748.556
2006-07-31,756.847
2006-08-31,780.908
2006-09-29,783.917
2006-10-31,814.651
2006-11-30,847.409
2006-12-29,874.606
2007-01-31,885.207
2007-02-28,887.043
2007-03-30,925.307
2007-04-30,981.36
2007-05-31,1000.0
2007-06-29,1000.108
2007-07-31,988.498
2007-08-31,982.553
2007-09-28,1036.272
2007-10-31,1087.646
2007-11-30,1066.634
2007-12-31,1047.342
2008-01-31,943.23
2008-02-29,973.163
2008-03-31,974.646
2008-04-30,1008.651
2008-05-30,1031.57
2008-06-30,960.665
2008-07-31,932.096
2008-08-29,890.306
2008-09-30,752.773
2008-10-31,597.326
2008-11-28,551.556
2008-12-31,581.087
2009-01-30,533.287
2009-02-27,489.945
2009-03-31,518.811
2009-04-30,568.858
2009-05-29,639.862
2009-06-30,633.249
2009-07-31,692.879
2009-08-31,717.441
2009-09-30,752.896
2009-10-30,757.158
2009-11-30,780.797
2009-12-31,794.68
2010-01-29,757.102
2010-02-26,746.583
2010-03-31,798.388
2010-04-30,784.627
2010-05-31,695.391
2010-06-30,699.89
2010-07-30,767.602
2010-08-31,747.837
2010-09-30,834.356
2010-10-29,866.882
2010-11-30,821.925
2010-12-31,892.234
2011-01-31,900.604
2011-02-28,929.654
2011-03-31,933.524
2011-04-29,1010.871
2011-05-31,987.393
2011-06-30,967.667
2011-07-29,945.878
2011-08-31,862.723
2011-09-30,757.048
2011-10-31,848.387
2011-11-30,815.706
2011-12-30,801.424
2012-01-31,844.878
2012-02-29,904.281
2012-03-30,907.734
2012-04-30,906.013
2012-05-31,798.965
2012-06-29,845.566
2012-07-31,864.896
2012-08-31,890.578
2012-09-28,914.431
2012-10-31,922.299
2012-11-30,950.677
2012-12-31,971.191
2013-01-31,1022.73
2013-02-28,1016.582
2013-03-29,1024.715
2013-04-30,1056.677
2013-05-31,1057.045
2013-06-28,1014.618
2013-07-31,1081.492
2013-08-30,1068.806
2013-09-30,1139.1
2013-10-31,1172.096
2013-11-29,1188.1
2013-12-31,1216.307
2014-01-31,1165.907
2014-02-28,1254.166
2014-03-31,1242.354
2014-04-30,1261.318
2014-05-30,1279.714
2014-06-30,1276.052
2014-07-31,1218.766
2014-08-29,1230.067
2014-09-30,1183.689
2014-10-31,1162.565
2014-11-28,1205.421
2014-12-31,1160.106
2015-01-30,1169.825
2015-02-27,1246.638
2015-03-31,1220.24
2015-04-30,1274.128
2015-05-29,1279.975
2015-06-30,1245.465
2015-07-31,1292.123
2015-08-31,1207.336
2015-09-30,1171.979
2015-10-30,1256.141
2015-11-30,1243.595
2015-12-31,1226.198
2016-01-29,1151.271
2016-02-29,1130.028
2016-03-31,1203.846
2016-04-29,1215.606
2016-05-31,1222.163
2016-06-30,1176.152
2016-07-29,1231.289
2016-08-31,1224.075
2016-09-30,1236.443
2016-10-31,1162.165
2016-11-30,1126.513
2016-12-30,1170.109
2017-01-31,1202.866
2017-02-28,1232.869
2017-03-31,1277.358
2017-04-28,1335.817
2017-05-31,1411.41
2017-06-30,1389.143
2017-07-31,1424.334
2017-08-31,1433.639
2017-09-29,1475.414
2017-10-31,1493.044
2017-11-30,1491.104
2017-12-29,1518.224
2018-01-31,1592.09
2018-02-28,1500.959
2018-03-30,1492.57
2018-04-30,1521.454
2018-05-31,1511.946
2018-06-29,1503.094
2018-07-31,1547.161
2018-08-31,1536.025
2018-09-28,1516.268
2018-10-31,1379.553
2018-11-30,1364.898
2018-12-31,1302.748
2019-01-31,1394.058
2019-02-28,1447.283
2019-03-29,1475.701
2019-04-30,1537.869
2019-05-31,1476.0
2019-06-28,1580.082
2019-07-31,1562.146
2019-08-30,1543.935
2019-09-30,1556.442
2019-10-31,1606.314
2019-11-29,1644.406
2019-12-31,1705.897
2020-01-31,1691.093
2020-02-28,1549.652
2020-03-31,1382.559
2020-04-30,1491.256
2020-05-29,1584.395
2020-06-30,1629.61
2020-07-31,1735.695
2020-08-31,1807.153
2020-09-30,1782.883
2020-10-30,1685.74
2020-11-30,1886.872
2020-12-31,1999.152
2021-01-29,1975.712
2021-02-26,1989.093
2021-03-31,2027.673
2021-04-30,2159.077
2021-05-31,2250.58
2021-06-30,2248.187
2021-07-30,2324.153
2021-08-31,2368.047
2021-09-30,2227.97
2021-10-29,2346.536
2021-11-30,2247.321
2021-12-31,2374.713
2022-01-31,2125.06
2022-02-28,2060.961
2022-03-31,2066.67
2022-04-29,1918.048
2022-05-31,1880.455
2022-06-30,1707.589
2022-07-29,1855.28
2022-08-31,1707.858
2022-09-30,1546.556
2022-10-31,1633.874
2022-11-30,1821.956
2022-12-30,1807.855
2023-01-31,1966.604
2023-02-28,1942.209
2023-03-31,2045.372
2023-04-28,2120.595
2023-05-31,2026.708
2023-06-30,2105.793
2023-07-31,2148.17
2023-08-31,2049.265
2023-09-29,1919.08
2023-10-31,1846.256
2023-11-30,2056.375
2023-12-29,2171.821
2024-01-31,2190.308
2024-02-29,2261.247
2024-03-29,2326.366
2024-04-30,2250.072
2024-05-31,2364.873
2024-06-28,2332.129
2024-07-31,2342.533
2024-08-30,2439.225
2024-09-30,2429.859
2024-10-31,2256.459
2024-11-29,2222.49
2024-12-31,2162.701
2025-01-31,2310.916
2025-02-28,2345.088
2025-03-31,2263.742
2025-04-30,2378.103
2025-05-30,2505.568
2025-06-30,2561.287
2025-07-31,2479.567
2025-08-29,2536.998
2025-09-30,2607.05
2025-10-31,2617.263
2025-11-28,2603.719
2025-12-31,2686.296
2026-01-30,2804.317
