Date,GERMANY SMALL VALUE Small Cap
2023-03-31,3342.453
2023-04-28,3466.292
2023-05-31,3178.445
2023-06-30,3346.43
2023-07-31,3477.702
2023-08-31,3343.335
2023-09-29,3195.919
2023-10-31,3089.59
2023-11-30,3354.131
2023-12-29,3620.79
2024-01-31,3483.054
2024-02-29,3318.758
2024-03-29,3468.76
2024-04-30,3407.297
2024-05-31,3556.554
2024-06-28,3287.091
2024-07-31,3261.961
2024-08-30,3269.281
2024-09-30,3396.592
2024-10-31,3180.882
2024-11-29,3079.35
2024-12-31,3015.105
2025-01-31,3210.486
2025-02-28,3440.551
2025-03-31,3666.659
2025-04-30,3934.271
2025-05-30,4019.842
2025-06-30,4301.238
2025-07-31,4217.137
2025-08-29,4342.581
2025-09-30,4374.799
2025-10-31,4334.345
